blind_proposal_id,audit_item_id,reference_question,generated_questions_json,judge_1_status,judge_1_closest,judge_1_reason_cn,judge_2_status,judge_2_closest,judge_2_reason_cn
judgment-0019,audit-0004,钓鱼者先拿着浮漂还是先展示鱼？,"[{""generated_id"": ""audit-0004-g01"", ""question"": ""[Fill-in-the-Blank] As the person lifts the fish from the water into the kayak, the distance between the yellow bobber and the fish's mouth steadily ____.""}, {""generated_id"": ""audit-0004-g02"", ""question"": ""[Single-Choice] After bringing the fish into the kayak and steadying it, what is the person's most immediate action-oriented goal based on the spatial arrangement of their hands, the fish, and the fishing line? [Options] A) To take a photo of the fish. B) To release the fish back into the water. C) To remove the hook from the fish's mouth. D) To put the fish into a storage compartment.""}, {""generated_id"": ""audit-0004-g03"", ""question"": ""[True/False] From the camera's first-person perspective, the fishing rod remains positioned entirely on the left side of the kayak.""}]",partial,audit-0004-g01,生成题同时涉及浮标和被提起的鱼，但没有比较拿浮漂与展示鱼的动作次序。,absent,audit-0004-g01,"生成题 audit-0004-g01 询问：“[Fill-in-the-Blank] As the person lifts the fish from the water into the kayak, the distance between the yellow bobber and the fish's mouth steadily ____.”；参考题询问：“钓鱼者先拿着浮漂还是先展示鱼？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0021,audit-0004,鱼被举起后其身体朝向如何变化？,"[{""generated_id"": ""audit-0004-g01"", ""question"": ""[Fill-in-the-Blank] As the person lifts the fish from the water into the kayak, the distance between the yellow bobber and the fish's mouth steadily ____.""}, {""generated_id"": ""audit-0004-g02"", ""question"": ""[Single-Choice] After bringing the fish into the kayak and steadying it, what is the person's most immediate action-oriented goal based on the spatial arrangement of their hands, the fish, and the fishing line? [Options] A) To take a photo of the fish. B) To release the fish back into the water. C) To remove the hook from the fish's mouth. D) To put the fish into a storage compartment.""}, {""generated_id"": ""audit-0004-g03"", ""question"": ""[True/False] From the camera's first-person perspective, the fishing rod remains positioned entirely on the left side of the kayak.""}]",partial,audit-0004-g01,生成题覆盖鱼被从水中举入艇内的同一过程，但完全缺少鱼身朝向变化这一关键要求。,absent,audit-0004-g01,"生成题 audit-0004-g01 询问：“[Fill-in-the-Blank] As the person lifts the fish from the water into the kayak, the distance between the yellow bobber and the fish's mouth steadily ____.”；参考题询问：“鱼被举起后其身体朝向如何变化？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0029,audit-0006,戴蓝帽的人在戴宽檐帽的人之前还是之后出现？,"[{""generated_id"": ""audit-0006-g01"", ""question"": ""[True/False] In the final few seconds, the man in the checkered shirt and blue beanie partially occludes the man in the grey shirt and brown kufi cap from the camera's viewpoint.""}, {""generated_id"": ""audit-0006-g02"", ""question"": ""[True/False] In the final few seconds, the man in the checkered shirt and blue beanie partially occludes the man in the grey shirt and brown kufi cap from the camera's viewpoint.""}, {""generated_id"": ""audit-0006-g03"", ""question"": ""[Multiple-Select] The video pans from left to right across a line of seated men. If the camera had instead panned from right to left at the same speed, which two individuals would have been the first to appear fully in the frame? (Select two) [Options] A) The man in the black cowboy hat. B) The man in the brown kufi cap. C) The man in the patterned cap. D) The man in the blue beanie.""}]",direct,audit-0006-g03,逆向平移时谁先完整入画的题依赖同一排人物的左右顺序，可直接决定蓝帽人与宽檐帽人的实际出现先后。,partial,audit-0006-g03,"生成题 audit-0006-g03 询问：“[Multiple-Select] The video pans from left to right across a line of seated men. If the camera had instead panned from right to left at the same speed, which two individuals would have been the first to appear fully in the frame? (Select two) [Options] A) The man in the black cowboy hat. B) The man in the brown kufi cap. C) The man in the patterned cap. D) The man in the blue beanie.”；参考题询问：“戴蓝帽的人在戴宽檐帽的人之前还是之后出现？”。二者有明确语义重合，但生成题只覆盖参考事实的一部分，或改问了不同参照、时间点、条件或细节，不能直接回答参考题。"
judgment-0031,audit-0006,戴帽男子坐在最初出现的老人哪一侧？,"[{""generated_id"": ""audit-0006-g01"", ""question"": ""[True/False] In the final few seconds, the man in the checkered shirt and blue beanie partially occludes the man in the grey shirt and brown kufi cap from the camera's viewpoint.""}, {""generated_id"": ""audit-0006-g02"", ""question"": ""[True/False] In the final few seconds, the man in the checkered shirt and blue beanie partially occludes the man in the grey shirt and brown kufi cap from the camera's viewpoint.""}, {""generated_id"": ""audit-0006-g03"", ""question"": ""[Multiple-Select] The video pans from left to right across a line of seated men. If the camera had instead panned from right to left at the same speed, which two individuals would have been the first to appear fully in the frame? (Select two) [Options] A) The man in the black cowboy hat. B) The man in the brown kufi cap. C) The man in the patterned cap. D) The man in the blue beanie.""}]",uncertain,audit-0006-g03,参考中的“戴帽男子”无法从文字稳定对应牛仔帽、库菲帽、花纹帽或蓝帽中的哪一人，因而不能可靠比较左右关系。,partial,audit-0006-g03,"生成题 audit-0006-g03 询问：“[Multiple-Select] The video pans from left to right across a line of seated men. If the camera had instead panned from right to left at the same speed, which two individuals would have been the first to appear fully in the frame? (Select two) [Options] A) The man in the black cowboy hat. B) The man in the brown kufi cap. C) The man in the patterned cap. D) The man in the blue beanie.”；参考题询问：“戴帽男子坐在最初出现的老人哪一侧？”。二者有明确语义重合，但生成题只覆盖参考事实的一部分，或改问了不同参照、时间点、条件或细节，不能直接回答参考题。"
judgment-0039,audit-0008,浪峰朝岸边推进时形状如何变化？,"[{""generated_id"": ""audit-0008-g01"", ""question"": ""[True/False] The peak height of the wave's crest remains consistent as it travels from the left side of the frame to the right.""}]",partial,audit-0008-g01,生成题判断浪峰从左向右传播时峰高是否一致，覆盖形状变化的一个维度但不是整体形态变化。,direct,audit-0008-g01,生成题 audit-0008-g01 询问：“[True/False] The peak height of the wave's crest remains consistent as it travels from the left side of the frame to the right.”；参考题询问：“浪峰朝岸边推进时形状如何变化？”。二者都要求判断同一个核心可视事实，且需要的空间、时间或状态推理操作基本一致。
judgment-0047,audit-0009,第一视角所在载具在水面上是否持续前进？,"[{""generated_id"": ""audit-0009-g01"", ""question"": ""[Single-Choice] Assuming the watercraft continues on its current path without turning, what will its position be relative to the group of trees on the land in the next few seconds? [Options] A) It will be directly in front of the trees, having landed on the shore. B) It will have passed the trees, with the trees now on its right side. C) It will have turned away, with the trees getting smaller in the distance. D) It will be stationary in its current position.""}, {""generated_id"": ""audit-0009-g02"", ""question"": ""[Single-Choice] Assuming the watercraft continues on its current path without turning, what will its position be relative to the group of trees on the land in the next few seconds? [Options] A) It will be directly in front of the trees, having landed on the shore. B) It will have passed the trees, with the trees now on its right side. C) It will have turned away, with the trees getting smaller in the distance. D) It will be stationary in its current position.""}, {""generated_id"": ""audit-0009-g03"", ""question"": ""[Single-Choice] Assuming the watercraft continues on its current path without turning, what will its position be relative to the group of trees on the land in the next few seconds? [Options] A) It will be directly in front of the trees, having landed on the shore. B) It will have passed the trees, with the trees now on its right side. C) It will have turned away, with the trees getting smaller in the distance. D) It will be stationary in its current position.""}]",direct,audit-0009-g01,生成题明确以载具保持当前路径继续行进为条件预测其未来位置，实质覆盖载具是否持续前进。,partial,audit-0009-g01,"生成题 audit-0009-g01 询问：“[Single-Choice] Assuming the watercraft continues on its current path without turning, what will its position be relative to the group of trees on the land in the next few seconds? [Options] A) It will be directly in front of the trees, having landed on the shore. B) It will have passed the trees, with the trees now on its right side. C) It will have turned away, with the trees getting smaller in the distance. D) It will be stationary in its current position.”；参考题询问：“第一视角所在载具在水面上是否持续前进？”。二者有明确语义重合，但生成题只覆盖参考事实的一部分，或改问了不同参照、时间点、条件或细节，不能直接回答参考题。"
judgment-0049,audit-0009,远处树木相对观察者向哪个方向移动？,"[{""generated_id"": ""audit-0009-g01"", ""question"": ""[Single-Choice] Assuming the watercraft continues on its current path without turning, what will its position be relative to the group of trees on the land in the next few seconds? [Options] A) It will be directly in front of the trees, having landed on the shore. B) It will have passed the trees, with the trees now on its right side. C) It will have turned away, with the trees getting smaller in the distance. D) It will be stationary in its current position.""}, {""generated_id"": ""audit-0009-g02"", ""question"": ""[Single-Choice] Assuming the watercraft continues on its current path without turning, what will its position be relative to the group of trees on the land in the next few seconds? [Options] A) It will be directly in front of the trees, having landed on the shore. B) It will have passed the trees, with the trees now on its right side. C) It will have turned away, with the trees getting smaller in the distance. D) It will be stationary in its current position.""}, {""generated_id"": ""audit-0009-g03"", ""question"": ""[Single-Choice] Assuming the watercraft continues on its current path without turning, what will its position be relative to the group of trees on the land in the next few seconds? [Options] A) It will be directly in front of the trees, having landed on the shore. B) It will have passed the trees, with the trees now on its right side. C) It will have turned away, with the trees getting smaller in the distance. D) It will be stationary in its current position.""}]",direct,audit-0009-g01,生成题预测载具相对树木继续通过后的方位，采用相反参照即可得到远处树木相对观察者的移动方向。,partial,audit-0009-g01,"生成题 audit-0009-g01 询问：“[Single-Choice] Assuming the watercraft continues on its current path without turning, what will its position be relative to the group of trees on the land in the next few seconds? [Options] A) It will be directly in front of the trees, having landed on the shore. B) It will have passed the trees, with the trees now on its right side. C) It will have turned away, with the trees getting smaller in the distance. D) It will be stationary in its current position.”；参考题询问：“远处树木相对观察者向哪个方向移动？”。二者有明确语义重合，但生成题只覆盖参考事实的一部分，或改问了不同参照、时间点、条件或细节，不能直接回答参考题。"
judgment-0056,audit-0011,无人机是先远离相机还是先靠近相机？,"[{""generated_id"": ""audit-0011-g01"", ""question"": ""[Single-Choice] As the drone flies away from the camera, what is its position relative to the utility pole at the moment it is horizontally aligned with the green dumpster? [Options] A) It has already passed to the left of the utility pole. B) It is directly in front of the utility pole. C) It has not yet reached the utility pole. D) It is flying at the same height as the top of the utility pole.""}, {""generated_id"": ""audit-0011-g02"", ""question"": ""[True/False] The drone's landing gear is in the same state (either extended or retracted) immediately before it passes behind the utility pole as it is immediately after it re-emerges.""}, {""generated_id"": ""audit-0011-g03"", ""question"": ""[Single-Choice] As the drone flies away from the camera, what is its position relative to the utility pole at the moment it is horizontally aligned with the green dumpster? [Options] A) It has already passed to the left of the utility pole. B) It is directly in front of the utility pole. C) It has not yet reached the utility pole. D) It is flying at the same height as the top of the utility pole.""}, {""generated_id"": ""audit-0011-g04"", ""question"": ""[True/False] The drone's landing gear is in the same state (either extended or retracted) immediately before it passes behind the utility pole as it is immediately after it re-emerges.""}, {""generated_id"": ""audit-0011-g05"", ""question"": ""[Single-Choice] As the drone flies away from the camera, what is its position relative to the utility pole at the moment it is horizontally aligned with the green dumpster? [Options] A) It has already passed to the left of the utility pole. B) It is directly in front of the utility pole. C) It has not yet reached the utility pole. D) It is flying at the same height as the top of the utility pole.""}, {""generated_id"": ""audit-0011-g06"", ""question"": ""[True/False] The drone's landing gear is in the same state (either extended or retracted) immediately before it passes behind the utility pole as it is immediately after it re-emerges.""}]",partial,audit-0011-g01,生成题明确描述无人机正远离相机飞行，但没有比较远离与随后或先前靠近的先后次序。,absent,audit-0011-g01,"生成题 audit-0011-g01 询问：“[Single-Choice] As the drone flies away from the camera, what is its position relative to the utility pole at the moment it is horizontally aligned with the green dumpster? [Options] A) It has already passed to the left of the utility pole. B) It is directly in front of the utility pole. C) It has not yet reached the utility pole. D) It is flying at the same height as the top of the utility pole.”；参考题询问：“无人机是先远离相机还是先靠近相机？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0057,audit-0011,无人机相对地面的高度如何变化？,"[{""generated_id"": ""audit-0011-g01"", ""question"": ""[Single-Choice] As the drone flies away from the camera, what is its position relative to the utility pole at the moment it is horizontally aligned with the green dumpster? [Options] A) It has already passed to the left of the utility pole. B) It is directly in front of the utility pole. C) It has not yet reached the utility pole. D) It is flying at the same height as the top of the utility pole.""}, {""generated_id"": ""audit-0011-g02"", ""question"": ""[True/False] The drone's landing gear is in the same state (either extended or retracted) immediately before it passes behind the utility pole as it is immediately after it re-emerges.""}, {""generated_id"": ""audit-0011-g03"", ""question"": ""[Single-Choice] As the drone flies away from the camera, what is its position relative to the utility pole at the moment it is horizontally aligned with the green dumpster? [Options] A) It has already passed to the left of the utility pole. B) It is directly in front of the utility pole. C) It has not yet reached the utility pole. D) It is flying at the same height as the top of the utility pole.""}, {""generated_id"": ""audit-0011-g04"", ""question"": ""[True/False] The drone's landing gear is in the same state (either extended or retracted) immediately before it passes behind the utility pole as it is immediately after it re-emerges.""}, {""generated_id"": ""audit-0011-g05"", ""question"": ""[Single-Choice] As the drone flies away from the camera, what is its position relative to the utility pole at the moment it is horizontally aligned with the green dumpster? [Options] A) It has already passed to the left of the utility pole. B) It is directly in front of the utility pole. C) It has not yet reached the utility pole. D) It is flying at the same height as the top of the utility pole.""}, {""generated_id"": ""audit-0011-g06"", ""question"": ""[True/False] The drone's landing gear is in the same state (either extended or retracted) immediately before it passes behind the utility pole as it is immediately after it re-emerges.""}]",partial,audit-0011-g01,生成题在与垃圾箱水平对齐时比较无人机和电线杆的位置及高度选项，但没有追踪它相对地面的高度变化。,absent,audit-0011-g01,"生成题 audit-0011-g01 询问：“[Single-Choice] As the drone flies away from the camera, what is its position relative to the utility pole at the moment it is horizontally aligned with the green dumpster? [Options] A) It has already passed to the left of the utility pole. B) It is directly in front of the utility pole. C) It has not yet reached the utility pole. D) It is flying at the same height as the top of the utility pole.”；参考题询问：“无人机相对地面的高度如何变化？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0059,audit-0011,无人机先远离还是先接近相机？,"[{""generated_id"": ""audit-0011-g01"", ""question"": ""[Single-Choice] As the drone flies away from the camera, what is its position relative to the utility pole at the moment it is horizontally aligned with the green dumpster? [Options] A) It has already passed to the left of the utility pole. B) It is directly in front of the utility pole. C) It has not yet reached the utility pole. D) It is flying at the same height as the top of the utility pole.""}, {""generated_id"": ""audit-0011-g02"", ""question"": ""[True/False] The drone's landing gear is in the same state (either extended or retracted) immediately before it passes behind the utility pole as it is immediately after it re-emerges.""}, {""generated_id"": ""audit-0011-g03"", ""question"": ""[Single-Choice] As the drone flies away from the camera, what is its position relative to the utility pole at the moment it is horizontally aligned with the green dumpster? [Options] A) It has already passed to the left of the utility pole. B) It is directly in front of the utility pole. C) It has not yet reached the utility pole. D) It is flying at the same height as the top of the utility pole.""}, {""generated_id"": ""audit-0011-g04"", ""question"": ""[True/False] The drone's landing gear is in the same state (either extended or retracted) immediately before it passes behind the utility pole as it is immediately after it re-emerges.""}, {""generated_id"": ""audit-0011-g05"", ""question"": ""[Single-Choice] As the drone flies away from the camera, what is its position relative to the utility pole at the moment it is horizontally aligned with the green dumpster? [Options] A) It has already passed to the left of the utility pole. B) It is directly in front of the utility pole. C) It has not yet reached the utility pole. D) It is flying at the same height as the top of the utility pole.""}, {""generated_id"": ""audit-0011-g06"", ""question"": ""[True/False] The drone's landing gear is in the same state (either extended or retracted) immediately before it passes behind the utility pole as it is immediately after it re-emerges.""}]",partial,audit-0011-g01,生成题确认无人机处于远离相机的阶段，但未比较其远离和接近阶段的时间顺序。,absent,audit-0011-g01,"生成题 audit-0011-g01 询问：“[Single-Choice] As the drone flies away from the camera, what is its position relative to the utility pole at the moment it is horizontally aligned with the green dumpster? [Options] A) It has already passed to the left of the utility pole. B) It is directly in front of the utility pole. C) It has not yet reached the utility pole. D) It is flying at the same height as the top of the utility pole.”；参考题询问：“无人机先远离还是先接近相机？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0061,audit-0011,无人机短暂变小时是否仍保持在画面中央附近？,"[{""generated_id"": ""audit-0011-g01"", ""question"": ""[Single-Choice] As the drone flies away from the camera, what is its position relative to the utility pole at the moment it is horizontally aligned with the green dumpster? [Options] A) It has already passed to the left of the utility pole. B) It is directly in front of the utility pole. C) It has not yet reached the utility pole. D) It is flying at the same height as the top of the utility pole.""}, {""generated_id"": ""audit-0011-g02"", ""question"": ""[True/False] The drone's landing gear is in the same state (either extended or retracted) immediately before it passes behind the utility pole as it is immediately after it re-emerges.""}, {""generated_id"": ""audit-0011-g03"", ""question"": ""[Single-Choice] As the drone flies away from the camera, what is its position relative to the utility pole at the moment it is horizontally aligned with the green dumpster? [Options] A) It has already passed to the left of the utility pole. B) It is directly in front of the utility pole. C) It has not yet reached the utility pole. D) It is flying at the same height as the top of the utility pole.""}, {""generated_id"": ""audit-0011-g04"", ""question"": ""[True/False] The drone's landing gear is in the same state (either extended or retracted) immediately before it passes behind the utility pole as it is immediately after it re-emerges.""}, {""generated_id"": ""audit-0011-g05"", ""question"": ""[Single-Choice] As the drone flies away from the camera, what is its position relative to the utility pole at the moment it is horizontally aligned with the green dumpster? [Options] A) It has already passed to the left of the utility pole. B) It is directly in front of the utility pole. C) It has not yet reached the utility pole. D) It is flying at the same height as the top of the utility pole.""}, {""generated_id"": ""audit-0011-g06"", ""question"": ""[True/False] The drone's landing gear is in the same state (either extended or retracted) immediately before it passes behind the utility pole as it is immediately after it re-emerges.""}]",partial,audit-0011-g01,生成题的无人机远离相机与变小有关且追踪其画面位置，但没有判断其是否保持在画面中央附近。,absent,audit-0011-g01,"生成题 audit-0011-g01 询问：“[Single-Choice] As the drone flies away from the camera, what is its position relative to the utility pole at the moment it is horizontally aligned with the green dumpster? [Options] A) It has already passed to the left of the utility pole. B) It is directly in front of the utility pole. C) It has not yet reached the utility pole. D) It is flying at the same height as the top of the utility pole.”；参考题询问：“无人机短暂变小时是否仍保持在画面中央附近？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0063,audit-0012,球员先击球还是另一人走近洞口？,"[{""generated_id"": ""audit-0012-g01"", ""question"": ""[Single-Choice] From the perspective of the man standing still near the flagstick, the golf ball comes to a stop on his ______. [Options] A) left side. B) right side. C) directly in front. D) directly behind.""}, {""generated_id"": ""audit-0012-g02"", ""question"": ""[Single-Choice] After the golfer hits the ball, where does it come to rest in relation to the flagstick from the camera's point of view? [Options] A) Between the golfer who hit the ball and the flagstick. B) To the right of and slightly beyond the flagstick. C) To the left of and short of the flagstick. D) Directly in the hole.""}, {""generated_id"": ""audit-0012-g03"", ""question"": ""[True/False] When the video ends, the two people are closer to each other than they are at any other moment when both are visible on screen.""}]",absent,audit-0012-g03,生成题涉及击球后球的位置及两人最终距离，却没有描述另一人走近洞口或比较其与击球的先后。,partial,audit-0012-g03,"生成题 audit-0012-g03 询问：“[True/False] When the video ends, the two people are closer to each other than they are at any other moment when both are visible on screen.”；参考题询问：“球员先击球还是另一人走近洞口？”。二者有明确语义重合，但生成题只覆盖参考事实的一部分，或改问了不同参照、时间点、条件或细节，不能直接回答参考题。"
