blind_proposal_id,audit_item_id,reference_question,generated_questions_json
judgment-0011,audit-0003,镜头中最显眼的房屋位于山体前方还是后方？,"[{""generated_id"": ""audit-0003-g01"", ""question"": ""[Single-Choice] Observing the general direction of the cloud movement across the sky, which area is most likely to be impacted by the rain curtain next? [Options] A) The mountain visible on the left side of the frame. B) The houses located to the far right of the yellow house. C) The yellow house in the center of the frame. D) The area from which the video is being filmed.""}, {""generated_id"": ""audit-0003-g02"", ""question"": ""[Single-Choice] Observing the general direction of the cloud movement across the sky, which area is most likely to be impacted by the rain curtain next? [Options] A) The mountain visible on the left side of the frame. B) The houses located to the far right of the yellow house. C) The yellow house in the center of the frame. D) The area from which the video is being filmed.""}, {""generated_id"": ""audit-0003-g03"", ""question"": ""[Single-Choice] Observing the general direction of the cloud movement across the sky, which area is most likely to be impacted by the rain curtain next? [Options] A) The mountain visible on the left side of the frame. B) The houses located to the far right of the yellow house. C) The yellow house in the center of the frame. D) The area from which the video is being filmed.""}]"
judgment-0012,audit-0003,镜头先呈现山体还是近处房屋？,"[{""generated_id"": ""audit-0003-g01"", ""question"": ""[Single-Choice] Observing the general direction of the cloud movement across the sky, which area is most likely to be impacted by the rain curtain next? [Options] A) The mountain visible on the left side of the frame. B) The houses located to the far right of the yellow house. C) The yellow house in the center of the frame. D) The area from which the video is being filmed.""}, {""generated_id"": ""audit-0003-g02"", ""question"": ""[Single-Choice] Observing the general direction of the cloud movement across the sky, which area is most likely to be impacted by the rain curtain next? [Options] A) The mountain visible on the left side of the frame. B) The houses located to the far right of the yellow house. C) The yellow house in the center of the frame. D) The area from which the video is being filmed.""}, {""generated_id"": ""audit-0003-g03"", ""question"": ""[Single-Choice] Observing the general direction of the cloud movement across the sky, which area is most likely to be impacted by the rain curtain next? [Options] A) The mountain visible on the left side of the frame. B) The houses located to the far right of the yellow house. C) The yellow house in the center of the frame. D) The area from which the video is being filmed.""}]"
judgment-0013,audit-0003,镜头移动后哪栋房屋进入画面中央？,"[{""generated_id"": ""audit-0003-g01"", ""question"": ""[Single-Choice] Observing the general direction of the cloud movement across the sky, which area is most likely to be impacted by the rain curtain next? [Options] A) The mountain visible on the left side of the frame. B) The houses located to the far right of the yellow house. C) The yellow house in the center of the frame. D) The area from which the video is being filmed.""}, {""generated_id"": ""audit-0003-g02"", ""question"": ""[Single-Choice] Observing the general direction of the cloud movement across the sky, which area is most likely to be impacted by the rain curtain next? [Options] A) The mountain visible on the left side of the frame. B) The houses located to the far right of the yellow house. C) The yellow house in the center of the frame. D) The area from which the video is being filmed.""}, {""generated_id"": ""audit-0003-g03"", ""question"": ""[Single-Choice] Observing the general direction of the cloud movement across the sky, which area is most likely to be impacted by the rain curtain next? [Options] A) The mountain visible on the left side of the frame. B) The houses located to the far right of the yellow house. C) The yellow house in the center of the frame. D) The area from which the video is being filmed.""}]"
judgment-0014,audit-0003,前景立柱何时遮住远处山景？,"[{""generated_id"": ""audit-0003-g01"", ""question"": ""[Single-Choice] Observing the general direction of the cloud movement across the sky, which area is most likely to be impacted by the rain curtain next? [Options] A) The mountain visible on the left side of the frame. B) The houses located to the far right of the yellow house. C) The yellow house in the center of the frame. D) The area from which the video is being filmed.""}, {""generated_id"": ""audit-0003-g02"", ""question"": ""[Single-Choice] Observing the general direction of the cloud movement across the sky, which area is most likely to be impacted by the rain curtain next? [Options] A) The mountain visible on the left side of the frame. B) The houses located to the far right of the yellow house. C) The yellow house in the center of the frame. D) The area from which the video is being filmed.""}, {""generated_id"": ""audit-0003-g03"", ""question"": ""[Single-Choice] Observing the general direction of the cloud movement across the sky, which area is most likely to be impacted by the rain curtain next? [Options] A) The mountain visible on the left side of the frame. B) The houses located to the far right of the yellow house. C) The yellow house in the center of the frame. D) The area from which the video is being filmed.""}]"
judgment-0015,audit-0003,深色云层位于房屋上方吗？,"[{""generated_id"": ""audit-0003-g01"", ""question"": ""[Single-Choice] Observing the general direction of the cloud movement across the sky, which area is most likely to be impacted by the rain curtain next? [Options] A) The mountain visible on the left side of the frame. B) The houses located to the far right of the yellow house. C) The yellow house in the center of the frame. D) The area from which the video is being filmed.""}, {""generated_id"": ""audit-0003-g02"", ""question"": ""[Single-Choice] Observing the general direction of the cloud movement across the sky, which area is most likely to be impacted by the rain curtain next? [Options] A) The mountain visible on the left side of the frame. B) The houses located to the far right of the yellow house. C) The yellow house in the center of the frame. D) The area from which the video is being filmed.""}, {""generated_id"": ""audit-0003-g03"", ""question"": ""[Single-Choice] Observing the general direction of the cloud movement across the sky, which area is most likely to be impacted by the rain curtain next? [Options] A) The mountain visible on the left side of the frame. B) The houses located to the far right of the yellow house. C) The yellow house in the center of the frame. D) The area from which the video is being filmed.""}]"
judgment-0016,audit-0004,皮划艇上的人最终把鱼移到艇内还是水外？,"[{""generated_id"": ""audit-0004-g01"", ""question"": ""[Fill-in-the-Blank] As the person lifts the fish from the water into the kayak, the distance between the yellow bobber and the fish's mouth steadily ____.""}, {""generated_id"": ""audit-0004-g02"", ""question"": ""[Single-Choice] After bringing the fish into the kayak and steadying it, what is the person's most immediate action-oriented goal based on the spatial arrangement of their hands, the fish, and the fishing line? [Options] A) To take a photo of the fish. B) To release the fish back into the water. C) To remove the hook from the fish's mouth. D) To put the fish into a storage compartment.""}, {""generated_id"": ""audit-0004-g03"", ""question"": ""[True/False] From the camera's first-person perspective, the fishing rod remains positioned entirely on the left side of the kayak.""}]"
judgment-0017,audit-0004,浮标相对皮划艇的位置如何变化？,"[{""generated_id"": ""audit-0004-g01"", ""question"": ""[Fill-in-the-Blank] As the person lifts the fish from the water into the kayak, the distance between the yellow bobber and the fish's mouth steadily ____.""}, {""generated_id"": ""audit-0004-g02"", ""question"": ""[Single-Choice] After bringing the fish into the kayak and steadying it, what is the person's most immediate action-oriented goal based on the spatial arrangement of their hands, the fish, and the fishing line? [Options] A) To take a photo of the fish. B) To release the fish back into the water. C) To remove the hook from the fish's mouth. D) To put the fish into a storage compartment.""}, {""generated_id"": ""audit-0004-g03"", ""question"": ""[True/False] From the camera's first-person perspective, the fishing rod remains positioned entirely on the left side of the kayak.""}]"
judgment-0018,audit-0004,人先展示鱼还是先处理鱼钩？,"[{""generated_id"": ""audit-0004-g01"", ""question"": ""[Fill-in-the-Blank] As the person lifts the fish from the water into the kayak, the distance between the yellow bobber and the fish's mouth steadily ____.""}, {""generated_id"": ""audit-0004-g02"", ""question"": ""[Single-Choice] After bringing the fish into the kayak and steadying it, what is the person's most immediate action-oriented goal based on the spatial arrangement of their hands, the fish, and the fishing line? [Options] A) To take a photo of the fish. B) To release the fish back into the water. C) To remove the hook from the fish's mouth. D) To put the fish into a storage compartment.""}, {""generated_id"": ""audit-0004-g03"", ""question"": ""[True/False] From the camera's first-person perspective, the fishing rod remains positioned entirely on the left side of the kayak.""}]"
judgment-0019,audit-0004,钓鱼者先拿着浮漂还是先展示鱼？,"[{""generated_id"": ""audit-0004-g01"", ""question"": ""[Fill-in-the-Blank] As the person lifts the fish from the water into the kayak, the distance between the yellow bobber and the fish's mouth steadily ____.""}, {""generated_id"": ""audit-0004-g02"", ""question"": ""[Single-Choice] After bringing the fish into the kayak and steadying it, what is the person's most immediate action-oriented goal based on the spatial arrangement of their hands, the fish, and the fishing line? [Options] A) To take a photo of the fish. B) To release the fish back into the water. C) To remove the hook from the fish's mouth. D) To put the fish into a storage compartment.""}, {""generated_id"": ""audit-0004-g03"", ""question"": ""[True/False] From the camera's first-person perspective, the fishing rod remains positioned entirely on the left side of the kayak.""}]"
judgment-0020,audit-0004,鱼相对皮划艇船头位于哪一侧？,"[{""generated_id"": ""audit-0004-g01"", ""question"": ""[Fill-in-the-Blank] As the person lifts the fish from the water into the kayak, the distance between the yellow bobber and the fish's mouth steadily ____.""}, {""generated_id"": ""audit-0004-g02"", ""question"": ""[Single-Choice] After bringing the fish into the kayak and steadying it, what is the person's most immediate action-oriented goal based on the spatial arrangement of their hands, the fish, and the fishing line? [Options] A) To take a photo of the fish. B) To release the fish back into the water. C) To remove the hook from the fish's mouth. D) To put the fish into a storage compartment.""}, {""generated_id"": ""audit-0004-g03"", ""question"": ""[True/False] From the camera's first-person perspective, the fishing rod remains positioned entirely on the left side of the kayak.""}]"
judgment-0021,audit-0004,鱼被举起后其身体朝向如何变化？,"[{""generated_id"": ""audit-0004-g01"", ""question"": ""[Fill-in-the-Blank] As the person lifts the fish from the water into the kayak, the distance between the yellow bobber and the fish's mouth steadily ____.""}, {""generated_id"": ""audit-0004-g02"", ""question"": ""[Single-Choice] After bringing the fish into the kayak and steadying it, what is the person's most immediate action-oriented goal based on the spatial arrangement of their hands, the fish, and the fishing line? [Options] A) To take a photo of the fish. B) To release the fish back into the water. C) To remove the hook from the fish's mouth. D) To put the fish into a storage compartment.""}, {""generated_id"": ""audit-0004-g03"", ""question"": ""[True/False] From the camera's first-person perspective, the fishing rod remains positioned entirely on the left side of the kayak.""}]"
judgment-0022,audit-0005,冲浪者进入浪管后是否再次清晰出现？,"[{""generated_id"": ""audit-0005-g01"", ""question"": ""[Single-Choice] As the surfer performs the final turn at the end of the ride (00:08-00:10), how does their upper body rotate relative to the direction the board is traveling? [Options] A) Their upper body rotates in the same direction as the turn. B) Their upper body rotates in the opposite direction of the turn. C) Their upper body remains perfectly still and aligned with the board. D) Their upper body faces directly towards the beach, perpendicular to the board.""}, {""generated_id"": ""audit-0005-g02"", ""question"": ""[True/False] At the moment the surfer is most obscured by the wave's curl, the tip of their surfboard is the only part of the surfer/board combination that is visible.""}]"
judgment-0023,audit-0005,冲浪者沿浪壁的运动方向如何变化？,"[{""generated_id"": ""audit-0005-g01"", ""question"": ""[Single-Choice] As the surfer performs the final turn at the end of the ride (00:08-00:10), how does their upper body rotate relative to the direction the board is traveling? [Options] A) Their upper body rotates in the same direction as the turn. B) Their upper body rotates in the opposite direction of the turn. C) Their upper body remains perfectly still and aligned with the board. D) Their upper body faces directly towards the beach, perpendicular to the board.""}, {""generated_id"": ""audit-0005-g02"", ""question"": ""[True/False] At the moment the surfer is most obscured by the wave's curl, the tip of their surfboard is the only part of the surfer/board combination that is visible.""}]"
judgment-0024,audit-0005,浪花完全遮住冲浪者发生在其转向之前还是之后？,"[{""generated_id"": ""audit-0005-g01"", ""question"": ""[Single-Choice] As the surfer performs the final turn at the end of the ride (00:08-00:10), how does their upper body rotate relative to the direction the board is traveling? [Options] A) Their upper body rotates in the same direction as the turn. B) Their upper body rotates in the opposite direction of the turn. C) Their upper body remains perfectly still and aligned with the board. D) Their upper body faces directly towards the beach, perpendicular to the board.""}, {""generated_id"": ""audit-0005-g02"", ""question"": ""[True/False] At the moment the surfer is most obscured by the wave's curl, the tip of their surfboard is the only part of the surfer/board combination that is visible.""}]"
judgment-0025,audit-0005,冲浪者进入浪管后是否一度被浪花遮住？,"[{""generated_id"": ""audit-0005-g01"", ""question"": ""[Single-Choice] As the surfer performs the final turn at the end of the ride (00:08-00:10), how does their upper body rotate relative to the direction the board is traveling? [Options] A) Their upper body rotates in the same direction as the turn. B) Their upper body rotates in the opposite direction of the turn. C) Their upper body remains perfectly still and aligned with the board. D) Their upper body faces directly towards the beach, perpendicular to the board.""}, {""generated_id"": ""audit-0005-g02"", ""question"": ""[True/False] At the moment the surfer is most obscured by the wave's curl, the tip of their surfboard is the only part of the surfer/board combination that is visible.""}]"
judgment-0026,audit-0005,冲浪者从浪管出来后向哪个方向滑行？,"[{""generated_id"": ""audit-0005-g01"", ""question"": ""[Single-Choice] As the surfer performs the final turn at the end of the ride (00:08-00:10), how does their upper body rotate relative to the direction the board is traveling? [Options] A) Their upper body rotates in the same direction as the turn. B) Their upper body rotates in the opposite direction of the turn. C) Their upper body remains perfectly still and aligned with the board. D) Their upper body faces directly towards the beach, perpendicular to the board.""}, {""generated_id"": ""audit-0005-g02"", ""question"": ""[True/False] At the moment the surfer is most obscured by the wave's curl, the tip of their surfboard is the only part of the surfer/board combination that is visible.""}]"
judgment-0027,audit-0005,冲浪者在浪峰塌下前是否保持站立？,"[{""generated_id"": ""audit-0005-g01"", ""question"": ""[Single-Choice] As the surfer performs the final turn at the end of the ride (00:08-00:10), how does their upper body rotate relative to the direction the board is traveling? [Options] A) Their upper body rotates in the same direction as the turn. B) Their upper body rotates in the opposite direction of the turn. C) Their upper body remains perfectly still and aligned with the board. D) Their upper body faces directly towards the beach, perpendicular to the board.""}, {""generated_id"": ""audit-0005-g02"", ""question"": ""[True/False] At the moment the surfer is most obscured by the wave's curl, the tip of their surfboard is the only part of the surfer/board combination that is visible.""}]"
judgment-0028,audit-0006,镜头依次展示了几名坐着的老人？,"[{""generated_id"": ""audit-0006-g01"", ""question"": ""[True/False] In the final few seconds, the man in the checkered shirt and blue beanie partially occludes the man in the grey shirt and brown kufi cap from the camera's viewpoint.""}, {""generated_id"": ""audit-0006-g02"", ""question"": ""[True/False] In the final few seconds, the man in the checkered shirt and blue beanie partially occludes the man in the grey shirt and brown kufi cap from the camera's viewpoint.""}, {""generated_id"": ""audit-0006-g03"", ""question"": ""[Multiple-Select] The video pans from left to right across a line of seated men. If the camera had instead panned from right to left at the same speed, which two individuals would have been the first to appear fully in the frame? (Select two) [Options] A) The man in the black cowboy hat. B) The man in the brown kufi cap. C) The man in the patterned cap. D) The man in the blue beanie.""}]"
judgment-0029,audit-0006,戴蓝帽的人在戴宽檐帽的人之前还是之后出现？,"[{""generated_id"": ""audit-0006-g01"", ""question"": ""[True/False] In the final few seconds, the man in the checkered shirt and blue beanie partially occludes the man in the grey shirt and brown kufi cap from the camera's viewpoint.""}, {""generated_id"": ""audit-0006-g02"", ""question"": ""[True/False] In the final few seconds, the man in the checkered shirt and blue beanie partially occludes the man in the grey shirt and brown kufi cap from the camera's viewpoint.""}, {""generated_id"": ""audit-0006-g03"", ""question"": ""[Multiple-Select] The video pans from left to right across a line of seated men. If the camera had instead panned from right to left at the same speed, which two individuals would have been the first to appear fully in the frame? (Select two) [Options] A) The man in the black cowboy hat. B) The man in the brown kufi cap. C) The man in the patterned cap. D) The man in the blue beanie.""}]"
judgment-0030,audit-0006,镜头依次聚焦了几位坐着的人？,"[{""generated_id"": ""audit-0006-g01"", ""question"": ""[True/False] In the final few seconds, the man in the checkered shirt and blue beanie partially occludes the man in the grey shirt and brown kufi cap from the camera's viewpoint.""}, {""generated_id"": ""audit-0006-g02"", ""question"": ""[True/False] In the final few seconds, the man in the checkered shirt and blue beanie partially occludes the man in the grey shirt and brown kufi cap from the camera's viewpoint.""}, {""generated_id"": ""audit-0006-g03"", ""question"": ""[Multiple-Select] The video pans from left to right across a line of seated men. If the camera had instead panned from right to left at the same speed, which two individuals would have been the first to appear fully in the frame? (Select two) [Options] A) The man in the black cowboy hat. B) The man in the brown kufi cap. C) The man in the patterned cap. D) The man in the blue beanie.""}]"
judgment-0031,audit-0006,戴帽男子坐在最初出现的老人哪一侧？,"[{""generated_id"": ""audit-0006-g01"", ""question"": ""[True/False] In the final few seconds, the man in the checkered shirt and blue beanie partially occludes the man in the grey shirt and brown kufi cap from the camera's viewpoint.""}, {""generated_id"": ""audit-0006-g02"", ""question"": ""[True/False] In the final few seconds, the man in the checkered shirt and blue beanie partially occludes the man in the grey shirt and brown kufi cap from the camera's viewpoint.""}, {""generated_id"": ""audit-0006-g03"", ""question"": ""[Multiple-Select] The video pans from left to right across a line of seated men. If the camera had instead panned from right to left at the same speed, which two individuals would have been the first to appear fully in the frame? (Select two) [Options] A) The man in the black cowboy hat. B) The man in the brown kufi cap. C) The man in the patterned cap. D) The man in the blue beanie.""}]"
judgment-0032,audit-0006,蓝帽男子出现前镜头先经过谁？,"[{""generated_id"": ""audit-0006-g01"", ""question"": ""[True/False] In the final few seconds, the man in the checkered shirt and blue beanie partially occludes the man in the grey shirt and brown kufi cap from the camera's viewpoint.""}, {""generated_id"": ""audit-0006-g02"", ""question"": ""[True/False] In the final few seconds, the man in the checkered shirt and blue beanie partially occludes the man in the grey shirt and brown kufi cap from the camera's viewpoint.""}, {""generated_id"": ""audit-0006-g03"", ""question"": ""[Multiple-Select] The video pans from left to right across a line of seated men. If the camera had instead panned from right to left at the same speed, which two individuals would have been the first to appear fully in the frame? (Select two) [Options] A) The man in the black cowboy hat. B) The man in the brown kufi cap. C) The man in the patterned cap. D) The man in the blue beanie.""}]"
judgment-0033,audit-0007,大型银色鱼与红色虾哪一个先出现？,"[{""generated_id"": ""audit-0007-g01"", ""question"": ""[Single-Choice] At the 8-second mark, two large silver fish are swimming towards the right. Which statement accurately describes their relative positions by the time they reach the far right of the tank? [Options] A) The fish that was initially further back overtakes the one in front. B) The two fish swim into the plants at the same time. C) The fish that was initially in front remains in front. D) The fish that was initially further back turns and swims away in the opposite direction.""}, {""generated_id"": ""audit-0007-g02"", ""question"": ""[Single-Choice] At the 8-second mark, two large silver fish are swimming towards the right. Which statement accurately describes their relative positions by the time they reach the far right of the tank? [Options] A) The fish that was initially further back overtakes the one in front. B) The two fish swim into the plants at the same time. C) The fish that was initially in front remains in front. D) The fish that was initially further back turns and swims away in the opposite direction.""}, {""generated_id"": ""audit-0007-g03"", ""question"": ""[Single-Choice] At the 3-second mark, a single small, pinkish fish swims from the top of the tank down towards the thin vertical branch. What is its path relative to the branch? [Options] A) It swims behind the branch and emerges on the left side. B) It turns right just before reaching the branch and swims away. C) It stops and hides behind the branch. D) It swims in front of the branch and continues downwards.""}]"
judgment-0034,audit-0007,虾在水草上的朝向是否发生改变？,"[{""generated_id"": ""audit-0007-g01"", ""question"": ""[Single-Choice] At the 8-second mark, two large silver fish are swimming towards the right. Which statement accurately describes their relative positions by the time they reach the far right of the tank? [Options] A) The fish that was initially further back overtakes the one in front. B) The two fish swim into the plants at the same time. C) The fish that was initially in front remains in front. D) The fish that was initially further back turns and swims away in the opposite direction.""}, {""generated_id"": ""audit-0007-g02"", ""question"": ""[Single-Choice] At the 8-second mark, two large silver fish are swimming towards the right. Which statement accurately describes their relative positions by the time they reach the far right of the tank? [Options] A) The fish that was initially further back overtakes the one in front. B) The two fish swim into the plants at the same time. C) The fish that was initially in front remains in front. D) The fish that was initially further back turns and swims away in the opposite direction.""}, {""generated_id"": ""audit-0007-g03"", ""question"": ""[Single-Choice] At the 3-second mark, a single small, pinkish fish swims from the top of the tank down towards the thin vertical branch. What is its path relative to the branch? [Options] A) It swims behind the branch and emerges on the left side. B) It turns right just before reaching the branch and swims away. C) It stops and hides behind the branch. D) It swims in front of the branch and continues downwards.""}]"
judgment-0035,audit-0007,前半段可见的大型银色鱼有几条？,"[{""generated_id"": ""audit-0007-g01"", ""question"": ""[Single-Choice] At the 8-second mark, two large silver fish are swimming towards the right. Which statement accurately describes their relative positions by the time they reach the far right of the tank? [Options] A) The fish that was initially further back overtakes the one in front. B) The two fish swim into the plants at the same time. C) The fish that was initially in front remains in front. D) The fish that was initially further back turns and swims away in the opposite direction.""}, {""generated_id"": ""audit-0007-g02"", ""question"": ""[Single-Choice] At the 8-second mark, two large silver fish are swimming towards the right. Which statement accurately describes their relative positions by the time they reach the far right of the tank? [Options] A) The fish that was initially further back overtakes the one in front. B) The two fish swim into the plants at the same time. C) The fish that was initially in front remains in front. D) The fish that was initially further back turns and swims away in the opposite direction.""}, {""generated_id"": ""audit-0007-g03"", ""question"": ""[Single-Choice] At the 3-second mark, a single small, pinkish fish swims from the top of the tank down towards the thin vertical branch. What is its path relative to the branch? [Options] A) It swims behind the branch and emerges on the left side. B) It turns right just before reaching the branch and swims away. C) It stops and hides behind the branch. D) It swims in front of the branch and continues downwards.""}]"
judgment-0036,audit-0007,视频前半段主要出现鱼还是红色虾？,"[{""generated_id"": ""audit-0007-g01"", ""question"": ""[Single-Choice] At the 8-second mark, two large silver fish are swimming towards the right. Which statement accurately describes their relative positions by the time they reach the far right of the tank? [Options] A) The fish that was initially further back overtakes the one in front. B) The two fish swim into the plants at the same time. C) The fish that was initially in front remains in front. D) The fish that was initially further back turns and swims away in the opposite direction.""}, {""generated_id"": ""audit-0007-g02"", ""question"": ""[Single-Choice] At the 8-second mark, two large silver fish are swimming towards the right. Which statement accurately describes their relative positions by the time they reach the far right of the tank? [Options] A) The fish that was initially further back overtakes the one in front. B) The two fish swim into the plants at the same time. C) The fish that was initially in front remains in front. D) The fish that was initially further back turns and swims away in the opposite direction.""}, {""generated_id"": ""audit-0007-g03"", ""question"": ""[Single-Choice] At the 3-second mark, a single small, pinkish fish swims from the top of the tank down towards the thin vertical branch. What is its path relative to the branch? [Options] A) It swims behind the branch and emerges on the left side. B) It turns right just before reaching the branch and swims away. C) It stops and hides behind the branch. D) It swims in front of the branch and continues downwards.""}]"
judgment-0037,audit-0007,红色虾停在水草的什么位置？,"[{""generated_id"": ""audit-0007-g01"", ""question"": ""[Single-Choice] At the 8-second mark, two large silver fish are swimming towards the right. Which statement accurately describes their relative positions by the time they reach the far right of the tank? [Options] A) The fish that was initially further back overtakes the one in front. B) The two fish swim into the plants at the same time. C) The fish that was initially in front remains in front. D) The fish that was initially further back turns and swims away in the opposite direction.""}, {""generated_id"": ""audit-0007-g02"", ""question"": ""[Single-Choice] At the 8-second mark, two large silver fish are swimming towards the right. Which statement accurately describes their relative positions by the time they reach the far right of the tank? [Options] A) The fish that was initially further back overtakes the one in front. B) The two fish swim into the plants at the same time. C) The fish that was initially in front remains in front. D) The fish that was initially further back turns and swims away in the opposite direction.""}, {""generated_id"": ""audit-0007-g03"", ""question"": ""[Single-Choice] At the 3-second mark, a single small, pinkish fish swims from the top of the tank down towards the thin vertical branch. What is its path relative to the branch? [Options] A) It swims behind the branch and emerges on the left side. B) It turns right just before reaching the branch and swims away. C) It stops and hides behind the branch. D) It swims in front of the branch and continues downwards.""}]"
judgment-0038,audit-0007,较大的鱼群在水草前方如何移动？,"[{""generated_id"": ""audit-0007-g01"", ""question"": ""[Single-Choice] At the 8-second mark, two large silver fish are swimming towards the right. Which statement accurately describes their relative positions by the time they reach the far right of the tank? [Options] A) The fish that was initially further back overtakes the one in front. B) The two fish swim into the plants at the same time. C) The fish that was initially in front remains in front. D) The fish that was initially further back turns and swims away in the opposite direction.""}, {""generated_id"": ""audit-0007-g02"", ""question"": ""[Single-Choice] At the 8-second mark, two large silver fish are swimming towards the right. Which statement accurately describes their relative positions by the time they reach the far right of the tank? [Options] A) The fish that was initially further back overtakes the one in front. B) The two fish swim into the plants at the same time. C) The fish that was initially in front remains in front. D) The fish that was initially further back turns and swims away in the opposite direction.""}, {""generated_id"": ""audit-0007-g03"", ""question"": ""[Single-Choice] At the 3-second mark, a single small, pinkish fish swims from the top of the tank down towards the thin vertical branch. What is its path relative to the branch? [Options] A) It swims behind the branch and emerges on the left side. B) It turns right just before reaching the branch and swims away. C) It stops and hides behind the branch. D) It swims in front of the branch and continues downwards.""}]"
judgment-0039,audit-0008,浪峰朝岸边推进时形状如何变化？,"[{""generated_id"": ""audit-0008-g01"", ""question"": ""[True/False] The peak height of the wave's crest remains consistent as it travels from the left side of the frame to the right.""}]"
judgment-0040,audit-0008,最亮的阳光反射位于浪峰前方还是后方？,"[{""generated_id"": ""audit-0008-g01"", ""question"": ""[True/False] The peak height of the wave's crest remains consistent as it travels from the left side of the frame to the right.""}]"
judgment-0041,audit-0008,波浪朝画面的哪个方向推进？,"[{""generated_id"": ""audit-0008-g01"", ""question"": ""[True/False] The peak height of the wave's crest remains consistent as it travels from the left side of the frame to the right.""}]"
judgment-0042,audit-0008,浪峰在移动过程中是否逐渐破碎？,"[{""generated_id"": ""audit-0008-g01"", ""question"": ""[True/False] The peak height of the wave's crest remains consistent as it travels from the left side of the frame to the right.""}]"
judgment-0043,audit-0008,太阳反光与浪峰的相对位置如何变化？,"[{""generated_id"": ""audit-0008-g01"", ""question"": ""[True/False] The peak height of the wave's crest remains consistent as it travels from the left side of the frame to the right.""}]"
