blind_proposal_id,author_id,audit_item_id,proposal_no,primary_capability
judgment-0076,author_b,audit-0014,3,dynamic_relation
judgment-0077,author_a,audit-0015,1,temporal_order
judgment-0078,author_a,audit-0015,2,orientation_facing
judgment-0079,author_a,audit-0015,3,static_relation
judgment-0080,author_b,audit-0015,1,temporal_order
judgment-0081,author_b,audit-0015,2,deformation_state
judgment-0082,author_b,audit-0015,3,action_event
judgment-0083,author_a,audit-0016,1,deformation_state
judgment-0084,author_a,audit-0016,2,temporal_order
judgment-0085,author_a,audit-0016,3,static_relation
judgment-0086,author_b,audit-0016,1,temporal_order
judgment-0087,author_b,audit-0016,2,action_goal
judgment-0088,author_b,audit-0016,3,deformation_state
judgment-0089,author_a,audit-0017,1,temporal_order
judgment-0090,author_a,audit-0017,2,orientation_facing
judgment-0091,author_a,audit-0017,3,deformation_state
judgment-0092,author_b,audit-0017,1,deformation_state
judgment-0093,author_b,audit-0017,2,action_goal
judgment-0094,author_b,audit-0017,3,temporal_order
judgment-0095,author_a,audit-0018,1,action_event
judgment-0096,author_a,audit-0018,2,temporal_order
judgment-0097,author_a,audit-0018,3,deformation_state
judgment-0098,author_b,audit-0018,1,temporal_order
judgment-0099,author_b,audit-0018,2,action_event
judgment-0100,author_b,audit-0018,3,static_relation
judgment-0101,author_a,audit-0019,2,dynamic_relation
judgment-0102,author_b,audit-0019,1,dynamic_relation
judgment-0103,author_b,audit-0019,2,static_relation
judgment-0104,author_b,audit-0019,3,temporal_order
judgment-0105,author_a,audit-0020,1,dynamic_relation
judgment-0106,author_a,audit-0020,2,temporal_order
judgment-0107,author_a,audit-0020,3,orientation_facing
judgment-0108,author_b,audit-0020,1,dynamic_relation
judgment-0109,author_b,audit-0020,2,orientation_facing
judgment-0110,author_b,audit-0020,3,static_relation
judgment-0111,author_a,audit-0021,1,action_event
judgment-0112,author_a,audit-0021,2,reference_frame
judgment-0113,author_a,audit-0021,3,temporal_order
judgment-0114,author_b,audit-0021,1,dynamic_relation
judgment-0115,author_b,audit-0021,2,reference_frame
judgment-0116,author_b,audit-0021,3,temporal_order
judgment-0117,author_a,audit-0022,1,deformation_state
judgment-0118,author_a,audit-0022,2,orientation_facing
judgment-0119,author_a,audit-0022,3,orientation_facing
judgment-0120,author_b,audit-0022,1,deformation_state
judgment-0121,author_b,audit-0022,2,action_goal
judgment-0122,author_b,audit-0022,3,occlusion_permanence
judgment-0123,author_a,audit-0023,1,temporal_order
judgment-0124,author_a,audit-0023,2,dynamic_relation
judgment-0125,author_a,audit-0023,3,static_relation
judgment-0126,author_b,audit-0023,1,temporal_order
judgment-0127,author_b,audit-0023,2,reference_frame
judgment-0128,author_b,audit-0023,3,occlusion_permanence
judgment-0129,author_a,audit-0024,1,dynamic_relation
judgment-0130,author_a,audit-0024,2,temporal_order
judgment-0131,author_a,audit-0024,3,deformation_state
judgment-0132,author_b,audit-0024,1,deformation_state
judgment-0133,author_b,audit-0024,3,static_relation
judgment-0134,author_a,audit-0025,1,dynamic_relation
judgment-0135,author_a,audit-0025,2,reference_frame
judgment-0136,author_a,audit-0025,3,temporal_order
judgment-0137,author_b,audit-0025,1,dynamic_relation
judgment-0138,author_b,audit-0025,2,reference_frame
judgment-0139,author_a,audit-0026,1,dynamic_relation
judgment-0140,author_a,audit-0026,2,orientation_facing
judgment-0141,author_a,audit-0026,3,temporal_order
judgment-0142,author_b,audit-0026,1,orientation_facing
judgment-0143,author_b,audit-0026,2,dynamic_relation
judgment-0144,author_b,audit-0026,3,action_event
judgment-0145,author_a,audit-0027,1,temporal_order
judgment-0146,author_a,audit-0027,2,static_relation
judgment-0147,author_a,audit-0027,3,deformation_state
judgment-0148,author_b,audit-0027,1,temporal_order
judgment-0149,author_b,audit-0027,2,static_relation
judgment-0150,author_b,audit-0027,3,deformation_state
judgment-0151,author_a,audit-0028,1,orientation_facing
judgment-0152,author_a,audit-0028,2,dynamic_relation
judgment-0153,author_a,audit-0028,3,temporal_order
judgment-0154,author_b,audit-0028,1,entity_attribute
judgment-0155,author_b,audit-0028,2,action_event
judgment-0156,author_b,audit-0028,3,orientation_facing
judgment-0157,author_a,audit-0029,1,reference_frame
judgment-0158,author_a,audit-0029,2,temporal_order
judgment-0159,author_a,audit-0029,3,static_relation
judgment-0160,author_b,audit-0029,1,temporal_order
judgment-0161,author_b,audit-0029,2,static_relation
judgment-0162,author_b,audit-0029,3,reference_frame
judgment-0163,author_a,audit-0030,1,temporal_order
judgment-0164,author_a,audit-0030,2,dynamic_relation
judgment-0165,author_a,audit-0030,3,occlusion_permanence
judgment-0166,author_b,audit-0030,1,temporal_order
judgment-0167,author_b,audit-0030,2,dynamic_relation
judgment-0168,author_b,audit-0030,3,occlusion_permanence
judgment-0169,author_a,audit-0031,1,action_event
judgment-0170,author_a,audit-0031,2,dynamic_relation
judgment-0171,author_a,audit-0031,3,static_relation
judgment-0172,author_b,audit-0031,1,dynamic_relation
judgment-0173,author_b,audit-0031,2,reference_frame
judgment-0174,author_b,audit-0031,3,action_goal
judgment-0175,author_a,audit-0032,2,dynamic_relation
judgment-0176,author_b,audit-0032,1,temporal_order
judgment-0177,author_b,audit-0032,2,dynamic_relation
judgment-0178,author_b,audit-0032,3,action_goal
judgment-0179,author_a,audit-0033,1,static_relation
judgment-0180,author_a,audit-0033,2,static_relation
judgment-0181,author_a,audit-0033,3,temporal_order
judgment-0182,author_b,audit-0033,1,dynamic_relation
judgment-0183,author_b,audit-0033,2,static_relation
judgment-0184,author_b,audit-0033,3,static_relation
judgment-0185,author_a,audit-0034,1,temporal_order
judgment-0186,author_a,audit-0034,2,orientation_facing
judgment-0187,author_a,audit-0034,3,static_relation
judgment-0188,author_b,audit-0034,1,temporal_order
judgment-0189,author_b,audit-0034,2,orientation_facing
judgment-0190,author_b,audit-0034,3,action_goal
judgment-0191,author_b,audit-0035,1,temporal_order
judgment-0192,author_b,audit-0035,2,dynamic_relation
judgment-0193,author_b,audit-0035,3,action_goal
judgment-0194,author_a,audit-0036,1,deformation_state
judgment-0195,author_a,audit-0036,3,static_relation
judgment-0196,author_b,audit-0036,2,deformation_state
judgment-0197,author_b,audit-0036,3,dynamic_relation
judgment-0198,author_a,audit-0037,1,action_event
judgment-0199,author_a,audit-0037,2,orientation_facing
judgment-0200,author_b,audit-0037,1,temporal_order
judgment-0201,author_b,audit-0037,2,dynamic_relation
judgment-0202,author_b,audit-0037,3,reference_frame
judgment-0203,author_a,audit-0038,1,temporal_order
judgment-0204,author_a,audit-0038,2,static_relation
judgment-0205,author_a,audit-0038,3,reference_frame
judgment-0206,author_b,audit-0038,1,temporal_order
judgment-0207,author_b,audit-0038,2,reference_frame
judgment-0208,author_b,audit-0038,3,static_relation
judgment-0209,author_a,audit-0039,1,action_event
judgment-0210,author_a,audit-0039,2,orientation_facing
judgment-0211,author_a,audit-0039,3,dynamic_relation
judgment-0212,author_b,audit-0039,1,orientation_facing
judgment-0213,author_b,audit-0039,2,occlusion_permanence
judgment-0214,author_b,audit-0039,3,static_relation
judgment-0215,author_a,audit-0040,1,temporal_order
judgment-0216,author_a,audit-0040,2,static_relation
judgment-0217,author_a,audit-0040,3,deformation_state
judgment-0218,author_b,audit-0040,1,temporal_order
judgment-0219,author_b,audit-0040,2,static_relation
judgment-0220,author_b,audit-0040,3,action_goal
judgment-0221,author_a,audit-0041,1,action_event
judgment-0222,author_a,audit-0041,2,dynamic_relation
judgment-0223,author_a,audit-0041,3,temporal_order
judgment-0224,author_b,audit-0041,1,action_event
judgment-0225,author_b,audit-0041,2,dynamic_relation
judgment-0226,author_b,audit-0041,3,action_goal
judgment-0227,author_a,audit-0042,1,temporal_order
judgment-0228,author_a,audit-0042,2,static_relation
judgment-0229,author_a,audit-0042,3,reference_frame
judgment-0230,author_b,audit-0042,1,temporal_order
judgment-0231,author_b,audit-0042,2,dynamic_relation
judgment-0232,author_b,audit-0042,3,deformation_state
judgment-0233,author_a,audit-0043,1,action_event
judgment-0234,author_a,audit-0043,2,temporal_order
judgment-0235,author_a,audit-0043,3,deformation_state
judgment-0236,author_b,audit-0043,1,occlusion_permanence
judgment-0237,author_b,audit-0043,2,deformation_state
judgment-0238,author_b,audit-0043,3,static_relation
judgment-0239,author_a,audit-0044,1,dynamic_relation
judgment-0240,author_a,audit-0044,2,reference_frame
judgment-0241,author_b,audit-0044,1,reference_frame
judgment-0242,author_b,audit-0044,2,static_relation
judgment-0243,author_b,audit-0044,3,temporal_order
judgment-0244,author_a,audit-0045,1,temporal_order
judgment-0245,author_a,audit-0045,2,occlusion_permanence
judgment-0246,author_a,audit-0045,3,orientation_facing
judgment-0247,author_b,audit-0045,1,action_event
judgment-0248,author_b,audit-0045,2,deformation_state
judgment-0249,author_b,audit-0045,3,action_goal
judgment-0250,author_a,audit-0046,3,static_relation
judgment-0251,author_b,audit-0046,2,dynamic_relation
judgment-0252,author_b,audit-0046,3,orientation_facing
judgment-0253,author_a,audit-0047,1,deformation_state
judgment-0254,author_a,audit-0047,2,temporal_order
judgment-0255,author_a,audit-0047,3,entity_attribute
judgment-0256,author_b,audit-0047,1,deformation_state
judgment-0257,author_b,audit-0047,2,action_goal
judgment-0258,author_b,audit-0047,3,entity_attribute
judgment-0259,author_a,audit-0048,1,static_relation
judgment-0260,author_a,audit-0048,2,reference_frame
judgment-0261,author_a,audit-0048,3,occlusion_permanence
judgment-0262,author_b,audit-0048,1,dynamic_relation
judgment-0263,author_b,audit-0048,2,static_relation
judgment-0264,author_a,audit-0049,1,deformation_state
judgment-0265,author_a,audit-0049,2,temporal_order
judgment-0266,author_a,audit-0049,3,static_relation
judgment-0267,author_b,audit-0049,1,temporal_order
judgment-0268,author_b,audit-0049,2,deformation_state
judgment-0269,author_b,audit-0049,3,action_goal
judgment-0270,author_a,audit-0050,1,static_relation
judgment-0271,author_a,audit-0050,2,static_relation
judgment-0272,author_a,audit-0050,3,reference_frame
judgment-0273,author_b,audit-0050,1,entity_attribute
judgment-0274,author_b,audit-0050,2,dynamic_relation
judgment-0275,author_a,audit-0051,1,action_goal
judgment-0276,author_a,audit-0051,2,temporal_order
judgment-0277,author_a,audit-0051,3,dynamic_relation
judgment-0278,author_b,audit-0051,1,temporal_order
judgment-0279,author_b,audit-0051,2,deformation_state
judgment-0280,author_b,audit-0051,3,dynamic_relation
judgment-0281,author_a,audit-0052,2,reference_frame
judgment-0282,author_b,audit-0052,1,dynamic_relation
judgment-0283,author_b,audit-0052,2,temporal_order
judgment-0284,author_b,audit-0052,3,reference_frame
judgment-0285,author_a,audit-0053,1,temporal_order
judgment-0286,author_a,audit-0053,2,static_relation
judgment-0287,author_a,audit-0053,3,reference_frame
judgment-0288,author_b,audit-0053,1,temporal_order
judgment-0289,author_b,audit-0053,2,orientation_facing
judgment-0290,author_b,audit-0053,3,dynamic_relation
judgment-0291,author_a,audit-0054,1,action_goal
judgment-0292,author_a,audit-0054,2,deformation_state
judgment-0293,author_a,audit-0054,3,entity_attribute
judgment-0294,author_b,audit-0054,1,temporal_order
judgment-0295,author_b,audit-0054,2,action_event
judgment-0296,author_b,audit-0054,3,dynamic_relation
judgment-0297,author_a,audit-0055,1,dynamic_relation
judgment-0298,author_a,audit-0055,2,temporal_order
judgment-0299,author_a,audit-0055,3,orientation_facing
judgment-0300,author_b,audit-0055,1,dynamic_relation
judgment-0301,author_b,audit-0055,2,orientation_facing
judgment-0302,author_b,audit-0055,3,physical_prediction
judgment-0303,author_a,audit-0056,1,reference_frame
judgment-0304,author_a,audit-0056,2,dynamic_relation
judgment-0305,author_a,audit-0056,3,temporal_order
judgment-0306,author_b,audit-0056,1,dynamic_relation
judgment-0307,author_b,audit-0056,2,reference_frame
judgment-0308,author_a,audit-0057,1,static_relation
judgment-0309,author_a,audit-0057,2,orientation_facing
judgment-0310,author_a,audit-0057,3,temporal_order
judgment-0311,author_b,audit-0057,1,static_relation
judgment-0312,author_b,audit-0057,2,dynamic_relation
judgment-0313,author_b,audit-0057,3,action_goal
judgment-0314,author_a,audit-0058,2,dynamic_relation
judgment-0315,author_a,audit-0058,3,orientation_facing
judgment-0316,author_b,audit-0058,1,dynamic_relation
judgment-0317,author_b,audit-0058,2,temporal_order
judgment-0318,author_b,audit-0058,3,static_relation
judgment-0319,author_a,audit-0059,1,action_event
judgment-0320,author_a,audit-0059,3,temporal_order
judgment-0321,author_b,audit-0059,1,action_event
judgment-0322,author_b,audit-0059,2,dynamic_relation
judgment-0323,author_b,audit-0059,3,temporal_order
judgment-0324,author_a,audit-0060,1,dynamic_relation
judgment-0325,author_a,audit-0060,2,action_goal
judgment-0326,author_a,audit-0060,3,orientation_facing
judgment-0327,author_b,audit-0060,1,orientation_facing
judgment-0328,author_b,audit-0060,2,action_event
judgment-0329,author_b,audit-0060,3,static_relation
judgment-0330,author_a,audit-0061,1,orientation_facing
judgment-0331,author_a,audit-0061,2,dynamic_relation
judgment-0332,author_a,audit-0061,3,temporal_order
judgment-0333,author_b,audit-0061,1,orientation_facing
judgment-0334,author_b,audit-0061,2,dynamic_relation
judgment-0335,author_b,audit-0061,3,reference_frame
judgment-0336,author_a,audit-0062,1,temporal_order
judgment-0337,author_a,audit-0062,2,static_relation
judgment-0338,author_a,audit-0062,3,reference_frame
judgment-0339,author_b,audit-0062,1,temporal_order
judgment-0340,author_b,audit-0062,2,static_relation
judgment-0341,author_b,audit-0062,3,reference_frame
judgment-0342,author_a,audit-0063,1,deformation_state
judgment-0343,author_a,audit-0063,2,temporal_order
judgment-0344,author_a,audit-0063,3,occlusion_permanence
judgment-0345,author_b,audit-0063,1,orientation_facing
judgment-0346,author_b,audit-0063,2,dynamic_relation
judgment-0347,author_b,audit-0063,3,orientation_facing
judgment-0348,author_a,audit-0064,1,action_event
judgment-0349,author_a,audit-0064,2,dynamic_relation
judgment-0350,author_a,audit-0064,3,temporal_order
judgment-0351,author_b,audit-0064,1,deformation_state
judgment-0352,author_b,audit-0064,2,static_relation
judgment-0353,author_b,audit-0064,3,action_goal
judgment-0354,author_a,audit-0065,1,orientation_facing
judgment-0355,author_a,audit-0065,2,reference_frame
judgment-0356,author_a,audit-0065,3,temporal_order
judgment-0357,author_b,audit-0065,1,dynamic_relation
judgment-0358,author_b,audit-0065,2,reference_frame
judgment-0359,author_b,audit-0065,3,occlusion_permanence
judgment-0360,author_a,audit-0066,1,dynamic_relation
judgment-0361,author_a,audit-0066,2,static_relation
judgment-0362,author_a,audit-0066,3,temporal_order
judgment-0363,author_b,audit-0066,1,dynamic_relation
judgment-0364,author_b,audit-0066,2,static_relation
judgment-0365,author_b,audit-0066,3,dynamic_relation
judgment-0366,author_a,audit-0067,1,action_event
judgment-0367,author_a,audit-0067,2,reference_frame
judgment-0368,author_a,audit-0067,3,temporal_order
judgment-0369,author_b,audit-0067,1,dynamic_relation
judgment-0370,author_b,audit-0067,2,reference_frame
judgment-0371,author_a,audit-0068,1,action_event
judgment-0372,author_a,audit-0068,2,temporal_order
judgment-0373,author_a,audit-0068,3,static_relation
judgment-0374,author_b,audit-0068,1,temporal_order
judgment-0375,author_b,audit-0068,2,entity_attribute
judgment-0376,author_b,audit-0068,3,dynamic_relation
judgment-0377,author_a,audit-0069,1,reference_frame
judgment-0378,author_a,audit-0069,2,dynamic_relation
judgment-0379,author_a,audit-0069,3,temporal_order
judgment-0380,author_b,audit-0069,1,reference_frame
judgment-0381,author_b,audit-0069,2,static_relation
judgment-0382,author_b,audit-0069,3,occlusion_permanence
judgment-0383,author_a,audit-0070,1,deformation_state
judgment-0384,author_a,audit-0070,2,dynamic_relation
judgment-0385,author_a,audit-0070,3,temporal_order
judgment-0386,author_b,audit-0070,1,dynamic_relation
judgment-0387,author_b,audit-0070,2,static_relation
judgment-0388,author_b,audit-0070,3,reference_frame
judgment-0389,author_a,audit-0071,1,deformation_state
judgment-0390,author_a,audit-0071,2,temporal_order
judgment-0391,author_a,audit-0071,3,reference_frame
judgment-0392,author_b,audit-0071,1,deformation_state
judgment-0393,author_b,audit-0071,2,temporal_order
judgment-0394,author_b,audit-0071,3,action_goal
judgment-0395,author_a,audit-0072,1,action_event
judgment-0396,author_a,audit-0072,3,temporal_order
judgment-0397,author_b,audit-0072,1,temporal_order
judgment-0398,author_b,audit-0072,2,dynamic_relation
judgment-0399,author_b,audit-0072,3,action_event
judgment-0400,author_a,audit-0073,1,action_event
judgment-0401,author_a,audit-0073,2,orientation_facing
judgment-0402,author_b,audit-0073,1,orientation_facing
judgment-0403,author_b,audit-0073,2,dynamic_relation
judgment-0404,author_b,audit-0073,3,action_goal
judgment-0405,author_a,audit-0074,1,dynamic_relation
judgment-0406,author_a,audit-0074,2,orientation_facing
judgment-0407,author_a,audit-0074,3,temporal_order
judgment-0408,author_b,audit-0074,1,orientation_facing
judgment-0409,author_b,audit-0074,2,dynamic_relation
judgment-0410,author_b,audit-0074,3,physical_prediction
judgment-0411,author_a,audit-0075,1,static_relation
judgment-0412,author_a,audit-0075,2,reference_frame
judgment-0413,author_a,audit-0075,3,entity_attribute
judgment-0414,author_b,audit-0075,1,dynamic_relation
judgment-0415,author_b,audit-0075,2,entity_attribute
judgment-0416,author_b,audit-0075,3,static_relation
judgment-0417,author_a,audit-0076,1,temporal_order
judgment-0418,author_a,audit-0076,2,deformation_state
judgment-0419,author_a,audit-0076,3,static_relation
judgment-0420,author_b,audit-0076,1,temporal_order
judgment-0421,author_b,audit-0076,2,deformation_state
judgment-0422,author_b,audit-0076,3,action_goal
judgment-0423,author_a,audit-0077,1,deformation_state
judgment-0424,author_a,audit-0077,2,temporal_order
judgment-0425,author_a,audit-0077,3,static_relation
judgment-0426,author_b,audit-0077,1,deformation_state
judgment-0427,author_b,audit-0077,2,temporal_order
judgment-0428,author_b,audit-0077,3,action_goal
judgment-0429,author_a,audit-0078,1,occlusion_permanence
judgment-0430,author_a,audit-0078,2,dynamic_relation
judgment-0431,author_b,audit-0078,1,occlusion_permanence
judgment-0432,author_b,audit-0078,2,dynamic_relation
judgment-0433,author_b,audit-0078,3,orientation_facing
judgment-0434,author_a,audit-0079,1,deformation_state
judgment-0435,author_a,audit-0079,3,static_relation
judgment-0436,author_b,audit-0079,1,deformation_state
judgment-0437,author_b,audit-0079,2,temporal_order
judgment-0438,author_b,audit-0079,3,action_goal
judgment-0439,author_a,audit-0080,1,deformation_state
judgment-0440,author_a,audit-0080,2,orientation_facing
judgment-0441,author_a,audit-0080,3,action_event
judgment-0442,author_b,audit-0080,1,deformation_state
judgment-0443,author_b,audit-0080,2,action_goal
judgment-0444,author_a,audit-0081,1,deformation_state
judgment-0445,author_a,audit-0081,2,temporal_order
judgment-0446,author_a,audit-0081,3,entity_attribute
judgment-0447,author_b,audit-0081,1,deformation_state
judgment-0448,author_b,audit-0081,2,temporal_order
judgment-0449,author_b,audit-0081,3,action_goal
judgment-0450,author_a,audit-0082,1,action_event
judgment-0451,author_a,audit-0082,2,reference_frame
judgment-0452,author_a,audit-0082,3,temporal_order
judgment-0453,author_b,audit-0082,1,orientation_facing
judgment-0454,author_b,audit-0082,3,reference_frame
judgment-0455,author_a,audit-0083,1,dynamic_relation
judgment-0456,author_a,audit-0083,2,dynamic_relation
judgment-0457,author_b,audit-0083,1,dynamic_relation
judgment-0458,author_b,audit-0083,2,dynamic_relation
judgment-0459,author_b,audit-0083,3,temporal_order
judgment-0460,author_a,audit-0084,2,static_relation
judgment-0461,author_b,audit-0084,1,dynamic_relation
judgment-0462,author_b,audit-0084,2,static_relation
judgment-0463,author_b,audit-0084,3,static_relation
judgment-0464,author_a,audit-0085,1,action_event
judgment-0465,author_a,audit-0085,2,reference_frame
judgment-0466,author_b,audit-0085,1,dynamic_relation
judgment-0467,author_b,audit-0085,2,temporal_order
judgment-0468,author_b,audit-0085,3,reference_frame
judgment-0469,author_a,audit-0086,1,dynamic_relation
judgment-0470,author_a,audit-0086,2,orientation_facing
judgment-0471,author_a,audit-0086,3,temporal_order
judgment-0472,author_b,audit-0086,1,action_event
judgment-0473,author_b,audit-0086,2,physical_prediction
judgment-0474,author_b,audit-0086,3,orientation_facing
judgment-0475,author_a,audit-0087,1,temporal_order
judgment-0476,author_a,audit-0087,2,static_relation
judgment-0477,author_a,audit-0087,3,orientation_facing
judgment-0478,author_b,audit-0087,1,temporal_order
judgment-0479,author_b,audit-0087,2,static_relation
judgment-0480,author_b,audit-0087,3,orientation_facing
judgment-0481,author_a,audit-0088,1,static_relation
judgment-0482,author_a,audit-0088,2,reference_frame
judgment-0483,author_a,audit-0088,3,occlusion_permanence
judgment-0484,author_b,audit-0088,1,dynamic_relation
judgment-0485,author_b,audit-0088,2,static_relation
judgment-0486,author_b,audit-0088,3,occlusion_permanence
judgment-0487,author_a,audit-0089,1,deformation_state
judgment-0488,author_a,audit-0089,2,temporal_order
judgment-0489,author_a,audit-0089,3,static_relation
judgment-0490,author_b,audit-0089,1,action_event
judgment-0491,author_b,audit-0089,2,deformation_state
judgment-0492,author_b,audit-0089,3,action_goal
judgment-0493,author_a,audit-0090,1,action_event
judgment-0494,author_a,audit-0090,2,dynamic_relation
judgment-0495,author_a,audit-0090,3,temporal_order
judgment-0496,author_b,audit-0090,1,temporal_order
judgment-0497,author_b,audit-0090,2,dynamic_relation
judgment-0498,author_b,audit-0090,3,orientation_facing
judgment-0499,author_a,audit-0091,1,dynamic_relation
judgment-0500,author_a,audit-0091,2,temporal_order
judgment-0501,author_b,audit-0091,1,dynamic_relation
judgment-0502,author_b,audit-0091,2,static_relation
judgment-0503,author_b,audit-0091,3,action_goal
judgment-0504,author_a,audit-0092,2,static_relation
judgment-0505,author_b,audit-0092,1,dynamic_relation
judgment-0506,author_b,audit-0092,2,static_relation
judgment-0507,author_b,audit-0092,3,occlusion_permanence
judgment-0508,author_a,audit-0093,1,orientation_facing
judgment-0509,author_a,audit-0093,3,temporal_order
judgment-0510,author_b,audit-0093,1,occlusion_permanence
judgment-0511,author_b,audit-0093,2,dynamic_relation
judgment-0512,author_b,audit-0093,3,static_relation
judgment-0513,author_a,audit-0094,1,orientation_facing
judgment-0514,author_a,audit-0094,2,reference_frame
judgment-0515,author_a,audit-0094,3,temporal_order
judgment-0516,author_b,audit-0094,1,dynamic_relation
judgment-0517,author_b,audit-0094,2,reference_frame
judgment-0518,author_b,audit-0094,3,temporal_order
judgment-0519,author_a,audit-0095,1,temporal_order
judgment-0520,author_a,audit-0095,2,static_relation
judgment-0521,author_a,audit-0095,3,dynamic_relation
judgment-0522,author_b,audit-0095,1,temporal_order
judgment-0523,author_b,audit-0095,2,reference_frame
judgment-0524,author_b,audit-0095,3,occlusion_permanence
judgment-0525,author_a,audit-0096,1,action_event
judgment-0526,author_a,audit-0096,2,dynamic_relation
judgment-0527,author_a,audit-0096,3,temporal_order
judgment-0528,author_b,audit-0096,1,action_event
judgment-0529,author_b,audit-0096,2,dynamic_relation
judgment-0530,author_b,audit-0096,3,orientation_facing
judgment-0531,author_a,audit-0097,1,orientation_facing
judgment-0532,author_a,audit-0097,2,dynamic_relation
judgment-0533,author_a,audit-0097,3,temporal_order
judgment-0534,author_b,audit-0097,1,temporal_order
judgment-0535,author_b,audit-0097,2,entity_attribute
judgment-0536,author_b,audit-0097,3,orientation_facing
judgment-0537,author_a,audit-0098,1,occlusion_permanence
judgment-0538,author_a,audit-0098,2,dynamic_relation
judgment-0539,author_a,audit-0098,3,temporal_order
judgment-0540,author_b,audit-0098,1,occlusion_permanence
judgment-0541,author_b,audit-0098,2,orientation_facing
judgment-0542,author_b,audit-0098,3,temporal_order
judgment-0543,author_a,audit-0099,1,dynamic_relation
judgment-0544,author_a,audit-0099,2,orientation_facing
judgment-0545,author_a,audit-0099,3,temporal_order
judgment-0546,author_b,audit-0099,1,temporal_order
judgment-0547,author_b,audit-0099,2,orientation_facing
judgment-0548,author_b,audit-0099,3,action_event
judgment-0549,author_a,audit-0100,1,reference_frame
judgment-0550,author_a,audit-0100,2,occlusion_permanence
