sample_id,video
audit-0067,VGN1mWGDO7w_19_0_03_08_621_to_0_03_18_731.mp4
audit-0069,srbQrg_NF5E_56_0_09_33_703_to_0_09_45_432.mp4
audit-0070,g6wB7Cuwux8_56_0_08_04_417_to_0_08_16_696.mp4
audit-0071,k3vZmC6hy3c_21_0_04_03_866_to_0_04_19_366.mp4
audit-0072,Qj8BZ8T8Oac_205_0_32_12_599_to_0_32_26_880.mp4
audit-0073,hekzmOGY4jo_14_0_01_46_940_to_0_01_59_385.mp4
audit-0074,icloqbwjRbY_53_0_06_24_120_to_0_06_36_120.mp4
audit-0075,iVBkmPk7Sxk_0_0_00_01_199_to_0_00_12_933.mp4
audit-0076,v9lTwOyEhd8_31_0_09_28_559_to_0_09_41_480.mp4
audit-0077,FvjQ4vFdAlA_3_0_02_00_453_to_0_02_17_837.mp4
audit-0078,_vTG5LNQqT4_2_0_00_51_451_to_0_01_23_616.mp4
audit-0079,G-xOwvyrK8o_23_0_11_46_172_to_0_12_30_082.mp4
audit-0080,fkb6l0L3Kn4_13_0_03_50_199_to_0_04_02_900.mp4
audit-0081,GvaFtmAzxNk_11_0_01_15_909_to_0_01_34_360.mp4
audit-0082,Me-ow0kXHfI_11_0_01_58_718_to_0_02_36_456.mp4
audit-0083,sbxC6BKxZRg_9_0_01_29_799_to_0_01_40_760.mp4
audit-0084,RO5Mr1bGRpI_12_0_03_28_900_to_0_03_39_666.mp4
audit-0085,f3WZgMnSxeM_21_0_03_30_944_to_0_03_41_421.mp4
audit-0086,_vyGEgNbx7c_37_0_05_37_003_to_0_06_13_873.mp4
audit-0088,Yp_RIDCAdlo_30_0_06_01_761_to_0_06_12_372.mp4
audit-0089,lXGGkDcGB7o_1_0_00_05_205_to_0_00_15_849.mp4
audit-0090,icw8ffApXOs_24_0_05_07_373_to_0_05_26_659.mp4
audit-0091,R5lA1ZQzauM_12_0_07_29_399_to_0_08_49_533.mp4
audit-0092,QD-b4M7nnYo_102_0_15_34_652_to_0_15_47_334.mp4
audit-0093,_2IhrVCmNp0_42_0_04_28_559_to_0_04_51_207.mp4
audit-0094,XNES0L6wkzw_28_0_04_31_337_to_0_04_42_348.mp4
audit-0095,Q_KgiEB6bYc_113_0_28_51_564_to_0_29_12_919.mp4
audit-0096,GvWldUGLkVM_53_0_07_40_793_to_0_08_00_279.mp4
audit-0097,YZSZwejs058_1_0_00_05_271_to_0_00_21_688.mp4
audit-0098,Lk3X_EMY9fw_15_0_04_40_113_to_0_05_16_482.mp4
audit-0099,gImhyG8Ri7w_10_0_01_18_978_to_0_01_32_759.mp4
audit-0101,D39Xmg7PEew_28_0_05_27_360_to_0_05_43_443.mp4
audit-0102,GIZXp3foP9g_22_0_04_56_896_to_0_05_11_477.mp4
audit-0103,iNkzts_Mclw_8_0_01_01_784_to_0_01_24_716.mp4
audit-0104,G4LR05OjQKc_32_0_06_51_100_to_0_07_23_833.mp4
audit-0105,spFoINSFQOs_70_0_08_18_414_to_0_08_43_397.mp4
audit-0106,g4LGbQmbEvs_58_0_08_41_520_to_0_08_53_933.mp4
audit-0107,fRmaPWqByGw_25_0_05_06_560_to_0_05_41_199.mp4
audit-0110,j4jcztT_3O0_30_0_06_10_966_to_0_06_24_133.mp4
audit-0111,VcazxZahLN0_5_0_01_18_840_to_0_01_50_040.mp4
audit-0112,SCub0dBSVPo_14_0_04_28_201_to_0_04_40_580.mp4
audit-0113,pFawXXbi7oY_4_0_00_36_302_to_0_00_47_747.mp4
audit-0114,V8W4h8DBuWQ_29_0_04_59_766_to_0_05_12_145.mp4
audit-0117,ui-qeIZyyRQ_18_0_05_34_233_to_0_06_39_399.mp4
audit-0119,WrTTfmkKQsM_46_0_08_03_524_to_0_08_15_119.mp4
