audit_item_id,generated_id,benchmark_index,video,question,answer,category_id,primary_capability,scene_type,question_type,intent_required,reference_transform,prediction_or_counterfactual,temporal_integration,occlusion_tracking,deformation_tracking,reasoning_level
audit-0019,audit-0019-g03,7379,j8SWLmK4lk8_60_0_12_05_633_to_0_12_19_266.mp4,"[Single-Choice] From the perspective of the man in the dark blue shirt and black shorts, which person is to his immediate left for the majority of the video? [Options] A) The woman running on the sand. B) The person in the white shirt. C) The person in the striped shorts. D) The woman in the white and black patterned dress.",B,6,reference_frame,Human-Centric,Single-Choice,0,1,0,0,0,0,high
audit-0020,audit-0020-g01,1222,OjdG3oWYOKk_16_0_02_46_065_to_0_02_58_678.mp4,"[True/False] During the maneuver seen from 0:00 to 0:02, the jet's orientation changes from flying level with the ground to pointing almost vertically upwards.",True,5,deformation_state,Object-Centric,True/False,0,0,0,1,0,1,intermediate
audit-0021,audit-0021-g01,6918,lMWYDpSZES4_16_0_02_33_553_to_0_02_43_663.mp4,"[Fill-in-the-Blank] After the camera pans to the left to show the whole overpass, the 'EMERGENCY' entrance seen in the initial shot is located to the ______ of the highway structure from the camera's perspective. [Blank]",right,6,reference_frame,Object-Centric,Fill-in-the-Blank,0,1,0,1,0,0,high
audit-0022,audit-0022-g01,3898,ZOYahjTf2M4_5_0_00_47_799_to_0_01_03_640.mp4,[True/False] The fishing rod's bend is most pronounced when the man is actively turning the reel handle.,True,5,deformation_state,Human-Centric,True/False,0,0,0,1,0,1,intermediate
audit-0022,audit-0022-g02,5017,ZOYahjTf2M4_5_0_00_47_799_to_0_01_03_640.mp4,[True/False] The fishing rod's bend is most pronounced when the man is actively turning the reel handle.,False,5,deformation_state,Human-Centric,True/False,0,0,0,1,0,1,intermediate
audit-0023,audit-0023-g01,6897,lYicz5ag9kY_52_0_08_36_549_to_0_09_11_851.mp4,"[Fill-in-the-Blank] After the fish dives and is no longer clearly visible, its approximate location under the water is primarily indicated by the position of the small, colorful ______ on the fishing line.",bobber,1,occlusion_permanence,Human-Centric,Fill-in-the-Blank,0,0,0,1,1,0,intermediate
audit-0024,audit-0024-g01,3220,UZkkRMISavc_16_0_02_07_961_to_0_02_18_638.mp4,"[True/False] From the person's egocentric perspective, the wrapping motion of the rope around their left forearm is clockwise.",False,6,reference_frame,Human-Centric,True/False,0,1,0,0,0,0,high
audit-0024,audit-0024-g02,3591,UZkkRMISavc_16_0_02_07_961_to_0_02_18_638.mp4,"[True/False] From the person's egocentric perspective, the wrapping motion of the rope around their left forearm is clockwise.",False,6,reference_frame,Human-Centric,True/False,0,1,0,0,0,0,high
audit-0024,audit-0024-g03,4637,UZkkRMISavc_16_0_02_07_961_to_0_02_18_638.mp4,"[True/False] From the person's egocentric perspective, the wrapping motion of the rope around their left forearm is clockwise.",False,6,reference_frame,Human-Centric,True/False,0,1,0,0,0,0,high
audit-0025,audit-0025-g01,3272,JH6vsa0twcA_41_0_08_54_133_to_0_09_04_533.mp4,"[Single-Choice] As the car moves up the curved ramp, which background element is the last to be completely hidden behind the solid white wall on the left? [Options] A) The white sedan parked on the far left of the distant lot. B) The dark SUV parked in the middle of the distant lot. C) The trees on the far right of the distant lot. D) The building behind the distant lot.",C,1,occlusion_permanence,Human-Centric,Single-Choice,0,0,0,1,1,0,intermediate
audit-0025,audit-0025-g02,4293,JH6vsa0twcA_41_0_08_54_133_to_0_09_04_533.mp4,"[Single-Choice] As the car moves up the curved ramp, which background element is the last to be completely hidden behind the solid white wall on the left? [Options] A) The white sedan parked on the far left of the distant lot. B) The dark SUV parked in the middle of the distant lot. C) The trees on the far right of the distant lot. D) The building behind the distant lot.", A,1,occlusion_permanence,Human-Centric,Single-Choice,0,0,0,1,1,0,intermediate
audit-0026,audit-0026-g01,7658,i0F4379JRnw_95_0_17_13_933_to_0_17_24_310.mp4,"[Single-Choice] Which statement accurately describes the woman's movement relative to both the camera and the blue structure in the background?
[Options]
A) She moves away from the blue structure and away from the camera.
B) She moves towards the blue structure and towards the camera.
C) She moves towards the camera but her distance from the blue structure remains constant.
D) She moves towards the camera while moving away from the blue structure.",D,6,reference_frame,Human-Centric,Single-Choice,0,1,0,0,0,0,high
audit-0026,audit-0026-g02,7659,i0F4379JRnw_95_0_17_13_933_to_0_17_24_310.mp4,"[Single-Choice] Based on the woman's continuous forward swimming trajectory and her final action, what is her immediate spatial goal?
[Options]
A) To swim to the edge of the pool on the right.
B) To reach the hands of the person holding the camera.
C) To turn around and swim back to where she started.
D) To dive under the person holding the camera.",B,3,action_goal,Human-Centric,Single-Choice,1,0,0,1,0,0,high
audit-0026,audit-0026-g03,8924,i0F4379JRnw_95_0_17_13_933_to_0_17_24_310.mp4,"[True/False] Throughout the woman's approach towards the camera, the other two people in the pool remain on the right side of the video frame.",True,2,dynamic_relation,Human-Centric,True/False,0,0,0,1,0,0,intermediate
audit-0027,audit-0027-g01,5932,ukNdVhFkoAU_9_0_01_05_665_to_0_01_39_065.mp4,[Multiple-Select] The reflection in the mirror reveals parts of the room that are occluded from the camera's direct view. Which of these are visible *only* within the mirror's reflection? (Select all that apply) [Options] A) The patterned curtains. B) The back of a white chair. C) The top of the white lampshade. D) A framed sign that says 'BLESSED'.,"B, D",1,occlusion_permanence,Human-Centric,Multiple-Select,0,0,0,1,1,0,intermediate
audit-0027,audit-0027-g02,9914,ukNdVhFkoAU_9_0_01_05_665_to_0_01_39_065.mp4,"[True/False] Based on the final spatial arrangement, if the white door on the left were to swing fully inward, it would collide with the white table.",True,4,physical_prediction,Human-Centric,True/False,0,0,1,1,0,0,high
audit-0028,audit-0028-g01,2035,Fcg0bhOyQUI_48_0_06_21_339_to_0_06_43_444.mp4,[Single-Choice] The man performs three distinct hand gestures to explain different concepts. What is the primary direction of motion of his hand(s) during the second gesture? [Options] A) Both hands move towards each other horizontally. B) One hand moves horizontally across his body. C) One hand moves forward and away from his body. D) Both hands move upwards.,C,3,action_goal,Human-Centric,Single-Choice,1,0,0,1,0,0,high
audit-0028,audit-0028-g02,2656,Fcg0bhOyQUI_48_0_06_21_339_to_0_06_43_444.mp4,[Single-Choice] The man performs three distinct hand gestures to explain different concepts. What is the primary direction of motion of his hand(s) during the second gesture? [Options] A) Both hands move towards each other horizontally. B) One hand moves horizontally across his body. C) One hand moves forward and away from his body. D) Both hands move upwards.,C,3,action_goal,Human-Centric,Single-Choice,1,0,0,1,0,0,high
audit-0029,audit-0029-g01,6147,jrrAZ0wM0bM_1_0_00_05_438_to_0_00_45_211.mp4,"[Fill-in-the-Blank] As the camera moves forward along the road after 0:30, the group of trees on the left begins to block the view of the ______ in the background.",house,1,occlusion_permanence,Human-Centric,Fill-in-the-Blank,0,0,0,1,1,0,intermediate
audit-0029,audit-0029-g02,7164,jrrAZ0wM0bM_1_0_00_05_438_to_0_00_45_211.mp4,"[Single-Choice] The camera first pans across the landscape from left to right, then pans back left before moving forward along the road. What is the most likely spatial goal of this sequence of actions? [Options] A) To get a closer view of the brown horse by the fence. B) To establish the surrounding environment before proceeding on the path. C) To turn around and leave the area. D) To locate a gate to enter the field on the left.",B,3,action_goal,Human-Centric,Single-Choice,1,0,0,1,0,0,high
audit-0029,audit-0029-g03,7165,jrrAZ0wM0bM_1_0_00_05_438_to_0_00_45_211.mp4,"[Single-Choice] As the camera moves forward along the road (0:24-0:36), from the camera's perspective, how does the apparent position of the brown horse grazing by the fence change relative to the distant buildings behind the cornfield? [Options] A) It appears to move from left to right across the background buildings. B) It remains stationary in front of the same background building. C) It appears to move from right to left across the background buildings. D) It disappears behind the green field on the left.",C,6,reference_frame,Human-Centric,Single-Choice,0,1,0,0,0,0,high
audit-0029,audit-0029-g04,8757,jrrAZ0wM0bM_1_0_00_05_438_to_0_00_45_211.mp4,"[True/False] At 0:11, from the camera's direct line of sight, the white horse is positioned horizontally between the two brown horses.",True,2,dynamic_relation,Human-Centric,True/False,0,0,0,1,0,0,intermediate
audit-0030,audit-0030-g01,3083,Td-DsroeCWY_34_0_07_31_117_to_0_07_58_644.mp4,"[Single-Choice] Between 0:08 and 0:13, the dog crosses from the camera's right to the camera's left. During this same period, how does the dog's position change relative to the pier's fixed features? [Options] A) It moves from being closer to the right-side railing to being closer to the left-side fence. B) It moves from being closer to the left-side fence to being closer to the right-side railing. C) It remains closer to the right-side railing for the entire duration. D) It remains closer to the left-side fence for the entire duration.",C,6,reference_frame,Human-Centric,Single-Choice,0,1,0,1,0,0,high
audit-0030,audit-0030-g02,4566,Td-DsroeCWY_34_0_07_31_117_to_0_07_58_644.mp4,"[Single-Choice] Between 0:08 and 0:13, the dog crosses from the camera's right to the camera's left. During this same period, how does the dog's position change relative to the pier's fixed features? [Options] A) It moves from being closer to the right-side railing to being closer to the left-side fence. B) It moves from being closer to the left-side fence to being closer to the right-side railing. C) It remains closer to the right-side railing for the entire duration. D) It remains closer to the left-side fence for the entire duration.",C,6,reference_frame,Human-Centric,Single-Choice,0,1,0,1,0,0,high
audit-0031,audit-0031-g01,1940,FDMxA941dVE_64_0_08_46_292_to_0_08_56_869.mp4,"[Single-Choice] If the kitesurfer were to immediately make a sharp 90-degree turn to their left, what would be their new direction of travel relative to the landmarks? [Options] A) Directly towards the beach with palm trees. B) Parallel to the line of wooden posts, but moving away from the pier. C) Directly towards the large white dome. D) Towards the open sea, away from the shoreline.",D,4,physical_prediction,Human-Centric,Single-Choice,0,0,1,1,0,0,high
