scope_item_id,question_text_cn
scope-0054,镜头先展示发动机舱还是先展示驾驶舱？
scope-0055,车辆经过出口标志后驶入哪条道路分支？
scope-0056,两辆摩托车的前后关系在比赛中是否改变？
scope-0057,镜头先展示镜子还是先展示发光装饰灯？
scope-0058,两辆车在弯道上的前后关系是否改变？
scope-0059,骑象者沿道路行进时主要面向哪个方向？
scope-0060,孤立树位于果岭哪一侧？
scope-0061,航站楼先位于机翼前方还是随后移到后方？
scope-0062,男子抱起设备发生在蹲下之后吗？
scope-0063,车辆从支路汇入主路前是否等待横向车流？
scope-0064,云层与输电线是否发生遮挡重叠？
scope-0065,镜头先展示道路还是先转向驾驶员面部？
scope-0066,制作绳结的直接目标是固定上方绳环吗？
scope-0067,镜头中人物出现前主要展示了什么景物？
scope-0068,橙色饰条位于座椅的哪个边缘？
scope-0069,滑雪者在片段中完成了几次跳跃？
scope-0070,蓝白小船相对驳船向哪侧移动？
scope-0071,镜头从球员转向球洞后球员是否仍在画面中？
scope-0072,直升机最终是否平稳落到草地？
scope-0073,单板滑雪者在下坡中进行了几次明显换刃转向？
scope-0074,滑雪板相对栏杆的高度和方向如何变化？
scope-0075,射门后球进入球门的哪一侧？
scope-0076,鱼从水中到岸边的出现顺序是什么？
scope-0077,深色云层位于房屋上方吗？
scope-0078,白车与路边树木的遮挡关系如何变化？
scope-0079,水翼板相对水面的高度是否稳定？
scope-0080,骑手经过路口时前车向哪侧移动？
scope-0081,船尾出现在画面前还是后完全离开桥下？
scope-0082,女子收线时鱼竿弯曲程度如何变化？
scope-0083,背包男子先指向山体还是先转身？
scope-0084,车辆最终停在人群的哪一侧？
scope-0085,鳐鱼主要位于人群的哪一侧？
scope-0086,讲解者的手主要指向备胎还是车身？
scope-0087,人靠近鳐鱼时鳐鱼是否改变了移动方向？
scope-0088,房车侧面的入口门位于车身哪一端？
scope-0089,讲解者手势主要指向备胎还是车顶？
scope-0090,敞篷车驶入弯道后朝向如何改变？
scope-0091,狗群是否在奔跑中改变整体方向？
scope-0092,无人机先远离还是先接近相机？
scope-0093,从驾驶者视角看出口位于哪一侧？
scope-0094,黄色立柱位于通道哪一侧？
scope-0095,迎面行人经过后是否离开视野？
scope-0096,悬挂物被取下后是否交给室外的人？
scope-0097,蓝帽男子出现前镜头先经过谁？
scope-0098,金属件相对墙洞的位置如何变化？
scope-0099,场景切换后起重桥位于相机上方还是前方？
scope-0100,若保持当前转向车辆下一刻会靠近轮胎障碍吗？
scope-0101,飞行器靠近相机后是否再次远离？
scope-0102,滑雪者在转弯时朝向如何改变？
scope-0103,移动镜头中车辆与马匹区域的距离如何变化？
scope-0104,飞机起飞时机场地面与机翼的相对距离如何变化？
scope-0105,居民区位于草地的哪个方向？
scope-0106,摩托车从路边起步后驶向哪侧？
scope-0107,步行镜头中行人流主要朝向相机还是远离相机？
scope-0108,横向车辆通过与本车起步的先后顺序是什么？
scope-0109,相机转向驾驶舱的直接目标是什么？
scope-0110,镜头从房车前门移动到后门吗？
scope-0111,镜头中最显眼的房屋位于山体前方还是后方？
scope-0112,操作者最后把工具移向织机哪一侧？
scope-0113,抄网从钓鱼者的哪一侧伸向鱼？
scope-0114,记者展示天花板破损是在采访住户之前还是之后？
scope-0115,游泳者主要面向相机还是背向相机？
scope-0116,后车门相对尾灯位于哪一侧？
scope-0117,球从边路到门前的轨迹如何变化？
scope-0118,汽车与溪流之间的距离如何随弯道变化？
scope-0119,黑色汽车是否先于白色卡车离开画面？
scope-0120,冲浪板竖起发生在冲浪者落水之前还是之后？
scope-0121,鱼从女子手中到另一人手中的位置如何变化？
scope-0122,汽车与拍摄车辆的距离如何变化？
scope-0123,相邻住宅的橙色墙面位于灰色墙面哪侧？
scope-0124,男子打开说明书的直接目标是什么？
scope-0125,车辆在弯路上是否改变朝向？
scope-0126,视频前半段主要出现鱼还是红色虾？
scope-0127,钳子夹持的金属件最终是否被取下？
scope-0128,餐盘中的食物在画面末尾是否减少？
scope-0129,男子在船内先指向座椅还是先指向地板？
scope-0130,飞行器最终相对树线位于上方吗？
scope-0131,红车在片段中是否完成了不止一次明显转向？
scope-0132,飞行器最终相对地平线处于什么高度？
scope-0133,摄影者出现是在镜头扫过薰衣草田之前还是之后？
scope-0134,飞行器在烟雾出现后向上还是向下移动？
scope-0135,房车侧面的伸出结构是否处于展开状态？
scope-0136,他开始滑落发生在下蹲之前还是之后？
scope-0137,大象先经过住宅还是先到达停放车辆附近？
scope-0138,女子入口食物后面部表情如何变化？
scope-0139,无人机最终是否回到近地面位置？
scope-0140,太阳反光与浪峰的相对位置如何变化？
scope-0141,板头朝向在转弯过程中如何改变？
scope-0142,人群是否在车辆靠近时让出行驶空间？
scope-0143,镜头转向湖面后，水鸟是否始终留在水面上？
scope-0144,观察者沿商场通道主要向前还是向后移动？
scope-0145,鱼竿弯曲后鱼何时出现在岸边？
scope-0146,摩托车在路口选择了哪个行进方向？
scope-0147,浮标相对皮划艇的位置如何变化？
scope-0148,镜头依次聚焦了几位坐着的人？
scope-0149,店员把蛋糕移向展示柜前方了吗？
scope-0150,车辆与大型透明帐篷的距离如何变化？
scope-0151,前方红车与骑手的距离如何变化？
scope-0152,人群在车辆靠近前是否向两侧让开？
scope-0153,游泳者与相机之间的距离如何变化？
scope-0154,最近的海鸟相对船体位于哪一侧？
scope-0155,蓝车先远离还是先再次靠近拍摄车辆？
scope-0156,黄衣男子坐下滑行后是否翻滚？
scope-0157,他在翻滚结束后是否恢复站立？
scope-0158,三只狗在沙地上的前后位置如何变化？
scope-0159,马群相对内侧栏杆如何移动？
scope-0160,红色越野车的备胎安装在哪里？
scope-0161,冲浪者是否进入浪管后再出来？
scope-0162,以画面为参照，球向球门右侧飞行时守门员是否也向画面右侧扑出？
scope-0163,副驾驶是否在驾驶员转向后才进入画面？
scope-0164,无人机相对地面的高度如何变化？
scope-0165,经过斑马线发生在明显转向之前还是之后？
scope-0166,摩托车起步后是否沿道路直行？
scope-0167,相机绕车尾移动时蓝车从哪侧出现？
scope-0168,镜头平移是否改变了山峰与花田的上下关系？
scope-0169,打结后两根绳端的相对位置如何变化？
scope-0170,操作者先插入金属条还是先拉动手柄？
scope-0171,镜头移动时输电塔在画面中向哪侧移动？
scope-0172,车身尾部缺失了哪些部件？
scope-0173,飞机起飞后地面停机坪在画面中如何移动？
scope-0174,鱼挣扎时钓竿弯曲程度如何变化？
scope-0175,防守球员回撤的直接目标是封堵哪一区域？
scope-0176,冲浪者从浪管出来后向哪个方向滑行？
scope-0177,冲浪者进入浪管后是否一度被浪花遮住？
scope-0178,手拿起小零件发生在松开钳子之前还是之后？
scope-0179,鸟从悬挂状态变为桌面状态的顺序是什么？
scope-0180,鱼竿先保持平直还是先出现弯曲？
scope-0181,两人靠近汽车的直接目标是查看外观还是内饰？
scope-0182,球员走近洞杯发生在击球之后吗？
scope-0183,白色汽车绕停车场时与相机距离如何变化？
scope-0184,车辆最接近相机发生在完成转弯之前还是之后？
scope-0185,镜头依次展示了几名坐着的老人？
scope-0186,橙色自行车是否装有后货架？
scope-0187,冲浪者在整段中是否保持站立？
scope-0188,操作的直接目标位于栏杆上方还是下方？
scope-0189,红色轿车靠近相机后从哪一侧经过？
scope-0190,骑手通过调整身体姿势达到什么即时目标？
scope-0191,遮阳篷在片段中保持展开吗？
scope-0192,从骑手视角看路缘最初位于哪一侧？
scope-0193,球从边路向球门区的轨迹如何变化？
scope-0194,黑车接近人群时是否改变朝向？
scope-0195,男子停下后主要做了什么动作？
scope-0196,绳索结构在拉紧后如何变化？
scope-0197,冲浪者沿浪壁的运动方向如何变化？
scope-0198,俯视视角下汽车沿弯道朝哪个方向行驶？
scope-0199,球洞位于沙坑的哪一侧？
scope-0200,操作者拉动钳子的直接目标是什么？
scope-0201,骑手在起步前是否先转动车把？
scope-0202,石像分布在步道哪一侧？
scope-0203,飞行物相对树梢高度如何变化？
scope-0204,火箭主体抬起发生在支撑结构可见之前还是之后？
scope-0205,男子踩踏后车尾踏板是否展开？
scope-0206,滑雪者越过杆后是否保持站立？
scope-0207,片段结束前鱼是否被拉出水面？
scope-0208,镜头先展示车辆左后侧还是正后方？
scope-0209,儿童群与成年男子之间的距离如何变化？
scope-0210,孩子们主要面向相机还是远离相机？
scope-0211,输电塔相对城市建筑位于前景还是远景？
scope-0212,男子出现时海面位于其哪一侧？
scope-0213,大象与随行人员的前后关系如何变化？
scope-0214,男子收线时鱼线指向船的哪一侧？
scope-0215,绳索在操作后形成了几个环？
scope-0216,黑狗与白狗是否朝同一方向奔跑？
scope-0217,主要红车先从侧面经过还是先正面靠近相机？
scope-0218,男子手指主要指向画面的哪个方向？
scope-0219,飞机最终朝画面的哪一侧飞离？
scope-0220,镜头沿商店街移动时先经过果蔬店还是服装店？
scope-0221,湖面上有几只水鸟同时可见？
scope-0222,镜头从农田转向道路发生在看到马之前还是之后？
scope-0223,末段地面人物面向飞行物吗？
scope-0224,无人机相对湖面高度如何变化？
scope-0225,她进入门洞前后与相机的距离如何变化？
scope-0226,男子取下悬挂物后将其带向室内还是室外？
scope-0227,人先展示鱼还是先处理鱼钩？
scope-0228,道路标志先出现还是车道开始分离先出现？
scope-0229,男子用工具处理肉块的直接目标是什么？
scope-0230,镜头平移时海岸线相对画面如何移动？
scope-0231,广场人群是否逐渐聚集成一支队伍？
scope-0232,从骑手视角看转弯目标道路位于哪一侧？
scope-0233,飞行器升空前地面车辆是否移动？
scope-0234,男子的手势是面向相机还是面向海面？
scope-0235,相机绕车移动时前轮相对画面如何变化？
scope-0236,白队射门前是否先突破了多名蓝队防守者？
scope-0237,黑色汽车朝人群靠近时距离如何变化？
scope-0238,从骑手视角看中央隔离带位于哪一侧？
scope-0239,深色吸音板分布在浅色板的哪一侧？
scope-0240,守门员向哪一侧扑救？
scope-0241,两尊石像沿小路如何排列？
scope-0242,对向白车位于骑手哪一侧？
scope-0243,较大的鱼群在水草前方如何移动？
scope-0244,驾驶员在弯道前面向道路前方吗？
scope-0245,白色车辆最初位于骑手哪一侧？
scope-0246,车辆后部是否装有外置备胎？
scope-0247,冲浪者靠近岩石后是否与冲浪板分离？
scope-0248,拍摄车辆经过帐篷区时白色皮卡位于镜头哪一侧？
scope-0249,女子收线时鱼竿弯曲程度如何变化？
scope-0250,镜头先展示红色灯塔还是升降桥？
scope-0251,冲浪者从浪壁高处向下转向的轨迹如何变化？
scope-0252,记者展示天花板破损发生在采访住户之前吗？
scope-0253,他先展示绳端还是先把绳索抛向地面？
scope-0254,住户用手指向了房间的哪个方向？
scope-0255,绿色蛋糕上主要装饰着什么形状？
scope-0256,镜头转动时远山在画面中的相对位置如何变化？
scope-0257,开孔位于车身部件的哪个区域？
scope-0258,冲浪者在浪峰塌下前是否保持站立？
scope-0259,捆扎点位于两根木杆交叉处还是末端？
scope-0260,飞行器相对树线的高度如何变化？
scope-0261,大象最终朝建筑还是远离建筑移动？
scope-0262,处理后鱼钩是否与鱼分离？
scope-0263,大象沿道路行走时骑手始终面向前方吗？
scope-0264,固定点相对男子位于哪一侧？
scope-0265,遥控飞行器相对地面的高度如何变化？
scope-0266,观察者的影子在道路上朝哪个方向延伸？
scope-0267,鱼最终位于浪线的陆侧还是海侧？
scope-0268,驾驶者在红灯前是否停在其他车辆后方？
scope-0269,从驾驶者视角看汇入方向位于哪一侧？
scope-0270,戴蓝帽的人在戴宽檐帽的人之前还是之后出现？
scope-0271,镜头先展示海岸还是最后出现人物？
scope-0272,白车相对仓库的距离如何变化？
scope-0273,他先触碰车架还是先转动后轮部件？
scope-0274,后轮组件在操作中发生了什么状态变化？
scope-0275,镜头先经过小帐篷还是大型透明帐篷？
scope-0276,展示者主要指向包装盒的哪个区域？
scope-0277,男子从室内取下鸟后将其带到哪里？
scope-0278,女子进入石门时是否侧身通过？
scope-0279,蓝队传中后球先到绿队球员还是守门员附近？
scope-0280,飞行器最终朝场地哪一侧飞离？
scope-0281,绳索末端最初位于男子哪一侧？
scope-0282,通过路口时红车选择了哪个行进方向？
scope-0283,镜头先展示座椅还是驾驶位控制键？
scope-0284,草地位于村庄前方吗？
scope-0285,道路两侧主要分布着什么？
scope-0286,镜头沿车身移动时不同窗户的出现顺序是什么？
scope-0287,镜头环绕后摩托车的左右朝向如何变化？
scope-0288,女子反复转动渔轮的直接目标是什么？
scope-0289,冲浪者在浪管内是否短暂被浪壁遮住？
scope-0290,钓鱼者先拿着浮漂还是先展示鱼？
scope-0291,以画面为参照，浪管闭合前冲浪者最后一次明显转向是朝左还是朝右？
scope-0292,镜头先扫过海边果岭还是先出现自拍者？
scope-0293,镜头先呈现山体还是近处房屋？
scope-0294,牛群主要位于道路的哪一侧？
scope-0295,中控屏与仪表盘哪一个先亮起？
scope-0296,浪花完全遮住冲浪者发生在其转向之前还是之后？
scope-0297,小船先进入桥下还是先经过桥墩？
scope-0298,两人操作鱼钩的直接目标是什么？
scope-0299,小船通过桥下时桥面从相机上方如何移动？
scope-0300,狗先沿栈道远离相机还是先转向栏杆？
scope-0301,车辆沿弯路行驶时驾驶员何时明显转动方向盘？
scope-0302,手指接触灯顶后灯光状态是否改变？
scope-0303,男子先演示绳结还是先在船上讲解？
scope-0304,鞋子在其双臂中的相对位置是否保持稳定？
scope-0305,海鸟靠近船时与相机的距离如何变化？
scope-0306,男子操作轮毂的直接目标是什么？
scope-0307,镜头是否始终保持包装盒完整可见？
scope-0308,镜头先展示空海滩还是先展示男子面部？
scope-0309,浪破碎后冲浪者是否继续保持站立？
scope-0310,海鸟掠过船侧时朝哪个方向飞行？
scope-0311,车辆下坡进入停车区后是否改变行驶方向？
scope-0312,绳索穿过固定装置后形状如何变化？
scope-0313,绳索在操作后是否形成明显线圈？
scope-0314,波浪朝画面的哪个方向推进？
scope-0315,黄衣人在雪坡上先蹲下还是先翻滚？
scope-0316,车床加工后木杆表面形状如何变化？
scope-0317,白车经过住宅时从车内视角向哪侧移动？
scope-0318,男子转头时由面向相机变为面向哪里？
scope-0319,滑雪者接近金属杆后做了什么？
scope-0320,冲浪者进入浪管后是否再次清晰出现？
scope-0321,白色吸音板与黑色音箱如何交替分布？
scope-0322,鱼相对码头边缘的位置如何变化？
scope-0323,女子吃下食物后的面部反应如何变化？
scope-0324,前景灌木是否遮挡部分房屋？
scope-0325,飞行器从地面起飞后高度如何变化？
scope-0326,踏板展开发生在他触碰后门之前还是之后？
scope-0327,从俯视图看道路绕溪流哪一侧弯曲？
scope-0328,前进过程中迎面行人与相机距离如何变化？
scope-0329,男子移动时始终手持什么？
scope-0330,男子先拆开包装还是先取出电池？
scope-0331,车门由关闭到打开属于什么状态变化？
scope-0332,男子拉动绳索的直接目标是什么？
scope-0333,红色越野车相对两侧车辆处于什么位置？
scope-0334,道路标线先出现斑马线还是转向箭头？
scope-0335,男子在走向镜头前手里拿着什么？
scope-0336,白车最终朝哪个方向驶离？
scope-0337,男子在走廊中先经过照片墙还是无障碍标志？
scope-0338,加工后的木杆与旁边未加工木杆形状相同吗？
scope-0339,雨中吊饰摆动方向是否改变？
scope-0340,相机转向自拍时果岭在画面中如何移出？
scope-0341,车辆相对帐篷如何移动？
scope-0342,前景树木是否短暂遮挡住宅？
scope-0343,金属条先插入机器还是先被弯曲？
scope-0344,受访者抬手指向什么方向？
scope-0345,驳船位于河对岸建筑前方吗？
scope-0346,男子最终朝哪个出口方向转身？
scope-0347,男子的手主要指向方向盘左侧的哪些控制区域？
scope-0348,雨势是否使远岸逐渐更难看清？
scope-0349,男子打开旧车车门是在走近车辆之前还是之后？
scope-0350,男子反复转动渔轮的直接目标是什么？
scope-0351,镜头先经过水果店还是服装店？
scope-0352,直升机相对地面的高度如何变化？
scope-0353,灰色越野车的备胎位于车身什么位置？
scope-0354,球员先击球还是另一人走近洞口？
scope-0355,游泳者朝相机靠近时距离如何变化？
scope-0356,道路相对两侧牧场的位置是否保持居中？
scope-0357,敞篷车顶在行驶过程中如何改变状态？
scope-0358,骑手靠近镜头时马位于围栏哪一侧？
scope-0359,火箭在发射架上是否逐渐抬升到倾斜位置？
scope-0360,车列与马匹围场分别位于画面的哪一侧？
scope-0361,皮划艇上的人最终把鱼移到艇内还是水外？
scope-0362,餐盘中洋葱位于薯条的哪一侧？
scope-0363,男子沿走廊行进时是否改变朝向？
scope-0364,操作者按键的直接目标是什么？
scope-0365,道路从驾驶者视角向哪侧弯曲？
scope-0366,出口匝道位于主车道的哪一侧？
scope-0367,汽车先接近装卸区还是先从远处横向驶过？
scope-0368,火箭尖端相对地面的高度如何变化？
scope-0369,吊饰位于远处岛屿的哪一侧？
scope-0370,车辆驶出坡道后向哪一侧转向？
scope-0371,小船相对防波堤如何移动？
scope-0372,他先停止行走还是先举起双手？
scope-0373,守门员扑救的直接空间目标是哪一侧来球？
scope-0374,启动动画先出现在左侧仪表还是中控屏？
scope-0375,鱼竿弯曲程度在片段中如何变化？
scope-0376,鱼是否曾在水面附近出现？
scope-0377,从画面参照系看，岸线相对相机向哪一侧移动？
scope-0378,按下启动按钮后仪表盘显示如何变化？
scope-0379,窗外白车相对观察者向哪侧移动？
scope-0380,男子先指向门把手还是车牌上方？
scope-0381,蓝车相对车道边线如何移动？
scope-0382,华盛顿纪念碑相对人群位于哪个方向？
scope-0383,冲浪板与人分离后朝向如何变化？
scope-0384,薰衣草行列相对远山朝哪个方向延伸？
scope-0385,水鸟群相对岸边如何移动？
scope-0386,镜头平移时输电塔何时进入画面中央？
scope-0387,迎面行人是否在经过相机后离开视野？
scope-0388,最亮的阳光反射位于浪峰前方还是后方？
scope-0389,冲浪者消失在浪后发生在最后一次转向之前还是之后？
scope-0390,赛马群中领先位置是否发生变化？
scope-0391,单板滑雪者的腾空动作发生在最后一次大幅转向之前还是之后？
scope-0392,盒面圆形图案相对产品名称位于哪里？
scope-0393,最终结位于原有大环的上方还是下方？
scope-0394,画面右上方持续可见的物体是什么？
scope-0395,摩托车经过斑马线后是否改变车道？
scope-0396,讲解手势的直接目标是展示哪个车尾部件？
scope-0397,镜头扫过房间时三脚架位于沙发前还是后？
scope-0398,伸手动作发生在游到近处之前还是之后？
scope-0399,车辆到达人群前是否改变车头朝向？
scope-0400,转弯发生在经过红色房屋之前还是之后？
scope-0401,骑手们沿赛道朝哪个方向驶离？
scope-0402,出口匝道相对主路位于驾驶者哪一侧？
scope-0403,冲浪者与岩石之间的距离如何变化？
scope-0404,遥控直升机是先升空还是先从灌木后出现？
scope-0405,冲浪者在小浪上是否完成多次转向？
scope-0406,开箱后鼠标配件按什么顺序被取出？
scope-0407,红色招牌商店位于通道哪一侧？
scope-0408,车身部件是否呈现未完成或拆卸状态？
scope-0409,鱼从水中到手中的顺序是什么？
scope-0410,冲浪者与岩石的距离如何变化？
scope-0411,男子捆扎后木杆之间的相对状态如何变化？
scope-0412,驾驶员转动方向盘时车辆行进方向如何变化？
scope-0413,男子移动盖板后船内空间状态是否改变？
scope-0414,冲浪板在摔倒后呈什么朝向？
scope-0415,小鱼先被女子握住还是先交给另一双手？
scope-0416,高尔夫球最终停在洞口的哪一侧？
scope-0417,绿色上衣男子主要朝向同伴还是汽车？
scope-0418,鱼进入抄网后是否再次离开？
scope-0419,他先抬头还是先戴上蓝色手套？
scope-0420,钳子夹住墙内零件后零件是否被取出？
scope-0421,车辆先接近低墙还是先转向返回坡道？
scope-0422,狗跑远时是否短暂离开清晰可见范围？
scope-0423,滑雪者是否完整滑过栏杆后落回雪面？
scope-0424,男子手中的橙色绳索是否逐渐展开？
scope-0425,男子先调整车架还是先转动后轮？
scope-0426,镜头校色切换发生在无人机出现之前还是之后？
scope-0427,男子先用剪刀接触肉块还是先放下肉块？
scope-0428,摔倒发生在越过栏杆之前还是之后？
scope-0429,镜头先展示设备控制盒还是汽车发动机舱？
scope-0430,车顶收起后驾驶者是否持续可见？
scope-0431,第一视角所在载具在水面上是否持续前进？
scope-0432,天花板上哪一部分已经缺失？
scope-0433,讲解者移动手势的直接目标是展示哪个船内区域？
scope-0434,男子抱着多双鞋从地面起身后走向哪里？
scope-0435,飞行器是否完成了明显的滚转？
scope-0436,她是否始终面向水面操作？
scope-0437,海鸟是否从海面上方飞到船旁？
scope-0438,钩针操作后蓝色橡皮筋结构如何变化？
scope-0439,领先车辆位于赛道哪一侧？
scope-0440,从后座看驾驶员位于观察者哪一侧？
scope-0441,鱼相对皮划艇船头位于哪一侧？
scope-0442,手指接近灯口时灯的状态是否改变？
scope-0443,车辆最终是否朝向相机？
scope-0444,无人机飞过时位于高楼上方吗？
scope-0445,男子先展示车身外壳还是先展示开孔细节？
scope-0446,车顶开始移动发生在车辆进入弯道之前还是之后？
scope-0447,天花板缺口相对吊灯位于哪一侧？
scope-0448,戴帽男子坐在最初出现的老人哪一侧？
scope-0449,摩托车在片段末尾向道路哪一侧偏转？
scope-0450,包装盒位于黑色桌子的哪一侧？
scope-0451,镜头前进时两侧店铺的相对位置如何变化？
scope-0452,服装店陈列架相对通道位于哪一侧？
scope-0453,镜头移动的直接目标是跟随球还是展示球洞？
scope-0454,镜头先展示车身外壳还是先展示尾部孔洞？
scope-0455,他与墙上历史照片的距离如何变化？
scope-0456,橙色饰边分布在座椅什么位置？
scope-0457,镜头从箭体下方向尖端移动吗？
scope-0458,镜头先展示纪念碑还是先转向台阶旁队伍？
scope-0459,操作者把工具接触旋转木杆的直接目标是什么？
scope-0460,水翼板在运动中是否始终高于水面？
scope-0461,汽车引擎盖在整个片段中保持打开吗？
scope-0462,烟柱出现发生在飞机掠过之前还是之后？
scope-0463,孤立树木相对海岸位于哪一侧？
scope-0464,马匹位于停放车辆的哪一侧？
scope-0465,浪峰在移动过程中是否逐渐破碎？
scope-0466,黑衣男子出现后走向镜头吗？
scope-0467,汽车最接近相机发生在转弯之前还是之后？
scope-0468,狗是否短暂进入灌木遮挡区？
scope-0469,镜头先经过车辆还是先看到远处马匹？
scope-0470,小船相对红色灯塔的位置如何分布？
scope-0471,店员从柜台后取出的绿色甜点最终放在哪里？
scope-0472,两辆摩托车起步后哪一辆先明显领先？
scope-0473,风铃与远岸岛屿的前后关系是什么？
scope-0474,两只狗的前后关系如何变化？
scope-0475,滑雪者最后朝雪坡的哪个方向滑走？
scope-0476,红车驶远后是否再次靠近相机？
scope-0477,镜头先展示窗边吸音板还是中央三脚架？
scope-0478,飞行器是否始终高于草地？
scope-0479,推婴儿车的人是否从画面一侧走到另一侧？
scope-0480,蓝车在弯道中是否始终朝向相机？
scope-0481,讲解者转向尾部的直接目标是什么？
scope-0482,遥控直升机先升空还是先降落？
scope-0483,山谷在道路弯曲过程中位于车辆哪一侧？
scope-0484,鱼在水面附近出现后是否被举到船边？
scope-0485,船与桥墩之间的距离如何变化？
scope-0486,方向盘相对蓝白座椅位于什么位置？
scope-0487,前方道路弯向驾驶者哪一侧？
scope-0488,鱼先在水下绕圈还是先进入抄网？
scope-0489,传中球到达门前后哪队球员先触球？
scope-0490,后门相对侧窗位于哪一侧？
scope-0491,圆柱灯相对花瓶和相框位于哪里？
scope-0492,男子在船内先展示座椅还是先展示中央台面？
scope-0493,人与岸线之间的距离如何变化？
scope-0494,摩托车与前方红车的距离如何变化？
scope-0495,方向盘位于驾驶室画面的哪一侧？
scope-0496,男子的枪口主要朝向水面还是天空？
scope-0497,操作者转身的直接目标是持续跟踪飞行器吗？
scope-0498,他转身指示发生在穿过人群之前还是之后？
scope-0499,树木经过前景时是否短暂遮挡山谷？
scope-0500,他与相机之间的距离如何变化？
scope-0501,白狗与黑狗哪一只先接近相机？
scope-0502,狗与右侧栏杆的距离如何变化？
scope-0503,从骑手视角看转向车道位于哪一侧？
scope-0504,指示时岩石相对男子位于哪一侧？
scope-0505,前景立柱何时遮住远处山景？
scope-0506,手指反复指向包装盒的哪个区域？
scope-0507,镜头绕车移动时车身朝向如何变化？
scope-0508,相机从车尾移到车头发生在讲解手势之前吗？
scope-0509,住宅位于水面的哪一侧？
scope-0510,白车是否被前景仪表台遮挡过？
scope-0511,赛马群的领先位置是否发生变化？
scope-0512,盒子在讲解过程中是否改变位置？
scope-0513,车门打开后车内空间是否变得可见？
scope-0514,镜头先展示港口小船还是大型起重桥？
scope-0515,男子对肉块使用工具后肉块是否被分离？
scope-0516,摩托车经过观众席前是否先产生烟雾？
scope-0517,单板相对坡面的朝向如何交替变化？
scope-0518,果岭旗杆位于沙坑的哪一侧？
scope-0519,成年男子出现是在孩子们散开之前还是之后？
scope-0520,镜头平移时山谷先出现在画面哪一侧？
scope-0521,男子指向的目标位于人群哪一侧？
scope-0522,孩子们在空地上是否朝远处共同跑动？
scope-0523,球最终停在洞杯的近处还是远处？
scope-0524,进入弯道后蓝车车头朝向哪一侧？
scope-0525,孩子们先聚集还是先散开？
scope-0526,无人机从湖面哪一侧进入清晰画面？
scope-0527,鱼被举起时相对船边位于哪一侧？
scope-0528,冲线前马群是否逐渐拉开距离？
scope-0529,鱼竿的弯曲程度如何变化？
scope-0530,绿色甜点相对玻璃柜台位于哪一侧？
scope-0531,镜头沿山路移动时近处护栏如何掠过画面？
