unit_id,disagreement_fields,video,category_id,category,scene_type,question_type,question,gold_answer,model_answer,control_type,control_question,control_gold_answer,control_model_answer,control_pass,rater_1_primary_label,rater_1_secondary_label,rater_1_confidence,rater_1_question_or_key_problem,rater_1_evidence_note,rater_2_primary_label,rater_2_secondary_label,rater_2_confidence,rater_2_question_or_key_problem,rater_2_evidence_note,adjudicated_primary_label,adjudicated_secondary_label,adjudicated_question_or_key_problem,adjudication_note
error-0035,primary_label;secondary_label;question_or_key_problem,iOFJq-ylyT4_4_0_01_12_439_to_0_01_27_353.mp4,1,Object Permanence and Occlusion Tracking,Human-Centric,True/False,"[True/False] From the camera's final viewpoint showing the side of the car, the driver's side front wheel is completely occluded.",True,No,action_event,"[Single-Choice] Before the man stands apart from the car near the bushes, what does he do? [Options] A) He opens a car door. B) He kneels beside a wheel. C) He enters the car. D) He walks beside the car.",D,D,True,benchmark_ambiguity,perception_recognition,high,True,最终侧视镜头中驾驶员侧前轮主要因相机裁切而离开画面，并非被另一物体遮挡；题干把 out of frame 写成 completely occluded，gold 的概念边界不清。,perception_recognition,spatiotemporal_grounding,high,False,20-frame full-duration sheet: in the final side view the driver's front wheel is outside/fully occluded from the camera view while the rear wheel remains visible; the negative answer contradicts the final frame state.,benchmark_ambiguity,,yes,最终镜头中前轮是被画面裁切到视野外，而非被另一物体遮挡；题干把out of frame称为completely occluded，模型否定回答具有合理依据，因此不再附加内容错误标签。
error-0041,primary_label;secondary_label,j7XGRgoCYo0_75_0_10_05_372_to_0_10_27_827.mp4,5,Object Deformation and State Transition,Object-Centric,Multiple-Select,"[Multiple-Select] Based on the visual evidence of the skull's transformation, which of the following physical changes occur? (Select all that apply) [Options] A) The material transitions from a rigid solid to a viscous semi-liquid. B) The object's volume significantly increases. C) The defined anatomical features collapse into an undefined shape. D) The material changes color from white to clear.","A,C","A, B, C",simple_relation,[Single-Choice] Where is the small white bottle positioned relative to the skull as liquid is poured? [Options] A) Below the skull B) Above the skull C) Beside the skull D) In front of the skull,B,B) Above the skull,True,physical_prediction_counterfactual,perception_recognition,high,False,白色骷髅由有明确特征的刚性外形塌缩为黏稠无定形物并向桌面铺展；回答额外选择“体积显著增加”，把占地面积扩张误当成材料体积增加。,perception_recognition,physical_prediction_counterfactual,high,False,"20-frame full-duration sheet: the rigid skull collapses into a viscous undefined mass, but its material spreads rather than showing a supported significant volume increase; the answer adds unsupported option B.",perception_recognition,,,变化在当前画面中直接可见，错误是把铺展后的投影面积增加当作“体积显著增加”；无需未来或反事实推演，故不保留物理预测次标签。
error-0042,primary_label;secondary_label,F_Y2Kg1_W3Q_58_0_09_44_684_to_0_09_54_994.mp4,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,True/False,"[True/False] Relative to the scooter's deck, the person initiates the handlebar spin by pushing their right hand forward and pulling their left hand backward.",True,False,action_event,"[Single-Choice] Near the beginning, what does the person do with one foot on the pavement? [Options] A) Kicks a ball across the pavement B) Steps onto the grass C) Pushes off to move the scooter D) Jumps with both feet together",C,C) Pushes off to move the scooter,True,perception_recognition,perspective_reference_frame,low,False,把手旋转发生得很快，题目要求相对踏板判断双手的前后推动方向；回答否定了右手前推、左手后拉的可见起始动作。20-frame full-duration sheet 对手部瞬时方向的采样有限。,perspective_reference_frame,perception_recognition,medium,False,20-frame full-duration sheet: the rider initiates the bar spin with opposite fore-aft hand motions relative to the scooter deck; the false answer fails the deck-centered right/left hand direction.,perspective_reference_frame,perception_recognition,,题目明确要求相对滑板踏板判断左右手的前后运动，主要缺口是踏板中心参照下的方向判定；快速手部动作识别是次要因素。
error-0052,secondary_label,lVoflPzlZRU_27_0_09_08_514_to_0_09_35_675.mp4,5,Object Deformation and State Transition,Human-Centric,Fill-in-the-Blank,"[Fill-in-the-Blank] To transition the wheel from a locked to an unlocked state, the man must pivot the three red levers ______ from the face of the wheel's hub.",outward,inward,action_event,[Single-Choice] What happens before the man kneels beside the rear wheel? [Options] A) He opens a cabinet door. B) He walks around the bicycle. C) He removes the saddle. D) He rides the bicycle away.,B,C) He removes the saddle.,False,perception_recognition,action_goal_binding,high,False,近景操作显示三根红色拨杆从轮毂表面向外翻开以解锁；回答将直接可见的枢转方向判为向内。control 未通过也支持操作动作识别困难。,perception_recognition,spatiotemporal_grounding,high,False,20-frame full-duration sheet: the three red hub levers visibly pivot away from the wheel face to release the lock; the answer reverses the directly shown lever direction.,,,,三根红色拨杆直接从轮毂面向外翻开；主要感知识别标签已涵盖方向看反，没有独立的目标绑定或跨时段定位证据，次标签留空。
error-0054,primary_label;secondary_label,WPTAA4RdksE_40_0_08_53_499_to_0_09_10_483.mp4,5,Object Deformation and State Transition,Human-Centric,Multiple-Select,[Multiple-Select] Which of the following spatial properties of the large green fabric are visibly changed by the person's folding action? (Select all that apply) [Options] A) Its total surface area. B) Its thickness in the folded region. C) The number of layers presented to the pattern. D) Its overall shape from a top-down view.,"B, C, D",B) Its thickness in the folded region.,entity,[Single-Choice] Which object is visible beneath the materials being handled? [Options] A) A wooden dining table B) A metal baking tray C) A blue ironing board D) A green gridded cutting mat,D,D) A green gridded cutting mat,True,spatiotemporal_grounding,perception_recognition,high,False,绿色布料折叠后不仅局部厚度增加，也形成多层且俯视轮廓改变；回答只选 B，遗漏了跨折叠前后可见的层数和形状变化。,perception_recognition,spatiotemporal_grounding,high,False,"20-frame full-duration sheet: folding the green fabric increases local thickness, creates multiple layers, and changes its top-down outline; selecting only thickness omits the visible layer and shape changes.",spatiotemporal_grounding,perception_recognition,,需比较折叠前后才能确认厚度、层数及俯视轮廓同时改变；只选厚度主要反映状态变化整合不全，遗漏可见层数和形状为次要识别缺口。
error-0057,secondary_label,svE6_cYXDXA_31_0_03_25_505_to_0_03_41_554.mp4,4,Predictive and Counterfactual Spatial Reasoning,Human-Centric,Single-Choice,"[Single-Choice] If the rider failed to navigate the first significant curve and continued in a straight line, what would be the immediate spatial consequence? [Options] A) They would travel off the steep edge to the left of the road. B) They would ride directly into the uphill embankment. C) They would enter the patch of green trees on the right. D) They would safely continue onto a different path.",B,A) They would travel off the steep edge to the left of the road.,action_event,[Single-Choice] What is the person on the motorcycle doing near the bushes? [Options] A) Standing still beside the bike B) Leaning the bike while moving C) Pushing the bike uphill D) Lifting the bike onto a truck,B,B) Leaning the bike while moving,True,physical_prediction_counterfactual,perspective_reference_frame,high,False,骑手在首个明显弯道沿道路右转，若保持此前直线将直接进入弯外侧上坡土坡；回答错误外推为冲出左侧陡边。,physical_prediction_counterfactual,spatiotemporal_grounding,high,False,"20-frame full-duration sheet: the rider approaches a significant bend with the uphill dirt embankment lying on the straight-line continuation; failing to steer would carry the bike into that bank, not over the left edge.",,perspective_reference_frame,,直线延续会进入弯外侧上坡土坡；在主要反事实外推之外，回答把道路两侧地形方向反置，保留参照系次标签。
error-0059,secondary_label,Xdn4-pqGD6A_53_0_13_48_285_to_0_14_30_327.mp4,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Single-Choice,"[Single-Choice] After the second golfer (in the black shirt) putts, what is the final spatial relationship between his ball and the hole compared to its starting position? [Options] A) The ball is closer to the hole. B) The ball is further from the hole. C) The ball is in the same location relative to the hole. D) The ball has moved to the right of the hole.",A,B) The ball is further from the hole.,entity,[Single-Choice] Which object is visible on the putting green near the golfers? [Options] A) A yellow flagstick B) A red tee marker C) A sand rake D) A water hazard sign,A,A) A yellow flagstick,True,spatiotemporal_grounding,perception_recognition,low,False,黑衣球手推杆后球从起点向洞杯区域移动并最终更接近洞口；回答判断为更远，未正确对应击球前后的球位。20-frame full-duration sheet 中小球分辨率有限。,spatiotemporal_grounding,action_goal_binding,high,False,20-frame full-duration sheet: the black-shirted golfer's ball starts farther from the yellow-flagged hole and finishes visibly nearer after the putt; the answer reverses the start-to-end distance change.,,perception_recognition,,黑衣球手击球前后距离比较属于主要时空定位；小球尺寸很小且末位不易辨认，实体位置识别是比动作目标绑定更直接的次要证据。
error-0065,primary_label;secondary_label,amXzenmYYlw_12_0_03_47_400_to_0_03_57_680.mp4,1,Object Permanence and Occlusion Tracking,Human-Centric,Fill-in-the-Blank,"[Fill-in-the-Blank] A utility pole temporarily occludes the man. Immediately after he reappears, he is on the ______ side of the white parked car.",left,right,simple_relation,[Single-Choice] Where is the white parked car located relative to the storefront? [Options] A) In front of the storefront B) Behind the storefront C) Across the road from the storefront D) Inside the storefront,A,B,False,perspective_reference_frame,spatiotemporal_grounding,medium,False,移动镜头经过电线杆后男子重新出现时位于白色停放车辆的场景左侧；回答给出右侧，混淆了遮挡前后位置与画面参照。,spatiotemporal_grounding,perspective_reference_frame,high,False,"20-frame full-duration sheet: after the utility-pole occlusion, the man reappears on image-left of the white parked car; the answer reverses the post-occlusion side.",spatiotemporal_grounding,perspective_reference_frame,,问题锚定电线杆遮挡后的瞬间，必须跨短暂遮挡保持人物连续性；主要是时空定位，重现后相对白车的左右判定构成次要参照因素。
error-0067,secondary_label,fRmaPWqByGw_25_0_05_06_560_to_0_05_41_199.mp4,5,Object Deformation and State Transition,Object-Centric,Fill-in-the-Blank,"[Fill-in-the-Blank] After the helicopter lands, the visual state of the main rotor blades transitions from a continuous transparent blur to ______, as they slow to a stop.",distinct individual blades,clear,entity,[Single-Choice] Which surface is visible under the helicopter near its touchdown area? [Options] A) A paved road B) A sandy beach C) A snowy field D) A grassy field,D,D) A grassy field,True,benchmark_ambiguity,,high,True,旋翼由高速透明模糊变为低速可辨状态；模型回答 clear 可自然解释为 blades become visually clear，与 gold distinct individual blades 基本同义，填空评分边界不充分。,benchmark_ambiguity,protocol_or_parsing,medium,True,20-frame full-duration sheet: after landing the blurred rotor resolves into clearly visible individual blades; the fill 'clear' plausibly describes this same visual transition even though it is less explicit than the keyed phrase.,,,,“clear”可自然表达旋翼由透明模糊转为清晰可辨，与题钥核心语义一致；主标签已确定为答案接受范围歧义，无额外解析失败证据。
error-0070,primary_label;secondary_label,_vyGEgNbx7c_37_0_05_37_003_to_0_06_13_873.mp4,2,Dynamic Spatial Relationships,Human-Centric,Single-Choice,[Single-Choice] What is the consistent spatial relationship between the snowboarder and their shadow throughout the video? [Options] A) The shadow is always directly behind them. B) The shadow is cast to their right and slightly behind them. C) The shadow is cast to their left and slightly in front of them. D) The shadow is not visible.,C,B,action_event,[Single-Choice] Which event happens before the snowboarder rises into the air off a snow lip? [Options] A) They sit down on the snow. B) They lift the snowboard by hand. C) They walk uphill on foot. D) They crouch low while riding.,D,D) They crouch low while riding.,True,perception_recognition,perspective_reference_frame,high,False,可见阴影持续位于滑雪者画面左侧并略偏前方；回答判为右后方，错误识别了稳定的基本方向关系。,perspective_reference_frame,perception_recognition,high,False,20-frame full-duration sheet: the snowboarder's shadow consistently falls to the rider's left and slightly forward across turns; the response reverses both side and fore-aft relation.,perspective_reference_frame,perception_recognition,,“their left/right and front/behind”要求把阴影位置转换到滑雪者自身参照，而非直接采用画面左右；阴影边界识别为次要感知因素。
error-0071,primary_label;secondary_label;question_or_key_problem,UbOevcbnLLY_0_0_00_00_133_to_0_00_14_714.mp4,2,Dynamic Spatial Relationships,Object-Centric,Single-Choice,"[Single-Choice] As the camera pans to the left, what is the apparent motion of the small puff of smoke on the distant hillside relative to the dock's corner post in the foreground? [Options] A) The smoke appears to move from the right side of the post to the left side of it. B) The smoke remains stationary directly behind the post. C) The smoke appears to move from the left side of the post to the right side of it. D) The smoke is never visible at the same time as the corner post.",B,The smoke appears to move from the right side of the post to the left side of it.,action_event,[Single-Choice] Which visible event occurs before the leafy tree canopy enters the view? [Options] A) A large tree trunk fills the left side. B) A white rectangular roof appears near the dock. C) Benches appear beneath the tree. D) The canopy covers much of the top edge.,B,B) A white rectangular roof appears near the dock.,True,benchmark_ambiguity,perspective_reference_frame,medium,True,镜头左移时远处烟雾与近处码头角柱存在明显视差，20 帧中难以支持烟雾始终固定在柱后；模型所述由右向左具有视觉合理性，gold“stationary directly behind”不够稳固。,perspective_reference_frame,spatiotemporal_grounding,medium,False,20-frame full-duration sheet: throughout the left pan the distant smoke remains aligned behind the dock corner post rather than crossing from one side to the other; the answer mistakes camera motion for relative object motion.,benchmark_ambiguity,perspective_reference_frame,yes,20帧中远处烟雾极小，且左移镜头造成近柱与远景视差，无法唯一支持其始终正好位于柱后；模型描述的跨侧运动具有视觉合理性。若按题钥解释，参照视差仍是次要困难。
error-0077,secondary_label;question_or_key_problem,qkEhTI25974_20_0_03_08_388_to_0_03_24_137.mp4,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Multiple-Select,"[Multiple-Select] At the moment the motorcycle is on the white-striped crosswalk (0:10), what are the immediate, spatially-relevant intentions governing the rider's actions? (Select all that apply) [Options] A) To yield right-of-way to the white car parked on the right. B) To maintain a consistent following distance behind the silver car ahead. C) To be prepared to stop for any potential pedestrians using the crosswalk. D) To begin accelerating to overtake the silver car.","B, C",C,entity,[Single-Choice] Which object is visible along the curb on this street? [Options] A) Red-and-white traffic cone B) Blue mailbox C) Yellow fire hydrant D) Green trash bin,A,A) Red-and-white traffic cone,True,action_goal_binding,benchmark_ambiguity,medium,True,摩托车在斑马线前跟随银车并保持可停车距离；回答只识别潜在行人准备停车，遗漏维持跟车距离。题干把不可直接观察的“intention”作为多选 gold，存在一定推断性。,action_goal_binding,spatiotemporal_grounding,medium,False,"20-frame full-duration sheet: at the crosswalk the rider remains behind the silver car while approaching a pedestrian crossing, supporting both following-distance maintenance and readiness to stop; the response omits the former intention.",,benchmark_ambiguity,yes,跟随银车可见，但“准备为任何潜在行人停车”属于不可直接观察的意图，且多选题未给出可验证判据；因此保留题目歧义为次标签并判定题目存在问题。
error-0078,primary_label;secondary_label;question_or_key_problem,rBFpc0p64JE_37_0_08_12_279_to_0_08_23_959.mp4,5,Object Deformation and State Transition,Human-Centric,True/False,[True/False] The process shown results in a permanent spatial change to the client's arm by adding a new material onto the outer surface of the skin.,True,False,action_event,[Single-Choice] Which visible event occurs before the bearded worker holds up a small white bottle? [Options] A) He wraps the forearm with a bandage. B) He photographs the forearm with a phone. C) He places a stencil sheet on the forearm. D) He presses a tattoo machine against the forearm.,D,D) He presses a tattoo machine against the forearm.,True,benchmark_ambiguity,perception_recognition,high,True,视频显示纹身针将色料施入手臂皮肤；题干却称材料添加在 outer surface，而纹身色料并非简单覆盖皮肤外表面，模型回答 False 具有合理依据。,perception_recognition,physical_prediction_counterfactual,high,False,"20-frame full-duration sheet: a tattoo machine deposits new dark pigment into/on the client's outer forearm surface, leaving a persistent visible design; the negative answer misses the material/state addition.",benchmark_ambiguity,,yes,纹身色料由针送入皮肤而不是简单添加在皮肤outer surface上；按题干字面回答False有合理依据，gold不能由该措辞唯一支持，故不附加模型内容错误。
error-0079,secondary_label,jhcqv4tPIRQ_15_0_03_49_400_to_0_04_01_300.mp4,4,Predictive and Counterfactual Spatial Reasoning,Human-Centric,Single-Choice,"[Single-Choice] Based on its final position, if the bird were to continue climbing straight down the wall, what is the first object it would physically contact? [Options] A) The floor. B) The decorative window on the door. C) The light switch. D) The door frame.",C,B,entity,[Single-Choice] Which large object is visible directly beside the bird near the wall? [Options] A) A metal ladder B) A leafy plant C) A tan padded cushion D) A cardboard box,C,C) A tan padded cushion,True,physical_prediction_counterfactual,perspective_reference_frame,medium,False,鸟在墙/家具边缘向下攀爬，末位正上方最近的物体是墙面开关；回答外推到门上装饰窗，偏离其竖直下行线。,physical_prediction_counterfactual,spatiotemporal_grounding,high,False,"20-frame full-duration sheet: from the bird's final wall position, a straight downward continuation intersects the light switch below before reaching the decorative door window; the response projects to the wrong object.",,,,主要反事实轨迹标签已覆盖从末位向下外推到首个接触物；没有独立证据表明错误来自参照系转换或时空定位，次标签留空。
