probe_sample_id,source_sample_id,benchmark_index,video,original_question,original_ground_truth,category_id,category,scene_type,question_type,assigned_probe_type,assigned_probe_subtype,target_answer_position,source_sample_sha256,selection_sha256
probe-0014,pc-0442,5806,j7XGRgoCYo0_75_0_10_05_372_to_0_10_27_827.mp4,"[Multiple-Select] Based on the visual evidence of the skull's transformation, which of the following physical changes occur? (Select all that apply) [Options] A) The material transitions from a rigid solid to a viscous semi-liquid. B) The object's volume significantly increases. C) The defined anatomical features collapse into an undefined shape. D) The material changes color from white to clear.","A,C",5,Object Deformation and State Transition,Object-Centric,Multiple-Select,simple_relation,orientation,B,12050db5d4b5f8a1ea1af63937b7c207dc93e424e977d0939f4d1fd4f8c38251,01ab0ab7b04c73609bcaa3f0c3fa0ed2d028415a9d9a4e9dba9721d80cd255f8
probe-0015,pc-0486,8885,iYrcXfBRJ2c_48_0_09_24_297_to_0_09_36_909.mp4,[True/False] The video depicts a continuous action of a person organizing the drawer from empty to full.,False,5,Object Deformation and State Transition,Object-Centric,True/False,entity,object_actor_presence,D,8736b09ad290512f28872ecc18e646b91d9fa30484c6ed06b5e0265b54fa01df,6a53cfe81983c1a832fc0dda2400974962c48a42f9e4fa7e56239f4b1e808efa
probe-0016,pc-0242,3686,Vhq-OykV6nQ_16_0_02_19_535_to_0_02_30_647.mp4,"[Single-Choice] At the beginning of the video, the person on the right points their finger. What is the most likely target of their gesture, based on their line of sight and the direction they are pointing? [Options] A) The group of people standing to their right. B) The row of cars far in the distance directly ahead. C) The red food truck on the far left. D) The orange cone on the ground.",B,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Single-Choice,action_event,temporal_order,A,7c852d2001b01737c48bf0b75a9d11dd220edc13a7bddb2c6f6497b991cf428d,a5165c3127da1996eb20d27e78dcf9274227641a2ca3fee58c3e67b1a3040d3b
probe-0017,pc-0022,1853,MUbr53dyrak_22_0_07_02_639_to_0_07_28_079.mp4,"[True/False] The wooden pier with the thatched roof moves from the left side of the frame to the right, and as it does, it continuously occludes a new portion of the beach behind it.",True,1,Object Permanence and Occlusion Tracking,Object-Centric,True/False,simple_relation,orientation,C,7e2d82d2adc464e6914de86463f062a7cd0a45a4e4e9420182c6363b167e1994,4de0143f3dd06709db6dca45ac003c47e93284745bbee086ff5ec9677d46bab2
probe-0018,pc-0359,4563,Ta_LUM-rOJc_18_0_02_16_336_to_0_02_31_151.mp4,"[Single-Choice] At the 8-second mark, the rider is moving on a trajectory toward the right side of the road. If they had continued on this exact path without correcting their course, which object would they have most likely collided with first? [Options] A) The large tree on the left embankment. B) The oncoming traffic. C) The blue Mini Cooper parked on the right side. D) The large white RV parked further down the road.",B,4,Predictive and Counterfactual Spatial Reasoning,Human-Centric,Single-Choice,action_event,temporal_order,A,f6e1cb75ed98c22d4786e7f6f56aeceaa53cb62d8d693ceabc5f2237940c11d4,d4392701183ead9ef70ebb308cf1ced6ea8be60f8467234ae0e14ed4ba9eb9c9
probe-0019,pc-0040,3327,Q_KgiEB6bYc_157_0_37_26_212_to_0_37_37_590.mp4,"[True/False] As the camera moves forward, the second mannequin in the red dress partially blocks the view of the fourth mannequin wearing the yellow 'RADIANT' sweatshirt.",False,1,Object Permanence and Occlusion Tracking,Human-Centric,True/False,action_event,temporal_order,B,8de341f03cea2490dc7ecccac8be429b4f7c4a3dde0449a5d997c103cc4fe01c,5d254c98d6420981860124fae99939ffbdad50dd911dc128f891a9e60303e42e
probe-0020,pc-0184,7173,jr2s_4Fvf80_58_0_05_29_862_to_0_05_43_476.mp4,"[Single-Choice] During the drift, the car travels along a curved path around the prominent orange cone. Relative to the center of this curve, where is the cone located? [Options] A) On the inside of the curve. B) On the outside of the curve. C) The car's path goes directly over the cone. D) The cone is located exactly at the center of the curve.",A,2,Dynamic Spatial Relationships,Object-Centric,Single-Choice,entity,object_actor_presence,D,112e06952d0e8de3a992af62301813964116b7ec5ba9b2250d49c7246f39c1b4,f31d1aef3decb4360fe56f04e62d4e9204e8308c54daae82cefb5af5fb1516c2
probe-0021,pc-0119,1448,cTYPnXXcYp4_14_0_02_57_110_to_0_03_13_026.mp4,"[Single-Choice] Considering the camera's entire path of movement, which landmark ends up closest to the camera's final position? [Options] A) The yellow bus. B) The large tree on the far left of the scene. C) The tall, dark wooden structure behind the bus. D) The mountains in the far background.",A,2,Dynamic Spatial Relationships,Human-Centric,Single-Choice,action_event,temporal_order,A,20df5346257f25f8659683f096c5d8a73294e57bc2a115811ffc567bc1de26f4,bb98bb3d2ed074ca67dea4018459d9b18b3c5f424b4a608172b7dce1d3757586
probe-0022,pc-0315,1466,coriwTyx1Os_26_0_04_32_890_to_0_04_45_408.mp4,"[True/False] Assuming the flying object's path relative to the road remained the same, if the camera vehicle had been traveling in the left lane at the same speed, the object would have most likely passed harmlessly behind it.",False,4,Predictive and Counterfactual Spatial Reasoning,Object-Centric,True/False,action_event,action_recognition,B,baa8a5ec5f5c80aef786e3f94c53c85cc09bfa9b1089a4cfdfc2677aa454e908,3907e320fc135deff8e40f63e6898552c5035f42e2c0fe5586f33c1588f73349
probe-0023,pc-0543,3481,SjaUzHILZ8Y_56_0_09_01_474_to_0_09_23_229.mp4,"[Single-Choice] From the camera's perspective, the shoreline appears to be moving from right to left. What is the boat's actual direction of travel relative to the distant dam visible at the start of the video? [Options] A) Towards the dam. B) Away from the dam. C) Parallel to the dam. D) The boat is stationary.",D,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,Single-Choice,simple_relation,orientation,D,02efe2586ea5d0d5574c83656c5de6108c6828c64bbc23f93855f32c70b9e452,cd863a6135846b47d920fd0e81ef7b8806bc00695e7779c80a5d2628e393e87a
probe-0024,pc-0115,1158,NmImpLawyDg_4_0_02_41_340_to_0_02_52_717.mp4,"[Single-Choice] During the camera's upward pan, what is the apparent change in the position of the blue star-shaped light in the foreground relative to the red and white star-shaped light behind it? [Options] A) The blue light moves from being below the red light to being above it. B) The blue light appears to move further down and to the left relative to the red light. C) The two lights maintain a fixed spatial relationship to each other in the frame. D) The blue light moves from being to the left of the red light to its right.",C,2,Dynamic Spatial Relationships,Object-Centric,Single-Choice,simple_relation,orientation,D,848fbdfb280cb82d38729685fdb7328c62ec1741ccc32eedfa4e1c00ac7202d8,89517063f246c35f78432651d8f29602fba4702e05648bb16bbd6615395aed3f
probe-0025,pc-0309,917,KvUAU9EwQAo_53_0_09_51_240_to_0_10_47_960.mp4,"[True/False] Given the ball's trajectory as it passes the hole, the ball would have struck the flagstick if it had been left inside the hole.",False,4,Predictive and Counterfactual Spatial Reasoning,Human-Centric,True/False,action_event,action_recognition,D,8709d1c9089b07cde687d1a0f301adbeab3b374540176ad801fdec4489c910a4,597f8b14a801ef993267b0fc5bf8cfa4266f82f1356aaa31ffb1faa7bc5fe418
probe-0026,pc-0111,654,_vyGEgNbx7c_37_0_05_37_003_to_0_06_13_873.mp4,[Single-Choice] What is the consistent spatial relationship between the snowboarder and their shadow throughout the video? [Options] A) The shadow is always directly behind them. B) The shadow is cast to their right and slightly behind them. C) The shadow is cast to their left and slightly in front of them. D) The shadow is not visible.,C,2,Dynamic Spatial Relationships,Human-Centric,Single-Choice,action_event,temporal_order,D,c0a3e8a790452f09c8d52948ab0aef648e034a53d5cb36a6b76167f14de4aa81,90edae1d87368576423c265c280ea19af8c6d9438242ab1d41fc753729b806f3
probe-0027,pc-0332,3051,HjDY6bjj5Ic_33_0_06_07_567_to_0_06_25_384.mp4,"[True/False] At the 15-second mark, the car is turning. If it were to continue moving along this exact curved trajectory, it would eventually collide with the large dirt mound located at the top of the screen at the start of the video.",True,4,Predictive and Counterfactual Spatial Reasoning,Object-Centric,True/False,simple_relation,simple_spatial_relation,A,b9e10826796ae456b1ad399711df9a98a49037391ea717b981661c47908320e6,8a335641ff46835a2509742d704f8439a4e63750fecf75f1aec119cf2aba74db
probe-0028,pc-0165,5641,lkF5Q42T8Rg_6_0_14_53_433_to_0_15_07_033.mp4,"[Single-Choice] When the woman crosses her arms, which of her arms is positioned on top of the other from the viewer's perspective? [Options] A) Her right arm is on top of her left arm. B) Her left arm is on top of her right arm. C) Her arms are held side-by-side and do not cross. D) Her hands are clasped together in the center.",A,2,Dynamic Spatial Relationships,Human-Centric,Single-Choice,simple_relation,simple_spatial_relation,A,6d8cef345d0246c3247d0e2b8aafa69e406f13077d4e282f01fc5987e794661f,f44db1f627b60e14036ba8709e45fdec759d7e79982220ec13768dbd8a272f3f
probe-0029,pc-0387,7221,jhcqv4tPIRQ_15_0_03_49_400_to_0_04_01_300.mp4,"[Single-Choice] Based on its final position, if the bird were to continue climbing straight down the wall, what is the first object it would physically contact? [Options] A) The floor. B) The decorative window on the door. C) The light switch. D) The door frame.",C,4,Predictive and Counterfactual Spatial Reasoning,Human-Centric,Single-Choice,entity,object_actor_presence,C,0aeaa9b415e77ac778f24780abf2e448b9f92a7baeeb23338aea7b9963d0072f,9518ddef32ac8b840bb3358e66ff9d6ae4fa8860691dfa51511468b69c9c25c9
probe-0030,pc-0469,6454,fRmaPWqByGw_25_0_05_06_560_to_0_05_41_199.mp4,"[Fill-in-the-Blank] After the helicopter lands, the visual state of the main rotor blades transitions from a continuous transparent blur to ______, as they slow to a stop.",distinct individual blades,5,Object Deformation and State Transition,Object-Centric,Fill-in-the-Blank,entity,object_actor_presence,D,c6bce11d231fcfe534cad13103027eb26dce8ff7296d51b514dcb5712c5a26e7,df6b465511fbceaee50343db330c7418d8834923044c2d0901989f2ac60941a9
probe-0031,pc-0183,7109,k-IbB7jAw9g_114_0_32_35_720_to_0_33_11_089.mp4,"[Single-Choice] Observing the final moments, what is the primary mechanism that moves the fish from the water onto the sand? [Options] A) The fish is lifted clear of the water by the tension of the line. B) An incoming wave washes the fish up onto the beach. C) The person quickly walks backward, dragging the fish out. D) The fish swims onto the sand by itself.",B,2,Dynamic Spatial Relationships,Human-Centric,Single-Choice,entity,object_actor_presence,D,3916796214ba2d9d721f6493d2e4d4206d263185a3dca71cb6e90a0877a6c5b7,53aafc6ff9172401a5ccacaddcba2b149d5f7ddf1e91932e6957d3320808a8e9
probe-0032,pc-0414,1117,NIZ_SpWGs3M_14_0_03_59_466_to_0_04_11_266.mp4,"[Multiple-Select] After the button is pressed, which of these components visually transition from an inactive state to an active, illuminated state? (Select all that apply) [Options] A) The central display screen. B) The dials behind the steering wheel. C) The buttons on the steering wheel spokes. D) The ring around the start button itself.","A,B",5,Object Deformation and State Transition,Human-Centric,Multiple-Select,simple_relation,orientation,D,cc6cdf66bebf46a756ab1589f9ba2a5fa1252906b5b2febda6d79975b2d6d86e,1a64dc3e5e3615dcaec9a0786f687ebb42884c1da0557272131e75550f848faa
probe-0033,pc-0116,1262,P_AssbIRFbI_60_0_12_14_039_to_0_13_12_480.mp4,"[True/False] As the car drives past the animals, all of them scatter in the same direction, moving towards the right side of the frame.",False,2,Dynamic Spatial Relationships,Human-Centric,True/False,action_event,temporal_order,D,f1d84b34ceff1dbf2634b6a921a57987610b005774af49c53f51c0e05fb93f53,b2f1b09ba3fdce96bb7066aad53c25026573c964725fc33a086e177bdd92fd44
probe-0034,pc-0170,5840,gNf7G6PrLv8_20_0_02_28_300_to_0_02_47_599.mp4,"[Multiple-Select] Throughout its visible flight, what are the jet's spatial relationships with the clouds? (Select all that apply) [Options] A) The jet flies exclusively in front of all clouds. B) The jet flies exclusively behind all clouds. C) The jet emerges from behind a cloud at the start. D) The jet passes in front of a large cloud formation in the middle of the video.","C, D",2,Dynamic Spatial Relationships,Object-Centric,Multiple-Select,entity,object_actor_presence,C,f6c912f0abb957e265640dbf1bd80639cd9af1d94e80242b183d1db871075ebc,a6bb36293f5871a285cfdd309e380e743b550c1b37deca1e0ed0dd5bcee79218
probe-0035,pc-0475,7398,j62217PE6CU_37_0_05_35_702_to_0_05_51_985.mp4,"[Single-Choice] What is the primary cause for the significant change in the fishing rod's shape, from nearly straight to a pronounced curve? [Options] A) The person is pushing the rod down into the water. B) The motion of the waves is lifting the front of the kayak. C) A strong force is pulling downward on the end of the fishing line. D) The camera mounted on the kayak is weighing the rod down.",C,5,Object Deformation and State Transition,Human-Centric,Single-Choice,entity,object_actor_presence,B,dccd5b2b01e0b81b6709ade044178c090c53ab9749883a321b1ff05392518253,cd66b529e6b9ca7551bdbc4facb7301e0a1aeb1d808eb23ff981dde739b67908
probe-0036,pc-0200,9853,vIm1Ave5FVw_44_0_11_04_797_to_0_11_20_346.mp4,[True/False] The person's head goes below the surface of the water as the wave passes over them.,True,2,Dynamic Spatial Relationships,Human-Centric,True/False,entity,object_actor_presence,D,0dbd58b35996b550cf1e134296b0ebcabe60cba78eddb6e3b39a94c8da2cb862,03d889a7b821745ecc3dc64ed74f6940f29c71918e7da2fe2cf39c8d545aa96e
probe-0037,pc-0288,8190,g9jDgXHane4_52_0_12_07_527_to_0_12_18_004.mp4,"[Single-Choice] Based on the boy's struggle to hold the loose pile of shoes as he stands and turns, what is the most immediate and likely spatial event to occur if he tries to walk further?
[Options]
A) The shoes will arrange themselves more neatly in his arms.
B) He will successfully carry all the shoes to his destination without issue.
C) At least one shoe will fall from his arms onto the floor.
D) The shoes will fuse into a single, easy-to-carry object.",C,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Single-Choice,simple_relation,simple_spatial_relation,B,93764524b57e5cd96e8d70d6c88329e58813cf088ee07d1e373c4a0a6af7caf8,dcbe9f3de3bba9b43c2824b26db85e50bfb1ddf48310d62fd101a9bd26d7ab18
probe-0038,pc-0369,5128,q9GoU1HN4FQ_1_0_00_15_181_to_0_00_29_129.mp4,"[Single-Choice] If the surfer had continued in a straight line toward the shore after landing the initial aerial maneuver, instead of turning along the wave's face, what would have been the most likely immediate outcome? [Options] A) They would have outrun the breaking section and ended up on the flat, less powerful part of the wave. B) They would have been immediately engulfed by the breaking crest behind them. C) They would have exited through the back of the wave. D) Their board would have submerged nose-first into the water.",A,4,Predictive and Counterfactual Spatial Reasoning,Human-Centric,Single-Choice,action_event,temporal_order,D,938d70f5172072ab50e006131cde4b580fe6116c50e5dacd61edd9d237b9156f,93c388fa61cc29d5ccd3401ecae480c51d43fc6e7c23ea5db197f471a32cf799
probe-0039,pc-0597,9375,olfO0rPYVX0_27_0_05_19_886_to_0_05_43_976.mp4,"[True/False] From the perspective of a person sitting in the driver's seat, the radio controls are located to the right of the steering wheel.",True,6,Egocentric vs. Allocentric Reference Frames,Object-Centric,True/False,simple_relation,simple_spatial_relation,C,a327f2396e9fbb4e5f03cf07be721320feebbfa08ae065e79a6e84dae220d3f2,af9049920e3b627fb256e253f189c0a2ea247e0f44d8a0a95ce53a9c4556009d
probe-0040,pc-0122,1787,HlPI1M9yYgM_27_0_04_48_766_to_0_05_05_233.mp4,"[Single-Choice] As the camera pans from looking at the passenger seat toward the dashboard, which object appears to move from the right side of the visual field to the left? [Options] A) The passenger-side door handle. B) The gear shift. C) The rearview mirror. D) The passenger headrest.",C,2,Dynamic Spatial Relationships,Human-Centric,Single-Choice,entity,object_actor_presence,A,41144d4104652e18e397d3921752a907e8cdffe7364ef74d89ebeec989ee511b,87b623dfb12a2006bad4e187013a57335aea0d30151c3845bd874489aaa413d5
probe-0041,pc-0192,8825,j8Gic59heRg_73_0_16_58_350_to_0_17_12_631.mp4,"[True/False] The person in the light-colored top and face mask, who is walking towards the camera on the right side of the street, remains to the right of the camera's central line of sight for the entire duration they are visible.",True,2,Dynamic Spatial Relationships,Human-Centric,True/False,simple_relation,orientation,C,9aaa3c9517ebe60ac84b5a930981ca67cac0ede80962e76bedc38653538abd47,12fcf2126f532af5c081fe1a92548479b9650592bdde40551a1b08bc8d142952
probe-0042,pc-0148,4260,Iucf3U0Ldwc_24_0_04_56_240_to_0_05_13_279.mp4,"[True/False] During the pan across the line of Corvettes, the red Corvette is completely hidden by a tree trunk before the white, older-model Corvette near the fountain is fully revealed.",False,2,Dynamic Spatial Relationships,Object-Centric,True/False,action_event,action_recognition,D,79727972d689c27c12ef1d788461b562a5f1d8dae25e3ec0bcf1f0ab118ddf3f,637a68eddca42ed115efacca9a05d365a2bf170ab78ab7a608924837fcdb073d
probe-0043,pc-0010,783,JbFNrcII6Eo_11_0_09_32_291_to_0_09_43_125.mp4,"[True/False] At the moment the police car becomes fully visible, the white 'Cougar' trailer is occluding the green-roofed gazebo from the camera's perspective.",True,1,Object Permanence and Occlusion Tracking,Object-Centric,True/False,simple_relation,simple_spatial_relation,A,de8344a118aa4bbcba09e35698efe3684fded01b6bac0bb93a061efb7ce8dfd7,8a838542f2a2657efd7aaae382d4426c92b7a5942e40eba5a7e34beeabef6bd4
probe-0044,pc-0135,3137,U6Gzd0m7g1Y_2_0_00_34_401_to_0_00_45_945.mp4,"[Single-Choice] As the camera pans to the right, what is the apparent motion of the large white boat in the background relative to the foreground seat backrest? [Options] A) The background boat appears to move from the right side of the seat backrest to its left side. B) The background boat appears to move from the left side of the seat backrest to its right side. C) The background boat remains stationary directly behind the seat backrest. D) The background boat is always visible to the right of the seat backrest.",A,2,Dynamic Spatial Relationships,Object-Centric,Single-Choice,action_event,action_recognition,C,19dedf43083dbcb4384f02f845013d03671263e4bcf14dd5507f0e8abd70693f,2f3a8973c2d7d10fee84c30a4cfcdad56bbddb0a5941ece1a976aed3b842de46
probe-0045,pc-0596,9364,owFY8o68sDk_32_0_05_29_666_to_0_05_39_800.mp4,"[True/False] Throughout the video, the hand holding the receiver assembly remains on the left side of the visual frame from the camera's perspective.",True,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,True/False,entity,object_actor_presence,B,b7b54701b65a4bbbd5b6f6b2d4226e3606bd403c5dea9b4d9bd386dc63a49b5d,a90138ed952b70baa00fa40b71912426aa626973159d28d4c5ccda76f6f08192
probe-0046,pc-0598,9564,mrgxon0Wf_g_47_0_10_15_000_to_0_10_30_100.mp4,"[True/False] From the man's own perspective, the finger-pointing gesture he makes early in the video is directed towards his right.",True,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,True/False,entity,object_actor_presence,C,24cbc9b8312b1a9b83983a542f4985e6953a619873a9f7679d8dd06175a370db,e38e56758ff52b9b48f4364f0a99306f793190e8e4edce041e2ffaf53f703fd3
probe-0047,pc-0589,7658,i0F4379JRnw_95_0_17_13_933_to_0_17_24_310.mp4,"[Single-Choice] Which statement accurately describes the woman's movement relative to both the camera and the blue structure in the background?
[Options]
A) She moves away from the blue structure and away from the camera.
B) She moves towards the blue structure and towards the camera.
C) She moves towards the camera but her distance from the blue structure remains constant.
D) She moves towards the camera while moving away from the blue structure.",D,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,Single-Choice,entity,object_actor_presence,A,25e577bfb1955972e623ade0341f07b10beeb39f7c35ad62a00ba405978df31a,40ae0875ba5aa38f8c174b89b6ded17f1266fbc42bdf84f4bdfa49311e352521
probe-0048,pc-0055,4444,RoKJc6eScrA_2_0_01_08_866_to_0_01_48_533.mp4,"[True/False] Between 0:26 and 0:28, a person in a yellow shirt is walking on the right sidewalk. They are temporarily occluded by the car's right A-pillar. After they reappear, they have already walked past the red and orange ""Pet Hyper"" sign.",False,1,Object Permanence and Occlusion Tracking,Object-Centric,True/False,action_event,action_recognition,B,ab10a5cdc3eaa5648f1458aafc90adbedea8366a172d45ff862a24c344e452ca,ec7d542840c8ba15acdf399783e88836e2d2f8396ef2be673869769815ead0e8
probe-0049,pc-0511,588,WrTTfmkKQsM_46_0_08_03_524_to_0_08_15_119.mp4,"[Single-Choice] As the motorcycle accelerates through the intersection, what is the final position of the red car relative to the motorcycle's camera? [Options] A) Directly in front of the motorcycle. B) To the right and behind the motorcycle. C) To the left and behind the motorcycle. D) It is no longer visible.",A,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,Single-Choice,action_event,temporal_order,C,9b93c7e28c057fdbb56a03b7e935688e580d0158cd79a2045bff0271f753f77e,d1348715be36f19535876b395dcc3fa10eb2ae33a9b2f7905ea0c6463cc67c9f
probe-0050,pc-0021,1819,EfzJ8XHu5Mo_14_0_03_32_579_to_0_05_31_564.mp4,"[True/False] After emerging from under the bench, the fox's path takes it behind the black and white gaming chair before it moves towards the center of the room.",True,1,Object Permanence and Occlusion Tracking,Human-Centric,True/False,simple_relation,orientation,C,a5eb6ab0696281431edc36903e308e3e00251522f7b10356f2803fd09ea6c5fb,7444498c5c05cc4a0a15c677da0e6ac52bc71d1ae4a69fe3dcf54c4c66d537a2
