unit_id,video,contact_sheet,category_id,category,scene_type,question_type,question,gold_answer,model_answer,control_type,control_question,control_gold_answer,control_model_answer,control_pass,primary_label,secondary_label,evidence_note,confidence,question_or_key_problem
error-0019,MnE3cI7sR6U_54_0_12_31_766_to_0_12_47_200.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0013.jpg,1,Object Permanence and Occlusion Tracking,Human-Centric,Single-Choice,"[Single-Choice] A red sedan is parked on the right at the start of the turn. As the driver's car moves forward and left, which part of the red sedan is the last to be occluded from the driver's direct forward view by the car's A-pillar? [Options] A) The front headlight. B) The rear taillight. C) The side mirror. D) The front wheel.",B,C) The side mirror.,simple_relation,"[Single-Choice] In the driver's view, where is the thick windshield pillar relative to the steering wheel? [Options] A) To the left of the steering wheel. B) To the right of the steering wheel. C) Directly above the steering wheel. D) Directly below the steering wheel.",A,A) To the left of the steering wheel.,True,spatiotemporal_grounding,perspective_reference_frame,驾驶员左转时 A 柱与右侧红车发生动态遮挡，问题要求定位最后被遮挡的具体部位；回答选择后视镜而非后尾灯，主要是遮挡顺序跟踪错误。20-frame full-duration sheet 对最后遮挡瞬间分辨率有限。,low,no
error-0020,IhCQUucY59I_5_0_02_40_639_to_0_03_00_680.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0527.jpg,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,Single-Choice,"[Single-Choice] From the perspective of the rower seated at the very front of the boat, in which direction is the chase boat that is following them located? [Options] A) Directly in front of her. B) Directly behind her. C) To her left. D) To her right.",C,B) Directly behind her.,entity,[Single-Choice] What is visible aboard the motorboat near the rowing shell? [Options] A) A large sail B) Several people C) Stacked cargo boxes D) An empty deck,B,B) Several people,True,perspective_reference_frame,spatiotemporal_grounding,追逐艇位于赛艇后侧并偏向画面下方，题目要求改用最前排划手自身朝向判断；回答直接使用船体前后关系选择“behind”，未转换到划手参照系中的左侧。,high,no
error-0021,TVPLbXI1fR8_10_0_02_28_982_to_0_03_03_182.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0247.jpg,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Single-Choice,"[Single-Choice] To open the transom door, what is the correct sequence of spatial operations performed on the latch and door? [Options] A) The handle is pushed up, then the door is pulled outward. B) The handle is rotated clockwise, then the door is pushed outward. C) The handle is pulled downward, then the door is pushed inward. D) The door is pushed inward first, which releases the handle.",A,"B) The handle is rotated clockwise, then the door is pushed outward.",entity,[Single-Choice] Which human body part is visibly present near the boat hardware? [Options] A) A hand B) A foot C) A knee D) A head,A,A) A hand,True,spatiotemporal_grounding,perception_recognition,序列依次展示提起/操作把手并向外开启艉门；回答同时混淆了把手动作方向和门的运动方向，主要错误是操作步骤及先后顺序整合。,medium,no
error-0022,WPTAA4RdksE_40_0_08_53_499_to_0_09_10_483.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0462.jpg,5,Object Deformation and State Transition,Human-Centric,Multiple-Select,[Multiple-Select] Which of the following spatial properties of the large green fabric are visibly changed by the person's folding action? (Select all that apply) [Options] A) Its total surface area. B) Its thickness in the folded region. C) The number of layers presented to the pattern. D) Its overall shape from a top-down view.,"B, C, D",BCD,entity,[Single-Choice] Which object is visible beneath the materials being handled? [Options] A) A wooden dining table B) A metal baking tray C) A blue ironing board D) A green gridded cutting mat,D,D) A green gridded cutting mat,True,protocol_or_parsing,,"模型输出 BCD 与 gold 的 B, C, D 为同一选项集合，语义和选择均完全一致；该条成为错误只能由多选格式规范化或解析计分造成。",high,no
error-0023,v9lTwOyEhd8_31_0_09_28_559_to_0_09_41_480.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0262.jpg,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Multiple-Select,"[Multiple-Select] In the second scene, the person wraps the rope around the silver winch. What is the spatial and mechanical purpose of this preparatory action? (Select all that apply)
[Options]
A) To use the friction between the rope and the winch drum to hold tension.
B) To engage the rope with a rotating mechanism that provides a mechanical advantage.
C) To guide the rope in a straight line toward the front of the boat.
D) To prepare to tie a knot, securing the rope to the winch.","A, B",A,action_event,[Single-Choice] Does the person stand beside a small boat on land before or after the man in sunglasses gestures near docked boats? [Options] A) After the gesturing near docked boats B) At the same time as the gesturing C) Before the gesturing near docked boats D) It is not shown,C,A) After the gesturing near docked boats,False,action_goal_binding,perception_recognition,序列显示绳索绕银色绞盘形成摩擦包角并借助旋转机构；回答只保留“摩擦保持张力”，遗漏了动作与机械增益目标的绑定。control 未通过，器件/动作识别可能是次要因素。,medium,no
error-0024,Y2NywKtqQdI_2_0_00_13_533_to_0_01_05_700.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0457.jpg,5,Object Deformation and State Transition,Human-Centric,Multiple-Select,"[Multiple-Select] During the man's transition from a seated to a standing position, which of these spatial changes occur? (Select all that apply) [Options] A) The vertical distance between the man's head and the kayak's floor increases. B) The selfie stick moves from a position angled upwards from his lap to a position held vertically in front of his torso. C) The paddle, resting on his left, is moved to the back of the kayak. D) His feet are repositioned from the angled footrests to the flat central floor.","A,B,D","A) The vertical distance between the man's head and the kayak's floor increases.
B) The selfie stick moves from a position angled upwards from his lap to a position held vertically in front of his torso.
C) The paddle, resting on his left, is moved to the back of the kayak.
D) His feet are repositioned from the angled footrests to the flat central floor.",action_event,[Single-Choice] Which action occurs before the man stands upright on the kayak? [Options] A) He braces a hand on the kayak rim. B) He kneels with both knees on the deck. C) He lies back across the seat. D) He raises both arms overhead.,A,B) He kneels with both knees on the deck.,False,spatiotemporal_grounding,perception_recognition,男子从坐姿站起时头部高度、自拍杆姿态和脚的位置均变化，但左侧桨未被移到艇后；回答把所有选项均选中，错误加入了不存在的跨时段桨位移。,high,no
error-0025,UrABBEA_R0Y_25_0_07_05_124_to_0_07_27_380.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0038.jpg,1,Object Permanence and Occlusion Tracking,Human-Centric,Single-Choice,"[Single-Choice] Immediately after the surfer emerges from the large splash of water at 0:14, what is the orientation of the surfboard relative to the overall direction of the wave's movement towards the shore? [Options] A) It is mostly perpendicular, pointing towards the shore. B) It is parallel, pointing along the wave's face. C) It is angled backwards, away from the shore. D) The board is completely submerged and not visible.",D,"B) It is parallel, pointing along the wave's face.",simple_relation,[Single-Choice] Where is the foamy whitewater relative to the darker green wave face? [Options] A) Above the darker green wave face B) Left of the darker green wave face C) Right of the darker green wave face D) Below the darker green wave face,D,D) Below the darker green wave face,True,spatiotemporal_grounding,perception_recognition,问题锚定冲浪者在 0:14 大水花后刚出现的瞬间，该阶段板体仍被水花遮挡；回答使用稍后可见的板面方向作答，混淆了精确时刻。,medium,no
error-0026,Zj70SP5RI7U_11_0_01_16_376_to_0_01_31_157.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0159.jpg,2,Dynamic Spatial Relationships,Human-Centric,True/False,"[True/False] During the trick, the skateboard completes a full 360-degree horizontal rotation before the person's feet land back on it.",True,False,simple_relation,[Single-Choice] Where is the person relative to the tall buildings in the background? [Options] A) In front of the buildings B) Behind the buildings C) On top of the buildings D) Inside the buildings,A,A) In front of the buildings,True,spatiotemporal_grounding,perception_recognition,题目要求累计判断滑板在整套动作中的水平旋转角度；回答否定完整 360 度，主要缺口是跨帧跟踪板面朝向。20-frame full-duration sheet 对精确角度复核有限。,low,no
error-0027,JXeuauaocHE_113_0_10_36_080_to_0_10_49_759.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0128.jpg,2,Dynamic Spatial Relationships,Object-Centric,Single-Choice,"[Single-Choice] Observing the white line on the road during the last three seconds of the video, what is its direction of movement relative to the car's body? [Options] A) It moves towards the left side of the screen. B) It moves closer to the car, towards the bottom-right of the screen. C) It remains in a static position relative to the car. D) It moves directly away from the car.",B,C) It remains in a static position relative to the car.,action_event,[Single-Choice] Which event happens before the concrete wall comes into view? [Options] A) Green trees and bushes pass by. B) Parked cars pass by. C) A tunnel entrance passes by. D) A city skyline passes by.,A,A) Green trees and bushes pass by.,True,spatiotemporal_grounding,perspective_reference_frame,末三秒道路白线相对固定在车身上的相机向画面右下方/车旁掠近，回答却称相对车身静止，未整合背景流与车辆参照物。,high,no
error-0028,kneXuHEHE4A_3_0_00_26_726_to_0_00_53_019.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0567.jpg,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,Fill-in-the-Blank,"[Fill-in-the-Blank] From the perspective of the player sitting on the bench in the background, the green team's celebration huddle occurs on the ______ side of the soccer field.",right,left,simple_relation,"[Single-Choice] In the camera view, where is the seated purple player relative to the white corner flag? [Options] A) To the right of the flag. B) To the left of the flag. C) Directly below the flag. D) On the field side of the flag.",B,D) On the field side of the flag.,False,perspective_reference_frame,perception_recognition,绿色队庆祝人群位于场地一侧，题目要求从背景替补席球员的朝向判断左右；回答直接给出画面左侧，未转换到该球员参照系。control 未通过使人物/位置识别也可能参与。,medium,no
error-0029,N1rs6Sf2x3Y_37_0_17_12_990_to_0_17_43_353.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0515.jpg,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,True/False,"[True/False] From the moment the group of four pedestrians becomes fully visible, they are always positioned to the allocentric left of the yellow car.",False,"True.

Answer: True",action_event,[Single-Choice] What is the yellow car doing as the camera approaches it? [Options] A) Driving toward the camera B) Turning across the street C) Parked along the roadside D) Reversing into traffic,C,C) Parked along the roadside,True,perspective_reference_frame,spatiotemporal_grounding,相机沿街移动并先后经过黄色车与四名行人，需在稳定场景坐标中比较双方左右位置；回答以移动画面中的瞬时位置概括为始终在左侧。,medium,no
error-0030,ZkJgqKAYywE_22_0_04_13_439_to_0_04_23_800.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0160.jpg,2,Dynamic Spatial Relationships,Object-Centric,Single-Choice,"[Single-Choice] As the camera pans right, how does the perceived spatial relationship between the small arched section of the track and the large white-tarped structure change? [Options] A) The arched section moves from being below the white structure to being above it. B) The arched section moves from being to the right of the white structure to being directly in front of it. C) The white structure moves from being behind the arched section to being beside it. D) The arched section and the white structure maintain a fixed side-by-side position.",A,C) The white structure moves from being behind the arched section to being beside it.,action_event,"[Single-Choice] Near the end, what is the camera view passing alongside? [Options] A) A row of parked cars B) A wooden roller coaster framework C) A water slide tower D) A chain-link fence line",B,B) A wooden roller coaster framework,True,spatiotemporal_grounding,perspective_reference_frame,右移镜头使前景拱形轨道与后方白色覆布结构的投影关系连续变化；回答将变化描述为白色结构由后方移到旁侧，未正确跟踪两物体的相对投影。,medium,no
error-0031,k2GjZH0EdTE_20_0_06_19_245_to_0_06_37_230.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0276.jpg,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Single-Choice,"[Single-Choice] Based on the horse's trajectory across the field, what is the rider's immediate goal? [Options] A) To head towards the parked vehicles. B) To navigate towards the line of trees in the background. C) To jump over the wooden table-like obstacle. D) To circle back to the top of the hill.",C,B) To navigate towards the line of trees in the background.,action_event,"[Single-Choice] At the beginning of the event, what is the horse doing? [Options] A) Standing beside the rider B) Grazing with its head down C) Cantering with the rider aboard D) Jumping over a fence",C,C) Cantering with the rider aboard,True,action_goal_binding,spatiotemporal_grounding,马匹沿斜线持续接近画面右下方的木质障碍并在末段到达起跳线；回答将骑手目标绑定为背景树线，而非正在接近的障碍。,high,no
error-0032,NmImpLawyDg_4_0_02_41_340_to_0_02_52_717.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0115.jpg,2,Dynamic Spatial Relationships,Object-Centric,Single-Choice,"[Single-Choice] During the camera's upward pan, what is the apparent change in the position of the blue star-shaped light in the foreground relative to the red and white star-shaped light behind it? [Options] A) The blue light moves from being below the red light to being above it. B) The blue light appears to move further down and to the left relative to the red light. C) The two lights maintain a fixed spatial relationship to each other in the frame. D) The blue light moves from being to the left of the red light to its right.",C,A) The blue light moves from being below the red light to being above it.,simple_relation,[Single-Choice] Where is the red teardrop-shaped ornament positioned relative to the red-and-white star decoration? [Options] A) lower left of it B) upper right of it C) upper left of it D) lower right of it,D,D) lower right of it,True,spatiotemporal_grounding,perception_recognition,蓝色与红白星形灯固定在同一装饰结构上，镜头上摇时二者相对位置保持不变；回答错误声称蓝灯由下方移到上方。,high,no
