model,panel_index,benchmark_index,video,source_sample_id,contact_sheet,category_id,category,scene_type,question_type,question,gold_answer,model_answer,model_raw_response,control_type,control_subtype,control_question,control_gold_answer,control_model_answer,control_pass,stratum_population_errors,stratum_sample_errors,inclusion_probability,analysis_weight,source_original_result,source_control_result,unit_id
Qwen3-VL-8B-Instruct,120,4993,Z0lkr3AQ8Xk_21_0_02_21_820_to_0_02_33_070.mp4,pc-0249,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0249.jpg,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Single-Choice,"[Single-Choice] Based on the silver car's final trajectory after swerving across the lane divider, what was its immediate spatial objective?
[Options]
A) To make a U-turn.
B) To pull over on the left shoulder.
C) To turn right at the upcoming intersection.
D) To overtake the black car.",A,C) To turn right at the upcoming intersection.,<answer>C) To turn right at the upcoming intersection.</answer>,action_event,action_recognition,"[Single-Choice] Near the start of the event, what is the black car doing? [Options] A) Turning left B) Stopping at the roadside C) Driving straight ahead D) Reversing backward",C,C) Driving straight ahead,True,16,14,0.875,1.1428571428571428,archived_workspace/experiments/perception_control/results/provisional_original_200_20260813/qwen3vl8b/results_qwen3-vl-8b_20260813_011246.json,archived_workspace/experiments/perception_control/results/provisional_eval_200_20260813/qwen3vl8b/results_qwen3-vl-8b_20260813_004934.json,error-0015
Qwen2.5-VL-7B-Instruct,106,1084,MnE3cI7sR6U_54_0_12_31_766_to_0_12_47_200.mp4,pc-0013,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0013.jpg,1,Object Permanence and Occlusion Tracking,Human-Centric,Single-Choice,"[Single-Choice] A red sedan is parked on the right at the start of the turn. As the driver's car moves forward and left, which part of the red sedan is the last to be occluded from the driver's direct forward view by the car's A-pillar? [Options] A) The front headlight. B) The rear taillight. C) The side mirror. D) The front wheel.",B,C) The side mirror.,<answer>C) The side mirror.</answer>,simple_relation,orientation,"[Single-Choice] In the driver's view, where is the thick windshield pillar relative to the steering wheel? [Options] A) To the left of the steering wheel. B) To the right of the steering wheel. C) Directly above the steering wheel. D) Directly below the steering wheel.",A,A) To the left of the steering wheel.,True,19,15,0.7894736842105263,1.2666666666666666,archived_workspace/experiments/perception_control/results/provisional_original_200_20260813/qwen25vl7b/results_qwen2.5-vl-7b_20260813_012745.json,archived_workspace/experiments/perception_control/results/provisional_eval_200_20260813/qwen25vl7b/results_qwen2.5-vl-7b_20260813_005620.json,error-0019
Qwen2.5-VL-7B-Instruct,128,5926,v9lTwOyEhd8_31_0_09_28_559_to_0_09_41_480.mp4,pc-0262,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0262.jpg,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Multiple-Select,"[Multiple-Select] In the second scene, the person wraps the rope around the silver winch. What is the spatial and mechanical purpose of this preparatory action? (Select all that apply)
[Options]
A) To use the friction between the rope and the winch drum to hold tension.
B) To engage the rope with a rotating mechanism that provides a mechanical advantage.
C) To guide the rope in a straight line toward the front of the boat.
D) To prepare to tie a knot, securing the rope to the winch.","A, B",A,<answer>A</answer>,action_event,temporal_order,[Single-Choice] Does the person stand beside a small boat on land before or after the man in sunglasses gestures near docked boats? [Options] A) After the gesturing near docked boats B) At the same time as the gesturing C) Before the gesturing near docked boats D) It is not shown,C,A) After the gesturing near docked boats,False,22,18,0.8181818181818182,1.222222222222222,archived_workspace/experiments/perception_control/results/provisional_original_200_20260813/qwen25vl7b/results_qwen2.5-vl-7b_20260813_012745.json,archived_workspace/experiments/perception_control/results/provisional_eval_200_20260813/qwen25vl7b/results_qwen2.5-vl-7b_20260813_005620.json,error-0023
InternVL3-2B,139,6011,Y2NywKtqQdI_2_0_00_13_533_to_0_01_05_700.mp4,pc-0457,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0457.jpg,5,Object Deformation and State Transition,Human-Centric,Multiple-Select,"[Multiple-Select] During the man's transition from a seated to a standing position, which of these spatial changes occur? (Select all that apply) [Options] A) The vertical distance between the man's head and the kayak's floor increases. B) The selfie stick moves from a position angled upwards from his lap to a position held vertically in front of his torso. C) The paddle, resting on his left, is moved to the back of the kayak. D) His feet are repositioned from the angled footrests to the flat central floor.","A,B,D","A) The vertical distance between the man's head and the kayak's floor increases.
B) The selfie stick moves from a position angled upwards from his lap to a position held vertically in front of his torso.
C) The paddle, resting on his left, is moved to the back of the kayak.
D) His feet are repositioned from the angled footrests to the flat central floor.","Based on the video, the man transitions from a seated to a standing position. In this transition, the vertical distance between his head and the kayak's floor increases, as he moves from a seated to a standing position. The selfie stick moves from a position angled upwards from his lap to a position held vertically in front of his torso, and the paddle is moved to the back of the kayak. His feet are repositioned from the angled footrests to the flat central floor. Therefore, the correct options are A, B, C, and D.

<answer>
A) The vertical distance between the man's head and the kayak's floor increases.
B) The selfie stick moves from a position angled upwards from his lap to a position held vertically in front of his torso.
C) The paddle, resting on his left, is moved to the back of the kayak.
D) His feet are repositioned from the angled footrests to the flat central floor.
</answer>",action_event,temporal_order,[Single-Choice] Which action occurs before the man stands upright on the kayak? [Options] A) He braces a hand on the kayak rim. B) He kneels with both knees on the deck. C) He lies back across the seat. D) He raises both arms overhead.,A,B) He kneels with both knees on the deck.,False,19,16,0.8421052631578947,1.1875,archived_workspace/experiments/perception_control/results/provisional_original_200_20260813/internvl3_2b/results_internvl3-2b_20260813_005643.json,archived_workspace/experiments/perception_control/results/provisional_eval_200_20260813/internvl3_2b/results_internvl3-2b_20260813_004116.json,error-0024
Qwen3-VL-8B-Instruct,147,5563,kneXuHEHE4A_3_0_00_26_726_to_0_00_53_019.mp4,pc-0567,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0567.jpg,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,Fill-in-the-Blank,"[Fill-in-the-Blank] From the perspective of the player sitting on the bench in the background, the green team's celebration huddle occurs on the ______ side of the soccer field.",right,left,<answer>left</answer>,simple_relation,orientation,"[Single-Choice] In the camera view, where is the seated purple player relative to the white corner flag? [Options] A) To the right of the flag. B) To the left of the flag. C) Directly below the flag. D) On the field side of the flag.",B,D) On the field side of the flag.,False,23,21,0.9130434782608695,1.0952380952380953,archived_workspace/experiments/perception_control/results/provisional_original_200_20260813/qwen3vl8b/results_qwen3-vl-8b_20260813_011246.json,archived_workspace/experiments/perception_control/results/provisional_eval_200_20260813/qwen3vl8b/results_qwen3-vl-8b_20260813_004934.json,error-0028
Qwen3-VL-8B-Instruct,86,3768,Xg9VRoWYh0E_60_0_12_29_782_to_0_12_48_033.mp4,pc-0550,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0550.jpg,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,True/False,"[True/False] From the initial forward-facing viewpoint, the trolling motor is in front of the camera, but from the final viewpoint focused on the driver, the trolling motor is behind the camera.",False,True,<answer>True</answer>,action_event,temporal_order,[Single-Choice] Does the tree-covered shoreline on the left appear before or after the man in the blue cap is shown holding the steering wheel? [Options] A) After B) At the same moment C) Before D) One event is not visible,C,A) After,False,23,21,0.9130434782608695,1.0952380952380953,archived_workspace/experiments/perception_control/results/provisional_original_200_20260813/qwen3vl8b/results_qwen3-vl-8b_20260813_011246.json,archived_workspace/experiments/perception_control/results/provisional_eval_200_20260813/qwen3vl8b/results_qwen3-vl-8b_20260813_004934.json,error-0044
InternVL3-2B,5,4749,VpbGt1S2_MA_15_0_01_26_553_to_0_01_39_399.mp4,pc-0060,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0060.jpg,1,Object Permanence and Occlusion Tracking,Human-Centric,True/False,"[True/False] During the moment the white boat (sail number 3412) overtakes the yellow boat, the person steering the yellow boat is completely hidden from the camera's view by the white boat's sail.",False,True,<answer>True</answer>,simple_relation,simple_spatial_relation,"[Single-Choice] When the white and yellow sailboats pass close together, where is the yellow boat relative to the nearby white sailboat in the view? [Options] A) Behind and to the right B) In front and to the left C) Behind and to the left D) In front and to the right",C,D) In front and to the right,False,22,18,0.8181818181818182,1.222222222222222,archived_workspace/experiments/perception_control/results/provisional_original_200_20260813/internvl3_2b/results_internvl3-2b_20260813_005643.json,archived_workspace/experiments/perception_control/results/provisional_eval_200_20260813/internvl3_2b/results_internvl3-2b_20260813_004116.json,error-0063
InternVL3-2B,85,1347,amXzenmYYlw_12_0_03_47_400_to_0_03_57_680.mp4,pc-0016,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0016.jpg,1,Object Permanence and Occlusion Tracking,Human-Centric,Fill-in-the-Blank,"[Fill-in-the-Blank] A utility pole temporarily occludes the man. Immediately after he reappears, he is on the ______ side of the white parked car.",left,right,"<answer>right</answer>

I used the information from the video to determine that the man reappears on the right side of the white parked car.",simple_relation,simple_spatial_relation,[Single-Choice] Where is the white parked car located relative to the storefront? [Options] A) In front of the storefront B) Behind the storefront C) Across the road from the storefront D) Inside the storefront,A,B,False,22,18,0.8181818181818182,1.222222222222222,archived_workspace/experiments/perception_control/results/provisional_original_200_20260813/internvl3_2b/results_internvl3-2b_20260813_005643.json,archived_workspace/experiments/perception_control/results/provisional_eval_200_20260813/internvl3_2b/results_internvl3-2b_20260813_004116.json,error-0065
InternVL3-2B,181,5940,tfADOMbJYlU_54_0_11_29_556_to_0_11_46_539.mp4,pc-0266,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0266.jpg,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Multiple-Select,"[Multiple-Select] Throughout the video, the driver's hands make minor adjustments to the steering wheel. What is the spatial intent of these small movements, as confirmed by the car's trajectory on the road? (Select all that apply) [Options] A) To prepare to change lanes to the left. B) To correct the car's path and keep it centered within the lane markings. C) To navigate a slight curve in the road. D) To initiate a sudden stop.","B,C",BC,"<answer>BC</answer>

The driver's hands make minor adjustments to the steering wheel, which suggests they are preparing to change lanes to the left (Option A) or correcting the car's path to keep it centered within the lane markings (Option B). There is no indication of a slight curve in the road or an intention to initiate a sudden stop.",action_event,action_recognition,"[Single-Choice] At one point, what action does the driver make beside the steering wheel? [Options] A) Presses a dashboard button B) Raises an open hand C) Shifts the gear lever D) Buckles a seat belt",B,B) Raises an open hand,True,15,12,0.8,1.25,archived_workspace/experiments/perception_control/results/provisional_original_200_20260813/internvl3_2b/results_internvl3-2b_20260813_005643.json,archived_workspace/experiments/perception_control/results/provisional_eval_200_20260813/internvl3_2b/results_internvl3-2b_20260813_004116.json,error-0108
Qwen3-VL-8B-Instruct,28,5641,lkF5Q42T8Rg_6_0_14_53_433_to_0_15_07_033.mp4,pc-0165,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0165.jpg,2,Dynamic Spatial Relationships,Human-Centric,Single-Choice,"[Single-Choice] When the woman crosses her arms, which of her arms is positioned on top of the other from the viewer's perspective? [Options] A) Her right arm is on top of her left arm. B) Her left arm is on top of her right arm. C) Her arms are held side-by-side and do not cross. D) Her hands are clasped together in the center.",A,B,<answer>B</answer>,simple_relation,simple_spatial_relation,[Single-Choice] Where is the large silver microphone relative to the woman from the viewer's perspective? [Options] A) To the viewer's right of her B) To the viewer's left of her C) Directly below her D) Directly behind her,A,B) To the viewer's left of her,False,21,19,0.9047619047619048,1.1052631578947367,archived_workspace/experiments/perception_control/results/provisional_original_200_20260813/qwen3vl8b/results_qwen3-vl-8b_20260813_011246.json,archived_workspace/experiments/perception_control/results/provisional_eval_200_20260813/qwen3vl8b/results_qwen3-vl-8b_20260813_004934.json,error-0110
