unit_id,video,contact_sheet,category_id,category,scene_type,question_type,question,gold_answer,model_answer,control_type,control_question,control_gold_answer,control_model_answer,control_pass,primary_label,secondary_label,evidence_note,confidence,question_or_key_problem
error-0011,TD27Rs6mTes_1_0_00_06_519_to_0_00_16_920.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0534.jpg,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,Single-Choice,"[Single-Choice] If the woman in the black dress were to turn 180 degrees, what would be directly in her line of sight? [Options] A) The man carrying a basket on his shoulder. B) A stone fountain. C) The large arched doorway. D) The woman with her back to the camera.",C,A) The man carrying a basket on his shoulder.,simple_relation,[Single-Choice] Where in the image is the green double door relative to the woman in the black dress? [Options] A) To her right B) To her left C) Directly above her D) Directly below her,A,A) To her right,True,perspective_reference_frame,action_goal_binding,"20-frame full-duration sheet: the woman in black initially faces the foreground woman, with the arched doorway behind her; after a 180-degree body-centered turn her sight line would face the doorway rather than the basket-carrying man.",high,no
error-0012,coriwTyx1Os_26_0_04_32_890_to_0_04_45_408.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0315.jpg,4,Predictive and Counterfactual Spatial Reasoning,Object-Centric,True/False,"[True/False] Assuming the flying object's path relative to the road remained the same, if the camera vehicle had been traveling in the left lane at the same speed, the object would have most likely passed harmlessly behind it.",False,True,action_event,"[Single-Choice] Before the dark object comes close, what is the camera vehicle doing? [Options] A) Merging into the left lane B) Driving straight in the right lane C) Pulling onto the shoulder D) Turning off the highway",B,B) Driving straight in the right lane,True,physical_prediction_counterfactual,spatiotemporal_grounding,20-frame full-duration sheet: the vehicle remains in the right lane while the airborne object approaches and crosses the forward view; the answer does not preserve the observed relative trajectory under the left-lane counterfactual.,medium,no
error-0013,XrwHnGrObHA_29_0_06_33_460_to_0_06_50_176.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0364.jpg,4,Predictive and Counterfactual Spatial Reasoning,Object-Centric,Single-Choice,"[Single-Choice] At 0:03, a fish is swimming from the upper right towards the lower left. Given its trajectory at that moment, if it had continued in a perfectly straight line, where would it have most likely exited the frame? [Options] A) The bottom edge of the frame. B) The left edge of the frame. C) The top edge of the frame. D) It would have remained in the center.",A,B) The left edge of the frame.,action_event,[Single-Choice] Which event occurs before the fish becomes clearly visible in the water? [Options] A) The fish passes close to the lower edge. B) Two fish overlap near the center. C) Only water and a dark diagonal reflection are visible. D) The fish touches the left border.,C,C) Only water and a dark diagonal reflection are visible.,True,physical_prediction_counterfactual,spatiotemporal_grounding,"20-frame full-duration sheet: once visible, the fish moves diagonally from upper right toward lower left with a stronger downward component; extending that local vector reaches the bottom edge before the left edge.",medium,no
error-0014,Zj70SP5RI7U_11_0_01_16_376_to_0_01_31_157.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0159.jpg,2,Dynamic Spatial Relationships,Human-Centric,True/False,"[True/False] During the trick, the skateboard completes a full 360-degree horizontal rotation before the person's feet land back on it.",True,False,simple_relation,[Single-Choice] Where is the person relative to the tall buildings in the background? [Options] A) In front of the buildings B) Behind the buildings C) On top of the buildings D) Inside the buildings,A,A) In front of the buildings,True,spatiotemporal_grounding,perception_recognition,20-frame full-duration sheet: the skateboard's horizontal orientation changes across the airborne trick and returns under the rider; the false response fails to integrate the board orientation over the full rotation interval.,medium,no
error-0015,Z0lkr3AQ8Xk_21_0_02_21_820_to_0_02_33_070.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0249.jpg,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Single-Choice,"[Single-Choice] Based on the silver car's final trajectory after swerving across the lane divider, what was its immediate spatial objective?
[Options]
A) To make a U-turn.
B) To pull over on the left shoulder.
C) To turn right at the upcoming intersection.
D) To overtake the black car.",A,C) To turn right at the upcoming intersection.,action_event,"[Single-Choice] Near the start of the event, what is the black car doing? [Options] A) Turning left B) Stopping at the roadside C) Driving straight ahead D) Reversing backward",C,C) Driving straight ahead,True,action_goal_binding,spatiotemporal_grounding,"20-frame full-duration sheet: the silver car crosses leftward ahead of the camera and continues rotating back across the roadway, supporting an immediate U-turn objective; the answer binds the maneuver to a right turn at the intersection.",high,no
error-0016,EEDc5gDPPdE_10_0_01_11_538_to_0_01_22_449.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0121.jpg,2,Dynamic Spatial Relationships,Human-Centric,True/False,"[True/False] As the two individuals walk along the shoreline, the tall, multi-story building in the background appears to move from the right side of the camera's view towards the center.",False,True,simple_relation,[Single-Choice] Where is the long pier relative to the two beachgoers? [Options] A) Behind them to the viewer's right B) Behind them to the viewer's left C) In front of them to the viewer's right D) Between them in the foreground,A,[Answer] A) Behind them to the viewer's right,True,perspective_reference_frame,spatiotemporal_grounding,"20-frame full-duration sheet: the selfie camera changes pose while the beachgoers walk, but the tall building remains in the same background sector rather than translating from image-right to center; the answer confuses camera-relative apparent motion.",medium,no
error-0017,smpHs3qH_dE_40_0_07_17_854_to_0_07_29_532.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0372.jpg,4,Predictive and Counterfactual Spatial Reasoning,Object-Centric,Single-Choice,"[Single-Choice] Based on the white van's consistent speed and trajectory, which object would its front bumper be aligned with approximately one second after the video ends? [Options] A) The front of the parked dark-colored SUV. B) The rear of the parked silver sedan. C) The storefront with the red sign in the distance. D) The second light pole on the sidewalk.",D,C,action_event,"[Single-Choice] Near the start, what is the camera doing as the street is viewed? [Options] A) Moving forward along the sidewalk B) Remaining fixed beside the curb C) Tilting upward toward the trees D) Crossing the street toward cars",A,A) Moving forward along the sidewalk,True,physical_prediction_counterfactual,spatiotemporal_grounding,20-frame full-duration sheet: the white van advances steadily past successive curbside landmarks while the camera moves along the sidewalk; selecting the distant storefront does not match the one-second continuation toward the second light pole.,medium,no
error-0018,cvHz5JgkzlM_41_0_06_01_094_to_0_06_15_742.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0325.jpg,4,Predictive and Counterfactual Spatial Reasoning,Human-Centric,Single-Choice,"[Single-Choice] If the car had continued its trajectory and rotation from the point seen at the 0:07 mark without the driver correcting its path, which object would it have most likely collided with? [Options] A) The parked semi-trailer on the right. B) The green dumpsters. C) The white truck that briefly enters from the left. D) The loading dock doors of the main building.",D,A) The parked semi-trailer on the right.,entity,[Single-Choice] Which upright object is visible near the edge of the paved lot? [Options] A) Orange traffic cones B) Yellow protective bollards C) A bicycle rack D) A red fire hydrant,B,"B) Yellow protective bollards
B) Yellow protective bollards",True,physical_prediction_counterfactual,spatiotemporal_grounding,"20-frame full-duration sheet: near 0:07 the white car is rotating toward the loading-dock facade; continuing that rotation and trajectory points toward the dock doors, not the stationary semi-trailer on the right.",high,no
error-0019,MnE3cI7sR6U_54_0_12_31_766_to_0_12_47_200.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0013.jpg,1,Object Permanence and Occlusion Tracking,Human-Centric,Single-Choice,"[Single-Choice] A red sedan is parked on the right at the start of the turn. As the driver's car moves forward and left, which part of the red sedan is the last to be occluded from the driver's direct forward view by the car's A-pillar? [Options] A) The front headlight. B) The rear taillight. C) The side mirror. D) The front wheel.",B,C) The side mirror.,simple_relation,"[Single-Choice] In the driver's view, where is the thick windshield pillar relative to the steering wheel? [Options] A) To the left of the steering wheel. B) To the right of the steering wheel. C) Directly above the steering wheel. D) Directly below the steering wheel.",A,A) To the left of the steering wheel.,True,spatiotemporal_grounding,perspective_reference_frame,"20-frame full-duration sheet: during the driver's forward-left turn, the red sedan sweeps behind the fixed left A-pillar and its rear portion remains visible last; choosing the side mirror loses the occlusion order in the driver-centered view.",medium,no
error-0020,IhCQUucY59I_5_0_02_40_639_to_0_03_00_680.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0527.jpg,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,Single-Choice,"[Single-Choice] From the perspective of the rower seated at the very front of the boat, in which direction is the chase boat that is following them located? [Options] A) Directly in front of her. B) Directly behind her. C) To her left. D) To her right.",C,B) Directly behind her.,entity,[Single-Choice] What is visible aboard the motorboat near the rowing shell? [Options] A) A large sail B) Several people C) Stacked cargo boxes D) An empty deck,B,B) Several people,True,perspective_reference_frame,spatiotemporal_grounding,"20-frame full-duration sheet: the chase motorboat follows behind the rowing shell in world coordinates, but the front rower faces opposite the shell's travel direction; from her seated perspective the boat falls to her left rather than directly behind.",medium,no
error-0021,TVPLbXI1fR8_10_0_02_28_982_to_0_03_03_182.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0247.jpg,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Single-Choice,"[Single-Choice] To open the transom door, what is the correct sequence of spatial operations performed on the latch and door? [Options] A) The handle is pushed up, then the door is pulled outward. B) The handle is rotated clockwise, then the door is pushed outward. C) The handle is pulled downward, then the door is pushed inward. D) The door is pushed inward first, which releases the handle.",A,"B) The handle is rotated clockwise, then the door is pushed outward.",entity,[Single-Choice] Which human body part is visibly present near the boat hardware? [Options] A) A hand B) A foot C) A knee D) A head,A,A) A hand,True,spatiotemporal_grounding,perception_recognition,"20-frame full-duration sheet: the hand first lifts the transom latch handle and then pulls the released door outward; the answer substitutes a clockwise rotation and outward push, reversing the observed operation sequence and direction.",high,no
error-0022,WPTAA4RdksE_40_0_08_53_499_to_0_09_10_483.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0462.jpg,5,Object Deformation and State Transition,Human-Centric,Multiple-Select,[Multiple-Select] Which of the following spatial properties of the large green fabric are visibly changed by the person's folding action? (Select all that apply) [Options] A) Its total surface area. B) Its thickness in the folded region. C) The number of layers presented to the pattern. D) Its overall shape from a top-down view.,"B, C, D",BCD,entity,[Single-Choice] Which object is visible beneath the materials being handled? [Options] A) A wooden dining table B) A metal baking tray C) A blue ironing board D) A green gridded cutting mat,D,D) A green gridded cutting mat,True,protocol_or_parsing,,"20-frame full-duration sheet: folding visibly increases local thickness and layer count and changes the top-down shape; the model response 'BCD' selects exactly the three gold options, so the recorded error is attributable to response normalization or parsing.",high,no
error-0023,v9lTwOyEhd8_31_0_09_28_559_to_0_09_41_480.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0262.jpg,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Multiple-Select,"[Multiple-Select] In the second scene, the person wraps the rope around the silver winch. What is the spatial and mechanical purpose of this preparatory action? (Select all that apply)
[Options]
A) To use the friction between the rope and the winch drum to hold tension.
B) To engage the rope with a rotating mechanism that provides a mechanical advantage.
C) To guide the rope in a straight line toward the front of the boat.
D) To prepare to tie a knot, securing the rope to the winch.","A, B",A,action_event,[Single-Choice] Does the person stand beside a small boat on land before or after the man in sunglasses gestures near docked boats? [Options] A) After the gesturing near docked boats B) At the same time as the gesturing C) Before the gesturing near docked boats D) It is not shown,C,A) After the gesturing near docked boats,False,action_goal_binding,perception_recognition,20-frame full-duration sheet: the rope is wrapped around the silver winch drum to create friction and engage the mechanical winding system; selecting only friction omits the visible mechanism-related purpose.,high,no
error-0024,Y2NywKtqQdI_2_0_00_13_533_to_0_01_05_700.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0457.jpg,5,Object Deformation and State Transition,Human-Centric,Multiple-Select,"[Multiple-Select] During the man's transition from a seated to a standing position, which of these spatial changes occur? (Select all that apply) [Options] A) The vertical distance between the man's head and the kayak's floor increases. B) The selfie stick moves from a position angled upwards from his lap to a position held vertically in front of his torso. C) The paddle, resting on his left, is moved to the back of the kayak. D) His feet are repositioned from the angled footrests to the flat central floor.","A,B,D","A) The vertical distance between the man's head and the kayak's floor increases.
B) The selfie stick moves from a position angled upwards from his lap to a position held vertically in front of his torso.
C) The paddle, resting on his left, is moved to the back of the kayak.
D) His feet are repositioned from the angled footrests to the flat central floor.",action_event,[Single-Choice] Which action occurs before the man stands upright on the kayak? [Options] A) He braces a hand on the kayak rim. B) He kneels with both knees on the deck. C) He lies back across the seat. D) He raises both arms overhead.,A,B) He kneels with both knees on the deck.,False,spatiotemporal_grounding,perception_recognition,"20-frame full-duration sheet: across the seated-to-standing transition the man's head rises, the selfie stick becomes upright, and his feet reposition, while the paddle remains alongside rather than moving behind the kayak; the answer incorrectly includes that non-occurring change.",high,no
error-0025,UrABBEA_R0Y_25_0_07_05_124_to_0_07_27_380.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0038.jpg,1,Object Permanence and Occlusion Tracking,Human-Centric,Single-Choice,"[Single-Choice] Immediately after the surfer emerges from the large splash of water at 0:14, what is the orientation of the surfboard relative to the overall direction of the wave's movement towards the shore? [Options] A) It is mostly perpendicular, pointing towards the shore. B) It is parallel, pointing along the wave's face. C) It is angled backwards, away from the shore. D) The board is completely submerged and not visible.",D,"B) It is parallel, pointing along the wave's face.",simple_relation,[Single-Choice] Where is the foamy whitewater relative to the darker green wave face? [Options] A) Above the darker green wave face B) Left of the darker green wave face C) Right of the darker green wave face D) Below the darker green wave face,D,D) Below the darker green wave face,True,spatiotemporal_grounding,perception_recognition,"20-frame full-duration sheet: immediately after the large splash around 0:14 the surfboard is occluded/submerged, becoming visible again only later; the answer applies a later parallel-board state to the specified immediate moment.",medium,no
error-0026,Zj70SP5RI7U_11_0_01_16_376_to_0_01_31_157.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0159.jpg,2,Dynamic Spatial Relationships,Human-Centric,True/False,"[True/False] During the trick, the skateboard completes a full 360-degree horizontal rotation before the person's feet land back on it.",True,False,simple_relation,[Single-Choice] Where is the person relative to the tall buildings in the background? [Options] A) In front of the buildings B) Behind the buildings C) On top of the buildings D) Inside the buildings,A,A) In front of the buildings,True,spatiotemporal_grounding,perception_recognition,20-frame full-duration sheet: the board changes horizontal orientation through the airborne trick and returns beneath the rider before landing; the false answer misses the complete rotation across time.,medium,no
error-0027,JXeuauaocHE_113_0_10_36_080_to_0_10_49_759.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0128.jpg,2,Dynamic Spatial Relationships,Object-Centric,Single-Choice,"[Single-Choice] Observing the white line on the road during the last three seconds of the video, what is its direction of movement relative to the car's body? [Options] A) It moves towards the left side of the screen. B) It moves closer to the car, towards the bottom-right of the screen. C) It remains in a static position relative to the car. D) It moves directly away from the car.",B,C) It remains in a static position relative to the car.,action_event,[Single-Choice] Which event happens before the concrete wall comes into view? [Options] A) Green trees and bushes pass by. B) Parked cars pass by. C) A tunnel entrance passes by. D) A city skyline passes by.,A,A) Green trees and bushes pass by.,True,spatiotemporal_grounding,perspective_reference_frame,20-frame full-duration sheet: during the final seconds the road line flows rearward and toward the lower-right relative to the fixed red car body; the answer incorrectly treats it as car-fixed.,high,no
error-0028,kneXuHEHE4A_3_0_00_26_726_to_0_00_53_019.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0567.jpg,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,Fill-in-the-Blank,"[Fill-in-the-Blank] From the perspective of the player sitting on the bench in the background, the green team's celebration huddle occurs on the ______ side of the soccer field.",right,left,simple_relation,"[Single-Choice] In the camera view, where is the seated purple player relative to the white corner flag? [Options] A) To the right of the flag. B) To the left of the flag. C) Directly below the flag. D) On the field side of the flag.",B,D) On the field side of the flag.,False,perspective_reference_frame,perception_recognition,20-frame full-duration sheet: the celebration huddle is on the bench player's right-hand side of the field; the answer maps image/world left-right without preserving the seated player's viewpoint.,medium,no
error-0029,N1rs6Sf2x3Y_37_0_17_12_990_to_0_17_43_353.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0515.jpg,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,True/False,"[True/False] From the moment the group of four pedestrians becomes fully visible, they are always positioned to the allocentric left of the yellow car.",False,"True.

Answer: True",action_event,[Single-Choice] What is the yellow car doing as the camera approaches it? [Options] A) Driving toward the camera B) Turning across the street C) Parked along the roadside D) Reversing into traffic,C,C) Parked along the roadside,True,spatiotemporal_grounding,perspective_reference_frame,20-frame full-duration sheet: the pedestrian group and yellow parked car change their left-right ordering as the moving camera passes them; 'always left' fails over the full visible interval.,high,no
error-0030,ZkJgqKAYywE_22_0_04_13_439_to_0_04_23_800.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0160.jpg,2,Dynamic Spatial Relationships,Object-Centric,Single-Choice,"[Single-Choice] As the camera pans right, how does the perceived spatial relationship between the small arched section of the track and the large white-tarped structure change? [Options] A) The arched section moves from being below the white structure to being above it. B) The arched section moves from being to the right of the white structure to being directly in front of it. C) The white structure moves from being behind the arched section to being beside it. D) The arched section and the white structure maintain a fixed side-by-side position.",A,C) The white structure moves from being behind the arched section to being beside it.,action_event,"[Single-Choice] Near the end, what is the camera view passing alongside? [Options] A) A row of parked cars B) A wooden roller coaster framework C) A water slide tower D) A chain-link fence line",B,B) A wooden roller coaster framework,True,perspective_reference_frame,spatiotemporal_grounding,20-frame full-duration sheet: the rightward pan changes the projected vertical relation of the foreground arched track and the white-tarped structure; the answer instead describes a behind-to-beside depth change.,medium,no
error-0031,k2GjZH0EdTE_20_0_06_19_245_to_0_06_37_230.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0276.jpg,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Single-Choice,"[Single-Choice] Based on the horse's trajectory across the field, what is the rider's immediate goal? [Options] A) To head towards the parked vehicles. B) To navigate towards the line of trees in the background. C) To jump over the wooden table-like obstacle. D) To circle back to the top of the hill.",C,B) To navigate towards the line of trees in the background.,action_event,"[Single-Choice] At the beginning of the event, what is the horse doing? [Options] A) Standing beside the rider B) Grazing with its head down C) Cantering with the rider aboard D) Jumping over a fence",C,C) Cantering with the rider aboard,True,action_goal_binding,spatiotemporal_grounding,20-frame full-duration sheet: the horse's path converges directly on the wooden table obstacle and the rider clears it at the end; the answer binds the trajectory to the distant tree line.,high,no
error-0032,NmImpLawyDg_4_0_02_41_340_to_0_02_52_717.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0115.jpg,2,Dynamic Spatial Relationships,Object-Centric,Single-Choice,"[Single-Choice] During the camera's upward pan, what is the apparent change in the position of the blue star-shaped light in the foreground relative to the red and white star-shaped light behind it? [Options] A) The blue light moves from being below the red light to being above it. B) The blue light appears to move further down and to the left relative to the red light. C) The two lights maintain a fixed spatial relationship to each other in the frame. D) The blue light moves from being to the left of the red light to its right.",C,A) The blue light moves from being below the red light to being above it.,simple_relation,[Single-Choice] Where is the red teardrop-shaped ornament positioned relative to the red-and-white star decoration? [Options] A) lower left of it B) upper right of it C) upper left of it D) lower right of it,D,D) lower right of it,True,perspective_reference_frame,spatiotemporal_grounding,20-frame full-duration sheet: the blue foreground star and red-white star are fixed decorations and retain their relative arrangement during the shared upward camera pan; the answer invents a relative crossing.,high,no
