sample_id,video,status,bytes,sha256,archive_member,message
video-00013,-3L8g7Ir9p4_59_0_11_10_202_to_0_11_24_417.mp4,extracted,6616476,23effb798b42ec76abf9140231ef811435d74dfee5ed4e477f72fbb7c6928883,data/videos/-3L8g7Ir9p4_59_0_11_10_202_to_0_11_24_417.mp4,
video-00014,-4ALrMwt80E_25_0_03_52_315_to_0_04_02_992.mp4,extracted,3245343,75f8b8791d161ecde8587c52bca4f429153e223163cbf328e90c971f62b502d0,data/videos/-4ALrMwt80E_25_0_03_52_315_to_0_04_02_992.mp4,
video-00015,-4FYtuRkUUg_61_0_07_43_797_to_0_07_55_909.mp4,extracted,3067042,5f0e639296e7ecb05f8241fa33a2be7eaf2717bd9ddd2bcc08f02e4ed96a539c,data/videos/-4FYtuRkUUg_61_0_07_43_797_to_0_07_55_909.mp4,
video-00016,-4Fn63osbfc_23_0_06_15_708_to_0_06_42_502.mp4,extracted,9533714,3529337e73b07a932c0275873283451eaafa39fbff949cb70d560fb3407e0251,data/videos/-4Fn63osbfc_23_0_06_15_708_to_0_06_42_502.mp4,
video-00017,-4Fn63osbfc_31_0_08_25_438_to_0_08_38_150.mp4,extracted,4150077,47e5756e3b54021c650bac6415856a2da0fd87760b013581833ffe360fdcb849,data/videos/-4Fn63osbfc_31_0_08_25_438_to_0_08_38_150.mp4,
video-00018,-4Fn63osbfc_9_0_01_47_674_to_0_02_13_366.mp4,extracted,9051022,b65d5a259070c38c6d5a4961ded764ac76376ca85bc43b1705d25d460f4c0acf,data/videos/-4Fn63osbfc_9_0_01_47_674_to_0_02_13_366.mp4,
video-00019,-4Nmczr1wfE_6_0_03_27_407_to_0_03_40_253.mp4,extracted,3578811,a2302ada98f81c9cc9d5d9dd43bb46e6e04340e7e9fb6a53e6682870352cef2f,data/videos/-4Nmczr1wfE_6_0_03_27_407_to_0_03_40_253.mp4,
video-00020,-58bHkD5Li8_3_0_00_46_913_to_0_01_07_066.mp4,extracted,7550943,467464e17ead417dacf5ca3658bed20359348a68f8a767bbbee1e1254921ecd3,data/videos/-58bHkD5Li8_3_0_00_46_913_to_0_01_07_066.mp4,
video-00021,-5_jTyh-3Ng_12_0_02_18_204_to_0_02_29_416.mp4,extracted,7159754,1da84e662fde4834fe0fad16dc2a5d530aa4fc79c6c410063c1f7bc45228825a,data/videos/-5_jTyh-3Ng_12_0_02_18_204_to_0_02_29_416.mp4,
video-00022,-5_jTyh-3Ng_6_0_01_33_293_to_0_01_51_678.mp4,extracted,11614482,74b52dd20a5c45bea25bbbb0335fc3ddbdfc2429e4f355d91ccb5f0aedb069b8,data/videos/-5_jTyh-3Ng_6_0_01_33_293_to_0_01_51_678.mp4,
video-00023,-6HvZzTRfR8_8_0_01_15_325_to_0_01_33_760.mp4,extracted,6473757,48cead8a1ba531a4a1218026e09c1e718ad6f34688e4919b32c3451bbf86cfbb,data/videos/-6HvZzTRfR8_8_0_01_15_325_to_0_01_33_760.mp4,
video-00024,-6I5cAQxZF8_21_0_03_44_424_to_0_04_28_067.mp4,extracted,8284626,321163313ee22e412cc622c5762bfbddb5c52f4442a8c7157569df070a098e8e,data/videos/-6I5cAQxZF8_21_0_03_44_424_to_0_04_28_067.mp4,
video-00025,-6cTYl5P0iU_52_0_07_36_722_to_0_07_51_604.mp4,extracted,2046571,ada35353fc6c332bfcb86525a8507a5af9c3325d3f2074db4d5ec4bd253ec5e9,data/videos/-6cTYl5P0iU_52_0_07_36_722_to_0_07_51_604.mp4,
video-00026,-6qoceEjwbA_27_0_04_14_253_to_0_04_31_437.mp4,extracted,3695210,91fed58762a871fc8951ccf8e08bf9b24079605603a03066cc81eedd936bcde9,data/videos/-6qoceEjwbA_27_0_04_14_253_to_0_04_31_437.mp4,
video-00027,-7eA3nXC27Q_27_0_04_10_291_to_0_04_35_858.mp4,extracted,11213469,98d75d233faa8e038641763d7eba31c0581861b9f975f85321824712d3510e72,data/videos/-7eA3nXC27Q_27_0_04_10_291_to_0_04_35_858.mp4,
video-00028,-7eA3nXC27Q_37_0_07_08_302_to_0_07_35_246.mp4,extracted,15627671,34d4eef35700a2fed06603b762947488275be9ec101f3794dec38aa75e4b592f,data/videos/-7eA3nXC27Q_37_0_07_08_302_to_0_07_35_246.mp4,
video-00029,-9c0LlMoCrA_9_0_05_13_613_to_0_05_33_299.mp4,extracted,5286981,2fa1487af349626217d782be43f0b7a26e40ca3f5ec2ad0a117b9523328d33bd,data/videos/-9c0LlMoCrA_9_0_05_13_613_to_0_05_33_299.mp4,
video-00030,-GlaQJYUn-0_48_0_11_22_949_to_0_11_33_827.mp4,extracted,3724884,da8060043dcfacc55dd08334d570180564d7422037b3b28a982d0cb67722e5e6,data/videos/-GlaQJYUn-0_48_0_11_22_949_to_0_11_33_827.mp4,
video-00031,-NXGe9DiG-4_16_0_02_13_300_to_0_02_30_400.mp4,extracted,10671125,aa73d33a3650268e56a8bd748d452ddf7be2ace5bafc81aec98313f06da3c9f0,data/videos/-NXGe9DiG-4_16_0_02_13_300_to_0_02_30_400.mp4,
video-00032,-pW-9vgIF8w_17_0_01_52_012_to_0_02_24_177.mp4,extracted,6975058,e1d2632b13dbb2d8a7e594de9ed2351f8cb02a2bc101e47c9580fa705c8c8fcf,data/videos/-pW-9vgIF8w_17_0_01_52_012_to_0_02_24_177.mp4,
video-00033,-pcKC_X-1Hg_2_0_00_19_219_to_0_00_44_344.mp4,extracted,6102567,343ad5c054f5a19e33a8213e36b4f347e14d1887017bb279fac98422a6546207,data/videos/-pcKC_X-1Hg_2_0_00_19_219_to_0_00_44_344.mp4,
video-00034,-r3GJ3GNyg4_4_0_00_35_902_to_0_00_46_079.mp4,extracted,2628181,7f58f53820343b6a542bc0ba51441b5cdab0d2cb3abd5e62448959b98f545107,data/videos/-r3GJ3GNyg4_4_0_00_35_902_to_0_00_46_079.mp4,
video-00035,-r9pf8SZM_w_2_0_00_24_480_to_0_00_36_479.mp4,extracted,3153480,daa551f1e0323b3fc2dc4da27684048be09080582432c80d54f0c5dea5496216,data/videos/-r9pf8SZM_w_2_0_00_24_480_to_0_00_36_479.mp4,
video-00036,0-kAVoMvu0E_52_0_07_05_091_to_0_07_27_747.mp4,extracted,4365591,d35eecff7f09b16b58035e62b8dbf53cac5dbf681b7e2f82ca0de9602f7e7e13,data/videos/0-kAVoMvu0E_52_0_07_05_091_to_0_07_27_747.mp4,
video-00037,0-kAVoMvu0E_63_0_08_32_578_to_0_08_43_422.mp4,extracted,2216460,e7ff5ee824db729a5813eebbb40160480f7d5951ef2b8c172d67b9de177b7c98,data/videos/0-kAVoMvu0E_63_0_08_32_578_to_0_08_43_422.mp4,
video-00038,003AjN3rQVQ_55_0_11_13_124_to_0_11_32_579.mp4,extracted,6954893,91490d833ec624a67b413d04a94f61f68be302bd4516dacf7eef8e047f9b6469,data/videos/003AjN3rQVQ_55_0_11_13_124_to_0_11_32_579.mp4,
video-00039,00VeBjow630_81_0_12_34_003_to_0_12_45_598.mp4,extracted,2487645,68e119f985c2e101a2ce9acd672f7c46b8cfbbb74cdde00460fe0ae48ff87062,data/videos/00VeBjow630_81_0_12_34_003_to_0_12_45_598.mp4,
video-00040,01-fn4zfXjc_4_0_00_36_970_to_0_00_51_117.mp4,extracted,5518686,6175672334e4a5c203ce09818fdc8ae29ce6a7ca880776d0a4dbcfbadc83b782,data/videos/01-fn4zfXjc_4_0_00_36_970_to_0_00_51_117.mp4,
video-00041,01PUuCxgf5s_11_0_05_42_133_to_0_12_57_866.mp4,extracted,119691747,80c645875e8869076618cfe02f11276b5e25b434f062ce55eabf499ee87a98c8,data/videos/01PUuCxgf5s_11_0_05_42_133_to_0_12_57_866.mp4,
video-00042,01PUuCxgf5s_21_0_16_58_366_to_0_17_14_299.mp4,extracted,3549745,bf6061a11d7869f22efcd248bdbab0a9dafaa16195c34a5d54057f785841db73,data/videos/01PUuCxgf5s_21_0_16_58_366_to_0_17_14_299.mp4,
video-00043,01PUuCxgf5s_22_0_17_14_599_to_0_18_18_933.mp4,extracted,13367834,71b4b3bcdb3621f37e05f1ffa43087fa7e135a088445df242630f824ff1e3132,data/videos/01PUuCxgf5s_22_0_17_14_599_to_0_18_18_933.mp4,
video-00044,02VHbM8NP_M_23_0_05_29_162_to_0_05_40_940.mp4,extracted,5065906,c9fde091da221d9c9fea3d3b2de3fb0d1b4b0c49e095afeb9faae6b8483215cb,data/videos/02VHbM8NP_M_23_0_05_29_162_to_0_05_40_940.mp4,
video-00045,02VHbM8NP_M_31_0_06_55_782_to_0_07_16_235.mp4,extracted,9371192,1e3457c96204054a041339edbc286e17fa4f84e975fad5cfc6299fac934657b8,data/videos/02VHbM8NP_M_31_0_06_55_782_to_0_07_16_235.mp4,
video-00046,02kEws9nsa8_33_0_06_15_975_to_0_06_32_792.mp4,extracted,7321085,0307303b2bb1e23cfaf3e595544b49132ccabded7a71ed1cdf6da61858fa948a,data/videos/02kEws9nsa8_33_0_06_15_975_to_0_06_32_792.mp4,
video-00047,047C4xj0YNI_47_0_04_03_910_to_0_04_20_960.mp4,extracted,8826150,e33a0ef39e6d603f7330abac575d8db7bb9dff46d14902db2a3fba774118c713,data/videos/047C4xj0YNI_47_0_04_03_910_to_0_04_20_960.mp4,
video-00048,056MWXNUVaM_1_0_00_13_213_to_0_00_30_497.mp4,extracted,10515446,3bb32b2a1a9bcecef62e31cd51b9f791d677aca62839e40d4b1a369dc5394510,data/videos/056MWXNUVaM_1_0_00_13_213_to_0_00_30_497.mp4,
video-00049,05Icgo7wNeQ_12_0_02_00_220_to_0_02_10_630.mp4,extracted,2513055,344bb6c85971107e5b0f1f38647cd82193c8f9f63444ecc4856ad896b48d8f49,data/videos/05Icgo7wNeQ_12_0_02_00_220_to_0_02_10_630.mp4,
video-00050,06-oqJusHSw_17_0_04_14_153_to_0_04_28_935.mp4,extracted,6144854,2f2ebcfec19c11a5dd145a46dfba05f99439c15394770a1ce178770e853c7908,data/videos/06-oqJusHSw_17_0_04_14_153_to_0_04_28_935.mp4,
video-00051,06-oqJusHSw_22_0_05_26_392_to_0_05_42_809.mp4,extracted,5554282,7e3172bb93db68dbfe9922a7ea6f068921bbc35d9bb2a677a2a78bc50a37c4af,data/videos/06-oqJusHSw_22_0_05_26_392_to_0_05_42_809.mp4,
video-00052,06-oqJusHSw_28_0_06_55_181_to_0_07_15_902.mp4,extracted,6913959,a45eac1cec0873a2dd917dfb7f924e20266e2d88cea114327341fd92c4527a2a,data/videos/06-oqJusHSw_28_0_06_55_181_to_0_07_15_902.mp4,
video-00053,06-oqJusHSw_5_0_00_52_786_to_0_01_03_763.mp4,extracted,3606440,42c03de411119e6f113cc79c93d4eb70230278fcfce15d9ee8125f4799bfc113,data/videos/06-oqJusHSw_5_0_00_52_786_to_0_01_03_763.mp4,
video-00054,06-oqJusHSw_6_0_01_04_431_to_0_01_17_243.mp4,extracted,3897301,f29795e1a4863a1a701307e9277c30cc775e0e522d245128a34318fd2b13a226,data/videos/06-oqJusHSw_6_0_01_04_431_to_0_01_17_243.mp4,
video-00055,06yQuAKPyno_5_0_02_33_253_to_0_02_44_864.mp4,extracted,2047644,be4c1a01b9f31d1f3830d1785def965e2d25c04b2ae09fb0ed096fe5effbfbb9,data/videos/06yQuAKPyno_5_0_02_33_253_to_0_02_44_864.mp4,
video-00056,07bTtkUXUuk_16_0_05_11_377_to_0_05_30_763.mp4,extracted,4350618,e2631889e39c720cffb204d369709b1e8cc5e569b9328d78e759767bc9dd2531,data/videos/07bTtkUXUuk_16_0_05_11_377_to_0_05_30_763.mp4,
video-00057,07zFnzvq55g_53_0_07_53_639_to_0_08_06_480.mp4,extracted,3110936,dd6fd8d35cd063e906a4104777b5833d512e29380909269ae1ca1d6712cbbc76,data/videos/07zFnzvq55g_53_0_07_53_639_to_0_08_06_480.mp4,
video-00058,08s3Lh6Ewr0_7_0_01_30_790_to_0_01_49_843.mp4,extracted,9210499,46a6fd3aa4756215dd3e7594ee0a9236de0b1c5c8a02054a24efb53fdcce4981,data/videos/08s3Lh6Ewr0_7_0_01_30_790_to_0_01_49_843.mp4,
video-00059,08tbLIcF9u8_15_0_02_14_233_to_0_02_25_466.mp4,extracted,2369926,e2fe794ccee3b09e0b96a070e2e8aec6beafa428ddc1c402d59ecc34d6ef731d,data/videos/08tbLIcF9u8_15_0_02_14_233_to_0_02_25_466.mp4,
video-00060,09Aw0HfuVss_5_0_01_11_738_to_0_01_25_452.mp4,extracted,3676966,a99721a501d5269e32710c57dda2b3e69a8caf24cf250cafe23e97d734433374,data/videos/09Aw0HfuVss_5_0_01_11_738_to_0_01_25_452.mp4,
video-00061,09Wbs8KBGBU_20_0_04_05_311_to_0_04_34_974.mp4,extracted,6232684,9ae0e0e51de6b0e17d34a969cc1d98240730fb070efc1807bb7e9a14504c7b7d,data/videos/09Wbs8KBGBU_20_0_04_05_311_to_0_04_34_974.mp4,
video-00062,0Aqaf8pbi94_60_0_10_35_001_to_0_10_51_284.mp4,extracted,4319785,5cfb48b742bd08e751fbe8ba39877e2edd5ecf14d55b8219caca5978b6660045,data/videos/0Aqaf8pbi94_60_0_10_35_001_to_0_10_51_284.mp4,
video-00063,0BKCIvMCbrk_60_0_08_21_301_to_0_08_31_911.mp4,extracted,4694662,a71381317bfaa8819e9c8d4a1543d5e386d3678a14c0ab6546afd14b35aa0fbf,data/videos/0BKCIvMCbrk_60_0_08_21_301_to_0_08_31_911.mp4,
video-00064,0BluKqtNwrY_121_0_16_51_044_to_0_17_07_193.mp4,extracted,6352615,efe26c754e4bdd790b8bbd56b78a260fb1834223dccf9c8cf12a2ee01373e3c4,data/videos/0BluKqtNwrY_121_0_16_51_044_to_0_17_07_193.mp4,
video-00065,0C3WlhRoiY8_31_0_07_20_373_to_0_07_59_812.mp4,extracted,23087095,e85bdefa90fa32b7c97f88f3df5866613b99d56b7cae2bf8b353d6a783163584,data/videos/0C3WlhRoiY8_31_0_07_20_373_to_0_07_59_812.mp4,
video-00066,0C3WlhRoiY8_37_0_09_14_754_to_0_11_12_471.mp4,extracted,63463235,09558f36995e8be2277a428b6d668fc2ad9b114f0f190ce70f2cd5c2edd32b8b,data/videos/0C3WlhRoiY8_37_0_09_14_754_to_0_11_12_471.mp4,
video-00067,0C3WlhRoiY8_38_0_11_12_838_to_0_11_52_311.mp4,extracted,20468336,eb4bdd9408f91b29e99a72f1628ccf6a6b71b50c49bcbabc1b01004302552447,data/videos/0C3WlhRoiY8_38_0_11_12_838_to_0_11_52_311.mp4,
video-00068,0CM59e0rJQ4_22_0_05_23_300_to_0_05_38_466.mp4,extracted,4729183,532ff9e5861783842967154623d27fc42218bf0a7af9331d956ec8ca87f6fc84,data/videos/0CM59e0rJQ4_22_0_05_23_300_to_0_05_38_466.mp4,
video-00069,0Cc8H8zbVFY_132_0_23_39_333_to_0_23_50_200.mp4,extracted,5210374,d3c66bafe291167e9bdd0969be09061b8b8bf23ce37582355f36aa8d7fe0dee7,data/videos/0Cc8H8zbVFY_132_0_23_39_333_to_0_23_50_200.mp4,
video-00070,0CfOtw9gdtA_34_0_04_48_988_to_0_05_00_500.mp4,extracted,5059633,bacebada51737015cf0ead838b2956df1c501cf70c86303ecb26a74b0ec1968f,data/videos/0CfOtw9gdtA_34_0_04_48_988_to_0_05_00_500.mp4,
video-00071,0CzXhirCdFs_15_0_02_24_477_to_0_02_38_258.mp4,extracted,4769579,18f2cb394f20ba9fd999f1366e76363c9eaf566be79c2f87f46a9ec524462a38,data/videos/0CzXhirCdFs_15_0_02_24_477_to_0_02_38_258.mp4,
video-00072,0DhTXCIXvo0_1_0_00_02_702_to_0_00_19_119.mp4,extracted,4619408,9cee1918c1dfb3ddfed9a936b1355a9b35918cc20186f2d122d38be8ccb1a4ee,data/videos/0DhTXCIXvo0_1_0_00_02_702_to_0_00_19_119.mp4,
video-00073,0Eq8gBI5riU_74_0_09_11_350_to_0_09_22_528.mp4,extracted,2701535,0e1594f9ccd1128cb7aac715ca1dcabfff012fb95f7c9436e3c58f800b8743ce,data/videos/0Eq8gBI5riU_74_0_09_11_350_to_0_09_22_528.mp4,
video-00074,0ExJgpTMxEU_55_0_08_29_680_to_0_08_50_759.mp4,extracted,9858747,3688244d36091b84e7596a94faad0ff39abed525257fa2d33a138df57225c658,data/videos/0ExJgpTMxEU_55_0_08_29_680_to_0_08_50_759.mp4,
video-00075,0EzNLjLXn3o_108_0_11_15_841_to_0_11_28_554.mp4,extracted,2154921,44877c97d5642a43df7ea6abc295c6d4e51d2adedc4464848888428ff48f0351,data/videos/0EzNLjLXn3o_108_0_11_15_841_to_0_11_28_554.mp4,
video-00076,0F3UlhoSPfM_10_0_01_28_188_to_0_01_40_233.mp4,extracted,3969603,3487bfbbde2655e6d730ab84a0d09654e0c08fa597209a23a2a6d368efd8a75c,data/videos/0F3UlhoSPfM_10_0_01_28_188_to_0_01_40_233.mp4,
video-00077,0FT1_cQGsdg_8_0_00_49_841_to_0_01_00_018.mp4,extracted,914174,65c98fed140ed9f529466e6aa156d5ca636d3dba79720c275aa1d7108793a2c9,data/videos/0FT1_cQGsdg_8_0_00_49_841_to_0_01_00_018.mp4,
video-00078,0Fo7Ab2Jgnc_30_0_03_48_795_to_0_04_04_577.mp4,extracted,2689087,5d78071d12d908e79f0e340787b05949b9ef9e4d1710117ea0d3ed240b789907,data/videos/0Fo7Ab2Jgnc_30_0_03_48_795_to_0_04_04_577.mp4,
video-00079,0G3aGZLFBpI_40_0_06_08_001_to_0_06_26_619.mp4,extracted,10545157,8ebb0c7a9fa6741fd8d2b8cfdc77b1fa6fc60de4d516c2246819409c588a97e7,data/videos/0G3aGZLFBpI_40_0_06_08_001_to_0_06_26_619.mp4,
video-00080,0Ga2sgMA7aM_0_0_00_00_133_to_0_00_14_033.mp4,extracted,3607016,1f94add7ef0366544eb38103becc59e1f0baf5494ca1e9d5a7e6bbd8b2798e34,data/videos/0Ga2sgMA7aM_0_0_00_00_133_to_0_00_14_033.mp4,
video-00081,0HKM0s-VACk_19_0_04_50_873_to_0_05_47_055.mp4,extracted,9284240,33e0e6dee80dace4bb9e94e03f119a36614f414e8f3dc331fc849b846ed96b10,data/videos/0HKM0s-VACk_19_0_04_50_873_to_0_05_47_055.mp4,
video-00082,0I0MJ3Eblm4_22_0_04_19_592_to_0_04_33_239.mp4,extracted,2085727,b5b7ece3bc938e7e03c26efca11c1ed6c47bb8f0db55e53e2aa93efe8add2619,data/videos/0I0MJ3Eblm4_22_0_04_19_592_to_0_04_33_239.mp4,
video-00083,0IlZpoNRmrA_0_0_00_00_160_to_0_00_18_839.mp4,extracted,5970994,9cb91da0a5a3483c138334706f7c6b489f64602e2b022088ac37261eac2d6057,data/videos/0IlZpoNRmrA_0_0_00_00_160_to_0_00_18_839.mp4,
video-00084,0JBznuzI-g8_3_0_00_11_945_to_0_00_41_007.mp4,extracted,6478992,89c89c87c7359289654a4757172bbe49dd2bda1e1a8a06ca18049756c11ab328,data/videos/0JBznuzI-g8_3_0_00_11_945_to_0_00_41_007.mp4,
video-00085,0JHjeuiJ56I_17_0_04_03_510_to_0_04_16_623.mp4,extracted,7302137,9b701ec3d2e3b70e672f561af8b806f74a90e28d31726451c6e0ecb919292b68,data/videos/0JHjeuiJ56I_17_0_04_03_510_to_0_04_16_623.mp4,
video-00086,0Jbh1zyfPXw_34_0_04_49_480_to_0_05_01_920.mp4,extracted,2809183,0158cc3330b0bdc919e1cdbe021b6d5b5ce265f561f201d42953ff62e0d1b6b6,data/videos/0Jbh1zyfPXw_34_0_04_49_480_to_0_05_01_920.mp4,
video-00087,0JsIrkenBOw_25_0_04_53_584_to_0_05_04_387.mp4,extracted,3286763,4e91f01beb4a28507b5315ea857f22034e0c74a47b585502163e49d2faf9b1df,data/videos/0JsIrkenBOw_25_0_04_53_584_to_0_05_04_387.mp4,
video-00088,0JsIrkenBOw_27_0_05_18_151_to_0_05_33_041.mp4,extracted,2270018,a70d80d6dcf5e7a2aa4e1111374b137ba76a32885f150384f3bb6c47260ef54e,data/videos/0JsIrkenBOw_27_0_05_18_151_to_0_05_33_041.mp4,
video-00089,0K--tQXeAp0_15_0_04_50_189_to_0_05_15_982.mp4,extracted,10665940,89a0d9a6af37865071e8e895b7a651c066bfee0f3c9ef92ea6f982bba0f61123,data/videos/0K--tQXeAp0_15_0_04_50_189_to_0_05_15_982.mp4,
video-00090,0K--tQXeAp0_1_0_00_24_758_to_0_00_43_443.mp4,extracted,8722702,f3878eddc3f401d1cab9f1c256ebee5539053a5a7137580b4a1fd604ac5886e7,data/videos/0K--tQXeAp0_1_0_00_24_758_to_0_00_43_443.mp4,
video-00091,0K--tQXeAp0_23_0_07_11_998_to_0_07_40_827.mp4,extracted,11926784,4a0ecdadae3563df5914d83aa648bd967d619782dd5dc789b2eea90086cb901f,data/videos/0K--tQXeAp0_23_0_07_11_998_to_0_07_40_827.mp4,
video-00092,0KIptjGtzeA_59_0_15_58_691_to_0_16_20_045.mp4,extracted,4353925,ed4639c713ac3d4cbe15ced539f3cc30903754c56e0cc2229295f56d0537e850,data/videos/0KIptjGtzeA_59_0_15_58_691_to_0_16_20_045.mp4,
video-00093,0KKkNquTWok_10_0_04_08_719_to_0_04_21_040.mp4,extracted,2638461,afedb5055510656cae34727157b8f759437884cc9d9ed918c1466a7285771d5d,data/videos/0KKkNquTWok_10_0_04_08_719_to_0_04_21_040.mp4,
video-00094,0L5xglfnLkI_37_0_05_39_372_to_0_05_49_649.mp4,extracted,6548672,09d19aeb0d6cfa3285714d45653890efff932493ba03910f95b4ce04502cbce5,data/videos/0L5xglfnLkI_37_0_05_39_372_to_0_05_49_649.mp4,
video-00095,0L5xglfnLkI_45_0_06_48_641_to_0_07_07_327.mp4,extracted,12701785,5c59f0f7717523a6662bda480e7115281dd3dd0ac9d9cc41bc75565114cced42,data/videos/0L5xglfnLkI_45_0_06_48_641_to_0_07_07_327.mp4,
video-00096,0LGhZKqTtWM_7_0_01_07_233_to_0_01_26_586.mp4,extracted,4689915,893e5f4869a53dd8203e02cc18ef0080c96c6d2a197b2027939430fb75dae031,data/videos/0LGhZKqTtWM_7_0_01_07_233_to_0_01_26_586.mp4,
video-00097,0MXhIRtpPUw_15_0_01_28_254_to_0_01_39_833.mp4,extracted,2804860,1b26abbaa16cc879dfd4e0b19ad206b9909b8e2a8905998082a61e6392b7f1db,data/videos/0MXhIRtpPUw_15_0_01_28_254_to_0_01_39_833.mp4,
video-00098,0MlE1_ioD8o_11_0_02_48_735_to_0_03_03_149.mp4,extracted,5240551,11e4f1a99cddbe699c9167d60d78ebfa0b8ce2a7ced77bbbb7f7ca2069e9983f,data/videos/0MlE1_ioD8o_11_0_02_48_735_to_0_03_03_149.mp4,
video-00099,0MlE1_ioD8o_24_0_04_16_189_to_0_04_28_468.mp4,extracted,4122828,763737af09c6783611616a5ee51aae721d5e6f4a5d49a02b61ef3a2cb0c1c229,data/videos/0MlE1_ioD8o_24_0_04_16_189_to_0_04_28_468.mp4,
video-00100,0NCnPk6QP8Q_226_0_31_51_676_to_0_32_02_220.mp4,extracted,2011936,2c9e32e724bfe7ad6aacd7840ca59c38bc3acd6b6eb29d52ddaf0d95fd19b148,data/videos/0NCnPk6QP8Q_226_0_31_51_676_to_0_32_02_220.mp4,
video-00101,0NGy4vfiJe4_8_0_01_00_719_to_0_01_14_680.mp4,extracted,2999177,d472eaca5853d5f3b82760d151abfc40b6f9a8ad1b936001314e8e41ba029a4b,data/videos/0NGy4vfiJe4_8_0_01_00_719_to_0_01_14_680.mp4,
video-00102,0OKEffMkgqU_50_0_11_07_899_to_0_11_23_566.mp4,extracted,6615235,ec1595c40673147003486a2c3dbc9f2c7bb83ec08a883bbf2f353d252a1806d9,data/videos/0OKEffMkgqU_50_0_11_07_899_to_0_11_23_566.mp4,
video-00103,0OKEffMkgqU_51_0_11_23_966_to_0_11_34_633.mp4,extracted,4018208,bf5135f096d735160970acc78d9effa1237feff479472455a31b9e54364f99e4,data/videos/0OKEffMkgqU_51_0_11_23_966_to_0_11_34_633.mp4,
video-00104,0P5iDtH8fBw_49_0_07_01_554_to_0_07_11_898.mp4,extracted,2695983,3ab359c75fa0250582462d85d5d1aa8a73830d4aafce12f883f2faa8197c7eb2,data/videos/0P5iDtH8fBw_49_0_07_01_554_to_0_07_11_898.mp4,
video-00105,0PDwJ1xuVkk_25_0_04_28_766_to_0_04_42_533.mp4,extracted,9529454,fd60d426c8ca3396f698a5fe862f5da85fe5e1921bc77ae3211549a12b8cd84f,data/videos/0PDwJ1xuVkk_25_0_04_28_766_to_0_04_42_533.mp4,
