audit_item_id,proposal_no,original_question_text_cn,review_status,revised_question_text_cn,primary_capability,needs_continuous_video,confidence,review_notes
audit-0018,3,餐盘中的食物在画面末尾是否减少？,confirmed,餐盘中的食物在画面末尾是否减少？,deformation_state,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0019,1,人群靠近鳐鱼时鳐鱼是否改变游动方向？,still_uncertain,人群靠近鳐鱼时鳐鱼是否改变游动方向？,dynamic_relation,1,medium,水中鳐鱼与人群目标较小，靠近时的即时转向需要连续轨迹。
audit-0019,2,鳐鱼相对岸边的位置如何变化？,confirmed,鳐鱼相对岸边的位置如何变化？,dynamic_relation,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0019,3,男子后退发生在鳐鱼靠近之前还是之后？,still_uncertain,男子后退发生在鳐鱼靠近之前还是之后？,temporal_order,1,medium,鳐鱼接近与男子后退发生窗口接近，离散帧不足以稳定判定先后。
audit-0020,1,飞机相对地面的高度先升高还是降低？,confirmed,飞机相对地面的高度先升高还是降低？,dynamic_relation,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0021,1,行驶车辆在出口分岔处选择了哪条车道？,confirmed,行驶车辆在出口分岔处选择了哪条车道？,action_event,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0022,1,鱼竿弯曲程度在片段中如何变化？,confirmed,鱼竿弯曲程度在片段中如何变化？,deformation_state,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0023,2,鱼相对码头边缘的位置如何变化？,confirmed,鱼相对码头边缘的位置如何变化？,dynamic_relation,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0024,1,男子抛动橙色绳索后绳圈落在身体哪一侧？,confirmed,男子抛动橙色绳索后绳圈落在身体哪一侧？,dynamic_relation,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0025,1,车辆下坡进入停车区后是否改变行驶方向？,confirmed,车辆下坡进入停车区后是否改变行驶方向？,dynamic_relation,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0025,2,从驾驶者视角看出口位于哪一侧？,confirmed,从驾驶者视角看出口位于哪一侧？,reference_frame,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0025,3,车辆先接近低墙还是先转向返回坡道？,confirmed,车辆先接近低墙还是先转向返回坡道？,temporal_order,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0027,3,手指接近灯口时灯的状态是否改变？,confirmed,手指接近灯口时灯的状态是否改变？,deformation_state,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0029,1,道路相对两侧牧场的位置是否保持居中？,confirmed,道路相对两侧牧场的位置是否保持居中？,reference_frame,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0029,2,镜头经过牛群之前还是之后进入直路中央？,revised,镜头是在经过牛群之前还是之后进入较直的路段？,temporal_order,0,high,原句“进入直路中央”指代不清；64帧支持比较经过牛群与进入较直路段的先后。
audit-0030,2,狗与右侧栏杆的距离如何变化？,confirmed,狗与右侧栏杆的距离如何变化？,dynamic_relation,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0031,1,水翼板手在水面上是否保持离水滑行？,confirmed,水翼板手在水面上是否保持离水滑行？,action_event,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0031,2,人与岸线之间的距离如何变化？,confirmed,人与岸线之间的距离如何变化？,dynamic_relation,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0031,3,水翼板相对水面的高度是否稳定？,confirmed,水翼板相对水面的高度是否稳定？,static_relation,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0032,1,足球传入禁区后由哪一方球员首先触球？,still_uncertain,足球传入禁区后由哪一方球员首先触球？,action_event,1,medium,球在禁区内尺寸过小且多人遮挡，首次触球者仍需连续视频确认。
audit-0032,2,球从边路到门前的轨迹如何变化？,confirmed,球从边路到门前的轨迹如何变化？,dynamic_relation,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0032,3,射门发生在防守队员倒地之前还是之后？,still_uncertain,射门发生在防守队员倒地之前还是之后？,temporal_order,1,medium,倒地与射门动作间隔短，离散帧可能遗漏关键接触时刻。
audit-0035,1,球进入门前混战后最终是否越过球门线？,still_uncertain,球进入门前混战后最终是否越过球门线？,action_event,1,medium,门前球体很小并被多人遮挡，是否越线仍无法从64帧可靠确认。
audit-0035,2,球在禁区内的运动方向如何变化？,still_uncertain,球在禁区内的运动方向如何变化？,dynamic_relation,1,medium,球在混战中多次被遮挡，离散帧不能重建完整运动方向。
audit-0035,3,多人倒地发生在最后一次射门之前还是之后？,still_uncertain,多人倒地发生在最后一次射门之前还是之后？,temporal_order,1,medium,多人倒地与最后射门的关键瞬间均受遮挡，需要连续视频判序。
audit-0036,1,钩针操作后蓝色橡皮筋结构如何变化？,confirmed,钩针操作后蓝色橡皮筋结构如何变化？,deformation_state,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0036,2,手先拉起哪一层橡皮筋？,still_uncertain,手先拉起哪一层橡皮筋？,temporal_order,1,medium,手部遮挡多层橡皮筋，离散帧无法确定最先被拉起的层。
audit-0037,3,射门发生在白队球员越过最后一名防守者之前还是之后？,still_uncertain,射门发生在白队球员越过最后一名防守者之前还是之后？,temporal_order,1,medium,球员密集且最后一名防守者的时刻定义依赖连续轨迹，64帧不足。
audit-0038,3,镜头转动时远山在画面中的相对位置如何变化？,confirmed,镜头转动时远山在画面中的相对位置如何变化？,reference_frame,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0040,3,男子移动盖板后船内空间状态是否改变？,confirmed,男子移动盖板后船内空间状态是否改变？,deformation_state,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0041,1,冲浪者靠近岩石后是否主动离开冲浪板？,revised,冲浪者靠近岩石后是否与冲浪板分离？,action_event,0,high,64帧能确认人与板分离，但不能从视觉证据推断其是否“主动”离板，因此改为事件判断。
audit-0041,3,板与人分离发生在浪花遮挡之前还是之后？,confirmed,板与人分离发生在浪花遮挡之前还是之后？,temporal_order,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0043,3,鱼竿弯曲方向相对海面如何变化？,confirmed,鱼竿弯曲方向相对海面如何变化？,deformation_state,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0044,2,航站楼先位于机翼前方还是随后移到后方？,confirmed,航站楼先位于机翼前方还是随后移到后方？,reference_frame,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0044,3,飞机离地发生在经过停机坪之前还是之后？,rejected,飞机离地发生在经过停机坪之前还是之后？,temporal_order,0,high,片段开始时飞机已经离地，64帧中没有起飞事件，无法比较离地与经过停机坪的先后。
audit-0046,1,天空中的彩色物体相互距离如何变化？,still_uncertain,天空中的彩色物体相互距离如何变化？,dynamic_relation,1,medium,彩色空中物体很小，跨帧身份与相互距离无法稳定保持。
audit-0046,2,黑色物体与粉色物体哪一个先明显出现？,still_uncertain,黑色物体与粉色物体哪一个先明显出现？,temporal_order,1,medium,黑色与粉色物体尺寸过小，首次出现时刻仍可能落在采样间隔内。
audit-0047,2,男子先启动车床还是先用工具接触木杆？,confirmed,男子先启动车床还是先用工具接触木杆？,temporal_order,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0048,2,镜头移动时输电塔在画面中向哪侧移动？,confirmed,镜头移动时输电塔在画面中向哪侧移动？,reference_frame,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0048,3,云层与输电线是否发生遮挡重叠？,confirmed,云层与输电线是否发生遮挡重叠？,occlusion_permanence,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0049,1,男子操作后折叠自行车的轮部状态是否改变？,confirmed,男子操作后折叠自行车的轮部状态是否改变？,deformation_state,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0050,3,镜头环绕后车辆的左右朝向如何变化？,revised,镜头环绕后摩托车的左右朝向如何变化？,reference_frame,0,high,64帧显示对象是摩托车，原句泛称“车辆”不够精确，其余参照系关系不变。
audit-0051,1,男子抱着多双鞋从地面起身后走向哪里？,confirmed,男子抱着多双鞋从地面起身后走向哪里？,action_goal,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0051,3,鞋子在其双臂中的相对位置是否保持稳定？,confirmed,鞋子在其双臂中的相对位置是否保持稳定？,dynamic_relation,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0052,1,驾驶员转动方向盘后车辆行进方向如何变化？,still_uncertain,驾驶员转动方向盘后车辆行进方向如何变化？,dynamic_relation,1,medium,仅有车内视角，方向盘转动与实际行进方向的对应仍需连续道路运动。
audit-0052,3,乘客触碰驾驶员肩部发生在转向之前还是之后？,still_uncertain,乘客触碰驾驶员肩部发生在转向之前还是之后？,temporal_order,1,medium,触碰与转向存在持续和重叠，离散帧不足以给出严格先后。
audit-0053,3,相机转向自拍时地平线在画面中如何移动？,confirmed,相机转向自拍时地平线在画面中如何移动？,reference_frame,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0054,1,男子从室内取下鸟后将其带到哪里？,confirmed,男子从室内取下鸟后将其带到哪里？,action_goal,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0055,2,汽车最接近相机发生在转弯之前还是之后？,confirmed,汽车最接近相机发生在转弯之前还是之后？,temporal_order,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0056,1,俯视视角下汽车沿弯道朝哪个方向行驶？,confirmed,俯视视角下汽车沿弯道朝哪个方向行驶？,reference_frame,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0056,2,汽车与溪流之间的距离如何随弯道变化？,confirmed,汽车与溪流之间的距离如何随弯道变化？,dynamic_relation,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0058,1,遥控飞行器是从车辆附近起飞的吗？,still_uncertain,遥控飞行器是从车辆附近起飞的吗？,action_event,1,medium,首帧附近的飞行器状态太小，64帧仍不能确认是否从车辆旁实际离地。
audit-0058,2,飞行器相对树线的高度如何变化？,confirmed,飞行器相对树线的高度如何变化？,dynamic_relation,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0058,3,飞行器最终朝场地哪一侧飞离？,confirmed,飞行器最终朝场地哪一侧飞离？,orientation_facing,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0059,2,冲浪者沿浪峰方向进行了几次明显转向？,still_uncertain,冲浪者沿浪峰方向进行了几次明显转向？,dynamic_relation,1,medium,精确转向次数可能受采样间隔影响，需要连续视频排除短促转向。
audit-0060,2,人群是否在车辆靠近时让出行驶空间？,confirmed,人群是否在车辆靠近时让出行驶空间？,action_goal,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0060,3,车辆到达人群前是否改变车头朝向？,confirmed,车辆到达人群前是否改变车头朝向？,orientation_facing,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0061,2,大象与随行步行者的前后关系如何变化？,confirmed,大象与随行步行者的前后关系如何变化？,dynamic_relation,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0062,3,相机转向自拍时果岭在画面中如何移出？,confirmed,相机转向自拍时果岭在画面中如何移出？,reference_frame,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0063,2,车顶开始移动发生在车辆进入弯道之前还是之后？,confirmed,车顶开始移动发生在车辆进入弯道之前还是之后？,temporal_order,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0064,1,钳子夹持的金属件最终是否被取下？,confirmed,钳子夹持的金属件最终是否被取下？,action_event,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0064,2,金属件相对墙洞的位置如何变化？,confirmed,金属件相对墙洞的位置如何变化？,dynamic_relation,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0065,1,步行镜头中行人流主要朝向相机还是远离相机？,confirmed,步行镜头中行人流主要朝向相机还是远离相机？,orientation_facing,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0065,2,镜头前进时两侧店铺的相对位置如何变化？,confirmed,镜头前进时两侧店铺的相对位置如何变化？,reference_frame,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0066,1,广场人群是否逐渐聚集成一支队伍？,confirmed,广场人群是否逐渐聚集成一支队伍？,dynamic_relation,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0069,1,山谷在道路弯曲过程中位于车辆哪一侧？,confirmed,山谷在道路弯曲过程中位于车辆哪一侧？,reference_frame,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0069,2,镜头沿山路移动时近处护栏如何掠过画面？,confirmed,镜头沿山路移动时近处护栏如何掠过画面？,dynamic_relation,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0070,3,火箭主体抬起发生在支撑结构可见之前还是之后？,confirmed,火箭主体抬起发生在支撑结构可见之前还是之后？,temporal_order,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0072,2,他与后方骑行者的距离如何变化？,rejected,他与后方骑行者的距离如何变化？,dynamic_relation,0,high,64帧中未见题目所称的“后方骑行者”，问题依赖不存在的对象前提。
audit-0073,1,冲浪者在小浪上是否完成多次转向？,confirmed,冲浪者在小浪上是否完成多次转向？,action_event,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0073,2,板头朝向在转弯过程中如何改变？,confirmed,板头朝向在转弯过程中如何改变？,orientation_facing,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0073,3,最后一次起跳发生在浪花增强之前还是之后？,rejected,最后一次起跳发生在浪花增强之前还是之后？,temporal_order,0,high,64帧中未见可识别的起跳事件，因而“最后一次起跳”的前提不成立。
audit-0074,1,蓝色汽车相对拍摄车辆的距离如何变化？,confirmed,蓝色汽车相对拍摄车辆的距离如何变化？,dynamic_relation,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0074,3,蓝车先远离还是先再次靠近拍摄车辆？,confirmed,蓝车先远离还是先再次靠近拍摄车辆？,temporal_order,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0075,2,镜头绕车移动时车身朝向如何变化？,confirmed,镜头绕车移动时车身朝向如何变化？,reference_frame,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0076,2,绳索穿过固定装置后形状如何变化？,confirmed,绳索穿过固定装置后形状如何变化？,deformation_state,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0078,2,冲浪者从浪壁高处向下转向的轨迹如何变化？,confirmed,冲浪者从浪壁高处向下转向的轨迹如何变化？,dynamic_relation,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0078,3,最后一次转向发生在浪管闭合之前还是之后？,still_uncertain,最后一次转向发生在浪管闭合之前还是之后？,temporal_order,1,medium,最后一次转向与浪管闭合的边界接近，连续画面才能可靠判序。
audit-0079,1,打结后两根绳端的相对位置如何变化？,confirmed,打结后两根绳端的相对位置如何变化？,deformation_state,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0079,2,哪根绳端先穿过已形成的绳圈？,still_uncertain,哪根绳端先穿过已形成的绳圈？,temporal_order,1,medium,两根相似绳端在手部遮挡下交换位置，跨帧身份仍不稳定。
audit-0080,1,女子收线时鱼竿弯曲程度如何变化？,confirmed,女子收线时鱼竿弯曲程度如何变化？,deformation_state,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0080,3,片段结束前鱼是否被拉出水面？,confirmed,片段结束前鱼是否被拉出水面？,action_event,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0082,1,车辆沿弯路行驶时驾驶员何时明显转动方向盘？,confirmed,车辆沿弯路行驶时驾驶员何时明显转动方向盘？,action_event,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0083,1,赛马群中领先位置是否发生变化？,confirmed,赛马群中领先位置是否发生变化？,dynamic_relation,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0083,2,马群通过终点区域前是否逐渐拉开距离？,confirmed,马群通过终点区域前是否逐渐拉开距离？,dynamic_relation,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0083,3,马群接近观众席发生在最后冲刺之前还是之后？,still_uncertain,马群接近观众席发生在最后冲刺之前还是之后？,temporal_order,1,medium,“最后冲刺”的起点在离散帧中没有可重复识别的视觉边界。
audit-0084,1,小船相对大型驳船向哪一侧移动？,still_uncertain,小船相对大型驳船向哪一侧移动？,dynamic_relation,1,medium,小船远且位移幅度小，离散帧不足以排除镜头运动造成的表观侧移。
audit-0084,3,小船先经过绿色驳船还是黑色驳船？,still_uncertain,小船先经过绿色驳船还是黑色驳船？,temporal_order,1,medium,小船与两艘驳船的经过时刻目标过小，仍需连续轨迹确认。
audit-0085,1,摩托车起步后是否沿道路直行？,confirmed,摩托车起步后是否沿道路直行？,action_event,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0085,3,车辆开始加速发生在调整车把之前还是之后？,still_uncertain,车辆开始加速发生在调整车把之前还是之后？,temporal_order,1,medium,加速与车把调整可能同时发生，静态采样无法可靠判定动作起点。
audit-0086,1,滑雪者在下坡中进行了几次明显换刃转向？,revised,单板滑雪者在下坡中进行了几次明显换刃转向？,dynamic_relation,0,high,64帧明确显示为单板滑雪，修正对象称谓；明显换刃持续跨越多个采样帧。
audit-0086,2,滑雪板相对坡面的朝向如何交替变化？,revised,单板相对坡面的朝向如何交替变化？,orientation_facing,0,high,64帧明确显示为单板滑雪，修正对象称谓，朝向交替可由序列辨认。
audit-0086,3,腾空动作发生在最后一次大幅转向之前还是之后？,revised,单板滑雪者的腾空动作发生在最后一次大幅转向之前还是之后？,temporal_order,0,high,64帧明确显示为单板滑雪，修正对象称谓；腾空与大幅转向的顺序可见。
audit-0088,2,镜头移动时住宅群在画面中向哪侧移动？,confirmed,镜头移动时住宅群在画面中向哪侧移动？,reference_frame,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0089,1,男子捆扎后木杆之间的相对状态如何变化？,confirmed,男子捆扎后木杆之间的相对状态如何变化？,deformation_state,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0089,2,他先绕绳还是先拉紧绳结？,confirmed,他先绕绳还是先拉紧绳结？,temporal_order,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0090,1,孩子们在空地上是否朝远处共同跑动？,confirmed,孩子们在空地上是否朝远处共同跑动？,action_event,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0090,2,儿童群与成年男子之间的距离如何变化？,confirmed,儿童群与成年男子之间的距离如何变化？,dynamic_relation,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0091,1,遥控飞行器相对地面的高度如何变化？,confirmed,遥控飞行器相对地面的高度如何变化？,dynamic_relation,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0091,2,飞行器靠近相机后是否再次远离？,confirmed,飞行器靠近相机后是否再次远离？,temporal_order,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0091,3,操作者始终位于飞行器后方吗？,still_uncertain,操作者始终位于飞行器后方吗？,static_relation,1,medium,操作者与飞行器无法在全部采样帧中同时清晰定位，静态关系仍不确定。
audit-0092,1,风铃在雨中主要向哪个方向摆动？,still_uncertain,风铃在雨中主要向哪个方向摆动？,dynamic_relation,1,medium,风铃摆动方向依赖往复运动相位，离散帧不足以确定主要方向。
audit-0092,3,雨势变化是否伴随风铃摆幅变化？,still_uncertain,雨势变化是否伴随风铃摆幅变化？,deformation_state,1,medium,雨势和摆幅均需连续估计，64帧不足以支持二者同步变化关系。
audit-0093,2,无人机相对远岸建筑的高度如何变化？,still_uncertain,无人机相对远岸建筑的高度如何变化？,dynamic_relation,1,medium,无人机相对远岸建筑过小，跨帧高度基准仍无法稳定定位。
audit-0095,3,前进过程中迎面行人与相机距离如何变化？,confirmed,前进过程中迎面行人与相机距离如何变化？,dynamic_relation,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0096,2,两辆车之间的距离如何变化？,confirmed,两辆车之间的距离如何变化？,dynamic_relation,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0097,2,他与墙上历史照片的距离如何变化？,confirmed,他与墙上历史照片的距离如何变化？,dynamic_relation,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0098,2,冲浪板与人分离后朝向如何变化？,confirmed,冲浪板与人分离后朝向如何变化？,dynamic_relation,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0102,1,两辆摩托车起步后哪一辆先明显领先？,confirmed,两辆摩托车起步后哪一辆先明显领先？,dynamic_relation,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
audit-0103,1,鱼线受力方向相对船体如何变化？,still_uncertain,鱼线受力方向相对船体如何变化？,dynamic_relation,1,medium,鱼线在多数帧中不可见，无法可靠判断其受力方向相对船体的变化。
audit-0103,2,鱼竿弯曲程度随时间如何变化？,confirmed,鱼竿弯曲程度随时间如何变化？,deformation_state,0,medium,64帧覆盖全时长，所问事件或关系在多个采样帧中可辨，原问题无需改动。
