audit_item_id,proposal_no,question_text_cn,primary_capability,intent_required,reference_transform,prediction_or_counterfactual,temporal_integration,occlusion_tracking,deformation_tracking,human_involved,reasoning_level,question_format,needs_full_video,confidence,author_notes
audit-0011,3,无人机短暂变小时是否仍保持在画面中央附近？,occlusion_permanence,0,0,0,1,1,0,0,intermediate,true_false,0,medium,目标很小但可见
audit-0012,1,高尔夫球靠近洞杯前经过旗杆哪一侧？,dynamic_relation,0,1,0,1,0,0,0,high,short_answer,1,medium,小球需完整视频
audit-0012,2,球员走近洞杯发生在击球之后吗？,temporal_order,0,0,0,1,0,0,1,intermediate,true_false,0,high,顺序清楚
audit-0012,3,球最终停在洞杯的近处还是远处？,static_relation,0,0,0,0,0,0,0,low,multiple_choice,0,medium,末帧可见
audit-0013,1,车辆经过时透明大帐篷位于画面哪一侧？,reference_frame,0,1,0,0,0,0,1,high,short_answer,0,high,车内视角
audit-0013,2,车辆相对帐篷如何移动？,dynamic_relation,0,0,0,1,0,0,1,intermediate,short_answer,0,high,经过帐篷
audit-0013,3,黑色汽车是否先于白色卡车离开画面？,temporal_order,0,0,0,1,0,0,0,intermediate,true_false,1,low,抽帧不足以跟踪车辆
audit-0014,1,马在视频中是否改变了行进方向？,orientation_facing,0,0,0,1,0,0,0,intermediate,true_false,0,high,先侧向后朝镜头
audit-0014,2,骑手靠近镜头时马位于围栏哪一侧？,static_relation,0,1,0,0,0,0,1,high,short_answer,0,high,场地关系清楚
audit-0014,3,马接近镜头后从哪一侧经过？,dynamic_relation,0,1,0,1,0,0,1,high,short_answer,0,medium,以观察者为参照
audit-0015,1,记者展示天花板破损发生在采访住户之前吗？,temporal_order,0,0,0,1,0,0,1,intermediate,true_false,0,high,镜头切换明确
audit-0015,2,天花板上哪一部分已经缺失？,deformation_state,0,0,0,0,0,1,0,intermediate,short_answer,0,high,破损可见
audit-0015,3,受访者抬手指向什么方向？,action_event,0,1,0,1,0,0,1,high,short_answer,0,high,指向上方
audit-0016,1,男子先用剪刀接触肉块还是先放下肉块？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,0,high,顺序可见
audit-0016,2,男子用工具处理肉块的直接目标是什么？,action_goal,1,0,0,1,0,1,1,high,short_answer,1,medium,结果未完整展示
audit-0016,3,肉块在处理过程中是否被分成更小部分？,deformation_state,0,0,0,1,0,1,0,intermediate,true_false,1,low,接触表末段不清
audit-0017,1,汽车引擎盖在整个片段中保持打开吗？,deformation_state,0,0,0,1,0,1,0,intermediate,true_false,0,high,状态稳定
audit-0017,2,讲解者反复指向车辆的哪个区域？,action_goal,1,0,0,1,0,0,1,high,short_answer,0,high,指向发动机舱
audit-0017,3,相机从车尾移到车头发生在讲解手势之前吗？,temporal_order,0,0,0,1,0,0,1,intermediate,true_false,0,medium,视角变化可见
audit-0018,1,女子第一次进食发生在展示餐盘之前吗？,temporal_order,0,0,0,1,0,0,1,intermediate,true_false,0,high,顺序可见
audit-0018,2,女子吃下食物后的面部反应如何变化？,action_event,0,0,0,1,0,0,1,intermediate,short_answer,0,medium,表情跨帧变化
audit-0018,3,餐盘中洋葱位于薯条的哪一侧？,static_relation,0,1,0,0,0,0,0,high,short_answer,0,medium,末帧可答
audit-0019,1,人靠近鳐鱼时鳐鱼是否改变了移动方向？,dynamic_relation,0,0,0,1,0,0,1,intermediate,true_false,0,medium,多只鳐鱼
audit-0019,2,鳐鱼主要位于人群的哪一侧？,static_relation,0,1,0,0,0,0,1,high,short_answer,0,high,画面参照
audit-0019,3,海浪涌来时人群先后退还是先伸手？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,1,medium,动作细节需视频
audit-0020,1,飞行器在烟雾出现后向上还是向下移动？,dynamic_relation,0,1,0,1,0,0,0,high,short_answer,0,high,轨迹明显
audit-0020,2,飞行器是否完成了明显的滚转？,orientation_facing,0,0,0,1,0,0,0,intermediate,true_false,0,medium,姿态变化可见
audit-0020,3,飞行器最终相对地平线处于什么高度？,static_relation,0,1,0,0,0,0,0,high,short_answer,0,medium,末帧可答
audit-0021,1,车辆经过出口标志后驶入哪条道路分支？,dynamic_relation,0,1,0,1,0,0,1,high,short_answer,0,medium,车载视角
audit-0021,2,出口匝道位于主车道的哪一侧？,reference_frame,0,1,0,0,0,0,1,high,short_answer,0,high,驾驶者参照
audit-0021,3,黄色车道结束标志出现于匝道分离之前吗？,temporal_order,0,0,0,1,0,0,0,intermediate,true_false,0,high,顺序清楚
audit-0022,1,鱼挣扎时钓竿弯曲程度如何变化？,deformation_state,0,0,0,1,0,1,1,intermediate,short_answer,0,high,弯曲明显
audit-0022,2,男子反复转动渔轮的直接目标是什么？,action_goal,1,0,0,1,0,0,1,high,short_answer,0,high,收线动作
audit-0022,3,鱼是否曾在水面附近出现？,occlusion_permanence,0,0,0,1,1,0,0,intermediate,true_false,0,medium,水花中短暂可见
audit-0023,1,鱼先在水下绕圈还是先进入抄网？,temporal_order,0,0,0,1,0,0,0,intermediate,short_answer,0,high,顺序清楚
audit-0023,2,抄网从钓鱼者的哪一侧伸向鱼？,reference_frame,0,1,0,1,0,0,1,high,short_answer,0,medium,画面参照
audit-0023,3,鱼进入抄网后是否再次离开？,occlusion_permanence,0,0,0,1,1,0,0,intermediate,true_false,1,medium,末段抽帧不连续
audit-0024,1,男子手中的橙色绳索是否逐渐展开？,deformation_state,0,0,0,1,0,1,1,intermediate,true_false,0,high,形态变化可见
audit-0024,2,男子将绳索举起的直接目的是什么？,action_goal,1,0,0,1,0,0,1,high,short_answer,1,low,仅凭画面难定用途
audit-0024,3,绳索末端最初位于男子哪一侧？,static_relation,0,1,0,0,0,0,1,high,short_answer,0,medium,画面参照
audit-0025,1,车辆驶出坡道后向哪一侧转向？,dynamic_relation,0,1,0,1,0,0,1,high,short_answer,0,high,车内视角
audit-0025,2,白色围墙在转弯前位于车辆哪一侧？,reference_frame,0,1,0,0,0,0,1,high,short_answer,0,high,驾驶者参照
audit-0025,3,车辆是否在转弯前完全停下？,temporal_order,0,0,0,1,0,0,1,intermediate,true_false,1,medium,抽帧不能判速度为零
audit-0026,1,游泳者从远处接近相机时是否一直面向相机？,orientation_facing,0,0,0,1,0,0,1,intermediate,true_false,0,high,朝向清楚
audit-0026,2,游泳者与相机之间的距离如何变化？,dynamic_relation,0,0,0,1,0,0,1,intermediate,short_answer,0,high,持续接近
audit-0026,3,游泳者到达近处前采用了什么泳姿？,action_event,0,0,0,1,0,0,1,intermediate,short_answer,1,medium,抽帧不足判具体泳姿
audit-0027,1,镜头先展示镜子还是先展示发光装饰灯？,temporal_order,0,0,0,1,0,0,0,intermediate,short_answer,0,high,顺序清楚
audit-0027,2,圆柱灯相对花瓶和相框位于哪里？,static_relation,0,0,0,0,0,0,0,low,short_answer,0,high,桌面布局清楚
audit-0027,3,手指接触灯顶后灯光状态是否改变？,deformation_state,0,0,0,1,0,1,1,intermediate,true_false,1,medium,亮度变化需视频确认
audit-0028,1,男子在走向镜头前手里拿着什么？,entity_attribute,0,0,0,0,0,0,1,low,short_answer,0,high,物体可见
audit-0028,2,男子停下后主要做了什么动作？,action_event,0,0,0,1,0,0,1,intermediate,short_answer,0,high,挥动双手
audit-0028,3,男子的手势是面向相机还是面向海面？,orientation_facing,0,1,0,0,0,0,1,high,multiple_choice,0,high,朝向清楚
audit-0029,1,镜头从农田转向道路发生在看到马之前还是之后？,temporal_order,0,0,0,1,0,0,0,intermediate,short_answer,0,high,顺序可见
audit-0029,2,道路两侧主要分布着什么？,static_relation,0,0,0,0,0,0,0,low,short_answer,0,high,农田与围栏
audit-0029,3,观察者的影子在道路上朝哪个方向延伸？,reference_frame,0,1,0,0,0,0,1,high,short_answer,0,medium,画面参照
audit-0030,1,狗先沿栈道远离相机还是先转向栏杆？,temporal_order,0,0,0,1,0,0,0,intermediate,short_answer,0,medium,轨迹可见
audit-0030,2,狗与右侧栏杆的距离如何变化？,dynamic_relation,0,0,0,1,0,0,0,intermediate,short_answer,0,medium,多帧比较
audit-0030,3,狗在远处变小后是否仍可被持续追踪？,occlusion_permanence,0,0,0,1,1,0,0,intermediate,true_false,0,medium,目标较小
audit-0031,1,水翼板在运动中是否始终高于水面？,dynamic_relation,0,0,0,1,0,0,1,intermediate,true_false,0,high,支柱入水
audit-0031,2,骑手相对岸边向哪个方向移动？,reference_frame,0,1,0,1,0,0,1,high,short_answer,0,medium,画面参照
audit-0031,3,骑手通过调整身体姿势达到什么即时目标？,action_goal,1,0,0,1,0,0,1,high,short_answer,1,medium,需完整动作确认
audit-0032,1,蓝队传中后球先到绿队球员还是守门员附近？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,1,medium,球小且快速
audit-0032,2,球从边路向球门区的轨迹如何变化？,dynamic_relation,0,0,0,1,0,0,0,intermediate,short_answer,0,high,传中轨迹清楚
audit-0032,3,防守球员回撤的直接目标是封堵哪一区域？,action_goal,1,0,0,1,0,0,1,high,short_answer,1,medium,需连续位置判断
audit-0033,1,镜头移动时三脚架相对沙发的位置如何变化？,dynamic_relation,0,0,0,1,0,0,0,intermediate,short_answer,0,high,相机平移
audit-0033,2,三脚架位于沙发坐垫上还是地面上？,static_relation,0,0,0,0,0,0,0,low,multiple_choice,0,high,单帧可答
audit-0033,3,深色吸音板分布在浅色板的哪一侧？,static_relation,0,1,0,0,0,0,0,high,short_answer,0,medium,布局可见
audit-0034,1,镜头先展示发动机舱还是先展示驾驶舱？,temporal_order,0,0,0,1,0,0,0,intermediate,short_answer,0,high,切换清楚
audit-0034,2,两名男子交谈时主要面向彼此还是面向车辆？,orientation_facing,0,0,0,0,0,0,1,low,multiple_choice,0,medium,朝向可见
audit-0034,3,相机转向驾驶舱的直接目标是什么？,action_goal,1,0,0,1,0,0,1,high,short_answer,0,medium,展示内饰
audit-0035,1,传中球到达门前后哪队球员先触球？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,1,low,球员密集需视频
audit-0035,2,球在门前混战中是否改变方向？,dynamic_relation,0,0,0,1,0,0,0,intermediate,true_false,0,medium,轨迹变化可见
audit-0035,3,守门员扑救的直接空间目标是哪一侧来球？,action_goal,1,1,0,1,0,0,1,high,short_answer,1,medium,需连续帧判断
audit-0036,1,钩针在织机上依次挑起了哪一排橡皮筋？,action_event,0,0,0,1,0,1,1,intermediate,short_answer,1,medium,细节需完整视频
audit-0036,2,蓝色橡皮筋的编织结构如何随操作变化？,deformation_state,0,0,0,1,0,1,0,intermediate,short_answer,0,medium,结构逐步收紧
audit-0036,3,操作者最后把工具移向织机哪一侧？,dynamic_relation,0,1,0,1,0,0,1,high,short_answer,0,medium,画面参照
audit-0037,1,白队射门前是否先突破了多名蓝队防守者？,temporal_order,0,0,0,1,0,0,1,intermediate,true_false,0,high,过程清楚
audit-0037,2,射门后球进入球门的哪一侧？,dynamic_relation,0,1,0,1,0,0,0,high,short_answer,1,medium,球小需完整视频
audit-0037,3,守门员扑救方向与来球方向是否一致？,reference_frame,0,1,0,1,0,0,1,high,true_false,1,medium,快速动作
audit-0038,1,镜头中人物出现前主要展示了什么景物？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,0,high,薰衣草田
audit-0038,2,人物经过镜头后田间箱子位于画面哪一侧？,reference_frame,0,1,0,0,0,0,1,high,short_answer,0,medium,镜头往返
audit-0038,3,镜头平移是否改变了山峰与花田的上下关系？,static_relation,0,0,0,1,0,0,0,intermediate,true_false,0,high,上下关系稳定
audit-0039,1,女子进入石门时是否侧身通过？,orientation_facing,0,0,0,1,0,0,1,intermediate,true_false,0,high,门较窄
audit-0039,2,女子通过门洞前后是否短暂被石墙遮挡？,occlusion_permanence,0,0,0,1,1,0,1,intermediate,true_false,0,high,遮挡明显
audit-0039,3,石门上突出的石块分布在门洞两侧吗？,static_relation,0,0,0,0,0,0,0,low,true_false,0,high,单帧可答
audit-0040,1,男子在船内先指向座椅还是先指向地板？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,1,medium,手势快速
audit-0040,2,方向盘相对蓝白座椅位于什么位置？,static_relation,0,0,0,0,0,0,0,low,short_answer,0,high,布局清楚
audit-0040,3,讲解者移动手势的直接目标是展示哪个船内区域？,action_goal,1,0,0,1,0,0,1,high,short_answer,0,medium,展示驾驶区
audit-0041,1,冲浪者接近岩石后是否离开冲浪板？,action_event,0,0,0,1,0,0,1,intermediate,true_false,0,high,可见
audit-0041,2,冲浪者与岩石的距离如何变化？,dynamic_relation,0,0,0,1,0,0,1,intermediate,short_answer,0,high,可见
audit-0041,3,冲浪者下板的直接目标是避免什么？,action_goal,1,0,0,1,0,0,1,high,short_answer,0,medium,推断即时避险
audit-0042,1,镜头先展示红色灯塔还是升降桥？,temporal_order,0,0,0,1,0,0,0,intermediate,short_answer,0,high,可见
audit-0042,2,小船相对防波堤如何移动？,dynamic_relation,0,0,0,1,0,0,0,intermediate,short_answer,0,medium,可见
audit-0042,3,升降桥的桥面处于抬起状态吗？,deformation_state,0,0,0,0,0,1,0,intermediate,true_false,0,high,可见
audit-0043,1,鱼竿弯曲后鱼何时出现在岸边？,occlusion_permanence,0,0,0,1,1,0,0,intermediate,short_answer,0,medium,末帧出现
audit-0043,2,鱼竿的弯曲程度如何变化？,deformation_state,0,0,0,1,0,1,1,intermediate,short_answer,0,high,可见
audit-0043,3,鱼最终位于浪线的陆侧还是海侧？,static_relation,0,1,0,0,0,0,0,high,multiple_choice,0,medium,末帧可见
audit-0044,1,飞机起飞后地面停机坪在画面中如何移动？,reference_frame,0,1,0,1,0,0,1,high,short_answer,0,high,机上视角
audit-0044,2,机翼相对跑道始终位于画面下方吗？,static_relation,0,0,0,1,0,0,0,intermediate,true_false,0,high,可见
audit-0044,3,飞机离地发生在经过航站楼之前吗？,temporal_order,0,0,0,1,0,0,0,intermediate,true_false,1,medium,需完整视频
audit-0045,1,男子打开了旧车的哪扇门？,action_event,0,0,0,1,0,0,1,intermediate,short_answer,0,high,可见
audit-0045,2,车门由关闭到打开属于什么状态变化？,deformation_state,0,0,0,1,0,1,0,intermediate,short_answer,0,high,可见
audit-0045,3,两人靠近汽车的直接目标是查看外观还是内饰？,action_goal,1,0,0,1,0,0,1,high,multiple_choice,0,medium,随后开门
audit-0046,1,天空中的小物体先下降还是先接近镜头？,temporal_order,0,0,0,1,0,0,0,intermediate,short_answer,1,low,目标过小
audit-0046,2,飞行物相对树梢高度如何变化？,dynamic_relation,0,0,0,1,0,0,0,intermediate,short_answer,1,medium,需视频
audit-0046,3,末段地面人物面向飞行物吗？,orientation_facing,0,0,0,0,0,0,1,low,true_false,0,medium,可见
audit-0047,1,车床加工前后木杆表面如何变化？,deformation_state,0,0,0,1,0,1,0,intermediate,short_answer,0,high,可见
audit-0047,2,操作者把工具接触旋转木杆的直接目标是什么？,action_goal,1,0,0,1,0,1,1,high,short_answer,0,high,塑形
audit-0047,3,加工后的木杆与旁边未加工木杆形状相同吗？,entity_attribute,0,0,0,0,0,0,0,low,true_false,0,high,末帧可答
audit-0048,1,镜头平移时输电塔何时进入画面中央？,dynamic_relation,0,0,0,1,0,0,0,intermediate,short_answer,0,high,可见
audit-0048,2,输电线位于城市建筑上方吗？,static_relation,0,0,0,0,0,0,0,low,true_false,0,high,可见
audit-0048,3,远处云层相对输电塔向哪侧移动？,reference_frame,0,1,0,1,0,0,0,high,short_answer,1,low,相机也移动
audit-0049,1,男子先调整车架还是先转动后轮？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,0,high,可见
audit-0049,2,后轮组件在操作中发生了什么状态变化？,deformation_state,0,0,0,1,0,1,0,intermediate,short_answer,1,medium,需视频确认锁定
audit-0049,3,男子操作轮毂的直接目标是什么？,action_goal,1,0,0,1,0,0,1,high,short_answer,1,medium,展示折叠机构
audit-0050,1,橙色自行车是否装有后货架？,entity_attribute,0,0,0,0,0,0,0,low,true_false,0,high,可见
audit-0050,2,相机绕车移动时前轮相对画面如何变化？,dynamic_relation,0,1,0,1,0,0,1,high,short_answer,0,medium,可见
audit-0050,3,讲解者反复指向车架中部的目标是什么？,action_goal,1,0,0,1,0,0,1,high,short_answer,1,medium,需听讲或视频
audit-0051,1,男子抱起设备发生在蹲下之后吗？,temporal_order,0,0,0,1,0,0,1,intermediate,true_false,0,high,可见
audit-0051,2,设备上橙色束带是否保持固定？,deformation_state,0,0,0,1,0,1,0,intermediate,true_false,0,medium,可见
audit-0051,3,男子抱着设备走向厨房哪个方向？,dynamic_relation,0,1,0,1,0,0,1,high,short_answer,0,high,画面参照
audit-0052,1,驾驶员转动方向盘时车辆行进方向如何变化？,dynamic_relation,0,0,0,1,0,0,1,intermediate,short_answer,1,medium,外景有限
audit-0052,2,副驾驶是否在驾驶员转向后才进入画面？,temporal_order,0,0,0,1,0,0,1,intermediate,true_false,0,medium,可见
audit-0052,3,从后座看驾驶员位于观察者哪一侧？,reference_frame,0,1,0,0,0,0,1,high,short_answer,0,high,第一视角
audit-0053,1,镜头先展示海岸还是先展示男子面部？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,0,high,可见
audit-0053,2,男子转头时由面向相机变为面向哪里？,orientation_facing,0,1,0,1,0,0,1,high,short_answer,0,high,面向海岸
audit-0053,3,浪线相对沙滩边缘如何推进？,dynamic_relation,0,0,0,1,0,0,0,intermediate,short_answer,0,medium,可见
audit-0054,1,男子先取下悬挂物还是先走向室外？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,0,high,可见
audit-0054,2,悬挂物被取下后是否交给室外的人？,action_event,0,0,0,1,0,0,1,intermediate,true_false,1,medium,末段密集
audit-0054,3,男子取下物体的直接目标是什么？,action_goal,1,0,0,1,0,0,1,high,short_answer,1,low,用途不明
audit-0055,1,白车绕障碍物时行驶轨迹呈什么形状？,dynamic_relation,0,0,0,1,0,0,0,intermediate,short_answer,0,high,弧形转向
audit-0055,2,车辆最终是否朝向相机？,orientation_facing,0,1,0,1,0,0,0,high,true_false,0,high,可见
audit-0055,3,若保持当前转向车辆下一刻会靠近轮胎障碍吗？,physical_prediction,0,0,1,1,0,0,0,high,true_false,1,medium,预测需视频
audit-0056,1,两辆车在弯道上的前后关系是否改变？,dynamic_relation,0,0,0,1,0,0,0,intermediate,true_false,0,medium,可见
audit-0056,2,从俯视图看道路绕溪流哪一侧弯曲？,reference_frame,0,1,0,0,0,0,0,high,short_answer,0,high,俯视参照
audit-0056,3,前车进入急弯后后车是否缩短距离？,dynamic_relation,0,0,0,1,0,0,0,intermediate,true_false,1,medium,需视频
audit-0057,1,红色越野车的备胎安装在哪里？,static_relation,0,0,0,0,0,0,0,low,short_answer,0,high,车尾
audit-0057,2,相机绕车尾移动时蓝车从哪侧出现？,dynamic_relation,0,1,0,1,0,0,1,high,short_answer,0,high,画面参照
audit-0057,3,讲解者手势主要指向备胎还是车顶？,action_goal,1,0,0,1,0,0,1,high,multiple_choice,0,high,可见
audit-0058,1,飞行器从地面起飞后高度如何变化？,dynamic_relation,0,0,0,1,0,0,0,intermediate,short_answer,0,high,可见
audit-0058,2,飞行器升空前地面车辆是否移动？,temporal_order,0,0,0,1,0,0,0,intermediate,true_false,1,low,抽帧不足
audit-0058,3,飞行器最终相对树线位于上方吗？,static_relation,0,0,0,0,0,0,0,low,true_false,0,high,可见
audit-0059,1,冲浪者在一次浪上完成了几次明显转向？,action_event,0,0,0,1,0,0,1,intermediate,short_answer,1,medium,需完整视频
audit-0059,2,冲浪者相对浪峰的位置如何变化？,dynamic_relation,0,0,0,1,0,0,1,intermediate,short_answer,0,high,可见
audit-0059,3,浪破碎后冲浪者是否继续保持站立？,temporal_order,0,0,0,1,0,0,1,intermediate,true_false,0,high,可见
audit-0060,1,黑车接近人群时是否改变朝向？,orientation_facing,0,0,0,1,0,0,1,intermediate,true_false,0,medium,可见
audit-0060,2,人群在车辆靠近前是否向两侧让开？,action_event,0,0,0,1,0,0,1,intermediate,true_false,1,medium,需视频
audit-0060,3,车辆最终停在人群的哪一侧？,static_relation,0,1,0,0,0,0,1,high,short_answer,1,low,末段可能仍移动
audit-0061,1,大象沿道路行走时骑手始终面向前方吗？,orientation_facing,0,0,0,1,0,0,1,intermediate,true_false,0,high,可见
audit-0061,2,大象与随行人员的前后关系如何变化？,dynamic_relation,0,0,0,1,0,0,1,intermediate,short_answer,0,medium,可见
audit-0061,3,大象最终朝建筑还是远离建筑移动？,reference_frame,0,1,0,1,0,0,0,high,multiple_choice,0,medium,场景参照
audit-0062,1,镜头先展示海岸还是最后出现人物？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,0,high,可见
audit-0062,2,孤立树位于果岭哪一侧？,static_relation,0,1,0,0,0,0,0,high,short_answer,0,high,画面参照
audit-0062,3,镜头平移时海岸线相对画面如何移动？,reference_frame,0,1,0,1,0,0,0,high,short_answer,0,medium,可见
audit-0063,1,敞篷车驶入弯道后朝向如何改变？,orientation_facing,0,0,0,1,0,0,1,intermediate,short_answer,0,high,可见
audit-0063,2,汽车与拍摄车辆的距离如何变化？,dynamic_relation,0,0,0,1,0,0,1,intermediate,short_answer,0,medium,镜头切换
audit-0063,3,驾驶员在弯道前面向道路前方吗？,orientation_facing,0,0,0,0,0,0,1,low,true_false,0,high,可见
audit-0064,1,钳子夹住墙内零件后零件是否被取出？,deformation_state,0,0,0,1,1,1,1,intermediate,true_false,0,medium,末帧手持零件
audit-0064,2,工具始终位于瓷砖孔洞的右侧吗？,static_relation,0,1,0,1,0,0,1,high,true_false,0,high,画面参照
audit-0064,3,操作者拉动钳子的直接目标是什么？,action_goal,1,0,0,1,0,1,1,high,short_answer,0,high,取出零件
audit-0065,1,观察者沿商场通道主要向前还是向后移动？,dynamic_relation,0,1,0,1,0,0,1,high,multiple_choice,0,high,第一视角
audit-0065,2,红色招牌商店位于通道哪一侧？,reference_frame,0,1,0,0,0,0,1,high,short_answer,0,high,画面参照
audit-0065,3,迎面行人是否在经过相机后离开视野？,occlusion_permanence,0,0,0,1,1,0,1,intermediate,true_false,0,high,可见
audit-0066,1,人群在广场中的密度随镜头移动如何变化？,dynamic_relation,0,0,0,1,0,0,1,intermediate,short_answer,0,medium,可见
audit-0066,2,纪念碑相对水池位于什么方向？,static_relation,0,1,0,0,0,0,0,high,short_answer,0,high,可见
audit-0066,3,推婴儿车的人是否从画面一侧走到另一侧？,dynamic_relation,0,1,0,1,0,0,1,high,true_false,1,medium,需连续追踪
audit-0067,1,摩托车驶过路口时向哪一侧转弯？,dynamic_relation,0,1,0,1,0,0,1,high,short_answer,0,high,第一视角
audit-0067,2,白色车辆最初位于骑手哪一侧？,reference_frame,0,1,0,0,0,0,1,high,short_answer,0,medium,可见
audit-0067,3,骑手转弯前是否减速？,temporal_order,0,0,0,1,0,0,1,intermediate,true_false,1,low,抽帧无法判速度
audit-0068,1,镜头先展示圣诞树还是蛋糕柜台？,temporal_order,0,0,0,1,0,0,0,intermediate,short_answer,0,high,可见
audit-0068,2,绿色蛋糕上主要装饰着什么形状？,entity_attribute,0,0,0,0,0,0,0,low,short_answer,0,high,树形
audit-0068,3,店员把蛋糕移向展示柜前方了吗？,dynamic_relation,0,0,0,1,0,0,1,intermediate,true_false,0,medium,可见
