audit_item_id,proposal_no,question_text_cn,primary_capability,intent_required,reference_transform,prediction_or_counterfactual,temporal_integration,occlusion_tracking,deformation_tracking,human_involved,reasoning_level,question_format,needs_full_video,confidence,author_notes,review_status,excluded_from_coverage
audit-0004,3,人先展示鱼还是先处理鱼钩？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0005,1,冲浪者进入浪管后是否再次清晰出现？,occlusion_permanence,0,0,0,1,1,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0005,2,冲浪者沿浪壁的运动方向如何变化？,dynamic_relation,0,0,0,1,0,0,1,intermediate,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,confirmed,0
audit-0005,3,浪花完全遮住冲浪者发生在其转向之前还是之后？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0006,1,镜头依次展示了几名坐着的老人？,entity_attribute,0,0,0,0,0,0,1,low,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0006,2,戴帽老人把视线转向了哪一侧？,orientation_facing,0,0,0,1,0,0,1,intermediate,short_answer,1,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,still_uncertain,0
audit-0006,3,戴蓝帽的人在戴宽檐帽的人之前还是之后出现？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0007,1,大型银色鱼与红色虾哪一个先出现？,temporal_order,0,0,0,1,0,0,0,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0007,2,虾在水草上的朝向是否发生改变？,orientation_facing,0,0,0,1,0,0,0,intermediate,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,confirmed,0
audit-0007,3,前半段可见的大型银色鱼有几条？,entity_attribute,0,0,0,0,0,0,0,low,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0008,1,浪峰朝岸边推进时形状如何变化？,deformation_state,0,0,0,1,0,1,0,intermediate,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,confirmed,0
audit-0008,2,最亮的阳光反射位于浪峰前方还是后方？,static_relation,0,0,0,0,0,0,0,low,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0008,3,同一条浪峰是否持续横跨整个画面？,dynamic_relation,0,0,0,1,0,0,0,intermediate,short_answer,1,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,still_uncertain,0
audit-0009,1,水面相对远岸树木的位置是否保持稳定？,static_relation,0,0,0,0,0,0,0,low,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0009,2,从画面参照系看，岸线相对相机向哪一侧移动？,reference_frame,0,1,0,1,0,0,0,high,short_answer,0,high,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,revised,0
audit-0009,3,水面反光区域随镜头移动发生了什么变化？,dynamic_relation,0,0,0,1,0,0,0,intermediate,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,confirmed,0
audit-0010,1,镜头从高尔夫球员转向果岭旗杆的顺序是什么？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0010,2,球员与球洞之间的距离随镜头推进如何变化？,dynamic_relation,0,0,0,1,0,0,1,intermediate,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,confirmed,0
audit-0010,3,果岭旗杆位于沙坑的哪一侧？,static_relation,0,0,0,0,0,0,1,low,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0011,1,无人机是先远离相机还是先靠近相机？,temporal_order,0,0,0,1,0,0,0,intermediate,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,confirmed,0
audit-0011,2,无人机相对地面的高度如何变化？,dynamic_relation,0,0,0,1,0,0,0,intermediate,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,confirmed,0
audit-0011,3,无人机最终是否回到近地面位置？,action_event,0,0,0,1,0,0,0,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0012,1,高尔夫球最终停在洞口的哪一侧？,static_relation,0,0,0,0,0,0,1,low,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0012,2,击球后球与旗杆之间的距离如何变化？,dynamic_relation,0,0,0,1,0,0,1,intermediate,short_answer,1,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,still_uncertain,0
audit-0012,3,球员先击球还是另一人走近洞口？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0013,1,拍摄车辆经过帐篷区时白色皮卡位于镜头哪一侧？,reference_frame,0,1,0,1,0,0,1,high,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,confirmed,0
audit-0013,2,车辆与大型透明帐篷的距离如何变化？,dynamic_relation,0,0,0,1,0,0,1,intermediate,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,confirmed,0
audit-0013,3,镜头先经过小帐篷还是大型透明帐篷？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0014,1,黑马从侧向行进转为朝相机靠近了吗？,orientation_facing,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0014,2,骑手与相机之间的距离如何变化？,dynamic_relation,0,0,0,1,0,0,1,intermediate,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,confirmed,0
audit-0014,3,马匹在靠近过程中是否改变步态？,action_event,0,0,0,1,0,0,1,intermediate,short_answer,1,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,still_uncertain,0
audit-0015,1,记者展示天花板破损是在采访住户之前还是之后？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0015,2,住户用手指向了房间的哪个方向？,orientation_facing,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0015,3,天花板缺口相对吊灯位于哪一侧？,static_relation,0,0,0,0,0,0,1,low,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0016,1,男子对肉块使用工具后肉块是否被分离？,deformation_state,0,0,0,1,0,1,1,intermediate,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,confirmed,0
audit-0016,2,工具接触肉块发生在男子展示肉块之前还是之后？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0016,3,男子操作时肉块相对其身体位于哪一侧？,static_relation,0,0,0,0,0,0,1,low,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0017,1,镜头先展示设备控制盒还是汽车发动机舱？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0017,2,男子的手主要指向发动机舱的哪个区域？,orientation_facing,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0017,3,发动机盖在整个片段中保持打开吗？,deformation_state,0,0,0,1,0,1,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0018,1,女子入口食物后面部表情如何变化？,action_event,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0018,2,她先再次取食还是先表现出明显反应？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0018,3,餐盘中的食物在画面末尾是否减少？,deformation_state,0,0,0,1,0,1,1,intermediate,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,confirmed,0
audit-0019,1,人群靠近鳐鱼时鳐鱼是否改变游动方向？,dynamic_relation,0,0,0,1,0,0,1,intermediate,short_answer,1,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,still_uncertain,0
audit-0019,2,鳐鱼相对岸边的位置如何变化？,dynamic_relation,0,0,0,1,0,0,1,intermediate,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,confirmed,0
audit-0019,3,男子后退发生在鳐鱼靠近之前还是之后？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,1,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,still_uncertain,0
audit-0020,1,飞机相对地面的高度先升高还是降低？,dynamic_relation,0,0,0,1,0,0,0,intermediate,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,confirmed,0
audit-0020,2,烟柱出现发生在飞机掠过之前还是之后？,temporal_order,0,0,0,1,0,0,0,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0020,3,飞机最终朝画面的哪一侧飞离？,orientation_facing,0,0,0,1,0,0,0,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0021,1,行驶车辆在出口分岔处选择了哪条车道？,action_event,0,0,0,1,0,0,0,intermediate,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,confirmed,0
audit-0021,2,出口匝道相对主路位于驾驶者哪一侧？,reference_frame,0,1,0,1,0,0,0,high,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0021,3,道路标志先出现还是车道开始分离先出现？,temporal_order,0,0,0,1,0,0,0,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0022,1,鱼竿弯曲程度在片段中如何变化？,deformation_state,0,0,0,1,0,1,1,intermediate,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,confirmed,0
audit-0022,2,男子收线时鱼线指向船的哪一侧？,orientation_facing,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0022,3,男子是否一直保持面向水面？,orientation_facing,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0023,1,鱼进入抄网发生在收线之前还是之后？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0023,2,鱼相对码头边缘的位置如何变化？,dynamic_relation,0,0,0,1,0,0,1,intermediate,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,confirmed,0
audit-0023,3,第二个人的抄网最终位于鱼的下方吗？,static_relation,0,0,0,0,0,0,1,low,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0024,1,男子抛动橙色绳索后绳圈落在身体哪一侧？,dynamic_relation,0,0,0,1,0,0,1,intermediate,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,confirmed,0
audit-0024,2,他先展示绳端还是先把绳索抛向地面？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0024,3,绳索在操作后是否形成明显线圈？,deformation_state,0,0,0,1,0,1,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0025,1,车辆下坡进入停车区后是否改变行驶方向？,dynamic_relation,0,0,0,1,0,0,1,intermediate,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,confirmed,0
audit-0025,2,从驾驶者视角看出口位于哪一侧？,reference_frame,0,1,0,1,0,0,1,high,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,confirmed,0
audit-0025,3,车辆先接近低墙还是先转向返回坡道？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,confirmed,0
audit-0026,1,游泳者朝相机靠近时距离如何变化？,dynamic_relation,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0026,2,游泳者主要面向相机还是背向相机？,orientation_facing,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0026,3,伸手动作发生在游到近处之前还是之后？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0027,1,镜头先展示墙上镜子还是桌面灯具？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0027,2,点亮的圆柱灯位于白色花瓶哪一侧？,static_relation,0,0,0,0,0,0,1,low,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0027,3,手指接近灯口时灯的状态是否改变？,deformation_state,0,0,0,1,0,1,1,intermediate,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,confirmed,0
audit-0028,1,男子从远处走近后主要朝哪个方向手势示意？,orientation_facing,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0028,2,他与相机之间的距离如何变化？,dynamic_relation,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0028,3,他先停止行走还是先举起双手？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0029,1,道路相对两侧牧场的位置是否保持居中？,reference_frame,0,1,0,1,0,0,0,high,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,confirmed,0
audit-0029,2,镜头是在经过牛群之前还是之后进入较直的路段？,temporal_order,0,0,0,1,0,0,0,intermediate,short_answer,0,high,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,revised,0
audit-0029,3,牛群主要位于道路的哪一侧？,static_relation,0,0,0,0,0,0,0,low,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0030,1,狗先远离相机还是先返回相机附近？,temporal_order,0,0,0,1,0,0,0,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0030,2,狗与右侧栏杆的距离如何变化？,dynamic_relation,0,0,0,1,0,0,0,intermediate,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,confirmed,0
audit-0030,3,狗跑远时是否短暂离开清晰可见范围？,occlusion_permanence,0,0,0,1,1,0,0,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0031,1,水翼板手在水面上是否保持离水滑行？,action_event,0,0,0,1,0,0,1,intermediate,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,confirmed,0
audit-0031,2,人与岸线之间的距离如何变化？,dynamic_relation,0,0,0,1,0,0,1,intermediate,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,confirmed,0
audit-0031,3,水翼板相对水面的高度是否稳定？,static_relation,0,0,0,0,0,0,1,low,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,confirmed,0
audit-0032,1,足球传入禁区后由哪一方球员首先触球？,action_event,0,0,0,1,0,0,1,intermediate,short_answer,1,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,still_uncertain,0
audit-0032,2,球从边路到门前的轨迹如何变化？,dynamic_relation,0,0,0,1,0,0,1,intermediate,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,confirmed,0
audit-0032,3,射门发生在防守队员倒地之前还是之后？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,1,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,still_uncertain,0
audit-0033,1,镜头扫过房间时三脚架位于沙发前还是后？,static_relation,0,0,0,0,0,0,0,low,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0033,2,白色吸音板与黑色音箱如何交替分布？,static_relation,0,0,0,0,0,0,0,low,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0033,3,镜头先展示窗边吸音板还是中央三脚架？,temporal_order,0,0,0,1,0,0,0,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0034,1,两名男子先讨论发动机舱还是先展示驾驶室？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0034,2,绿色上衣男子主要朝向同伴还是汽车？,orientation_facing,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0034,3,方向盘位于驾驶室画面的哪一侧？,static_relation,0,0,0,0,0,0,1,low,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0035,1,球进入门前混战后最终是否越过球门线？,action_event,0,0,0,1,0,0,1,intermediate,short_answer,1,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,still_uncertain,0
audit-0035,2,球在禁区内的运动方向如何变化？,dynamic_relation,0,0,0,1,0,0,1,intermediate,short_answer,1,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,still_uncertain,0
audit-0035,3,多人倒地发生在最后一次射门之前还是之后？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,1,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,still_uncertain,0
audit-0036,1,钩针操作后蓝色橡皮筋结构如何变化？,deformation_state,0,0,0,1,0,1,1,intermediate,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,confirmed,0
audit-0036,2,手先拉起哪一层橡皮筋？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,1,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,still_uncertain,0
audit-0036,3,黄色工具相对编织板位于哪一侧？,static_relation,0,0,0,0,0,0,1,low,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0037,1,白队球员突破后射门是否得分？,action_event,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0037,2,守门员向哪一侧扑救？,orientation_facing,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0037,3,射门发生在白队球员越过最后一名防守者之前还是之后？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,1,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,still_uncertain,0
audit-0038,1,摄影者出现是在镜头扫过薰衣草田之前还是之后？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0038,2,薰衣草行列相对远山朝哪个方向延伸？,static_relation,0,0,0,0,0,0,1,low,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0038,3,镜头转动时远山在画面中的相对位置如何变化？,reference_frame,0,1,0,1,0,0,1,high,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,confirmed,0
audit-0039,1,女子是否完整穿过狭窄石门？,action_event,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0039,2,她穿门时身体朝向与门洞方向是否一致？,orientation_facing,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0039,3,她进入门洞前后与相机的距离如何变化？,dynamic_relation,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0040,1,男子在船内先展示座椅还是先展示中央台面？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0040,2,长形座垫位于中央台面的哪一侧？,static_relation,0,0,0,0,0,0,1,low,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0040,3,男子移动盖板后船内空间状态是否改变？,deformation_state,0,0,0,1,0,1,1,intermediate,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,confirmed,0
audit-0041,1,冲浪者靠近岩石后是否与冲浪板分离？,action_event,1,0,0,1,0,0,1,high,short_answer,0,high,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,revised,0
audit-0041,2,冲浪者与岩石之间的距离如何变化？,dynamic_relation,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0041,3,板与人分离发生在浪花遮挡之前还是之后？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,confirmed,0
audit-0042,1,镜头先展示港口小船还是大型起重桥？,temporal_order,0,0,0,1,0,0,0,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0042,2,小船相对红色灯塔的位置如何分布？,static_relation,0,0,0,0,0,0,0,low,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0042,3,场景切换后起重桥位于相机上方还是前方？,reference_frame,0,1,0,1,0,0,0,high,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0043,1,鱼竿明显弯曲后鱼是否出现在岸边？,action_event,0,0,0,1,0,0,0,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0043,2,鱼从水中到岸边的出现顺序是什么？,temporal_order,0,0,0,1,0,0,0,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0043,3,鱼竿弯曲方向相对海面如何变化？,deformation_state,0,0,0,1,0,1,0,intermediate,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,confirmed,0
audit-0044,1,飞机起飞时机场地面与机翼的相对距离如何变化？,dynamic_relation,0,0,0,1,0,0,0,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0044,2,航站楼先位于机翼前方还是随后移到后方？,reference_frame,0,1,0,1,0,0,0,high,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,confirmed,0
audit-0044,3,飞机离地发生在经过停机坪之前还是之后？,temporal_order,0,0,0,1,0,0,0,intermediate,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,rejected,1
audit-0045,1,男子打开旧车车门是在走近车辆之前还是之后？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0045,2,车门打开后车内空间是否变得可见？,occlusion_permanence,0,0,0,1,1,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0045,3,两人主要查看车辆的侧面还是尾部？,orientation_facing,0,0,0,1,0,0,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0046,1,天空中的彩色物体相互距离如何变化？,dynamic_relation,0,0,0,1,0,0,0,intermediate,short_answer,1,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,still_uncertain,0
audit-0046,2,黑色物体与粉色物体哪一个先明显出现？,temporal_order,0,0,0,1,0,0,0,intermediate,short_answer,1,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,still_uncertain,0
audit-0046,3,彩色物体主要位于树线的上方还是下方？,static_relation,0,0,0,0,0,0,0,low,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0047,1,车床加工后木杆表面形状如何变化？,deformation_state,0,0,0,1,0,1,1,intermediate,short_answer,0,high,20帧全时段接触表可支持该具体题意。,not_reviewed_64frame,0
audit-0047,2,男子先启动车床还是先用工具接触木杆？,temporal_order,0,0,0,1,0,0,1,intermediate,short_answer,0,medium,20帧可见相关实体，但连续轨迹或动作结果需完整视频确认。,confirmed,0
