scope_item_id,scope_status,primary_dimension,secondary_dimensions,confidence,reason_cn
scope-0348,supporting_operation,C1_occlusion_permanence,,low,询问降雨造成的远岸可见性降低但不涉及实体持续追踪
scope-0349,supporting_operation,C3_action_intent,,medium,询问走近车辆与开门两个行动阶段的顺序
scope-0350,directly_in_scope,C3_action_intent,,high,直接询问反复转动渔轮的目标
scope-0351,directly_in_scope,C2_dynamic_spatial,,medium,询问镜头沿商店街移动时经过两个地点的顺序
scope-0352,directly_in_scope,C2_dynamic_spatial,,high,询问直升机相对地面的高度变化
scope-0353,supporting_operation,C5_deformation_state,,medium,询问备胎在越野车结构中的安装位置
scope-0354,supporting_operation,C3_action_intent,,medium,询问击球与他人走近洞口的行动顺序
scope-0355,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,询问游泳者靠近相机时距离的变化
scope-0356,directly_in_scope,C2_dynamic_spatial,,medium,需要跨行驶过程判断道路相对牧场是否保持居中
scope-0357,directly_in_scope,C5_deformation_state,,high,询问敞篷车顶在行驶中的开合状态变化
scope-0358,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,以骑手和围栏为参考判断马的侧向位置
scope-0359,directly_in_scope,C5_deformation_state,C2_dynamic_spatial,high,询问火箭在发射架上由低位逐渐抬升倾斜的状态变化
scope-0360,directly_in_scope,C6_reference_frame,,high,询问车列与围场在画面参考系中的分侧位置
scope-0361,directly_in_scope,C3_action_intent,C2_dynamic_spatial,high,询问皮划艇人员移动鱼的空间目标位置
scope-0362,supporting_operation,C2_dynamic_spatial,,high,询问餐盘内两类食物的静态侧向关系
scope-0363,directly_in_scope,C2_dynamic_spatial,,high,询问男子沿走廊行进时朝向是否变化
scope-0364,directly_in_scope,C3_action_intent,,high,直接询问操作者按键的目标
scope-0365,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,明确从驾驶者视角判断道路弯曲方向
scope-0366,supporting_operation,C2_dynamic_spatial,,high,询问出口匝道与主车道的静态侧向关系
scope-0367,directly_in_scope,C2_dynamic_spatial,,high,询问汽车沿路径接近装卸区与横向驶过的顺序
scope-0368,directly_in_scope,C2_dynamic_spatial,,high,询问火箭尖端相对地面的高度变化
scope-0369,supporting_operation,C2_dynamic_spatial,,high,询问吊饰与远处岛屿的静态侧向关系
scope-0370,directly_in_scope,C2_dynamic_spatial,,high,询问车辆驶出坡道后的转向方向
scope-0371,directly_in_scope,C2_dynamic_spatial,,high,询问小船相对防波堤的运动关系
scope-0372,supporting_operation,C3_action_intent,,medium,询问停止行走与举手两个动作的顺序
scope-0373,directly_in_scope,C3_action_intent,C6_reference_frame,high,直接询问守门员扑救行动的空间目标侧
scope-0374,directly_in_scope,C5_deformation_state,,high,询问两个显示区域启动点亮的状态顺序
scope-0375,directly_in_scope,C5_deformation_state,,high,询问鱼竿弯曲程度在片段中的变化
scope-0376,directly_in_scope,C2_dynamic_spatial,,medium,询问鱼是否到达水面附近这一空间状态
scope-0377,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,明确以画面为参照判断岸线相对相机的运动
scope-0378,directly_in_scope,C5_deformation_state,C3_action_intent,high,询问启动按钮操作后的仪表显示状态变化
scope-0379,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,以观察者为参考判断窗外白车的运动方向
scope-0380,supporting_operation,C3_action_intent,,medium,询问男子依次指向两个车尾区域的动作顺序
scope-0381,directly_in_scope,C2_dynamic_spatial,,high,询问蓝车相对车道边线的运动
scope-0382,supporting_operation,C2_dynamic_spatial,,high,询问纪念碑与人群的静态方向关系
scope-0383,directly_in_scope,C2_dynamic_spatial,C5_deformation_state,high,询问冲浪板与人分离后朝向的变化
scope-0384,supporting_operation,C2_dynamic_spatial,,high,询问薰衣草行列相对远山的静态延伸方向
scope-0385,directly_in_scope,C2_dynamic_spatial,,high,询问水鸟群相对岸边的运动
scope-0386,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,询问镜头平移时输电塔进入画面中央的时点
scope-0387,directly_in_scope,C1_occlusion_permanence,,high,需要追踪迎面行人经过相机后是否离开视野
scope-0388,supporting_operation,C2_dynamic_spatial,,high,询问阳光反射与浪峰的静态前后关系
scope-0389,directly_in_scope,C1_occlusion_permanence,C2_dynamic_spatial,high,询问冲浪者消失在浪后与转向的时间关系
scope-0390,directly_in_scope,C2_dynamic_spatial,,high,询问赛马群中领先前后关系是否变化
scope-0391,directly_in_scope,C2_dynamic_spatial,C3_action_intent,medium,询问滑雪者腾空与大幅转向两个空间动作的关系
scope-0392,supporting_operation,C2_dynamic_spatial,,high,询问盒面图案与产品名称的静态相对位置
scope-0393,directly_in_scope,C5_deformation_state,C2_dynamic_spatial,high,询问打结后最终结与原有大环的结构关系
scope-0394,outside_scope,NONE,,high,核心是识别画面固定区域持续可见的物体
scope-0395,directly_in_scope,C2_dynamic_spatial,,high,询问摩托车经过斑马线后是否改变车道
scope-0396,directly_in_scope,C3_action_intent,,high,直接询问讲解手势要展示的车尾部件
scope-0397,supporting_operation,C2_dynamic_spatial,,high,询问三脚架与沙发的静态前后关系
scope-0398,supporting_operation,C3_action_intent,,medium,询问伸手与游近两个游泳行动阶段的顺序
scope-0399,directly_in_scope,C2_dynamic_spatial,,high,询问车辆到达人群前车头朝向是否变化
scope-0400,directly_in_scope,C2_dynamic_spatial,,medium,询问车辆转弯与经过空间地标的路径顺序
