blind_proposal_id,coverage_status,closest_generated_id,confidence,reason_cn
judgment-0031,partial,audit-0006-g03,0.72,"生成题 audit-0006-g03 询问：“[Multiple-Select] The video pans from left to right across a line of seated men. If the camera had instead panned from right to left at the same speed, which two individuals would have been the first to appear fully in the frame? (Select two) [Options] A) The man in the black cowboy hat. B) The man in the brown kufi cap. C) The man in the patterned cap. D) The man in the blue beanie.”；参考题询问：“戴帽男子坐在最初出现的老人哪一侧？”。二者有明确语义重合，但生成题只覆盖参考事实的一部分，或改问了不同参照、时间点、条件或细节，不能直接回答参考题。"
judgment-0032,partial,audit-0006-g03,0.72,"生成题 audit-0006-g03 询问：“[Multiple-Select] The video pans from left to right across a line of seated men. If the camera had instead panned from right to left at the same speed, which two individuals would have been the first to appear fully in the frame? (Select two) [Options] A) The man in the black cowboy hat. B) The man in the brown kufi cap. C) The man in the patterned cap. D) The man in the blue beanie.”；参考题询问：“蓝帽男子出现前镜头先经过谁？”。二者有明确语义重合，但生成题只覆盖参考事实的一部分，或改问了不同参照、时间点、条件或细节，不能直接回答参考题。"
judgment-0033,absent,audit-0007-g01,0.88,"生成题 audit-0007-g01 询问：“[Single-Choice] At the 8-second mark, two large silver fish are swimming towards the right. Which statement accurately describes their relative positions by the time they reach the far right of the tank? [Options] A) The fish that was initially further back overtakes the one in front. B) The two fish swim into the plants at the same time. C) The fish that was initially in front remains in front. D) The fish that was initially further back turns and swims away in the opposite direction.”；参考题询问：“大型银色鱼与红色虾哪一个先出现？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0034,absent,audit-0007-g01,0.88,"生成题 audit-0007-g01 询问：“[Single-Choice] At the 8-second mark, two large silver fish are swimming towards the right. Which statement accurately describes their relative positions by the time they reach the far right of the tank? [Options] A) The fish that was initially further back overtakes the one in front. B) The two fish swim into the plants at the same time. C) The fish that was initially in front remains in front. D) The fish that was initially further back turns and swims away in the opposite direction.”；参考题询问：“虾在水草上的朝向是否发生改变？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0035,direct,audit-0007-g01,0.90,"生成题 audit-0007-g01 询问：“[Single-Choice] At the 8-second mark, two large silver fish are swimming towards the right. Which statement accurately describes their relative positions by the time they reach the far right of the tank? [Options] A) The fish that was initially further back overtakes the one in front. B) The two fish swim into the plants at the same time. C) The fish that was initially in front remains in front. D) The fish that was initially further back turns and swims away in the opposite direction.”；参考题询问：“前半段可见的大型银色鱼有几条？”。二者都要求判断同一个核心可视事实，且需要的空间、时间或状态推理操作基本一致。"
judgment-0036,absent,audit-0007-g01,0.88,"生成题 audit-0007-g01 询问：“[Single-Choice] At the 8-second mark, two large silver fish are swimming towards the right. Which statement accurately describes their relative positions by the time they reach the far right of the tank? [Options] A) The fish that was initially further back overtakes the one in front. B) The two fish swim into the plants at the same time. C) The fish that was initially in front remains in front. D) The fish that was initially further back turns and swims away in the opposite direction.”；参考题询问：“视频前半段主要出现鱼还是红色虾？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0037,absent,audit-0007-g01,0.88,"生成题 audit-0007-g01 询问：“[Single-Choice] At the 8-second mark, two large silver fish are swimming towards the right. Which statement accurately describes their relative positions by the time they reach the far right of the tank? [Options] A) The fish that was initially further back overtakes the one in front. B) The two fish swim into the plants at the same time. C) The fish that was initially in front remains in front. D) The fish that was initially further back turns and swims away in the opposite direction.”；参考题询问：“红色虾停在水草的什么位置？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0038,partial,audit-0007-g01,0.72,"生成题 audit-0007-g01 询问：“[Single-Choice] At the 8-second mark, two large silver fish are swimming towards the right. Which statement accurately describes their relative positions by the time they reach the far right of the tank? [Options] A) The fish that was initially further back overtakes the one in front. B) The two fish swim into the plants at the same time. C) The fish that was initially in front remains in front. D) The fish that was initially further back turns and swims away in the opposite direction.”；参考题询问：“较大的鱼群在水草前方如何移动？”。二者有明确语义重合，但生成题只覆盖参考事实的一部分，或改问了不同参照、时间点、条件或细节，不能直接回答参考题。"
judgment-0039,direct,audit-0008-g01,0.90,生成题 audit-0008-g01 询问：“[True/False] The peak height of the wave's crest remains consistent as it travels from the left side of the frame to the right.”；参考题询问：“浪峰朝岸边推进时形状如何变化？”。二者都要求判断同一个核心可视事实，且需要的空间、时间或状态推理操作基本一致。
judgment-0040,absent,audit-0008-g01,0.88,生成题 audit-0008-g01 询问：“[True/False] The peak height of the wave's crest remains consistent as it travels from the left side of the frame to the right.”；参考题询问：“最亮的阳光反射位于浪峰前方还是后方？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。
judgment-0041,direct,audit-0008-g01,0.90,生成题 audit-0008-g01 询问：“[True/False] The peak height of the wave's crest remains consistent as it travels from the left side of the frame to the right.”；参考题询问：“波浪朝画面的哪个方向推进？”。二者都要求判断同一个核心可视事实，且需要的空间、时间或状态推理操作基本一致。
judgment-0042,partial,audit-0008-g01,0.72,生成题 audit-0008-g01 询问：“[True/False] The peak height of the wave's crest remains consistent as it travels from the left side of the frame to the right.”；参考题询问：“浪峰在移动过程中是否逐渐破碎？”。二者有明确语义重合，但生成题只覆盖参考事实的一部分，或改问了不同参照、时间点、条件或细节，不能直接回答参考题。
judgment-0043,absent,audit-0008-g01,0.88,生成题 audit-0008-g01 询问：“[True/False] The peak height of the wave's crest remains consistent as it travels from the left side of the frame to the right.”；参考题询问：“太阳反光与浪峰的相对位置如何变化？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。
judgment-0044,absent,audit-0009-g01,0.88,"生成题 audit-0009-g01 询问：“[Single-Choice] Assuming the watercraft continues on its current path without turning, what will its position be relative to the group of trees on the land in the next few seconds? [Options] A) It will be directly in front of the trees, having landed on the shore. B) It will have passed the trees, with the trees now on its right side. C) It will have turned away, with the trees getting smaller in the distance. D) It will be stationary in its current position.”；参考题询问：“水面相对远岸树木的位置是否保持稳定？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0045,partial,audit-0009-g01,0.72,"生成题 audit-0009-g01 询问：“[Single-Choice] Assuming the watercraft continues on its current path without turning, what will its position be relative to the group of trees on the land in the next few seconds? [Options] A) It will be directly in front of the trees, having landed on the shore. B) It will have passed the trees, with the trees now on its right side. C) It will have turned away, with the trees getting smaller in the distance. D) It will be stationary in its current position.”；参考题询问：“从画面参照系看，岸线相对相机向哪一侧移动？”。二者有明确语义重合，但生成题只覆盖参考事实的一部分，或改问了不同参照、时间点、条件或细节，不能直接回答参考题。"
judgment-0046,absent,audit-0009-g01,0.88,"生成题 audit-0009-g01 询问：“[Single-Choice] Assuming the watercraft continues on its current path without turning, what will its position be relative to the group of trees on the land in the next few seconds? [Options] A) It will be directly in front of the trees, having landed on the shore. B) It will have passed the trees, with the trees now on its right side. C) It will have turned away, with the trees getting smaller in the distance. D) It will be stationary in its current position.”；参考题询问：“水面反光区域随镜头移动发生了什么变化？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0047,partial,audit-0009-g01,0.72,"生成题 audit-0009-g01 询问：“[Single-Choice] Assuming the watercraft continues on its current path without turning, what will its position be relative to the group of trees on the land in the next few seconds? [Options] A) It will be directly in front of the trees, having landed on the shore. B) It will have passed the trees, with the trees now on its right side. C) It will have turned away, with the trees getting smaller in the distance. D) It will be stationary in its current position.”；参考题询问：“第一视角所在载具在水面上是否持续前进？”。二者有明确语义重合，但生成题只覆盖参考事实的一部分，或改问了不同参照、时间点、条件或细节，不能直接回答参考题。"
judgment-0048,absent,audit-0009-g01,0.88,"生成题 audit-0009-g01 询问：“[Single-Choice] Assuming the watercraft continues on its current path without turning, what will its position be relative to the group of trees on the land in the next few seconds? [Options] A) It will be directly in front of the trees, having landed on the shore. B) It will have passed the trees, with the trees now on its right side. C) It will have turned away, with the trees getting smaller in the distance. D) It will be stationary in its current position.”；参考题询问：“画面右上方持续可见的物体是什么？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0049,partial,audit-0009-g01,0.72,"生成题 audit-0009-g01 询问：“[Single-Choice] Assuming the watercraft continues on its current path without turning, what will its position be relative to the group of trees on the land in the next few seconds? [Options] A) It will be directly in front of the trees, having landed on the shore. B) It will have passed the trees, with the trees now on its right side. C) It will have turned away, with the trees getting smaller in the distance. D) It will be stationary in its current position.”；参考题询问：“远处树木相对观察者向哪个方向移动？”。二者有明确语义重合，但生成题只覆盖参考事实的一部分，或改问了不同参照、时间点、条件或细节，不能直接回答参考题。"
judgment-0050,absent,audit-0010-g01,0.88,"生成题 audit-0010-g01 询问：“[True/False] At the end of the video, the golf ball that was hit by the player is no longer on the surface of the green.”；参考题询问：“镜头从高尔夫球员转向果岭旗杆的顺序是什么？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0051,absent,audit-0010-g01,0.88,"生成题 audit-0010-g01 询问：“[True/False] At the end of the video, the golf ball that was hit by the player is no longer on the surface of the green.”；参考题询问：“球员与球洞之间的距离随镜头推进如何变化？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0052,absent,audit-0010-g03,0.88,"生成题 audit-0010-g03 询问：“[Fill-in-the-Blank] As the newly hit ball rolls past the hole, it passes on the ______ side of the flagstick from the camera's final point of view.”；参考题询问：“果岭旗杆位于沙坑的哪一侧？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0053,absent,audit-0010-g01,0.88,"生成题 audit-0010-g01 询问：“[True/False] At the end of the video, the golf ball that was hit by the player is no longer on the surface of the green.”；参考题询问：“镜头从球员转向球洞后球员是否仍在画面中？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0054,absent,audit-0010-g03,0.88,"生成题 audit-0010-g03 询问：“[Fill-in-the-Blank] As the newly hit ball rolls past the hole, it passes on the ______ side of the flagstick from the camera's final point of view.”；参考题询问：“球洞位于沙坑的哪一侧？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0055,absent,audit-0010-g02,0.88,"生成题 audit-0010-g02 询问：“[Single-Choice] Just before the moving ball reaches the stationary ball, based on its speed and direction, what is its most likely final destination? [Options] A) It will stop short of the hole. B) It will roll directly into the hole. C) It will collide with the stationary ball. D) It will roll past the hole to the right.”；参考题询问：“镜头移动的直接目标是跟随球还是展示球洞？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0056,absent,audit-0011-g01,0.88,"生成题 audit-0011-g01 询问：“[Single-Choice] As the drone flies away from the camera, what is its position relative to the utility pole at the moment it is horizontally aligned with the green dumpster? [Options] A) It has already passed to the left of the utility pole. B) It is directly in front of the utility pole. C) It has not yet reached the utility pole. D) It is flying at the same height as the top of the utility pole.”；参考题询问：“无人机是先远离相机还是先靠近相机？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0057,absent,audit-0011-g01,0.88,"生成题 audit-0011-g01 询问：“[Single-Choice] As the drone flies away from the camera, what is its position relative to the utility pole at the moment it is horizontally aligned with the green dumpster? [Options] A) It has already passed to the left of the utility pole. B) It is directly in front of the utility pole. C) It has not yet reached the utility pole. D) It is flying at the same height as the top of the utility pole.”；参考题询问：“无人机相对地面的高度如何变化？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0058,absent,audit-0011-g02,0.88,生成题 audit-0011-g02 询问：“[True/False] The drone's landing gear is in the same state (either extended or retracted) immediately before it passes behind the utility pole as it is immediately after it re-emerges.”；参考题询问：“无人机最终是否回到近地面位置？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。
judgment-0059,absent,audit-0011-g01,0.88,"生成题 audit-0011-g01 询问：“[Single-Choice] As the drone flies away from the camera, what is its position relative to the utility pole at the moment it is horizontally aligned with the green dumpster? [Options] A) It has already passed to the left of the utility pole. B) It is directly in front of the utility pole. C) It has not yet reached the utility pole. D) It is flying at the same height as the top of the utility pole.”；参考题询问：“无人机先远离还是先接近相机？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0060,absent,audit-0011-g02,0.88,生成题 audit-0011-g02 询问：“[True/False] The drone's landing gear is in the same state (either extended or retracted) immediately before it passes behind the utility pole as it is immediately after it re-emerges.”；参考题询问：“无人机降低高度后落在什么表面？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。
judgment-0061,absent,audit-0011-g01,0.88,"生成题 audit-0011-g01 询问：“[Single-Choice] As the drone flies away from the camera, what is its position relative to the utility pole at the moment it is horizontally aligned with the green dumpster? [Options] A) It has already passed to the left of the utility pole. B) It is directly in front of the utility pole. C) It has not yet reached the utility pole. D) It is flying at the same height as the top of the utility pole.”；参考题询问：“无人机短暂变小时是否仍保持在画面中央附近？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0062,direct,audit-0012-g02,0.90,"生成题 audit-0012-g02 询问：“[Single-Choice] After the golfer hits the ball, where does it come to rest in relation to the flagstick from the camera's point of view? [Options] A) Between the golfer who hit the ball and the flagstick. B) To the right of and slightly beyond the flagstick. C) To the left of and short of the flagstick. D) Directly in the hole.”；参考题询问：“高尔夫球最终停在洞口的哪一侧？”。二者都要求判断同一个核心可视事实，且需要的空间、时间或状态推理操作基本一致。"
judgment-0063,partial,audit-0012-g03,0.72,"生成题 audit-0012-g03 询问：“[True/False] When the video ends, the two people are closer to each other than they are at any other moment when both are visible on screen.”；参考题询问：“球员先击球还是另一人走近洞口？”。二者有明确语义重合，但生成题只覆盖参考事实的一部分，或改问了不同参照、时间点、条件或细节，不能直接回答参考题。"
judgment-0064,partial,audit-0012-g03,0.72,"生成题 audit-0012-g03 询问：“[True/False] When the video ends, the two people are closer to each other than they are at any other moment when both are visible on screen.”；参考题询问：“球员走近洞杯发生在击球之后吗？”。二者有明确语义重合，但生成题只覆盖参考事实的一部分，或改问了不同参照、时间点、条件或细节，不能直接回答参考题。"
judgment-0065,direct,audit-0012-g02,0.90,"生成题 audit-0012-g02 询问：“[Single-Choice] After the golfer hits the ball, where does it come to rest in relation to the flagstick from the camera's point of view? [Options] A) Between the golfer who hit the ball and the flagstick. B) To the right of and slightly beyond the flagstick. C) To the left of and short of the flagstick. D) Directly in the hole.”；参考题询问：“球最终停在洞杯的近处还是远处？”。二者都要求判断同一个核心可视事实，且需要的空间、时间或状态推理操作基本一致。"
judgment-0066,absent,audit-0013-g01,0.88,"生成题 audit-0013-g01 询问：“[True/False] The dark sedan that drives from left to right passes in front of the yellow car, temporarily occluding it from view.”；参考题询问：“拍摄车辆经过帐篷区时白色皮卡位于镜头哪一侧？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0067,absent,audit-0013-g01,0.88,"生成题 audit-0013-g01 询问：“[True/False] The dark sedan that drives from left to right passes in front of the yellow car, temporarily occluding it from view.”；参考题询问：“车辆与大型透明帐篷的距离如何变化？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0068,absent,audit-0013-g01,0.88,"生成题 audit-0013-g01 询问：“[True/False] The dark sedan that drives from left to right passes in front of the yellow car, temporarily occluding it from view.”；参考题询问：“镜头先经过小帐篷还是大型透明帐篷？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
