scope_item_id,question_text_cn,rater_1_status,rater_1_primary,rater_2_status,rater_2_primary,dual_rater_consensus,primary_dimension_consensus,rater_1_reason_cn,rater_2_reason_cn
scope-0014,摩托车驶过路口时向哪一侧转弯？,directly_in_scope,C2_dynamic_spatial,supporting_operation,C6_reference_frame,both_covered_with_support,DISAGREEMENT,询问摩托车通过路口时的转向轨迹,对“摩托车驶过路口时向哪一侧转弯？”，表层只读取固定时刻的方向、朝向或哪一侧，是 C6 的参照表达基础操作，但未要求显式视角转换。
scope-0015,鱼从水下出现到被举起经历了什么顺序？,supporting_operation,C3_action_intent,supporting_operation,C2_dynamic_spatial,both_covered_with_support,DISAGREEMENT,询问鱼从出水到被举起的捕鱼动作阶段顺序,对“鱼从水下出现到被举起经历了什么顺序？”，表层只问运动终点、局部动态关系或空间事件顺序；在该具体运动过程中它是 C2 的必要基础操作，但未直接要求建模完整关系变化。
scope-0016,白色汽车绕场地行驶时方向如何持续变化？,directly_in_scope,C2_dynamic_spatial,directly_in_scope,C2_dynamic_spatial,both_direct,C2_dynamic_spatial,询问汽车连续行驶过程中方向随时间的变化,对“白色汽车绕场地行驶时方向如何持续变化？”，核心要求跟踪对象间位置、方向、距离或轨迹随时间的变化，直接考查 C2 动态空间关系。；同时还需处理相机、行动者或对象参照。
scope-0017,发动机盖在整个片段中保持打开吗？,directly_in_scope,C5_deformation_state,directly_in_scope,C5_deformation_state,both_direct,C5_deformation_state,需要跨片段追踪发动机盖的开合状态,对“发动机盖在整个片段中保持打开吗？”，核心要求识别开合、弯曲、组装、分离、破坏或状态转变，直接考查 C5 形变与状态变化。
scope-0018,浪线相对沙滩边缘如何推进？,directly_in_scope,C2_dynamic_spatial,directly_in_scope,C2_dynamic_spatial,both_direct,C2_dynamic_spatial,询问浪线相对沙滩边缘的推进关系,对“浪线相对沙滩边缘如何推进？”，核心要求跟踪对象间位置、方向、距离或轨迹随时间的变化，直接考查 C2 动态空间关系。
scope-0019,鱼竿弯曲方向相对海面如何变化？,directly_in_scope,C5_deformation_state,directly_in_scope,C5_deformation_state,both_direct,C5_deformation_state,同时要求追踪鱼竿弯曲形变及其相对海面的方向变化,对“鱼竿弯曲方向相对海面如何变化？”，核心要求识别开合、弯曲、组装、分离、破坏或状态转变，直接考查 C5 形变与状态变化。；同时还需跟踪相关空间关系或轨迹的时间变化。
scope-0020,烟雾出现发生在正式加速之前还是之后？,supporting_operation,C3_action_intent,outside_scope,NONE,binary_coverage_contested,DISAGREEMENT,询问车辆动作阶段中烟雾出现与加速的时间关系,对“烟雾出现发生在正式加速之前还是之后？”，核心只是一般事件或镜头展示顺序；题面未表明该顺序是六维高层推理的必要组成，因此判为范围外。
scope-0021,男子按压后车门区域后车门是否打开？,directly_in_scope,C5_deformation_state,directly_in_scope,C5_deformation_state,both_direct,C5_deformation_state,询问按压操作后车门是否发生开合状态变化,对“男子按压后车门区域后车门是否打开？”，核心要求识别开合、弯曲、组装、分离、破坏或状态转变，直接考查 C5 形变与状态变化。；同时还需绑定动作与空间目标或结果。
scope-0022,蓝色橡皮筋的编织结构如何随操作变化？,directly_in_scope,C5_deformation_state,directly_in_scope,C5_deformation_state,both_direct,C5_deformation_state,询问操作过程中橡皮筋编织结构的形变与状态变化,对“蓝色橡皮筋的编织结构如何随操作变化？”，核心要求识别开合、弯曲、组装、分离、破坏或状态转变，直接考查 C5 形变与状态变化。
scope-0023,机翼相对跑道始终位于画面下方吗？,directly_in_scope,C6_reference_frame,directly_in_scope,C2_dynamic_spatial,both_direct,DISAGREEMENT,询问机翼相对跑道在画面坐标中的持续位置,对“机翼相对跑道始终位于画面下方吗？”，核心要求跟踪对象间位置、方向、距离或轨迹随时间的变化，直接考查 C2 动态空间关系。；同时还需处理相机、行动者或对象参照。
scope-0024,冲浪者在片段中是否完成了不止一次方向相反的明显转向？,directly_in_scope,C2_dynamic_spatial,directly_in_scope,C2_dynamic_spatial,both_direct,C2_dynamic_spatial,要求跨片段追踪冲浪者多次方向相反的转向,对“冲浪者在片段中是否完成了不止一次方向相反的明显转向？”，核心要求跟踪对象间位置、方向、距离或轨迹随时间的变化，直接考查 C2 动态空间关系。
scope-0025,水面反光区域随镜头移动发生了什么变化？,directly_in_scope,C6_reference_frame,directly_in_scope,C2_dynamic_spatial,both_direct,DISAGREEMENT,询问反光区域随相机运动产生的视点依赖变化,对“水面反光区域随镜头移动发生了什么变化？”，核心要求跟踪对象间位置、方向、距离或轨迹随时间的变化，直接考查 C2 动态空间关系。；同时还需处理相机、行动者或对象参照。
scope-0026,红色汽车绕场时是否与另一辆红车交会？,directly_in_scope,C2_dynamic_spatial,directly_in_scope,C2_dynamic_spatial,both_direct,C2_dynamic_spatial,询问两辆运动汽车是否发生空间交会,对“红色汽车绕场时是否与另一辆红车交会？”，核心要求跟踪对象间位置、方向、距离或轨迹随时间的变化，直接考查 C2 动态空间关系。
scope-0027,两辆车之间的距离如何变化？,directly_in_scope,C2_dynamic_spatial,directly_in_scope,C2_dynamic_spatial,both_direct,C2_dynamic_spatial,直接询问两个运动实体之间距离的变化,对“两辆车之间的距离如何变化？”，核心要求跟踪对象间位置、方向、距离或轨迹随时间的变化，直接考查 C2 动态空间关系。
scope-0028,男子先展示绳端还是先演示船上固定点？,outside_scope,NONE,outside_scope,NONE,both_outside_scope,NONE,只询问讲解镜头先展示哪个对象，不需要六维中的空间推理,对“男子先展示绳端还是先演示船上固定点？”，核心只是一般事件或镜头展示顺序；题面未表明该顺序是六维高层推理的必要组成，因此判为范围外。
scope-0029,鱼被举起后其身体朝向如何变化？,directly_in_scope,C2_dynamic_spatial,directly_in_scope,C2_dynamic_spatial,both_direct,C2_dynamic_spatial,询问鱼被举起后身体朝向随时间的变化,对“鱼被举起后其身体朝向如何变化？”，核心要求跟踪对象间位置、方向、距离或轨迹随时间的变化，直接考查 C2 动态空间关系。；同时还需处理相机、行动者或对象参照。
scope-0030,着陆时机身朝向是否保持稳定？,directly_in_scope,C2_dynamic_spatial,directly_in_scope,C2_dynamic_spatial,both_direct,C2_dynamic_spatial,需要在着陆过程中追踪机身朝向是否稳定,对“着陆时机身朝向是否保持稳定？”，核心要求跟踪对象间位置、方向、距离或轨迹随时间的变化，直接考查 C2 动态空间关系。；同时还需处理相机、行动者或对象参照。
scope-0031,男子的手主要指向发动机舱的哪个区域？,directly_in_scope,C3_action_intent,directly_in_scope,C3_action_intent,both_direct,C3_action_intent,询问指向动作的直接空间目标区域,对“男子的手主要指向发动机舱的哪个区域？”，核心要求把可见空间行动与其目标、去向或即时结果绑定，直接考查 C3 行动与意图。
scope-0032,男子操作后折叠自行车的轮部状态是否改变？,directly_in_scope,C5_deformation_state,directly_in_scope,C5_deformation_state,both_direct,C5_deformation_state,询问操作后折叠自行车轮部状态是否改变,对“男子操作后折叠自行车的轮部状态是否改变？”，核心要求识别开合、弯曲、组装、分离、破坏或状态转变，直接考查 C5 形变与状态变化。
scope-0033,栏杆是否始终位于画面下方？,directly_in_scope,C6_reference_frame,directly_in_scope,C2_dynamic_spatial,both_direct,DISAGREEMENT,询问栏杆在画面参考系中的持续位置,对“栏杆是否始终位于画面下方？”，核心要求跟踪对象间位置、方向、距离或轨迹随时间的变化，直接考查 C2 动态空间关系。；同时还需处理相机、行动者或对象参照。
scope-0034,火箭尖端相对发射架位于什么方向？,supporting_operation,C2_dynamic_spatial,supporting_operation,C6_reference_frame,both_covered_with_support,DISAGREEMENT,询问火箭尖端与发射架的静态方向关系,对“火箭尖端相对发射架位于什么方向？”，表层只读取固定时刻的方向、朝向或哪一侧，是 C6 的参照表达基础操作，但未要求显式视角转换。
scope-0035,汽车绕行时车头朝向如何改变？,directly_in_scope,C2_dynamic_spatial,directly_in_scope,C2_dynamic_spatial,both_direct,C2_dynamic_spatial,询问车辆绕行时车头朝向的动态变化,对“汽车绕行时车头朝向如何改变？”，核心要求跟踪对象间位置、方向、距离或轨迹随时间的变化，直接考查 C2 动态空间关系。；同时还需处理相机、行动者或对象参照。
scope-0036,镜头先展示座椅材质还是先展示驾驶控制区？,outside_scope,NONE,outside_scope,NONE,both_outside_scope,NONE,只比较镜头展示两个车内部件的时间顺序,对“镜头先展示座椅材质还是先展示驾驶控制区？”，核心只是一般事件或镜头展示顺序；题面未表明该顺序是六维高层推理的必要组成，因此判为范围外。
scope-0037,橙衣男子是否反复低头操作物体？,supporting_operation,C3_action_intent,outside_scope,NONE,binary_coverage_contested,DISAGREEMENT,识别人物反复操作物体的动作模式但未直接询问目标,对“橙衣男子是否反复低头操作物体？”，核心是一般动作、表情、属性或可见事实识别，未要求六维定义中的高层时空能力。
scope-0038,方向盘相对中控屏位于驾驶者哪一侧？,directly_in_scope,C6_reference_frame,directly_in_scope,C6_reference_frame,both_direct,C6_reference_frame,需要采用驾驶者参考系判断方向盘相对中控屏的侧向位置,对“方向盘相对中控屏位于驾驶者哪一侧？”，核心要求在明确的相机、行动者或对象视角下表示或转换空间方向，直接考查 C6 参照系。
scope-0039,人物经过镜头后田间箱子位于画面哪一侧？,directly_in_scope,C6_reference_frame,supporting_operation,C6_reference_frame,both_covered_with_support,C6_reference_frame,询问人物经过相机后箱子在画面参考系中的位置,对“人物经过镜头后田间箱子位于画面哪一侧？”，表层只读取固定时刻的方向、朝向或哪一侧，是 C6 的参照表达基础操作，但未要求显式视角转换。
scope-0040,冲浪者在浪壁上的高度如何变化？,directly_in_scope,C2_dynamic_spatial,directly_in_scope,C2_dynamic_spatial,both_direct,C2_dynamic_spatial,询问冲浪者相对浪壁的高度随时间变化,对“冲浪者在浪壁上的高度如何变化？”，核心要求跟踪对象间位置、方向、距离或轨迹随时间的变化，直接考查 C2 动态空间关系。
scope-0041,车床加工前后木杆表面如何变化？,directly_in_scope,C5_deformation_state,directly_in_scope,C5_deformation_state,both_direct,C5_deformation_state,询问车床加工导致的木杆表面状态变化,对“车床加工前后木杆表面如何变化？”，核心要求识别开合、弯曲、组装、分离、破坏或状态转变，直接考查 C5 形变与状态变化。
scope-0042,白色围墙在转弯前位于车辆哪一侧？,directly_in_scope,C6_reference_frame,supporting_operation,C6_reference_frame,both_covered_with_support,C6_reference_frame,需要采用车辆参考系判断围墙位于哪一侧,对“白色围墙在转弯前位于车辆哪一侧？”，表层只读取固定时刻的方向、朝向或哪一侧，是 C6 的参照表达基础操作，但未要求显式视角转换。
scope-0043,汽车经过镜头时朝向如何改变？,directly_in_scope,C6_reference_frame,directly_in_scope,C2_dynamic_spatial,both_direct,DISAGREEMENT,询问汽车经过相机时相对视点的朝向变化,对“汽车经过镜头时朝向如何改变？”，核心要求跟踪对象间位置、方向、距离或轨迹随时间的变化，直接考查 C2 动态空间关系。；同时还需处理相机、行动者或对象参照。
scope-0044,使用工具的直接目标是什么？,directly_in_scope,C3_action_intent,directly_in_scope,C3_action_intent,both_direct,C3_action_intent,直接询问使用工具这一行动的目标,对“使用工具的直接目标是什么？”，核心要求把可见空间行动与其目标、去向或即时结果绑定，直接考查 C3 行动与意图。
scope-0045,绳索在手中形成了什么结构？,directly_in_scope,C5_deformation_state,directly_in_scope,C5_deformation_state,both_direct,C5_deformation_state,询问操作后绳索形成的结构状态,对“绳索在手中形成了什么结构？”，核心要求识别开合、弯曲、组装、分离、破坏或状态转变，直接考查 C5 形变与状态变化。
scope-0046,车辆经过时透明大帐篷位于画面哪一侧？,directly_in_scope,C6_reference_frame,supporting_operation,C6_reference_frame,both_covered_with_support,C6_reference_frame,询问车辆运动时帐篷在画面参考系中的侧向位置,对“车辆经过时透明大帐篷位于画面哪一侧？”，表层只读取固定时刻的方向、朝向或哪一侧，是 C6 的参照表达基础操作，但未要求显式视角转换。
scope-0047,彩色物体主要位于树线的上方还是下方？,supporting_operation,C2_dynamic_spatial,outside_scope,NONE,binary_coverage_contested,DISAGREEMENT,询问彩色物体与树线的静态上下关系,对“彩色物体主要位于树线的上方还是下方？”，只需读取单点静态位置或方位，且没有明确动态过程或视角转换；不能仅因含空间词就归入六维。
scope-0048,纪念碑相对水池位于什么方向？,directly_in_scope,C6_reference_frame,outside_scope,NONE,binary_coverage_contested,DISAGREEMENT,以水池为对象参考系询问纪念碑的方向,对“纪念碑相对水池位于什么方向？”，只需读取单点静态位置或方位，且没有明确动态过程或视角转换；不能仅因含空间词就归入六维。
scope-0049,石门上突出的石块分布在门洞两侧吗？,supporting_operation,C2_dynamic_spatial,outside_scope,NONE,binary_coverage_contested,DISAGREEMENT,询问石块相对门洞两侧的静态空间分布,对“石门上突出的石块分布在门洞两侧吗？”，核心是一般动作、表情、属性或可见事实识别，未要求六维定义中的高层时空能力。
scope-0050,镜头移动时村庄从哪侧进入画面？,directly_in_scope,C6_reference_frame,directly_in_scope,C2_dynamic_spatial,both_direct,DISAGREEMENT,询问相机移动时村庄从画面哪一侧进入,对“镜头移动时村庄从哪侧进入画面？”，核心要求跟踪对象间位置、方向、距离或轨迹随时间的变化，直接考查 C2 动态空间关系。；同时还需处理相机、行动者或对象参照。
scope-0051,游泳者到达近处前采用了什么泳姿？,outside_scope,NONE,outside_scope,NONE,both_outside_scope,NONE,核心只是识别游泳姿势而不要求空间目标或关系推理,对“游泳者到达近处前采用了什么泳姿？”，核心只是数量、身份、外观属性或普通实体识别；不要求六维中的持续追踪、动态关系、空间目标、预测、状态转变或参照转换。
scope-0052,若维持当前轨迹车辆会接近弯道内侧吗？,directly_in_scope,C4_predictive_counterfactual,directly_in_scope,C4_predictive_counterfactual,both_direct,C4_predictive_counterfactual,要求依据当前轨迹预测车辆是否接近弯道内侧,对“若维持当前轨迹车辆会接近弯道内侧吗？”，题面显式要求依据当前轨迹或假设条件预测未观察空间状态，直接考查 C4 预测与反事实。；同时还需跟踪相关空间关系或轨迹的时间变化。
scope-0053,人群是否朝同一方向移动？,directly_in_scope,C2_dynamic_spatial,supporting_operation,C2_dynamic_spatial,both_covered_with_support,C2_dynamic_spatial,询问人群中多个运动主体的方向关系,对“人群是否朝同一方向移动？”，表层只问运动终点、局部动态关系或空间事件顺序；在该具体运动过程中它是 C2 的必要基础操作，但未直接要求建模完整关系变化。
scope-0054,镜头先展示发动机舱还是先展示驾驶舱？,outside_scope,NONE,outside_scope,NONE,both_outside_scope,NONE,只询问镜头展示发动机舱与驾驶舱的先后顺序,对“镜头先展示发动机舱还是先展示驾驶舱？”，核心只是一般事件或镜头展示顺序；题面未表明该顺序是六维高层推理的必要组成，因此判为范围外。
scope-0055,车辆经过出口标志后驶入哪条道路分支？,directly_in_scope,C2_dynamic_spatial,directly_in_scope,C2_dynamic_spatial,both_direct,C2_dynamic_spatial,询问车辆经过标志后的路径分支,对“车辆经过出口标志后驶入哪条道路分支？”，核心要求跟踪对象间位置、方向、距离或轨迹随时间的变化，直接考查 C2 动态空间关系。
scope-0056,两辆摩托车的前后关系在比赛中是否改变？,directly_in_scope,C2_dynamic_spatial,directly_in_scope,C2_dynamic_spatial,both_direct,C2_dynamic_spatial,询问两辆摩托车的前后关系是否随比赛改变,对“两辆摩托车的前后关系在比赛中是否改变？”，核心要求跟踪对象间位置、方向、距离或轨迹随时间的变化，直接考查 C2 动态空间关系。
scope-0057,镜头先展示镜子还是先展示发光装饰灯？,outside_scope,NONE,outside_scope,NONE,both_outside_scope,NONE,只比较镜子与装饰灯被展示的先后顺序,对“镜头先展示镜子还是先展示发光装饰灯？”，核心只是一般事件或镜头展示顺序；题面未表明该顺序是六维高层推理的必要组成，因此判为范围外。
scope-0058,两辆车在弯道上的前后关系是否改变？,directly_in_scope,C2_dynamic_spatial,directly_in_scope,C2_dynamic_spatial,both_direct,C2_dynamic_spatial,询问两车在弯道上的前后关系是否变化,对“两辆车在弯道上的前后关系是否改变？”，核心要求跟踪对象间位置、方向、距离或轨迹随时间的变化，直接考查 C2 动态空间关系。
scope-0059,骑象者沿道路行进时主要面向哪个方向？,supporting_operation,C6_reference_frame,supporting_operation,C6_reference_frame,both_covered_with_support,C6_reference_frame,询问骑乘者相对道路行进方向的主体朝向,对“骑象者沿道路行进时主要面向哪个方向？”，表层只读取固定时刻的方向、朝向或哪一侧，是 C6 的参照表达基础操作，但未要求显式视角转换。
scope-0060,孤立树位于果岭哪一侧？,supporting_operation,C2_dynamic_spatial,outside_scope,NONE,binary_coverage_contested,DISAGREEMENT,询问树相对果岭的静态侧向位置,对“孤立树位于果岭哪一侧？”，只需读取单点静态位置或方位，且没有明确动态过程或视角转换；不能仅因含空间词就归入六维。
scope-0061,航站楼先位于机翼前方还是随后移到后方？,directly_in_scope,C2_dynamic_spatial,directly_in_scope,C2_dynamic_spatial,both_direct,C2_dynamic_spatial,询问航站楼相对机翼的前后关系随运动发生改变,对“航站楼先位于机翼前方还是随后移到后方？”，核心要求跟踪对象间位置、方向、距离或轨迹随时间的变化，直接考查 C2 动态空间关系。；同时还需处理相机、行动者或对象参照。
scope-0062,男子抱起设备发生在蹲下之后吗？,supporting_operation,C3_action_intent,outside_scope,NONE,binary_coverage_contested,DISAGREEMENT,询问蹲下与抱起设备两个空间动作的先后关系,对“男子抱起设备发生在蹲下之后吗？”，核心只是一般事件或镜头展示顺序；题面未表明该顺序是六维高层推理的必要组成，因此判为范围外。
scope-0063,车辆从支路汇入主路前是否等待横向车流？,directly_in_scope,C3_action_intent,directly_in_scope,C3_action_intent,both_direct,C3_action_intent,需要理解车辆为汇入主路而对横向车流作出的等待行为,对“车辆从支路汇入主路前是否等待横向车流？”，核心要求把可见空间行动与其目标、去向或即时结果绑定，直接考查 C3 行动与意图。；同时还需跟踪相关空间关系或轨迹的时间变化。
scope-0064,云层与输电线是否发生遮挡重叠？,supporting_operation,C1_occlusion_permanence,outside_scope,NONE,binary_coverage_contested,DISAGREEMENT,询问云层与输电线是否形成遮挡重叠但不要求跨遮挡持续追踪,对“云层与输电线是否发生遮挡重叠？”，核心是一般动作、表情、属性或可见事实识别，未要求六维定义中的高层时空能力。
scope-0065,镜头先展示道路还是先转向驾驶员面部？,outside_scope,NONE,outside_scope,NONE,both_outside_scope,NONE,只询问道路画面与驾驶员面部的展示顺序,对“镜头先展示道路还是先转向驾驶员面部？”，核心只是一般事件或镜头展示顺序；题面未表明该顺序是六维高层推理的必要组成，因此判为范围外。
scope-0066,制作绳结的直接目标是固定上方绳环吗？,directly_in_scope,C3_action_intent,directly_in_scope,C3_action_intent,both_direct,C3_action_intent,直接询问制作绳结的空间目标,对“制作绳结的直接目标是固定上方绳环吗？”，核心要求把可见空间行动与其目标、去向或即时结果绑定，直接考查 C3 行动与意图。
scope-0067,镜头中人物出现前主要展示了什么景物？,outside_scope,NONE,outside_scope,NONE,both_outside_scope,NONE,询问人物出现前展示的景物身份而非六维空间能力,对“镜头中人物出现前主要展示了什么景物？”，核心只是数量、身份、外观属性或普通实体识别；不要求六维中的持续追踪、动态关系、空间目标、预测、状态转变或参照转换。
scope-0068,橙色饰条位于座椅的哪个边缘？,supporting_operation,C2_dynamic_spatial,outside_scope,NONE,binary_coverage_contested,DISAGREEMENT,询问饰条相对座椅边缘的静态位置,对“橙色饰条位于座椅的哪个边缘？”，只需读取单点静态位置或方位，且没有明确动态过程或视角转换；不能仅因含空间词就归入六维。
scope-0069,滑雪者在片段中完成了几次跳跃？,outside_scope,NONE,outside_scope,NONE,both_outside_scope,NONE,只对滑雪跳跃动作进行计数,对“滑雪者在片段中完成了几次跳跃？”，核心只是数量、身份、外观属性或普通实体识别；不要求六维中的持续追踪、动态关系、空间目标、预测、状态转变或参照转换。
scope-0070,蓝白小船相对驳船向哪侧移动？,directly_in_scope,C2_dynamic_spatial,directly_in_scope,C2_dynamic_spatial,both_direct,C2_dynamic_spatial,询问小船相对驳船的运动方向,对“蓝白小船相对驳船向哪侧移动？”，核心要求跟踪对象间位置、方向、距离或轨迹随时间的变化，直接考查 C2 动态空间关系。
scope-0071,镜头从球员转向球洞后球员是否仍在画面中？,directly_in_scope,C1_occlusion_permanence,directly_in_scope,C1_occlusion_permanence,both_direct,C1_occlusion_permanence,需要在镜头转移后判断球员是否仍保持可见,对“镜头从球员转向球洞后球员是否仍在画面中？”，核心要求跨遮挡、离开视野或可见性变化持续追踪对象及其再现，直接考查 C1 遮挡与客体持续性。
scope-0072,直升机最终是否平稳落到草地？,directly_in_scope,C2_dynamic_spatial,supporting_operation,C2_dynamic_spatial,both_covered_with_support,C2_dynamic_spatial,询问直升机运动轨迹是否以平稳落到草地结束,对“直升机最终是否平稳落到草地？”，表层只问运动终点、局部动态关系或空间事件顺序；在该具体运动过程中它是 C2 的必要基础操作，但未直接要求建模完整关系变化。
scope-0073,单板滑雪者在下坡中进行了几次明显换刃转向？,directly_in_scope,C2_dynamic_spatial,supporting_operation,C2_dynamic_spatial,both_covered_with_support,C2_dynamic_spatial,需要跨片段追踪并计数滑雪者的换刃转向,对“单板滑雪者在下坡中进行了几次明显换刃转向？”，表层只问运动终点、局部动态关系或空间事件顺序；在该具体运动过程中它是 C2 的必要基础操作，但未直接要求建模完整关系变化。
scope-0074,滑雪板相对栏杆的高度和方向如何变化？,directly_in_scope,C2_dynamic_spatial,directly_in_scope,C2_dynamic_spatial,both_direct,C2_dynamic_spatial,直接询问滑雪板相对栏杆的高度和方向变化,对“滑雪板相对栏杆的高度和方向如何变化？”，核心要求跟踪对象间位置、方向、距离或轨迹随时间的变化，直接考查 C2 动态空间关系。；同时还需处理相机、行动者或对象参照。
scope-0075,射门后球进入球门的哪一侧？,directly_in_scope,C6_reference_frame,supporting_operation,C2_dynamic_spatial,both_covered_with_support,DISAGREEMENT,以球门为对象参考系判断射门终点位于哪一侧,对“射门后球进入球门的哪一侧？”，表层只问运动终点、局部动态关系或空间事件顺序；在该具体运动过程中它是 C2 的必要基础操作，但未直接要求建模完整关系变化。
scope-0076,鱼从水中到岸边的出现顺序是什么？,directly_in_scope,C2_dynamic_spatial,supporting_operation,C2_dynamic_spatial,both_covered_with_support,C2_dynamic_spatial,询问鱼从水中到岸边的空间转移顺序,对“鱼从水中到岸边的出现顺序是什么？”，表层只问运动终点、局部动态关系或空间事件顺序；在该具体运动过程中它是 C2 的必要基础操作，但未直接要求建模完整关系变化。
scope-0077,深色云层位于房屋上方吗？,supporting_operation,C2_dynamic_spatial,outside_scope,NONE,binary_coverage_contested,DISAGREEMENT,询问云层与房屋的静态上下关系,对“深色云层位于房屋上方吗？”，只需读取单点静态位置或方位，且没有明确动态过程或视角转换；不能仅因含空间词就归入六维。
scope-0078,白车与路边树木的遮挡关系如何变化？,directly_in_scope,C1_occlusion_permanence,directly_in_scope,C1_occlusion_permanence,both_direct,C1_occlusion_permanence,需要跨时间追踪白车与树木之间的遮挡关系,对“白车与路边树木的遮挡关系如何变化？”，核心要求跨遮挡、离开视野或可见性变化持续追踪对象及其再现，直接考查 C1 遮挡与客体持续性。；同时还需跟踪相关空间关系或轨迹的时间变化。
