blind_proposal_id,coverage_status,closest_generated_id,confidence,reason_cn
judgment-0022,partial,audit-0005-g02,0.91,生成题锁定冲浪者被浪卷遮挡最严重的时刻，但没有判断其随后是否重新清晰出现。
judgment-0023,partial,audit-0005-g01,0.90,生成题讨论最后转弯及板的行进方向，触及运动方向变化，但主要要求上身相对板方向的旋转。
judgment-0024,partial,audit-0005-g02,0.83,生成题确认被浪卷遮挡的时刻，另一生成题涉及最后转向，但没有直接建立遮挡与转向的先后关系。
judgment-0025,direct,audit-0005-g02,0.97,生成题直接询问冲浪者在浪卷中最受遮挡时的可见部分，覆盖进入浪管后一度被浪花遮住的核心事实。
judgment-0026,partial,audit-0005-g01,0.82,生成题涉及骑行末段转弯和板的行进方向，但没有把方向限定为从浪管出来之后。
judgment-0027,absent,audit-0005-g02,0.93,生成题关注浪卷遮挡时的可见部分，没有判断浪峰塌下前冲浪者是否保持站立。
judgment-0028,absent,audit-0006-g03,0.96,生成题涉及若干具体人物的出现次序与遮挡，但没有统计镜头依次展示的老人数量。
judgment-0029,direct,audit-0006-g03,0.90,逆向平移时谁先完整入画的题依赖同一排人物的左右顺序，可直接决定蓝帽人与宽檐帽人的实际出现先后。
judgment-0030,absent,audit-0006-g03,0.96,生成题没有要求统计镜头依次聚焦的坐着人物总数。
judgment-0031,uncertain,audit-0006-g03,0.55,参考中的“戴帽男子”无法从文字稳定对应牛仔帽、库菲帽、花纹帽或蓝帽中的哪一人，因而不能可靠比较左右关系。
judgment-0032,partial,audit-0006-g03,0.88,生成题通过反向平移询问最先入画的两人，覆盖人物排列与出现顺序，但未直接问蓝帽男子前镜头经过的具体人。
judgment-0033,absent,audit-0007-g01,0.98,生成题只讨论鱼及其相对位置，没有提及红色虾，无法比较鱼和虾的首次出现次序。
judgment-0034,absent,audit-0007-g03,0.99,所有生成题都未出现虾或虾在水草上的朝向。
judgment-0035,direct,audit-0007-g01,0.96,生成题明确在八秒处有两条大型银色鱼，直接覆盖前半段大型银色鱼的数量事实。
judgment-0036,absent,audit-0007-g01,0.98,生成题虽描述鱼但完全没有红色虾，无法判断前半段鱼与虾谁是主要对象。
judgment-0037,absent,audit-0007-g03,0.99,生成题没有提及红色虾，更未描述其停在水草的具体位置。
judgment-0038,partial,audit-0007-g01,0.92,生成题追踪两条大型银鱼向右游至缸体右端的相对运动，但没有明确要求其在水草前方如何移动。
judgment-0039,partial,audit-0008-g01,0.91,生成题判断浪峰从左向右传播时峰高是否一致，覆盖形状变化的一个维度但不是整体形态变化。
judgment-0040,absent,audit-0008-g01,0.98,唯一生成题只比较浪峰高度，没有提及阳光反射及其在浪峰前后的位置。
judgment-0041,direct,audit-0008-g01,0.99,生成题明确说明浪峰从画面左侧传播到右侧，直接给出波浪推进方向。
judgment-0042,partial,audit-0008-g01,0.84,生成题考察浪峰随传播是否保持峰高，涉及传播中的形态变化，但未判断是否逐渐破碎。
judgment-0043,absent,audit-0008-g01,0.99,生成题没有出现太阳反光，因而不覆盖反光与浪峰相对位置的变化。
judgment-0044,absent,audit-0009-g01,0.92,生成题预测载具相对树木的位置，未判断水面本身相对远岸树木是否稳定。
judgment-0045,partial,audit-0009-g01,0.86,生成题利用载具持续行进预测其相对岸上树木的位置，涉及同一相对运动，但没有给出岸线在相机参照系中的侧向方向。
judgment-0046,absent,audit-0009-g01,0.99,所有生成题都未提及水面反光区域或其随镜头移动的变化。
judgment-0047,direct,audit-0009-g01,0.97,生成题明确以载具保持当前路径继续行进为条件预测其未来位置，实质覆盖载具是否持续前进。
judgment-0048,absent,audit-0009-g01,0.99,生成题只涉及载具和岸上树木，没有识别画面右上方持续可见的物体。
judgment-0049,direct,audit-0009-g01,0.92,生成题预测载具相对树木继续通过后的方位，采用相反参照即可得到远处树木相对观察者的移动方向。
judgment-0050,absent,audit-0010-g03,0.96,生成题讨论球相对旗杆和球洞的运动，没有询问镜头从球员转向旗杆的展示顺序。
judgment-0051,absent,audit-0010-g01,0.98,生成题没有比较镜头推进过程中球员与球洞之间的距离变化。
judgment-0052,absent,audit-0010-g03,0.99,生成题虽涉及旗杆但完全没有沙坑，无法判断旗杆位于沙坑哪侧。
judgment-0053,absent,audit-0010-g01,0.97,生成题提到击球者和果岭上的球，但未判断镜头转向球洞后球员是否仍在画面中。
judgment-0054,absent,audit-0010-g02,0.99,生成题涉及球洞却未提沙坑，无法覆盖球洞相对沙坑的位置。
judgment-0055,absent,audit-0010-g03,0.94,生成题利用最终视角追踪球相对旗杆，却没有判断镜头移动是跟随球还是展示球洞。
judgment-0056,partial,audit-0011-g01,0.92,生成题明确描述无人机正远离相机飞行，但没有比较远离与随后或先前靠近的先后次序。
judgment-0057,partial,audit-0011-g01,0.77,生成题在与垃圾箱水平对齐时比较无人机和电线杆的位置及高度选项，但没有追踪它相对地面的高度变化。
judgment-0058,absent,audit-0011-g02,0.96,生成题只涉及飞离、经过电线杆及起落架状态，没有判断无人机最终是否回到近地面。
judgment-0059,partial,audit-0011-g01,0.92,生成题确认无人机处于远离相机的阶段，但未比较其远离和接近阶段的时间顺序。
judgment-0060,absent,audit-0011-g02,0.98,生成题没有描述无人机降低高度、着陆动作或落到的表面。
judgment-0061,partial,audit-0011-g01,0.83,生成题的无人机远离相机与变小有关且追踪其画面位置，但没有判断其是否保持在画面中央附近。
judgment-0062,direct,audit-0012-g02,0.97,生成题直接询问球停下时相对旗杆的左右和前后位置，旗杆对应洞口位置，覆盖最终停在洞口哪侧。
judgment-0063,absent,audit-0012-g03,0.93,生成题涉及击球后球的位置及两人最终距离，却没有描述另一人走近洞口或比较其与击球的先后。
judgment-0064,partial,audit-0012-g03,0.82,生成题判断结尾两人是否达到最小距离，可能涉及人物走近，但没有明确球员走近洞杯或其发生在击球之后。
judgment-0065,direct,audit-0012-g02,0.97,生成题要求判断球相对旗杆是略过、偏左偏右还是入洞，实质直接给出球最终离洞杯近远的位置。
judgment-0066,absent,audit-0013-g01,0.99,唯一生成题只比较黑色轿车和黄色汽车的遮挡，没有白色皮卡或帐篷区。
judgment-0067,absent,audit-0013-g01,0.99,生成题未提大型透明帐篷，无法判断车辆与帐篷距离变化。
judgment-0068,absent,audit-0013-g01,0.99,生成题没有小帐篷、大型透明帐篷或镜头经过二者的顺序。
judgment-0069,absent,audit-0013-g01,0.99,生成题只涉及两辆汽车，没有透明大帐篷在画面中的侧向位置。
judgment-0070,absent,audit-0013-g01,0.99,生成题描述轿车相对另一辆车行驶和遮挡，不涉及车辆相对帐篷的移动。
judgment-0071,absent,audit-0013-g01,0.97,生成题出现黑色轿车但比较对象是黄色汽车且只问遮挡，没有白色卡车或离画先后。
judgment-0072,partial,audit-0014-g01,0.91,生成题明确马在开头向左作大幅转弯并列出朝相机的可能路径，但没有直接判断实际是否由侧向转为靠近相机。
judgment-0073,partial,audit-0014-g01,0.80,生成题基于马的转弯预测路径，间接涉及与相机的接近关系，但没有追踪骑手到相机的距离变化。
judgment-0074,direct,audit-0014-g01,0.99,生成题明确马在前三秒开始向左大幅转弯，直接覆盖马是否改变行进方向。
judgment-0075,partial,audit-0014-g01,0.83,生成题涉及马的转弯轨迹与场地围栏的关系，但没有给出骑手靠近镜头时马位于围栏哪一侧。
judgment-0076,absent,audit-0014-g01,0.93,生成题只预测若保持初始转弯半径的路径，没有说明马实际接近镜头后从相机哪侧经过。
judgment-0077,absent,audit-0015-g02,0.98,生成题讨论天花板坍塌后的空间结构，没有记者展示与采访住户的时间顺序。
judgment-0078,absent,audit-0015-g01,0.98,生成题定位第二名女子头顶的管道，但没有描述住户用手指向的方向。
judgment-0079,partial,audit-0015-g02,0.91,生成题比较坍塌后若干天花板物体与白色灯具底部的高低，触及缺口和吊灯的空间关系，但未判断缺口在哪一侧。
judgment-0080,absent,audit-0015-g02,0.98,生成题没有采访或记者展示动作，无法判断展示破损是否先于采访。
judgment-0081,partial,audit-0015-g02,0.86,生成题列举坍塌后暴露的管道、门顶与天花板空腔纸箱，但没有直接识别天花板缺失的具体部分。
judgment-0082,absent,audit-0015-g01,0.98,生成题未出现受访者抬手或指向动作。
judgment-0083,direct,audit-0016-g01,0.99,生成题明确要求判断刀具处理后肉是否在结尾被切成两个独立部分，正是工具使用后是否分离。
judgment-0084,partial,audit-0016-g01,0.89,生成题细问工具与肉接触造成的物理变化，却没有出现展示肉块动作或比较二者先后。
judgment-0085,absent,audit-0016-g02,0.94,生成题只判断持刀手是否为右手，没有说明肉块相对男子身体位于哪侧。
judgment-0086,absent,audit-0016-g01,0.97,生成题描述的是刀而非剪刀，也没有放下肉块的动作或时间顺序。
judgment-0087,direct,audit-0016-g01,0.96,生成题具体区分造新孔、穿过既有通道和切开肉块等工具作用，直接覆盖处理肉块的动作目标。
judgment-0088,direct,audit-0016-g01,0.99,生成题把肉是否最终切成两个独立部分列为需判定的状态变化，直接覆盖是否分成更小部分。
judgment-0089,absent,audit-0017-g02,0.98,生成题关注举升车与工具柜及打开的引擎盖高度，没有设备控制盒和发动机舱的展示顺序。
judgment-0090,absent,audit-0017-g02,0.98,生成题没有男子手势或其指向发动机舱的区域。
judgment-0091,partial,audit-0017-g02,0.95,生成题明确引擎盖处于完全打开状态，但只描述一个状态而未验证整个片段持续打开。
judgment-0092,partial,audit-0017-g02,0.95,生成题明确汽车引擎盖完全打开，却未覆盖从片段始末判断状态始终不变的时间要求。
judgment-0093,absent,audit-0017-g02,0.98,生成题未提讲解者的反复指向动作或车辆区域。
judgment-0094,absent,audit-0017-g02,0.99,生成题没有相机从车尾移到车头的过程，也没有讲解手势的先后关系。
judgment-0095,absent,audit-0018-g01,0.99,生成题只描述用刀完整切开鱼的动作，完全没有女子进食或面部表情。
judgment-0096,absent,audit-0018-g01,0.99,生成题没有女子再次取食、明显反应或二者顺序。
judgment-0097,absent,audit-0018-g01,0.99,生成题未出现餐盘及其食物数量变化。
judgment-0098,absent,audit-0018-g01,0.99,生成题讨论切鱼，没有第一次进食和展示餐盘的先后。
judgment-0099,absent,audit-0018-g01,0.99,生成题没有人物吃食物后的面部反应。
judgment-0100,absent,audit-0018-g01,0.99,生成题没有餐盘、洋葱或薯条的相对位置。
judgment-0101,partial,audit-0019-g01,0.91,生成题追踪鳐鱼被遮挡后再出现的位置并判断其身体是否平行岸线，但没有直接比较它相对岸边的位置变化。
judgment-0102,partial,audit-0019-g01,0.83,生成题涉及鳐鱼前后位置和朝向变化，另有男子指向鳐鱼集中处，但没有以人靠近为条件判断鳐鱼是否改向。
judgment-0103,partial,audit-0019-g01,0.92,生成题判断鳐鱼再出现时是否位于两人之间或离某男子最远，覆盖鳐鱼相对人群的位置但只限定一个时刻而非主要所在侧。
judgment-0104,partial,audit-0019-g02,0.78,生成题出现男子向水面伸臂的动作且另一题出现海浪遮挡，但没有比较浪涌时人群后退和伸手的先后。
judgment-0105,partial,audit-0020-g01,0.89,生成题描述飞机由水平飞行转为近乎垂直向上，强烈关联爬升但没有直接比较相对地面高度先升还是先降。
judgment-0106,absent,audit-0020-g01,0.98,生成题没有烟柱或烟柱出现与飞机掠过的顺序。
judgment-0107,absent,audit-0020-g01,0.96,生成题只说明开头两秒的姿态上仰，没有飞机最终从画面哪侧飞离。
judgment-0108,partial,audit-0020-g01,0.87,生成题明确飞行器转为近垂直向上，但未出现烟雾这一时间条件，也未直接追踪位移。
judgment-0109,absent,audit-0020-g01,0.95,生成题描述的是由水平到向上的俯仰变化，不是绕机体纵轴的滚转。
judgment-0110,partial,audit-0020-g01,0.79,生成题涉及飞行器相对地面的姿态并指向上方，但没有给出片段最终相对地平线的高度。
judgment-0111,absent,audit-0021-g01,0.99,生成题讨论镜头平移后急救入口相对立交桥的位置，没有行驶车辆在出口分岔处选道。
judgment-0112,absent,audit-0021-g01,0.98,生成题中的急救入口不是出口匝道，也未比较匝道与主路在驾驶者视角中的左右。
judgment-0113,absent,audit-0021-g01,0.99,生成题没有道路标志出现与车道分离的时间顺序。
judgment-0114,absent,audit-0021-g01,0.99,生成题未追踪车辆经过出口标志后进入的道路分支。
judgment-0115,absent,audit-0021-g01,0.98,生成题比较急救入口和公路结构，而不是出口匝道与主车道的侧向关系。
judgment-0116,absent,audit-0021-g01,0.99,生成题没有黄色车道结束标志或匝道分离事件。
judgment-0117,partial,audit-0022-g01,0.96,生成题指出男子转动渔轮时鱼竿弯曲最明显，覆盖弯曲变化的峰值条件但未描述整个片段的变化过程。
judgment-0118,absent,audit-0022-g01,0.98,生成题只比较收线动作与鱼竿弯曲程度，没有鱼线指向船的哪侧。
judgment-0119,absent,audit-0022-g01,0.99,生成题未讨论男子身体朝向或是否一直面对水面。
judgment-0120,partial,audit-0022-g01,0.88,生成题把最大弯曲与主动摇轮关联，触及钓鱼过程中的弯曲变化，但没有以鱼挣扎为条件。
judgment-0121,partial,audit-0022-g01,0.81,生成题明确男子反复转动渔轮及其导致的竿弯状态，却没有追问收线动作的直接目标。
judgment-0122,absent,audit-0022-g01,0.99,生成题没有出现鱼或鱼在水面附近可见的事实。
judgment-0123,absent,audit-0023-g01,0.99,生成题只描述鱼下潜后由浮标指示位置，没有抄网或收线先后。
judgment-0124,partial,audit-0023-g01,0.80,生成题追踪鱼下潜后在水下的大致位置，但没有把位置变化与码头边缘建立关系。
judgment-0125,absent,audit-0023-g01,0.99,生成题未出现第二个人或抄网相对鱼的上下位置。
judgment-0126,absent,audit-0023-g01,0.96,生成题只说明鱼下潜并不再清晰可见，没有水下绕圈、进入抄网或二者顺序。
judgment-0127,absent,audit-0023-g01,0.99,生成题没有抄网及其从钓鱼者哪侧伸出的动作。
judgment-0128,absent,audit-0023-g01,0.99,生成题没有鱼进入抄网或之后再次离开的事件。
judgment-0129,partial,audit-0024-g01,0.86,生成题明确绳索绕在左前臂并判断绕动方向，触及身体侧别，但没有抛绳后绳圈落点。
judgment-0130,absent,audit-0024-g01,0.98,生成题只涉及绕左前臂的动作，没有展示绳端、抛向地面或二者先后。
judgment-0131,partial,audit-0024-g01,0.91,生成题描述绳索绕前臂的环绕运动，明显涉及成圈，但未判断操作结束后是否形成独立明显线圈。
judgment-0132,partial,audit-0024-g01,0.82,生成题追踪绳索的环绕操作，属于绳索形态变化，但没有判断是否随过程逐渐展开。
judgment-0133,absent,audit-0024-g01,0.95,生成题的左前臂是绕绳位置而非绳索末端最初所在侧，缺少初始端点事实。
judgment-0134,partial,audit-0025-g01,0.76,生成题描述车辆沿弯曲坡道上行，涉及车辆在坡道上的方向变化，但未覆盖下坡进入停车区后的实际改向。
judgment-0135,absent,audit-0025-g01,0.98,生成题没有出口或出口在驾驶者视角中的侧别。
judgment-0136,partial,audit-0025-g01,0.80,生成题同时涉及车辆沿弯坡移动和左侧白色低墙的遮挡，但没有比较接近墙与转回坡道的先后。
judgment-0137,partial,audit-0025-g01,0.74,生成题确认车辆在弯曲坡道上运动，却没有说明驶出坡道后的转向侧。
judgment-0138,direct,audit-0025-g01,0.96,生成题明确车辆沿弯曲坡道行驶时实心白墙位于画面左侧，覆盖转弯前白墙相对车辆的侧向位置。
judgment-0139,direct,audit-0026-g01,0.99,生成题直接判断女子运动是靠近还是远离相机，覆盖游泳者靠近相机时距离减小的核心关系。
judgment-0140,partial,audit-0026-g02,0.89,生成题描述女子持续向相机前游并以接触持相机者双手为目标，但没有直接判断身体主要面向还是背向相机。
judgment-0141,direct,audit-0026-g02,0.94,生成题把伸向持相机者双手的最终动作置于持续向前游近之后，实质覆盖伸手与到达近处的时间关系。
judgment-0142,partial,audit-0026-g01,0.88,生成题全程追踪女子向相机靠近，但没有判断她在这段期间是否始终保持面向相机。
judgment-0143,direct,audit-0026-g01,0.99,生成题明确要求比较女子运动时与相机的距离，直接覆盖二者距离随接近而减小。
judgment-0144,absent,audit-0026-g02,0.97,生成题只给出持续前游轨迹和最终空间目标，没有识别到达近处前所用泳姿。
judgment-0145,absent,audit-0027-g01,0.96,生成题考察哪些物体只在镜中可见，没有镜子与桌面灯具被镜头展示的先后。
judgment-0146,absent,audit-0027-g01,0.98,生成题提到白色灯罩却没有点亮的圆柱灯或白色花瓶的左右关系。
judgment-0147,absent,audit-0027-g01,0.99,生成题没有手指接近灯口或灯光状态变化。
judgment-0148,absent,audit-0027-g01,0.96,生成题涉及镜中物体但没有镜子与发光装饰灯的展示顺序。
judgment-0149,absent,audit-0027-g01,0.94,生成题出现灯罩和镜中相框文字，但没有圆柱灯、花瓶及三者的相对位置。
judgment-0150,absent,audit-0027-g01,0.99,生成题没有手指接触灯顶或接触后的灯光状态。
judgment-0151,partial,audit-0028-g01,0.94,生成题直接判断男子第二个手势的主要运动方向，但没有把该手势限定为从远处走近之后。
judgment-0152,absent,audit-0028-g01,0.98,生成题只描述三个手势，没有男子与相机距离的变化。
judgment-0153,absent,audit-0028-g01,0.95,生成题提到双手可能上移的手势选项，但没有停止行走与举起双手的时间顺序。
judgment-0154,absent,audit-0028-g01,0.99,生成题没有男子走向镜头前手持的物体。
judgment-0155,partial,audit-0028-g01,0.91,生成题明确男子做三种手势并细问第二个，覆盖停下后动作内容但缺少“停下后”的时间条件。
judgment-0156,partial,audit-0028-g01,0.83,生成题判断手部相对身体的运动方向，却没有确定手势总体朝相机还是朝海面。
judgment-0157,absent,audit-0029-g02,0.92,生成题说明相机沿道路前进并展示周围环境，但没有判断道路是否始终居于两侧牧场中央。
judgment-0158,absent,audit-0029-g02,0.99,生成题未出现牛群，无法比较进入直路段与经过牛群的先后。
judgment-0159,absent,audit-0029-g02,0.99,生成题没有牛群相对道路的侧向位置。
judgment-0160,partial,audit-0029-g02,0.82,生成题描述先左右扫视景观再回到道路前进，其他题明确若干马的出现时刻，但未直接比较农田转道路与首次看到马的先后。
judgment-0161,partial,audit-0029-g01,0.88,生成题具体提到道路左侧树木、围栏边马、玉米地和远处建筑，覆盖道路两侧环境但没有概括主要分布物。
judgment-0162,absent,audit-0029-g03,0.99,所有生成题都没有观察者影子或其在道路上的延伸方向。
judgment-0163,absent,audit-0030-g01,0.92,生成题只描述狗在八码至十三秒横向从右到左移动，没有远离相机与返回附近的先后。
judgment-0164,direct,audit-0030-g01,0.99,生成题直接比较狗由靠近右侧栏杆移动到靠近左侧围栏的过程，覆盖其与右栏杆距离增大的变化。
judgment-0165,absent,audit-0030-g01,0.97,生成题追踪横向位置但没有狗跑远时是否短暂脱离清晰可见范围。
judgment-0166,partial,audit-0030-g01,0.86,生成题涉及狗横穿栈道及其相对右栏杆的位置变化，但没有比较沿栈道远离和转向栏杆的次序。
judgment-0167,direct,audit-0030-g01,0.99,生成题明确狗从靠近右栏杆的一侧横移到左侧围栏，直接给出与右栏杆距离如何变化。
judgment-0168,absent,audit-0030-g01,0.96,生成题没有狗在远处变小或其后是否仍可持续追踪。
judgment-0169,absent,audit-0031-g01,0.98,生成题只推演骑手左转九十度后的地标方向，没有水翼板是否持续离水滑行。
judgment-0170,partial,audit-0031-g01,0.87,生成题以海岸和海滩为地标判断转向后的行进方向，触及岸线距离关系但没有追踪实际距离变化。
judgment-0171,absent,audit-0031-g01,0.99,生成题未描述水翼板相对水面的高度或稳定性。
judgment-0172,absent,audit-0031-g01,0.99,生成题没有判断水翼板在整个运动中是否高于水面。
judgment-0173,partial,audit-0031-g01,0.91,生成题要求据当前运动推断左转后相对海滩和岸线的新方向，明显相关但询问的是反事实新方向而非实际朝岸边的运动方向。
judgment-0174,absent,audit-0031-g01,0.98,生成题没有身体姿势调整或其即时目标。
judgment-0175,partial,audit-0032-g02,0.88,生成题涉及三秒处高球被绿队拦截及潜在接球队员，另题给出最终射门偏出侧，但没有连续描述边路至门前的轨迹变化。
judgment-0176,partial,audit-0032-g02,0.94,生成题明确高球先被绿队防守者截下，覆盖球先到绿队一方的事实，但未直接与守门员附近作二选一比较。
judgment-0177,partial,audit-0032-g02,0.88,生成题追踪高球潜在的接球路径和最后射门方位，但没有给出从边路到球门区的完整轨迹变化。
judgment-0178,partial,audit-0032-g02,0.80,生成题判断绿队防守者截高球时各蓝队员的潜在接球位置，涉及防守空间目标但没有说明回撤要封堵的区域。
judgment-0179,absent,audit-0033-g01,0.92,生成题只给出三脚架在画面中由右向左的变化，没有判断它在沙发前方还是后方。
judgment-0180,absent,audit-0033-g01,0.97,生成题仅提一只黑色落地音箱在平移后消失，没有白色吸音板与黑色音箱的交替分布。
judgment-0181,absent,audit-0033-g01,0.96,生成题没有窗边吸音板，也未比较它与中央三脚架的展示先后。
judgment-0182,partial,audit-0033-g01,0.90,生成题同时追踪三脚架的画面横移和沙发上新出现的靠枕，但没有直接计算三脚架相对沙发的位置变化。
judgment-0183,absent,audit-0033-g01,0.98,生成题没有判断三脚架支撑在沙发坐垫还是地面。
judgment-0184,absent,audit-0033-g01,0.98,生成题没有深浅吸音板之间的侧向分布。
judgment-0185,absent,audit-0034-g02,0.99,生成题只检查驾驶舱内部方向盘和收音机，没有两人讨论发动机舱与展示驾驶室的顺序。
judgment-0186,absent,audit-0034-g02,0.99,生成题没有绿色上衣男子及其面向同伴或汽车的朝向。
judgment-0187,partial,audit-0034-g02,0.91,生成题以驾驶者视角判断收音机在方向盘右侧，覆盖方向盘的舱内参照关系，但没有直接问它位于画面哪侧。
judgment-0188,absent,audit-0034-g01,0.98,生成题描述仪表台平移及方向盘遮挡，没有发动机舱与驾驶舱的展示先后。
judgment-0189,absent,audit-0034-g02,0.99,生成题没有两名男子交谈时的身体朝向。
judgment-0190,partial,audit-0034-g01,0.88,生成题明确相机横扫仪表台并观察方向盘遮挡，触及转向驾驶舱的展示对象，但没有直接判断镜头动作的目标。
judgment-0191,partial,audit-0035-g03,0.87,生成题追踪黄队从右路传中时队友位置及之后首射和进球者角色，但未明确传中到门前后哪队先触球。
judgment-0192,partial,audit-0035-g01,0.84,生成题区分第二次射门与最终进球并定位门前球员，涉及多阶段门前进攻，但没有判断球是否在混战中改变方向。
judgment-0193,partial,audit-0035-g01,0.82,生成题定位第二次射门瞬间守门员在射手与门线之间，但没有说明扑救针对从哪一侧来的球。
judgment-0194,partial,audit-0036-g01,0.96,生成题判断蓝色橡皮筋被钩针操作时处于张紧、扭曲或压缩等状态，覆盖结构状态但没有明确操作前后如何变化。
judgment-0195,absent,audit-0036-g01,0.99,生成题没有黄色工具或它相对编织板的侧向位置。
judgment-0196,partial,audit-0036-g01,0.96,生成题细分蓝色橡皮筋在钩针操纵中的物理状态，明显涉及编织结构，却未描述结构随操作的连续变化。
judgment-0197,absent,audit-0036-g01,0.99,生成题没有操作者最终把工具移向织机哪侧。
judgment-0198,absent,audit-0037-g01,0.96,生成题只判断射门前是否有防守者挡在线路上，没有射门结果是否得分。
judgment-0199,absent,audit-0037-g01,0.99,生成题没有守门员扑救方向。
judgment-0200,partial,audit-0037-g01,0.86,生成题确认射门前球与球门中心连线上仍有蓝队防守者，涉及突破后的防守局面，但没有判断此前是否突破多名防守者。
judgment-0201,absent,audit-0037-g01,0.98,生成题没有球是否入门或进入球门哪一侧。
judgment-0202,absent,audit-0037-g01,0.99,生成题未描述球向画面右侧飞行或守门员向同侧扑出。
judgment-0203,partial,audit-0038-g03,0.91,生成题说明相机平移以展示摄影者，另题明确薰衣草田环境，但没有比较人物出现与扫过花田的先后。
judgment-0204,absent,audit-0038-g02,0.95,生成题同时提薰衣草田和远山，却未给出花田行列相对远山的延伸方向。
judgment-0205,direct,audit-0038-g01,0.99,生成题直接追踪相机从右向左平移时远处大山峰在近山右侧的可见量变化，覆盖远山相对画面位置的变化。
judgment-0206,partial,audit-0038-g02,0.88,生成题以摄影者的设备和环境判断其拍摄山脉与薰衣草田的意图，覆盖人物周围主要景物但未明确限定为人物出现前。
judgment-0207,absent,audit-0038-g03,0.98,生成题只定位远处石屋相对摄影者的位置，没有田间箱子或人物经过后的侧别。
judgment-0208,partial,audit-0038-g01,0.84,生成题考察平移时远近山峰重叠与可见量，且另一题提及花田，但没有直接判断山峰与花田的上下关系是否改变。
judgment-0209,absent,audit-0039-g01,0.99,生成题只比较蓝帽男孩和浅绿衣女孩的左右位置，没有女子穿过石门的动作。
judgment-0210,absent,audit-0039-g01,0.99,生成题没有门洞或女子穿门时身体朝向。
judgment-0211,absent,audit-0039-g01,0.99,生成题未涉及女子进门前后与相机的距离。
judgment-0212,absent,audit-0039-g01,0.99,生成题没有女子侧身进入石门的事实。
judgment-0213,absent,audit-0039-g01,0.99,生成题没有石墙遮挡或女子通过门洞的前后阶段。
judgment-0214,absent,audit-0039-g01,0.99,生成题没有石门及突出石块在门洞两侧的分布。
judgment-0215,absent,audit-0040-g01,0.93,生成题细问盖板如何打开舱室，没有座椅和中央台面的展示顺序。
judgment-0216,absent,audit-0040-g01,0.96,生成题没有长形座垫相对中央台面的侧向位置。
judgment-0217,direct,audit-0040-g02,0.99,生成题明确抬起盖板后露出地板下方的空舱，直接覆盖移动盖板造成船内空间状态改变。
