candidate_pair_id,packet_id,pair_type,video,arm_a_index,arm_a_category_id,arm_a_category,arm_a_scene_type,arm_a_question_type,arm_a_question,arm_a_answer,arm_b_index,arm_b_category_id,arm_b_category,arm_b_scene_type,arm_b_question_type,arm_b_question,arm_b_answer,question_type_match,scene_type_match,pair_sha256
pair-cag-077-p01,pair-cag-077,camera_vs_actor_goal,JrX0VqYTkN8_2_0_00_28_433_to_0_00_39_833.mp4,816,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,Single-Choice,"[Single-Choice] From a bird's-eye view (allocentric perspective), what is the relationship between the silver car's speed and the motorcycle's speed in the first three seconds? [Options] A) The silver car is moving faster than the motorcycle. B) The motorcycle is moving faster than the silver car. C) They are moving at the same speed. D) The silver car is stationary.",C,817,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Single-Choice,"[Single-Choice] A pedestrian is briefly visible on the left side of the road near the start of the video. Based on their observed movement, what is their immediate spatial goal? [Options] A) To cross the main road in front of the motorcycle. B) To wait at the corner for traffic to pass. C) To turn and walk onto the intersecting side street. D) To walk toward the motorcycle along the shoulder.",D,yes,yes,cf6c6540483fdaf102517bded0d11d06311b01d94275adad378458981484458c
pair-cag-096-p01,pair-cag-096,camera_vs_actor_goal,RMZP7h6_zKg_1_0_00_07_073_to_0_00_19_285.mp4,487,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,Single-Choice,"[Single-Choice] From the barber's point of view, in which direction is he combing the bulk of the hair on top of the client's head? [Options] A) Towards his (the barber's) left. B) Towards his (the barber's) right. C) Straight back, away from the client's forehead. D) Forward, towards the client's forehead.",A,6090,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Multiple-Select,"[Multiple-Select] At the beginning of the video, the barber uses only his hands on the client's hair. What are the spatial purposes of these initial hand movements before any tools are used? (Select all that apply) [Options] A) To push the hair back and to the side, establishing the style's general direction. B) To flatten all the hair down onto the scalp. C) To lift the hair at the front hairline to gauge its position and flow. D) To evenly distribute a product from his palm.","A, C",no,yes,da7e0b1e67e8da16852c0bef97a8f6851a89615421f489a25cd583de51134daf
pair-cag-098-p01,pair-cag-098,camera_vs_actor_goal,iZ-iVMl3Y9U_43_0_05_33_104_to_0_05_45_189.mp4,6250,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,Fill-in-the-Blank,"[Fill-in-the-Blank] At the start of the slide, the dark, barrel-like object on the snow bank is on the sledder's ______ side.",left,7541,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Single-Choice,[Single-Choice] What does the dog's trajectory relative to the sledder indicate about its spatial goal? [Options] A) It is trying to cut the sledder off by taking a different path up the snow bank. B) It is running away from the sledder. C) It is attempting to intercept the sledder by following their direct path. D) It is running parallel to the sledder to observe from a distance.,C,no,yes,2cbc06a37d74f09bf264490768016b1f4585b996208ea582046139a6f7e6cf56
pair-cag-107-p01,pair-cag-107,camera_vs_actor_goal,v9lTwOyEhd8_31_0_09_28_559_to_0_09_41_480.mp4,9869,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,True/False,"[True/False] From the perspective of the person in the first scene, the yellow rope moves towards their chest. From the perspective of the boat itself, the primary effect of this action is to move the attached horizontal pole sideways.",True,5926,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Multiple-Select,"[Multiple-Select] In the second scene, the person wraps the rope around the silver winch. What is the spatial and mechanical purpose of this preparatory action? (Select all that apply)
[Options]
A) To use the friction between the rope and the winch drum to hold tension.
B) To engage the rope with a rotating mechanism that provides a mechanical advantage.
C) To guide the rope in a straight line toward the front of the boat.
D) To prepare to tie a knot, securing the rope to the winch.","A, B",no,yes,26d9b880bcd5d25a216db6ae8897a62bd8b75232962e8a8136bb8336f43881f5
pair-cag-108-p01,pair-cag-108,camera_vs_actor_goal,k-8PbpDu9Vg_11_0_03_07_831_to_0_03_35_789.mp4,6131,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,Fill-in-the-Blank,"[Fill-in-the-Blank] In the first four seconds of the video, from the rider's point of view, the house with the dark roof is primarily on their ______ side.",left,8741,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,True/False,"[True/False] Throughout the video, the rider's action causes the horse to change its direction of travel from moving across the field to moving deeper into it.",True,no,yes,560d33c2c3f8ade5cf8506b9d9a5651ee201060bac7eaaec8bb99534cd635e9e
pair-cag-109-p01,pair-cag-109,camera_vs_actor_goal,kuJpEZs6Zmo_56_0_06_57_083_to_0_07_13_266.mp4,9780,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,True/False,"[True/False] At the end of the video, from the camera's perspective, the two prominent pine trees are to the left of both men.",False,5911,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Multiple-Select,"[Multiple-Select] Based on the men's final positions and their shared focus of attention, what are the defining spatial characteristics of the location they have reached? (Select all that apply) [Options] A) It is a low-lying area within a basin. B) It is an elevated point that provides a wide, unobstructed view. C) It is a densely wooded section of the trail. D) It is situated at the edge of a steep downward slope.","B, D",no,yes,6b2e2eefcd6ca1a2bc6dcaf907eb3f873c049b7e80705b2751d19ce03a8b4ce0
pair-cag-112-p01,pair-cag-112,camera_vs_actor_goal,nou8vk6lUoo_102_0_37_55_642_to_0_38_22_769.mp4,9457,6,Egocentric vs. Allocentric Reference Frames,Human-Centric,True/False,"[True/False] When both men are standing and talking, from the perspective of the man in the black t-shirt, the chef is positioned between him and the stove.",True,5883,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Multiple-Select,"[Multiple-Select] Near the end of the video, the man in the black t-shirt places his left hand on the chef's right shoulder. Which of the following spatial consequences result directly from this action? (Select all that apply) [Options] A) The chef is forced to take a step back from the stove. B) The chef's right arm movement is temporarily restricted. C) The two men are brought into direct physical contact. D) The man in the t-shirt leans over the bowl of salad on the island.","B, C",no,yes,303c577b0836acac36da163e07503ac1f7d8cc93d5ff8ea2cf190b3071fd550d
pair-dvi-005-p01,pair-dvi-005,dynamic_vs_intent,hEpf9WmuyzM_18_0_02_08_166_to_0_02_21_300.mp4,6336,2,Dynamic Spatial Relationships,Human-Centric,Fill-in-the-Blank,"[Fill-in-the-Blank] As the person steps back and gestures with both hands, he moves from being primarily in front of the small box to being more centrally located between the ______ and the pumpkin.",small cardboard box,7882,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Single-Choice,"[Single-Choice] Given that the project involves a patio pond and the current setting is a living room, what is the most logical immediate next spatial action for the person? [Options] A) Carve the pumpkin on the box. B) Fill the pond kit with water from the fish tank in the background. C) Move all the project items outside to a patio area. D) Open the small box to see its contents.",C,no,yes,01e9dfbcb1dd45631019ff2b1faac9ae5fe4761e17ef7c7905254118456bfb60
pair-dvi-022-p01,pair-dvi-022,dynamic_vs_intent,muDm3wlpGkk_55_0_08_21_267_to_0_08_33_679.mp4,9560,2,Dynamic Spatial Relationships,Human-Centric,True/False,"[True/False] As the camera tilts down from the handlebars to focus on the front headlight, the asphalt street in the background appears to move upward relative to the bike's frame.",True,5715,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Single-Choice,"[Single-Choice] The person's hand points to two different lights in sequence. The first is on the handlebar stem, and the second is on the front fork. How is the first pointed-to light positioned relative to the second pointed-to light on the bicycle's frame?
[Options]
A) Lower and more forward.
B) Higher and closer to the bike's seat.
C) To the left and at the same height.
D) Higher and more forward.",B,no,yes,56c823b2326aed637c008ae6b4c6da561caef0ef5cf7d62c2289f328c165e89b
pair-dvi-037-p01,pair-dvi-037,dynamic_vs_intent,lHnZ_JC87CQ_22_0_02_59_145_to_0_03_12_926.mp4,5606,2,Dynamic Spatial Relationships,Human-Centric,Single-Choice,"[Single-Choice] From the camera's moving perspective, how does the apparent width of the path between the train station on the left and the buildings on the right change? [Options] A) It consistently widens. B) It consistently narrows. C) It remains visually the same. D) It widens and then narrows.",c,9739,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,True/False,"[True/False] Based on the camera's steady forward trajectory, the person's immediate intention is to enter the train station on the left.",False,no,yes,719ae6b7d749737ff7acf38832393c6a2788dd66f9c49efb03b36aa5cd9f4fde
pair-dvi-059-p01,pair-dvi-059,dynamic_vs_intent,gYjQ1MJxwOI_28_0_04_56_045_to_0_05_06_764.mp4,8070,2,Dynamic Spatial Relationships,Human-Centric,Single-Choice,"[Single-Choice] As the camera approaches the stall, a man in a grey hoodie walks from right to left. At the moment he passes the woman in the black vest standing at the stall, what is their spatial relationship relative to the camera? [Options] A) The man is positioned between the camera and the woman. B) The woman is positioned between the camera and the man. C) The man and woman are at the same distance from the camera. D) The man and the woman are standing next to each other on a line perpendicular to the camera's view.",A,8069,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Single-Choice,"[Single-Choice] A woman in a black hoodie approaches the stall from the right. Based on her final position and where she directs her attention, which items is she most likely interested in purchasing? [Options] A) The peaches on the far left. B) The red tomatoes in the center-right. C) The green and dark grapes in the center. D) The cucumbers on the far right.",C,yes,yes,908e2df70ef224fded6c8b50038e09cda42190c9a0c10e85059eeddf53c3cc0f
pair-dvi-061-p01,pair-dvi-061,dynamic_vs_intent,lu_LzB3CD-w_45_0_07_16_060_to_0_07_32_368.mp4,5651,2,Dynamic Spatial Relationships,Human-Centric,Single-Choice,[Single-Choice] What best describes the change in the spatial relationship between the front of the motorcycle and the green SUV from the moment the SUV enters the road until the motorcycle comes to a near stop? [Options] A) The distance between them consistently increases. B) The distance remains relatively constant. C) The distance rapidly decreases then slightly increases. D) The distance rapidly decreases and continues to decrease.,C,9661,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,True/False,[True/False] The green SUV's action of entering the road created a direct conflict with the motorcycle's established forward trajectory.,True,no,yes,202a3242b970d2172ddac04ecf7a0283be104b4f22807a0d72eeda9717e021e2
pair-dvi-063-p01,pair-dvi-063,dynamic_vs_intent,r7fOGBv-GjI_20_0_06_58_560_to_0_07_24_680.mp4,5196,2,Dynamic Spatial Relationships,Human-Centric,Single-Choice,"[Single-Choice] At the 0:03 mark, which horse is positioned directly between the horse with the red and white polka dot jockey and the horse with the solid green jockey?",The horse with the blue and white checkered jockey.,5197,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,True/False,[True/False] The jockey in the red shirt and white helmet maintains a path along the inside rail (closest to the camera's initial viewpoint) for the entire final stretch of the race shown.,True,no,yes,0febfd3310f75e9b0fbcf335d35808cb29eb9f419a89639458a5d42e5a032b82
pair-dvi-067-p02,pair-dvi-067,dynamic_vs_intent,hac-PvKqKQc_13_0_04_26_966_to_0_04_40_980.mp4,8969,2,Dynamic Spatial Relationships,Human-Centric,True/False,[True/False] The black valve of the canister remains pointed in the same direction relative to the girl's body for the entire duration of her walk.,False,7782,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Single-Choice,"[Single-Choice] Based on the girl's continuous forward trajectory toward the end of the video, what is her most immediate destination? [Options] A) The steps she walked away from. B) The terracotta planter. C) The glass entrance doors. D) The blue railing visible in the background.",C,no,yes,da8a737132421b1f2fcb978b4c1478fd1cfb6c35a79e90b57f827688cb6018f0
pair-dvi-086-p01,pair-dvi-086,dynamic_vs_intent,jEcdle5_AGE_3_0_00_15_839_to_0_00_28_480.mp4,7351,2,Dynamic Spatial Relationships,Object-Centric,Single-Choice,"[Single-Choice] At the beginning of the video, a small white foal is standing to the right of a large grey horse. After the camera finishes its pan to the left, what is the status of these two horses? [Options] A) The foal is now to the left of the grey horse. B) The grey horse remains in view, but the foal is no longer visible. C) Both horses have moved out of the frame. D) The foal remains in view, but the grey horse is no longer visible.",B,7349,3,Action and Intent-Driven Spatial Reasoning,Object-Centric,Single-Choice,"[Single-Choice] Based on the posture and movement of the two brown horses on the far left at the beginning of the video, what is their most likely immediate spatial interaction? [Options] A) They are preparing to race each other across the field. B) The smaller horse is following the larger horse as they move left. C) They are standing still to watch the grey horse. D) The larger horse is blocking the smaller horse from moving forward.",B,yes,yes,22675acd57f8885c8a30807013d10ea8671a3e236de2b6ff40c233b4d1354018
pair-dvi-093-p01,pair-dvi-093,dynamic_vs_intent,JxlY11io7Ao_78_0_09_03_200_to_0_09_13_240.mp4,829,2,Dynamic Spatial Relationships,Human-Centric,True/False,"[True/False] Throughout the entire struggle shown in the video, the phone is consistently held closer to the orange bucket than to the black bucket.",True,828,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Single-Choice,"[Single-Choice] Based on the physical interaction and the objects present, what is the immediate spatial goal of the person wearing the paper bag regarding the phone? [Options] A) To throw the phone at the screen in the background. B) To hide the phone behind their back. C) To place the phone into one of the buckets. D) To inspect the back of the phone.",C,no,yes,4f161192ec0ce07f5e891c83706bdb702205c58ba93624117ef5b67593a0a626
pair-dvi-095-p01,pair-dvi-095,dynamic_vs_intent,fpseuY3g4Dk_57_0_14_04_633_to_0_14_26_299.mp4,8289,2,Dynamic Spatial Relationships,Human-Centric,Single-Choice,"[Single-Choice] The video begins focused on a woman in a black shirt. As the camera pans right and pulls back, what happens to the position of the worker who was initially visible in the background on the far left? [Options] A) This worker remains on the far left of the frame for the entire duration. B) This worker moves out of the frame to the left and then reappears on the left as the view widens. C) This worker moves across the frame and ends up on the far right. D) This worker becomes occluded by the woman in the pink shirt.",B,8290,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Single-Choice,"[Single-Choice] Based on the workers' consistent alignment with the tilled furrows and their shared direction of work, what is the primary spatial objective of their collective action? [Options] A) To create new furrows perpendicular to the existing ones. B) To progressively cultivate the soil along the parallel furrows. C) To gather in the center of the field. D) To randomly till patches of soil across the entire field.",B,yes,yes,38f4f5ee2898bd75b6f1ba9ec83126dcfd1bf177cc5982461d2438394e74ce30
pair-dvi-100-p01,pair-dvi-100,dynamic_vs_intent,uE5UW9-JBkQ_17_0_02_47_566_to_0_02_58_433.mp4,5424,2,Dynamic Spatial Relationships,Human-Centric,True/False,[True/False] The white house that is visible on the right side of the road at the beginning of the video is on the left side of the road from the rider's perspective at the end of the video.,True,713,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Single-Choice,[Single-Choice] The rider slows the motorcycle and executes a sharp turn. What is the immediate spatial goal of this maneuver? [Options] A) To park on the right shoulder of the road. B) To reverse the direction of travel on the same road. C) To avoid an obstacle that has appeared in the center of the road. D) To turn left onto an intersecting driveway.,B,no,yes,3dcc2568c187039d2da92d11477bdaeddce5650e1e26bf206b8e4c01d7d63d07
pair-dvi-108-p01,pair-dvi-108,dynamic_vs_intent,NWLjE_iO9EM_22_0_03_13_193_to_0_03_28_541.mp4,1137,2,Dynamic Spatial Relationships,Human-Centric,Single-Choice,"[Single-Choice] After the camera car completes its turn, what is the final spatial relationship between it and the silver car?
[Options] A) The silver car is directly behind the camera car.
B) The silver car is positioned in front of the camera car.
C) The silver car is to the left of the camera car.
D) The silver car remains stationary at the intersection.",D,1136,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Single-Choice,"[Single-Choice] Based on the direction the car turns after passing the green road sign, which of the listed destinations is on its intended route?
[Options] A) Amargosa Valley
B) Las Vegas
C) Baker
D) A destination not listed on the sign",D,yes,yes,58f79eb7f6ca611bb6f589a836ae4e0e58b35aadafc1b46bae88fc811accc3a9
pair-dvi-112-p01,pair-dvi-112,dynamic_vs_intent,jj6U-NZt5Ao_47_0_07_38_425_to_0_07_54_981.mp4,7212,2,Dynamic Spatial Relationships,Human-Centric,Single-Choice,"[Single-Choice] During the camera's continuous rightward pan across the beach, in what sequence are these three features fully revealed to the viewer? [Options] A) The concrete pier, the main beach area with white umbrellas, the wooden walkway. B) The main beach area with white umbrellas, the concrete pier, the wooden walkway. C) The wooden walkway, the concrete pier, the main beach area with white umbrellas. D) The concrete pier, the wooden walkway, the main beach area with white umbrellas.",A,7211,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Single-Choice,"[Single-Choice] Observing the arrangement of the white umbrellas and lounge chairs on the sand, what is the most likely purpose of this spatial organization? [Options] A) To create private, secluded areas for a few visitors. B) To maximize the number of rental spots for a commercial beach operation. C) To provide temporary shelter for fishing equipment. D) To mark pathways for accessing the water.",B,yes,yes,bcf38da1fbfc1c6b001aed7c4a974ad963383b83c724dcd03a2b34feecd0baa1
pair-dvi-118-p01,pair-dvi-118,dynamic_vs_intent,jxhR1Ci3grE_80_0_16_25_233_to_0_16_41_233.mp4,7129,2,Dynamic Spatial Relationships,Human-Centric,Single-Choice,[Single-Choice] Which statement best describes the change in the spatial relationship among the potato pieces as they are moved from the cutting board to the pan? [Options] A) They move from a scattered arrangement to a tightly packed pile. B) They move from a single line to a circular pattern. C) They move from a clustered group to a more dispersed arrangement. D) They are individually placed one by one in a grid.,C,8747,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,True/False,[True/False] The person's primary action is to transfer the potatoes from a temporary preparation surface to the final cooking surface.,True,no,yes,7add6043ae6830595701fe5f688412c7ff896884b12b3d78ef58fb4136e0b480
pair-dvi-122-p01,pair-dvi-122,dynamic_vs_intent,iZERK_7x5g0_4_0_01_58_384_to_0_02_11_064.mp4,6249,2,Dynamic Spatial Relationships,Human-Centric,Fill-in-the-Blank,"[Fill-in-the-Blank] As the camera moves from its starting position towards the man in the blue shirt, the two bicycles parked outside the shop move from the center of the camera's view towards the ____ side of the frame.",right,7539,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Single-Choice,"[Single-Choice] Based on the man's final position in the entrance of the building and his direct engagement with the camera, what is his most likely immediate purpose? [Options] A) Exiting the shop after making a purchase. B) Blocking the entrance to prevent entry. C) Welcoming someone into the shop for a discussion or interview. D) Waiting for a friend in the parking lot.",C,no,yes,748b2fe57fa76e14a96ef6ff6a470839a1237cb818d39eb9b6ad8628ba5c2836
pair-dvi-127-p01,pair-dvi-127,dynamic_vs_intent,mvOPHSbuIpg_15_0_02_42_295_to_0_03_09_522.mp4,5718,2,Dynamic Spatial Relationships,Human-Centric,Single-Choice,"[Single-Choice] As the runner in the far-right lane (wearing a black top) lands after clearing the fourth hurdle, what is the position of the runner in the blue and white uniform? [Options] A) She is directly alongside the lead runner. B) She is airborne over the fourth hurdle. C) She has already landed after clearing the fourth hurdle. D) She is approaching the fourth hurdle.",C,9557,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,True/False,"[True/False] Throughout the race, the runner in the blue and white uniform consistently maintains a position directly behind the lead runner in the same lane.",False,no,yes,3c7ba1b36a1f548b44cc66bfdeb7c8ad8196533d785c596b126f6ce4a5ce8b3d
pair-dvi-136-p01,pair-dvi-136,dynamic_vs_intent,Yh13l47ibVs_56_0_08_53_132_to_0_09_09_615.mp4,3845,2,Dynamic Spatial Relationships,Human-Centric,True/False,"[True/False] As the front wheel of the motorcycle lifts off the ground, the yellow dividing line on the road appears to move from the center of the visual field toward the bottom.",True,3844,3,Action and Intent-Driven Spatial Reasoning,Human-Centric,Single-Choice,"[Single-Choice] To initiate the upward tilt of the motorcycle, what is the primary action the rider takes with their left hand? [Options] A) They pull the red lever towards the handlebar. B) They push the red button on the control cluster. C) They twist the handlebar grip away from them. D) They press the small black switch forward.",A,no,yes,7d1863910c8ec21114687f7d2fbdf6add1be03ab0ac55191675732ac5d7150bc
